标题,状态,领域,用户名,时间,内容
老人家想住自己家的房子,待回复,城建 求助,W***,2019-11-2814:25,尊敬的领导：我家位于杨浦区扬州路208弄126号，15年市政动迁。动迁协议合同签好佘山地区是三室一厅的房子，18年9月交房时是两室一厅！我提出异议，动迁组同意给我换房，让我把原动迁协议合同和佘山房子的资料退回！让我等信！期间我几次去动迁组询问结果，他们说不知道事情卡在哪里了！现在已经过去一年多，我至今租房居住，家有85岁老母！老人家盼望能住上自己家的房子！我实在奔走无门，寄希望领导帮助老人达成心愿！
享骑电单车退押金问题,待回复,金融 求助,G***,2019-11-2813:25,我在西安申请退享骑电单车押金有一年多了，还是没有退还，现在APP都没法登陆，结果一年过去了，客服电话空了，，于是我等，一年了反反复复打电话几个月，却是怎么也打不通了，APP一不能登陆。都不知道去哪里申请退押金？这个享骑电单车是诈骗还是跑路了？怎么才能联系到退款呢？西安市政府让我联系上海市相关部门？特向上海市政府求助
物业/停车费超高，物业嚣张跋扈，态度蛮横,待回复,城建 投诉,W***,2019-11-2810:01,"书记您好，我是嘉定区菊园新区嘉宝梦之月业主。购房时开发商表示物业费暂定4.8，届时会与周边价格一致。现在交房后物业告知物业费就是4.8，周边新小区物业最高3.2，梦之月定价4.8极其不合理，小区内仅有几个健身器材，物业提供的服务与价格不匹配，要求物业提供备案细则，物业也拿不出。停车费每月600，周边小区最高也才300。开发商与物业都为嘉宝集团，政府在管控房价，他们就在物业停车费上加回来，请书记为我们业主做主。收房时必须先交物业费再验房，简直可笑。 假惺惺拿出物业停车费优惠政策，物业费交一年可以优惠到3.8，停车费交两年优惠到每年420，还是明显超出周边最高水平。
所有的合同里只有对业主的约束，没有物业一丝责任，请问这样的霸王条款合法吗？在业主委员会成立之前就没有办法约束物业了吗？请书记关注一下我们业主的合法权利。"
嘉定区嘉宝梦之月小区买了房住不起,待回复,城建 求助,W***,2019-11-2809:48,位于上海市嘉定区陈家山路1399弄嘉宝梦之月华庭小区，隶属于光大嘉宝集团旗下上海嘉宏房地产有限公司，该小区11月底交房，物业费4.8元/平方，停车费600元每月，预售合同上虽然明确了物业费价格但是却没有明确物业服务内容，小区就配套一个滑滑梯，人车也不分流，停车费在购房合同上并未明确标明，物业费和停车费远高于周边同等小区。现在业主们叫苦连天，如此高的费用业主们买了房住不起，生活受到了影响。政府一直坚持房住不炒，我们小区绝大部分都是为了孩子上学买的刚需房，开发商和嘉宝物业总经理陈X和我们说他们物业费和停车费都是经过物价局备案都是经过房管局审批的，，我们去了信访办去了物价局说现在政策开放，那么请问这么高的收费标准，难道物价局和房管局都不看的吗？请李书记在百忙之中关注下，帮忙核实下？全体业主在此感恩。
投诉拼多多,待回复,企业 咨询,明***,2019-11-2808:10,拼多多欺诈消费者，一在拼多多买了一个二手手机当时商家承诺是绝无拆装维修的，并且还发了照片给我。收到货以后不但不是他发的照片那台。而且还维修过拆装过，维权太难请领导做主。电商平台欺诈消费者需要多倍赔偿。所有证据都已经发给平台客服。。但是他们就是不处理。
恳求李书记明查,待回复,医疗 求助,请***,2019-11-2714:09,2019年10月4日，我得双胞胎儿子因肺炎住院上海市儿童医院(北京西路院区)儿科，出院结算时我们收到两个孩子各一张的生活服务项目发票，发票开具方为上海申尔科技有限公司，再三追问下解释说是住院期间陪护躺椅的使用费。针对此事和医院多次沟通，我认为:①陪护躺椅的收费标准不合理。为60元/人/天，要知道病床的费用才58元/人/天。②开具的发票为生活服务项目，是一个大类。具体服务了什么内容，给我们一个写清楚，是陪护躺椅的使用费也好，租赁费也好，写明确。③在上海市儿童医院住院，发票开具方为上海市申尔科技有限公司，只因为入院的时候医生让签订了没来得及看的材料。医生是医院的医生还是上海市申尔科技有限公司的业务员？是不是不签这个所谓的材料，就不能住院治疗？为此事，我两次拨打12345和12320热线，均未得到解决。热线工作人员回复他们只管登记，没有解决的能力(都有电话录音在手机)，解决问题得靠医院自己自觉。两次反馈回来医院给的答复是我们入院得时候在医生那里签订了协议，尽到了告知收费得责任。现在我的诉求是:院方说我签订了材料我认，但请把发票的服务项目给我写清楚，也请求李书记全面过问上海市儿童医院陪护躺椅费收费和发票开具的问题。
坚决反对绿谷药厂建在居民区,待回复,城建 投诉,k***,2019-11-2711:02,"蓝靛路/康新公路交界处正在规划建设大型医药制剂工厂，该工厂距离阳光城丽景湾500 米，距离保利 艾庐800米，距离梧桐人家养老社区1500米，距离国际医学中心2300米，距离上海健康医学院南苑学 生宿舍1000米。  1. 目前针对该项目的环评存在着重大的瑕疵与疏漏。2. 已经公示的环评里面隐瞒了周围有居民区，幼儿园等教育机构的事实。4. 环评报告表内披露，工厂有5根烟囱，其中4根35米。环境破坏：项目附近水系丰富，戴家河是重要的自然水体，存在污染威胁。
区域规划：项目旁边康新公路蓝靛路是规划中27号地铁的站点和区域商业中心位置，项目马路之隔规划有湿地公园和大型公租及回迁居民社区。药厂建在此地实在是匪夷所思！
 
“绿水青山才是金山银山”，我们作为附近的居民，强烈坚决反对在居民区新建药厂！！！"
公司拖欠工资长达半年，望领导重视,待回复,就业 求助,H***,2019-11-2709:46,上海赛安医学检验所有限公司拖欠员工工资，金额多达上百万，时间长达半年，多次讨要无果。年关将近，我们都需要回家过年。今日特来求助，希望相关部门领导给予重视和帮助。让我们拿回我们应得的工资，过个安稳的年。 
嘉宝梦之月弹丸小区开出天价物业费停车费谁来管,待回复,城建 求助,a***,2019-11-2709:26,1.11月25日，嘉定嘉宝梦之月小区第一天交付。业主齐聚小区门口就4.8元/月/平，和地上地下600的停车费找物业和开发商讨说法。2.业主要求进入小区被戒备森严的保安所拒，很多老人淋在雨里，小区保安和物业视而不见。3.一陈姓物业经理飞扬跋扈的在门内发表了一通讲话，意思是他们收4.8，都是对业主的仁慈。4.强行让业主必须交物业费才给收房验房，而且必须先交费才能验房。我们全款买房，是和开发商签订的购房合同，凭什么用我们还没有搭成一致的物业费是否缴纳来阻挠业主收房。物业费停车费关乎民生，且嘉宝梦之月小区确实无任何高端配套，只有6栋建筑，300多户，小区人车不分流，没有人行的道路，只有路边几个简易的健身器材和一部简易滑梯，这样的配置，收4.8的物业费和翻倍的停车费，而且地上地下停车费统一600，凭的是什么？.企盼李书记能看到，并帮助我们解决这个问题。
无良企业,待回复,企业 投诉,梅***,2019-11-2617:08,2019年11月11日购买此品牌指纹锁，2019年11月19日装安装完成，发现三个问题，打不开，锁不上，反应慢，反应给客服后要求退货，客服扯东扯西，不给退，要求我录视频，我给拍完视频后说垫片的原因锁不上，然后关于指纹打不开的问题客服说打不开对于老年人就是不行，但是现在我三十岁都试好多次都打不开，我也有视频，而且产品支持无理由退货，但是商家说装上之后不能退！我的天，不装上我咋知道这个产品如此差，还有，他们产品也是支持天猫信用购，信用购就是说先试用后付钱，不想要可以退，这岂不是自相矛盾？而且我请求阿里巴巴介入调解后商家说可以给退，但是收到货第一时间验货肯定不给通过，到时候带来损失都是我自己承担，以此来要挟我，后来进货淘宝小二调解不成，淘宝小二要给我退999元，我不同意，我想请12315给处理一下，这种商家太恶心了，而且把我们的门弄得烂乎乎的，我的母亲大冬天带着孩子在门口等了一个小时没进去
