消除大门外开安全隐患,待回复,城建 求助,W***,2019-11-3012:58,"应市长，您好我们是上海一户居民，2019年11月邻居装修时擅自拆 除原有老式透光透风防盗门和内开木门，安装成外开全封闭防盗门，且私自将门外挪 3.5cm。影响我家的通行，采光和通风。最严重的是，由于是全封闭防盗门，外开门时 双方都不看见对方，他家开门，或我们推他家门出去，都有可能被撞到。9号楼2层以上 居民都会经过他家门口，由于我们在里面看不见外面，推门时随时都有可能撞到来往居民。影响整幢楼的居民安全。如发生火情，他家开门往外逃，我家被他门挡着，根本出不去。后果不堪设想。想求助市长，是否能请对方将房门恢复原状或改为内开式，停止对我家正常生活出行造成的侵害。我们原想请所在地居委帮忙调解，居委会回复说这个门是合规的，没有问题。门边留的这条缝很大了，有光透进来就可以了。我不太懂，人不能通行，外面情况看不到，都是合法合规的？也没有任何消防隐患问题。请您帮帮我们，谢谢！",,,
没给签劳动合同 拖欠工资 社保 差旅费 维权困难,待回复,就业 建言,匿***,2019-11-2916:59,尊敬的应市长您好，感谢您百忙之中浏览到我的留言板。在这里向您做个自我介绍讲讲我现在的遭遇！！我有两份职位，第一个是原华越公司在山东省各高校校企合作中为学生传达和协调实习就业的老师，第二个是对接各省市本科学校招聘飞行学员和新公司新项目对接合作院校飞行学员招生工作。也只支付了我一个月工资10000元，期间出差，日常开销我大部分用的是信用卡，有时还款还不上用的我老公的工资！我父亲6月份感觉身体不适，7月份我跟公司沟通能否先发我一部分工资或者把我差旅费全给报了，我调个休回去陪我爸检查一下身体，开始还能联系上老板说给解决！！只答应却见不到钱，截止到11月15日有13个月，工资、社保、差旅费加起来210353元，老板联系不上，,,,
市长帮帮老百姓吧,待回复,城建 求助,周***,2019-11-2916:27,上海市浦东新区高行镇东沟东靖路5**号15年10月份隧道动迁至今拆迁款未到，隧道已通车，4年多了拆迁款到现在还没有，我们老百姓上有老下有小没钱过日子，有病没钱看，求市长帮我们老百姓说说话，把拆迁款给我们下来，求求你了，谢谢,,,
在沪央企就业缴纳社保三年，还需要办理居住证吗,待回复,政务 求助,乙***,2019-11-2815:38,孩子2017年大学本科毕业，因17年错过办理积分入户（条件够，不知道政策），当年到上海航天研究院入职，单位交纳社保至今，将来入户口，现在还需要办理居住证吗？,,,
年检通过的车辆为何依然被告知有违章,待回复,交通 投诉,m***,2019-11-2808:44,年检通过的车辆为何依然被告知有违章。反映无门，投诉无门，相关部门一直推诿。市民留言板也以各种留有拒绝我的留言。我只是依法纳税的普通公民，我只想知道真相问题在哪，我该去哪里反应？希望留言板重视我的留言可以有人联系我,,,
在居民楼里无证开麻将室，聚众赌博,待回复,环保 投诉,大***,2019-11-2719:18,你好，市长，我是普陀区铜川路1780弄52号居民，由于52号1**室无证开麻将室，一直到晚上很晚，甚至到零点后，严重扰民，很多居民无法入睡，已经有几家居民去过物业，居委会，报过警，但都无法解决，仍然我行我素，并且人数众多，楼内居民老年人居多，望政府能真正的帮楼内居民解决问题。,,,
奉贤海港开发区学校咨询,待回复,教育 咨询,美***,2019-11-2716:22,尊敬的应市长：        您好，很抱歉以这种方式来打扰您，知道您非常忙碌，我一直关注上海发布，一直看到您为了百姓安居乐业忙忙碌碌，您辛苦了，谢谢您！！       我是奉贤区港阳路333弄海港瑞和家园的居民，喜欢我们自己的家园，也希望能在家园里边安居乐业，对于孩子，希望能给她更好的教育，海港瑞和家园东面的那块空地，规划学校用地已有10余年，但是迟迟没有动工的迹象 ，为此，邻居们几次在区长问答里边问区长，但是区长大人没有给于回复呢，建议我们孩子去上世外临港外国语小学。      恳请您在百忙之中能抽空回复，海港瑞和家园东面的学校用地还用于学校用地吗？学校还建吗？      祝您身体健康，工作顺利，万事如意！！                                                                                              海港瑞和家园居民                                                                                              2019年11月27日      ,,,
上海12315和市市场监督管理局的懒政怠政,待回复,企业 投诉,z***,2019-11-2708:24,今年9月27日在拼多多平台购买一部手机华为畅享MAX，10月4日收到，发现手机屏幕正面下部品牌是荣耀标志，手机背面下部品牌是华为标志，一部正品手机却出现两个不同品牌，判断是一部明显的翻新机，是商品欺诈行为。10月5日打电话到拼多多平台，平台一直拖着不处理不回复，要求拼多多平台售卖翻新手机，按照消法买一赔三。10月10日在上海12315网站市民实名投诉拼多多平台，直到今天46天了，未联系，未处理。直到今天46天了，未联系，未处理，但是在网站上却显示处理已完结。这是自欺欺人的做法，当事人不知晓的情况下，市场监督管理局这是懒政怠政，欺骗上海12315网站。,,,
万名居民投诉无门,待回复,环保 投诉,Q***,2019-11-2613:48,宝山区潘泾路4777弄小区周边暗藏五家大型制毒排放企业。有名的排毒王华伟汽车公司，三叶环保，富驰，海隆石油，石博罗。空气和上海市饮用水已经严重污染。三年来一直始终没能解决,,,
宝山区共康和通河地铁站周边黑三轮摩的横行霸道,待回复,交通 建言,e***,2019-11-2613:37,尊敬的市长您好：  近几个月来，宝山共康路地铁站，通河新村地铁站周边地区的黑三轮摩的非法载客现象死灰复燃，非常猖獗。除了非法载客，他们还有大量随意逆向行驶，争道抢道，闯红灯等违法行为。造成其他交通参与者避之不及，险象环生。经观察，每天早上7:00前，可能因为交通执法人员尚未上岗，是他们最猖獗的时候，望相关部门严厉打击。还市民一个安全的出行环境。万分感激！,,,
