标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
汽配城商铺凭借一个烟灰缸就要罚款2000,待回复,环保 投诉,天***,2019-11-2110:03,区长你好，我是上海东方汽配城商户，2019年11月20下午上海健康促进委员会以我店铺内有烟灰缸的名义对我实行罚款2000处罚，我觉得很不解，一个促进委员会怎么回事拥有了执法权呢？还是具有罚款权力，再说汽配城自己商铺内摆放的烟灰缸是几个月前了。公共场合我是支持控烟的，但是我们小微企业本身今年就生存艰难，年底了还遇到这种事情，实在很堵心。希望有人能帮我解答一下！,,,
金运路地铁站旁不让停私人电瓶车,待回复,治安 投诉,吴***,2019-10-2112:08,为了迎接第2届进博会，江桥进博会管理小组，就不允许在金运路地铁站的非机动车划线停车点停个人的电动车，只允许停共享单车。如果你停在那个地方，就会被他们用铲车运走。首先，如此安排非常不合理，现在金运路地铁站旁边非常缺少非机动车停车点，所造的停车大棚根本不够用。此外，你不让这些车停在原来停车地点，他们会停到别的地方去，在别的路段造成混乱，阻碍行人行走。第三，他们搬走车也没有法律依据。应多设停车点请解决一下非机动车停车难问题！,,,
企业不给员工交社保,待回复,政务 投诉,远***,2019-10-1314:29,1.从2018年11月正式入职上海衍易照明科技有限公司，公司承诺五险一金，但是一直以各种理由推脱不办理2.直到2019年7月，离职没有交过一个月社保，而且公司大部分员工都没有办理五险一金3.希望政府监督核查,,,
雅丹路779号(昌吉路地铁对面)烧烤烟雾扰民,待回复,治安 求助,a***,2019-09-1516:31,四季鲜烧烤店在一个夏季里在店内与店外烧烤摆摊经营到凌晨，这是新米兰公寓居民楼下的商铺，怎么能开烧烤店呢，严重影响了住在1号楼的居民生活，窗户只能紧闭开不了，烟雾与噪声还有垃圾的臭味，严重影响了身心健康，我也打12345反映，可没得到回复，四季鲜小吃店又分支出一个四季鲜烧烤店，网上是找不到的,,,
真新新村派出所民警周和民警张X,待回复,交通 投诉,j***,2019-08-0819:52,2019.7.6因经济纠纷，发生一起交通事故，派出所民警张X，警号047XXX亲眼目睹，却在受害人报警时拒绝推说经济纠纷引起，不接受，后来打嘉定区电话报警，在等候半小时多再次催促嘉定区派出所后才派一姓周民警接待并做笔录，做笔录时受害人一再强调手机摔破手镯摔坏，笔录上却看不到记录，验伤报告提交时，张剑只看过，却一再拒绝接受，在受害人拍照后扬言投诉他才派一小民警接受。事情过去一个多月，电话催促，网上投诉，都无用。,,,
企业存在恶意克扣补偿金,待回复,企业 投诉,程***,2019-07-3115:13,嘉定区南翔镇，知科服饰(上海)公司，在8月份准备关停工厂。给我们工人解散补偿金计算方式不公，存在恶忘克扣。厂方把加班工资全扣了在计算平均工资，我们是计件制结算，如加班多扣的多反而得到少，这样计算有失公充。厂方人事部经理是南翔工会主席。我们不是无理取闹，是捍卫自己的合法权益，我们诉求:按计件实际工资计算，这个工资本身不含加班倍数补贴，这样算才合法合情合理。加班倍数补贴是在这个工资基础上乘以系数，计算时已扣除。望领导督察，保护工人合法权益不受侵害。谢谢！,,,
江桥镇金华新村小区大雨积水问题,待回复,城建 建言,自***,2019-06-3013:24,领导您好:金华新村逢大雨便会出现积水问题，主要出现在部分区域，积水高度基本到达膝盖，影响了小区市民的出行，还请帮忙看下能否处理下?谢谢!,,,
小区居民隔三差五打牌扰民怎么办？,待回复,环保 投诉,愿***,2019-06-2921:17,最近发现嘉定江桥双佳翠庭54号楼101居民，隔三差五有一群人打牌，打牌过程中，时常大吼大叫，我住在对面一栋楼都深受其扰。可以看到，打牌在厅内接近阳台的地方，大吼大叫的时候，整个声音从阳台出发出。这群人时常通宵打牌，或者从下午开始打牌，持续到晚餐过后，又继续打牌。该小区属安置房，本就不隔音。不知道这种扰民行为，如何处理？据说，现在国家对每个地区有规定，超过多少赌资，就要罚款并拘留几天。是否属实？,,,
企业搬迁，劳动者该如何正确维护劳动者的合法权,待回复,就业 求助,大***,2019-05-2714:49,企业定于2019.5.28正式搬迁，嘉定区搬至青浦区。企业员工于2019.5.22内部小道消息之后与企业协商未果后，拨打劳动局电话，监察人员于2019.5.23日上午到达公司，未直接进行员工于企业之间的协商，而是先同企业开完会后直接代表公司与员工协商。未果后员工于2019.5.23日11:40分去本市劳动仲裁中心咨询，后续有员工想要继续一同前往，被公司保安制止，并关闭大门，禁止出行，此时处于企业员工休息时间。企业于2019.5.23日12:20分贴出公告，正式通告在距离搬迁仅剩下5天时才公布。大部分员工不愿一同前去，企业HR和领导不给予任何补偿，并让我们不愿意去的老员工被动离职。员工自发于2019.5.28日，企业正式搬迁之时采取被动措施，员工之中还有孕妇，为避免不必要的伤害，恳请陆区长帮帮我们。,,,
拖欠工资拖欠社保不交 ,待回复,企业 求助,维***,2019-04-1816:08,上海XX贸易有限公司拖欠社保9个月没有交了，每次都是忽悠，今天交，明天交，每次都是骗人……仲裁不管社保，社保中心没有反馈，我们到底要去哪里维护自己的合法权益！？？！,,,
11号线地铁马陆站阿克苏南路与崇文路行人,待回复,城建 建言,羌***,2019-04-1314:49,马陆镇阿克南路与崇文路施工装监控地面搞成这样不管事无法行人跑步。,,,
入学登记，资料要求不清晰，两个部门推诿扯皮,待回复,教育 投诉,s***,2019-04-0908:17,区长您好。我是居住在嘉定的外省人。在嘉定有居住证有积分且积分分值达标，只是在嘉定没有自己的民用住宅房产，入学登记时要求我提供居委会开具的居住证明单，说只要是租房都必须让社区居委会开此证明。但是居委会说我有积分，按照教委的要求，不用开此证明，并坚决拒绝给我开具此证明。嘉定教委电话要么没人接，要么打不通，无法核实。请问此种情况我该怎么办？,,,
嘉定区浏翔公路与思星路8号东骑车路垃圾太多清,待回复,交通 建言,羌***,2019-03-3012:03,嘉定区浏翔公路与思星路8号东骑车路垃圾太多清理没人管，步行路没有，绿色带弄好。,,,
保护网络安全，减少上当受骗,待回复,治安 求助,孕***,2019-03-0810:31,领导您好！我是一位在家养胎的孕妈妈，因想帮助家里减轻一点压力，于3月6日在58同城找兼职，后面接到对方电话加了qq，3月7号与对方qq联系，了解到工作是刷单，本有怀疑，可一想原本帮朋友刷过，就尝试了一下，第一单刷了104元，没过多久本金104和返利5元就还给我了，等到第二单时前后先刷了3万10单，要求对方归还本金时，对方说还需要刷10单才能返还本金，为了拿回钱我找朋友借了3万刷了进去，然后要求他退还本金时，他说还需要刷6万元，一共要刷满200件总价12万才能退给我，走投无路之下我向嘉定黄渡派出所报了案，求您帮帮我吧！我和我老公结婚没多久花了很多钱，现在又怀孕了无法工作，仅剩的一些存款也被骗了，还欠外债3万，求您帮帮我吧！,,,
上海公积金提取,待回复,政务 求助,c***,2019-01-2417:02,您好，本人在外地购房，在2019年1月17日按公积金提取要求向嘉定建设银行申请，当时已经受理。当时已经受理，目前已经一个多月了，都没有回复也没说审核通过没有。至少给个期限吧，按提取要求来说是三个工作日就可以了，效率有点低吧。,,,
今年嘉定区还会举办空竹邀请赛吗？,待回复,文娱 求助,江***,2019-01-0809:31,嘉定区区长，区残联领导们，你们好！今年上海市嘉定区还会不会再次举办残疾人第二届空竹邀请赛，我的提问完毕。,,,
物业恣意妄为让业主生活在垃圾与尘土中,待回复,环保 求助,J***,2018-12-0608:30,尊敬的领导:           我是安亭镇南安路118弄金桂新村4号的业主，我们4和9号号楼旁边本是没有建筑垃圾推放处的，物业居然在4，9号楼旁边弄了个建筑垃圾堆放点，刚开始是建筑垃圾，后来各种垃圾一起都往这里放，而且垃圾不及时处理，经常堆放几个星期，不及时处理，经常堆积如山，清垃圾的车子过来，扬起满天灰尘，4号9号楼处在满天尘土之中!这个地方根本不够垃圾车转身的，车子压坏路面，压坏小区绿化带，一直压到4号楼业主窗口，都行成小河了!到处是泥浆，天气一干，就是满地的泥土，一点点风，尘土就满天飞扬，两栋楼业主深受其害，反应多年，物业一直视而不见！不闻不问!         这和嘉定创建文明城区，打造绿色人文的居住环境背道而驰！         恳请区长领导能关注一下，帮忙协调从根本上还我们居民一个干净整洁的生活环境，谢谢,,,
半夜三更拉沙子水泥的货车扰民,待回复,环保 投诉,展***,2018-10-1912:07,尊敬的区长，嘉定区徐行镇嘉罗公路14号桥北道路本不应该停车，一些拉沙子水泥的货车半夜2点就开始工作了，希望政府可以整治一下，还老百姓一个安静的夜晚，每天半夜吵的人难以入睡，,,,
渣土车半夜扰民,待回复,环保 求助,展***,2018-10-1409:00,尊敬的区长你好，嘉罗公路14号桥，北，每天货车，渣土车半夜3点多经过村庄声音特别的大，附近居民每天都在谈论这个事情，本路边不该停车，渣土车路边停放成灾，还望有关部门能给老百姓做主，还老百姓一个安静的夜晚。,,,
医疗,待回复,医疗 咨询,W***,2018-09-1616:48,我们是十二年前拆迁过来的居民。江桥这一带拆迁过来的有多少户我也没有统计过。这些居民小区就在金沙江西路上。我们50几岁过来现在已经是60几岁的老人了，附近至今还没有三甲医院，看病要到较远的地方非常不方便，政府不知道在考虑这个很具体的情况没有！谢谢！,,,
强烈要求拆除悬挂在23楼外墙面上2只空调外机,待回复,城建 投诉,W***,2018-08-1508:45,我居住在嘉定区塔山路455弄1号楼2304室，隔壁的2303室的2只空调外机没有安装在固定的位置上，私自放在了23楼的外墙面上，非常危险，万一有大风暴雨来临，这2个空调外机摔落，后果不堪设想。强烈要求拆除隐患，让所有的居民有一个安全的保障。,,,
小区物业私自贩卖地面共有车位,待回复,城建 投诉,古***,2018-08-1416:00,我是嘉定区江桥街道临夏路800弄【汇丰沁苑北区】的小区业主，近一年多来，物业将小区地面的公共车位擅自以所谓“固定车位”的形式大肆出售，造成了小区地面车位地锁横行的现象，严重侵害了广大业主的权益。小区居民为此已经发生多起冲突，望能够采取措施，还小区广大业主的权益。谢谢！,,,
哺乳期不要我，可以。但请不要用存货来抵我工资,待回复,其他 求助,兀***,2018-07-0715:42,尊敬的领导:您好    我是上海筑巢网络科技有限公司的员工，今年公司效益不好要裁员，因为我还在哺乳期所以领导找我商量要我离职，但第二天就有要债主的过来把电拉了不让干活。下午经领导商议决定下午开始放假，什么时候上班再通知。过了2天就有人告诉我公司发4月的工资了，但我们这些公司不打算要的都没发。后来去跟公司讨说法，公司代表说:要4月的工资要先把离职协议签了再发，但5月和6月的工资要用存货抵，还要签抵债协议，因为公司没钱。   人事也明白告知，1是抵债，2是仲裁，也说仲裁基本没用要等2年才拿到钱，也不怕我们仲裁(公司没钱，不怕告)，我打过12333的回答是拖欠工资管，用货抵工资管不了。   家有2个小孩，所有的银行卡都拼一起就2万左右，小的还要买奶粉。一.如果签了协议拿货，我1没地方卖，2货当不了饭吃。二.不签协议的话，我即上不了班又拿不到工资。如果仲裁，我等不了这么久，时间太长了。   恳请领导帮帮忙，能不能帮我们把拖欠的工资要到，而且能不用存货抵工资。如果没经济来源，我真不知道我的存款还能撑几个月。,,,
区长您好,待回复,其他 投诉,普***,2018-06-0516:26,上海市嘉定区马陆镇樊家住宅一区东宝路 今18.00-现在  小区旁边道理土方车肆意乱开，本有限高栏杆不知道谁拆除了，令道理旁边小区居民不能入睡，噪音非常严重，小区村委会无人处理。,,,
华江路曹安路路口拓宽问题,待回复,交通 咨询,1***,2018-03-3115:48,领导您好！华江路前两年部分拓宽已完成，但是华江路曹安路路口依然拥堵，不知这段何时能够拓宽？,,,
安亭镇黄渡镇鸭王商业中心板块招商问题,待回复,金融 咨询,迟***,2018-02-1914:23,"尊敬的区长,您好!在安亭黄渡镇嘉松北路绿苑路交叉口,有以鸭王大厦为中心的待招商的一片商业中心,原本入驻的有电影院、酒店，还有大型超市，但不知是何原因商业中心迟迟没有开张。就此绿苑路上的嘉松北路一侧与另一侧的商业发展大相径庭。周边居民有大众春盛苑和黄渡一至七村（共7个新村）的居民，等待了有两三年的时间，对于生活品质的提高，附近居民真是望眼欲穿。可否帮助附近居民们核实一下情况，并助力推进商业中心的招商事宜，借此完成商业中心开张，完成我们的心愿。谢谢了！",,,
革命烈士纪念馆参观有感,待回复,其他 建言,迟***,2018-02-0918:19,尊敬的区长，您好！    近期参观了革命烈士纪念馆后，发现很多来参观的都是个体，而非团体，实际上很多孩子假期都应该有机会对革命历史回顾以及对共产主义的教育，获得社会主义理念的升华。因此我觉得是否我们的党组织可以组织更多共青团员，甚至是社会个体，尤其是少年儿童参与类似的共产主义理念的熏陶，同步进行学校教育的补充。希望本人的建议能有参考价值。谢谢！,,,
占用绿化，搭建私人花园,待回复,城建 投诉,江***,2017-11-1318:45,小区有人侵占公共绿地，搭建了属于私人的后花园，这种现象，怎么办？已经有很长时间了，也没有人管。,,,
河道治理中产生的问题,待回复,城建 投诉,小***,2017-07-2012:15,我是嘉定区马陆镇戬浜村东陈302号的，我家房子建造在河里的，2017年6月5日由于河道整治，开挖，造成了房子开裂9公分，房屋向河道偏；场地开裂下沉，围墙倾斜，现不能住人；先与村委沟通，村委联系第三检测房屋公司进行检测，到现在没有回复，其间也去过马陆镇信访办，人民的生命财产受到严重影响，请领导给予回复，我们底层百姓不知道该找什么部门，望回复！,,,
