标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
上海青客公寓,待回复,企业 求助,c***,2019-11-2918:06,我就想问问青客公寓为什么不退租客押金，各种理由到现在至今没有退，我们都是按合同走的，住满才退房的，但是押金一个多月就是迟迟没有退，打他们公司电话像踢皮球一样，希望有关部门能管管,,,
嘉宝梦之月项目物业费远超周边,待回复,城建 求助,W***,2019-11-2810:01,"嘉定区菊园新区新交房的嘉宝梦之月项目，物业费4.8/平，停车费600/月，严重超过嘉定其他同类型楼盘平均水平，且配套比同类型楼盘只减不增，要求物业出示收费项目明细，物业推脱。业主维权与物业经理交涉，作为落户嘉定的新上海人，本来对嘉定生活充满期待的，无奈房子还没交，就面临高额的住房成本，周边小区远低于梦之月的标准。希望书记可以给老百姓做主！！！附周边小区的物业费及停车费统计数据：1.梦之月，4.8，600 。2.梦之湾，3，300。3.合景叠翠峰，2.9，150。4.禹州老城里，3.2，300。5.保利海上五月花，1.7，300。6.天居玲珑1.95，300。7.万科物业3，地上150，地下 300 。8.绿地天呈  3.0  500。9.大成郡 3.2  300（全部地下） 。12.悠活城，2.1,地上150，地下300。",,,
美陈广场存在重大消防隐患,待回复,城建 投诉,y***,2019-11-2809:22,"反映嘉定区曹安公路1777号美陈广场（原名协城），是一幢大楼, 属于人员密集场所，是全市最大的鲜花批零市场。该商场存在消防通道不畅和占据消防通道等现象严重，调研中发现不少商铺将商品堆放在档口前面的通道上，有些安全出口、通道内、消防器材旁等也有乱堆物现象，还有一些商铺内灭火器被遮挡等问题。一旦发生火灾，就比较容易因人员疏散不及时而导致重大的人员伤亡。特别严重的是看见有个",,,
物业猛过虎！普通百姓噤若寒蝉！,待回复,城建 求助,W***,2019-11-2715:34,嘉定区，菊园新区，新交房的嘉宝梦之月项目，物业费4.8/平，停车费600/月，严重超过嘉定其他同类型楼盘平均水平，且配套比同类型楼盘只减不增，要求物业出示收费项目明细，物业推脱。业主维权与物业经理交涉，嚣张跋扈，希望书记可以给老百姓做主！！！,,,
安定一方惠民一方,待回复,治安 求助,天***,2019-11-2508:50,尊敬的领导，我是江桥镇鹤旋路500弄水岸秀苑居民，近来小区内无主野狗乱窜成灾，更不用提野猫了，特别是小区河的西侧一面。尾随车辆及行人，狂叫不止。大人小孩都不敢随意出门更别说在小区闲逛，请求地方领导督促居委及物业尽快解决。另外一个小事是小区出入口都有摄像头和强光灯，是为了记录进出人员，为了安定一方保平安。但强光灯对眼睛的伤害不小，特别是对小孩，每天进出都要面对强大的光照眼睛受不了？我恳请领导晚上的时候亲自体验一下就知道问题所在了？,,,
奔驰4S店捆绑销售、违约、设置消费陷阱,待回复,企业 求助,W***,2019-11-2208:48,尊敬的领导，您好，我作为一名普通的人民群众，最近遇到了些无法解决的问题，需要求助领导，恳请您百忙之中帮忙给出宝贵意见。简述如下：1.我在2019年9月初在上海中升之星汽车销量服务有限公司（地址：金运路99号）购买了一辆奔驰E300L轿车，同时被强制购买了加装产品：置换轮毂、行车记录仪等项目，加装合同金额14300元，详见附件，如不够买加装产品，便不给予总价优惠，为了达到他们的某种目的，引导客户被捆绑销售。2.签约前确认好的轮毂式样（AMG五幅轮毂），提车后被中升之星4S店不同的人员告知一会没货一会停产，至今尚未履行合约，中间多次与中升之星4S店投诉部负责人协商解决方案，在4S店投诉部负责人机械式逼迫下（有录音）要求我说出我的诉求，我为了尽快解决这件事便提出诉求：要么把轮毂按合同装上要么赔偿轮毂的市场价（普通改装店价值15000元左右，4S店价值30000元左右）及对拖延两个多月的时间赔偿。4S店回复不可能，诉求太高，仅愿意退回12900元，其他无任何赔偿。也就是说，签约前诱骗我签合同给予的优惠，在其无法履行合同时仅退回部分合同金额就可以溜之大吉了，那我是不是可以因为没有了签约前的优惠要求把车退掉呢？3.签约前确认好的行车记录仪为隐藏式，提车后被告知仅电源线是隐藏式，我也去问了部分奔驰车友，也遇到类似情况，这是在设置消费陷阱欺骗消费者呀。4.中升之星4S店售后态度强硬嚣张，在给我打第一个电话的时候就试图恐吓我，说：如果我不想理你，便不会接你电话，你反正也没有什么办法，所以在我能给你好好协商的时候，就赶紧同意，否则，得不偿失。之类的话，果然，我现在打电话给他们，一直拒接，现在是想把此事不了了之，违约且不赔偿，导致我现在轮毂也没置换，赔偿也没有，行车记录仪也不给换，无法联系到4S店。以上便是我想要求助的内容，望领导给予帮助，谢谢。,,,
嘉定嘉宝梦之月开出天价物业费、停车费,待回复,城建 求助,W***,2019-11-2114:30,1、嘉定嘉宝梦之月开出天价物业费4.8元/平、停车费600元/月堪称嘉定之最。与此同时未看见物业能开出这个价格与之匹配的配套设施。前几天业主要求与开发商和物业公司见面详谈，开发商和物业避而不见。2、劳动人民的钱都是血汗钱，为了买房已亲尽全力，之后还要负担这么多的物业费和停车费。相比周边差不多环境的小区，甚至于嘉宝梦之湾同属一个物业公司，我们的价格也比他们高出近一倍，但是环境还没有他们的好。3、恳请章书记为我们这些走投无路的群众出面与开发商和物业协商，明确物业费4.8元/平、600元/月的停车有什么服务和设施与之匹配,,,
嘉宝梦之月物业费停车费,待回复,城建 投诉,W***,2019-11-2109:10,嘉宝集团旗下嘉宏房产开发的嘉宝梦之月小区位于嘉定陈家山路1399弄，11月底即将交房。开发商和物业定出了4.8元/平/月的物业费，600元/月停车费（嘉定的物业费市场水平在1.7-3.5之间，停车费都是300元/月）同为嘉宝物业公司管理，临近的嘉宝梦之湾是3元/月。购买时，销售说预售合同上的物业费只是暂定了个价格，最后的实际价格和周边小区差不多的，而且是和梦之湾共用物业的，最后定价要去物价局审批的。我们信了，可交房在即，却告诉我们审批价格就是4.8。停车费600/月。 ,,,
嘉宝梦之月收取巨额物业费停车费,待回复,城建 投诉,W***,2019-11-2109:02,尊敬的区委书记       最近新开盘的小区嘉宝梦之月就要交房了，然而物业费4.8/平方，停车费600/月，远高于周边小区，一年费用需要1万以上，让工薪阶层的我们难以接受。,,,
