治安,待回复,文娱 投诉,冬***,2019-10-2519:51, 有偿陪待， 严重影响了我家庭和谐。请领导解决,,,
小区太吵了 ,待回复,城建 求助,W***,2019-05-2820:41,本小区 在西渡乐康苑 109号  天天早上 他们弄垃圾的 四点多 就开始了 太吵人休息了 望领导解决,,,
退液化气钢瓶,待回复,政务 建言,戈***,2019-05-0414:48,四团镇做了件好事 给我们装上了煤气，原来我们的液化气钢瓶就没有用了。这个钢瓶怎么处理你们是不是应该管一管。液化气罐可不是一般的东西。你们是否应该回收。昨天我们把液化气罐送到液化气站，液化气站说没有原始发票不回收。这个问题很严重。我们的液化气罐用了十几年了，一般是二三个月换一次。换液化气的本子我们还在。可是要找十几年前的发票，那是不可能的（我也不记得他们是否开了发票）。你们是否应该过问一下。液化气罐不能存放在个人家中，也不能外流。另外，还有一件事，就是液化气站不回收。可是他们站上有人回收，說私人回收。这不太好吧。液化气罐是危险品应该不能流入私人手里吧！,,,
无证营业的批发部扰民影响交通。,待回复,治安 投诉,安***,2019-04-2611:09,区长你好，在位于奉贤区金汇镇光泰路墩头村634号一居民楼下无证经营着一家蔬菜批发部，居民楼本来就是居民居所之处。却被634号的房东当做门面房对外出租。每天中午批发蔬菜的人员吵杂影响居民生活，车量进出影响交通，之前还还发生了一场交通事故。请领导查证，还居民一个安居的生活。,,,
严重污染环境又扰民的黑餐馆,待回复,环保 投诉,安***,2019-04-2117:46,区长你好在位于上海市奉贤区金汇镇光泰路墩头村634号一民房楼下经营着一家名为武记饭店的黑餐馆，此餐馆每天购买一些来类不明的廉价肉类，有些甚至已经花臭。饭店每天中午11点到12点之间都会排出大量污水和油烟严重污染环境和骚扰村民安居的生活。有村民反应餐馆问题，餐馆回应说，除非上面突击检查不经过村里不然我饭店就永远开着。请区长还村民一个公道，下面是拍摄黑餐馆的一角请区长看看。,,,
投诉上海联通,待回复,企业 投诉,W***,2018-12-1311:28,投诉中国联通私自更改用户套餐，本人2018年11月25日上午10:15分在上海市奉贤区南桥镇百联联通自营厅为手机号码办理更换套餐业务，办理成功，并签署了电子档合同。于2018年11月30日上午8:50被联通私自强退。在此6天时间里本人未收到联通任何形式的通知，根据信息产业部关于规范电信资费方案管理的指导意见（信部清[2008]81号）第七条：未经用户同意，不得擅自更改与用户约定的资费方案。希望领导督促联通恢复本人已更改套餐。以上所有内容均真实存在。,,,
反对浪费,待回复,城建 求助,戈***,2018-11-0313:59,现在我们国家富裕了，但也不能浪费。我发现我们政府，社区，有很多劳民伤财的行为。  我们四团镇社区有一个很 漂亮的文化活动中心，包括社区大楼与文化广场。在大楼边有个厕所，十几年了，去年推倒重新盖了一个，很漂亮的。可是刚用了不到一年今年又推倒了又盖了一个更豪华的。有必要吗？不就是上个厕所吗？劳民伤财。  最近，四团天鹏四区要改造上水管路。这是好事，但一定要把原来的水箱改成用水泵站，我以为没有必要。我们小区的房屋是五层楼的，十几年来，出来重来没有发生过水上不去的情况。没有必要改成水泵站。水泵站要在占用绿地，我们现在的绿地是越来越小了。另外，水泵站就建筑在我们的门口，噪音影响我们的生活的。   没有必要，又会产生一定的副作用。为什么一定要改呢？   现在我们社会越来越民主，什么事都会征求大家的意见，这是好事。尽管这种征求有时候不太好执行（找不到人）但也不能流于形式。这次天鹏四区改造，要把水泵站建立在我们十三号楼道（梯）门口，我们十三号的全体都不同意。如果别的门道同意，就请安装在别的门道门口吧。,,,
老板卷了千人会员的血汗钱逃跑了,待回复,企业 投诉,W***,2018-10-2109:02,老三星雨晨火鸟健身在2018/10/17号没有任何通知会员的情况下突然关店，并联系不到负责人，所涉金额百万元，希望有关监管部门能为广大无辜消费者讨回该有的权益！,,,
奉贤南桥星雨城火鸟健身房一夜搬空,待回复,文娱 求助,W***,2018-10-2015:12,奉贤区南桥镇星雨城的火鸟健身房在未通知会员的情况下一夜之间人去楼空，受害会员确定的就有500多人，希望我们的领导能引起重视，妥善解决这个问题。我们静等佳音。,,,
南桥火鸟健身房突然关门，近千人受害者维权困难,待回复,文娱 投诉,W***,2018-10-2015:12,上海市奉贤区南桥镇星雨城火鸟健身房突然关门，老板疑似拖时间跑路，至今未曾露面，受害者近千人，涉及金额巨大，目前受害者已至相关部门投诉和报案，但是至今仍未得到明确答复，希望领导能够重视，有关部门早日给消费者合理答复，维护消费者合法权益。,,,
沪通铁路四团站没有客运吗？,待回复,城建 咨询,b***,2018-10-1418:23,公示说沪通铁路2期四团站是沪乍杭客运专线连接站，环评2次公示表示要开57对客运列车，可为何市局反馈说此站是货运站？难道铁路建成四团没有客运站吗？,,,
