标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
居民养狗随地大小便恶意扰民,待回复,治安 投诉,W***,2019-11-2916:38,西渡鸿宝二村425-2幢2**室养的狗在我308车库墙边、门口屡次大小便，本人试过耐心劝阻无效，城管、公安上门多次调解依然未解决，频率更高。严重引起邻里纠纷，望领导能给予帮助，彻底解决此事。提供的部分照片如下，谢谢,,,
小区垃圾泡沫,待回复,环保 咨询,w***,2019-11-2113:21,位于奉城镇头桥中路161弄3号楼和6号楼里弄里经常有个老人捡泡沫垃圾弄得小区泡沫垃圾成堆最近又安装了天然气管道还有电线在上面一但着火后果很严重,,,
南桥开心豆突然关门，谁来帮忙,待回复,教育 求助,W***,2019-10-2614:35,南桥开心豆有1000多孩子在上英语培训，生源很好，昨天上午还在招生。10月25日下午突然通知上海26家培训点都关门了。我刚报了2年208个课时，33800元。目前只上了12节。上个月韦博倒闭，我多次提出退款，但是都不给退。去教育局已经登记，让回去等。去派出所了，说不归他们管。请市长关注，维权很难，希望有关部门马上行动。,,,
小孩报的补习班倒闭，不知道上哪维权,待回复,教育 求助,W***,2019-10-2315:24,本人小孩于2019年3月报名位于上海市奉贤区南奉公路星雨城时代广场三楼“奥x新少儿英语”的少儿英语班。5月份开课至7月停课。期间有家长陆续退费，老板出面解释及安抚，平复了一部分家长心情。为躲避债务，“奥x新”的原老板及法人，于7月24日变更法人，期间所有的解释和安抚都是为了有时间让他变更法人，躲避债务，更是伙同销售骗哄家长，直至10月19日机构现有员工集体离职，机构已关门，联系不到老板和员工。公安报警备案，教育局、消费者协会，工商都已经去过。给出的回复都是不在他们所管理范围。现如今不知道要怎么办了！全部加起来有四五十个家长。一个学员学费16988元，我们这种情况真的就投诉无门了吗？,,,
举报违章搭建无门,待回复,城建 求助,弓***,2019-10-0310:35,  尊敬的区领导你们好.我是奉贤区一户贫困户，出生于四团镇长堰村七组.早年搬迁至丈母娘村里居住.位于奉贤区奉贤镇北宋村建国.如今我经过层层审批，欲将长堰老房子翻新（原房屋已成危房）.村领导把建房位置安排在原住房西面.因为早年一间房子拆除.土地已被国家流转.所以也只能配合上级领导的安排，而如今我翻建的新房子南面是2间快倒塌的茅屋.（此茅屋为长堰村722号张德龙所有）早年他在茅屋北侧又搭建了一间草屋.因为他两间茅屋是有证的，所以我跟村里领导反应过.我说让村里跟他协商一下，把那违章搭建的拆了行不行，村里领导这样回复我：人家违章要你管啥.听了很心寒.希望区领导能为我做主.尽快将违章搭建拆了.（照片中右边一间就是违章搭建的，没有宅基证的）,,,
本人因个人原因自离 企业没有给任何工资,待回复,就业 求助,尹***,2019-09-1718:15,本人 尹玉勇 2019年6月14日入职上海精英模具有限公司到8月17因个人原因回家 前后没有办理离职手续 ，之后公司按自离处理，处理结果就是没有一分钱 ，劳动法有这个规定吗,,,
上海造艺网络科技有限公司在用户不知情下恶意扣,待回复,金融 投诉,张***,2019-09-0117:19,你好，领导，我在8月31日注册了上海造艺网络科技有限公司旗下百事普惠，当时填写了基本信息后，莫名其妙，在不知情，没有任何提示要付款的情况下，银行卡被扣了299元，事后联系客服，不仅没有理睬，还推脱要求我去其它平台办理高利贷，办不下来才给退。实在没办法，只能来这求助，我希望能退款。,,,
投诉市场监管不作为包庇,待回复,政务 投诉,逆***,2019-08-0520:31,尊敬的书记您好，迫于无奈留言。本人于2019年7月3日购买到20袋上海市奉贤区xxx公司生产的大粒灰枣，后发现问题，在7月19日投诉举报到上海监管，希望查处，在今天也就是8月5日收到违法行为不成立，举报不立案的短信回复，非常气愤。购买该灰枣后，拆开包装发现里面灰枣比较小，数了一下又100多个，该产品执行标准GB\T5835，等级标准一级，配料灰枣，后朋友告知这个灰枣很撇，查询得知该标准一级灰枣规定颗数在每千克120-145颗为一级，我购买的500克装灰枣，100多个根本就没有等级，连三级都没有。该标准为国家强制标准，该厂家却用等级都算不了的灰枣，来冒充一级的灰枣来售卖，价格也是42.8元一包，这么高的价格，本以为买到的是不错的灰枣，结果不然。在仔细查询后，该产品不仅不符合该标准，拿以次充好的灰枣生产一级，并且根据该厂家提供的检测合格报告，证明了我买的灰枣不合格达不到一级，该报告一项数据，每一百克，颗粒度在小于等于18判断符合，但我买的拆开100多个，已经达到每百克20以上的颗粒度了。而且根据食品安全法71条，食品标签禁止标注虚假信息，该厂家生产标注，就该对这个标签信息负责，虚假标注质量等级一级，基于以上决定投诉举报该厂家，希望能够给与严惩，期间厂家联系我协商，希望协商处理，但拒绝了，上海该监管，也未经我的允许，就将本人的信息透露给了被投诉方严重的侵害了本人合法权益，并且该厂家联系中已经承认问题，表示希望协商。并且我根据监管要求提供了小票，以及实物照片，以及一个开袋的视频数出一包100多个。结果却是违法行为不成立？难道作为监管这么显而易见的一个违法食品看不到？我虽然知道地方主义保护，但是这么明目张胆吗？难道认为都是忽悠投诉就过去了吗？以次充好的灰枣不是违法行为难道是合法的吗？难道食品标签一级产品标准都是标着玩吗？根据这些行为，本人很怀疑该监管的一个公正公平性，希望能够相关部门给与调查,,,
小区停车难这问题,待回复,城建 建言,匿***,2019-07-1917:08,关于正阳二期停车难，现在条件好了，所以车也多了停车成了问题，有车位的每月150元，没车位的每月100元，现在看下来物业只管收到钱，车子随便你们怎么停，只要能进能出就OK了。每天进进出出的车子感觉在驾校的小路考。这是不是也是一种安全隐患。反正我家车子没啥事不开的，因为出去了进来又要找地方了，这也是件麻烦事。#业委会#,,,
