上海能良电子科技有限公司发票使用保管违规,待回复,企业 投诉,蜗***,2019-10-2208:52,本人于15.12.02在天猫能良数码官方旗舰店购买1台苹果5s手机赠与家人，家人只收到手机，并未收到发票；当时法律意识不强，现法律意识增强，现要求商家开具发票，多次与商家沟通拒绝我的合法诉求；请政府领导在百忙之中核实情况，要求不良企业给我开具发票，谢谢各位领导。本人于15.12.02在天猫能良数码官方旗舰店购买1台苹果5s手机赠与家人，家人只收到手机，并未收到发票，后续也未持续关注发票问题；近期偶然聊天提起手机，想到商家应该给买家开具发票，反复与家人核实确认未收到发票。19.10.19通过淘宝app与店铺客服沟通开具发票，客服以已开具并随货发出为由拒收开具发票；本人不认可商家答复，要求商家提供发票存根联和有寄送发票给我的相关证据，商家以时间太久，财务不能提供为由，再次拒绝本人开具发票的合法诉求，但商家表示可开具一张发票拍照发我作为他用。根据《中华人民共和国发票管理办法》（2010年12月20日修订）第四章第二十九条规定：开具发票的单位和个人应当按照税务机关的规定存放和保管发票，不的擅自损坏。已开具的发票存根联和发票登记簿应当保管5年。保管期满，报经税务机关检查后销毁。综上，该商家在日常经营过程中违法《发票管理办法》第四章第二十九条，请政府部门核实处理，并帮我要求商家开具发票。,,,
国庆上课,待回复,教育 投诉,g***,2019-10-0210:43,启文教育国庆七天天天上课望有人解决给小孩减负,,,
南蕰藻路夜间扰民该管一管了,待回复,城建 求助,恳***,2019-09-1316:45,领导好！长期以来南蕰藻路夜间一直扰民，居民夜不能寐，痛苦不堪，请求领导帮忙解决一下！        南蕰藻路近纪蕰路不足1公里长的路面，这里是居民居住区，原本马路不是很开阔，可一直以来一些运输公司全然不顾居民休息时间，什么水泥搅拌车，封闭式油罐车，还有渣土车.这些大型货车，他们全然不顾居民的休息时间，不管是夜深人静的时候，还是凌晨三四点钟这些车在路面上来回野蛮行驰，还不时按喇叭，这些车通过路面的声音撕心裂肺，我们多次打12345请求援助，都不了了之，为此，无奈之下，请求宝山区政府帮忙解决为盼！还居民一个宁静的夜晚！我们期待着！！,,,
物业私自划分违规停车位,待回复,城建 求助,o***,2019-09-1211:16,你好，我是上海市宝山区宝欣苑五村业主。自小区2019年6月开放地下车库租赁起，和物业签订相关条例并选定一处为租赁停车位。该车为比较特殊，后方有较大的通风机装置，故该停车位占地面积较大，类似于残疾人停车位，因家中有婴儿车需要上下移动，还有年迈的老人，故购车时就购买了较大的车辆，特选此车位方便老老小小，当初租赁该车位之前物业允诺该车位只停放一辆车，如今，该车位旁停放了一辆摩托车。而物业也否定了之前的允诺，这种做法让业主很是心寒。现如今，这个小小的方寸格子中被物业擅自黄色涂料写上了摩托车临时停车位，据了解按国家相关部门规定，机动车停车位是有规定尺寸的，作为独立停车位，该车位不符合规定，属于违规。按照交通法，摩托车属于机动车类，停车位也应按照机动车停车位面积计算。另，黄色部分涂写字体不属于开发商一次规划中，而是后期加上去的手写体，烦请相关部门明查，该摩托车车位属于违法违规。为保证业主的权利及利益，请妥善处理此事，特此上表，并请在近日给予电话回复。谢谢。‭,,,
无证养狗 群狗攻击路人 狗主态度蛮横,待回复,治安 咨询,W***,2019-08-1522:19,上海 宝山区  江杨南路1347号 全胜物流院子门口近挨人行道 院内养有6条土狗 毛发非常脏 人行走在人行道时  群狗冲出来要咬人  几分钟后门卫才出来 也没有喝退狗 像不关自己什么事一样 让他管好狗不要咬到人 回我一句咬到你了吗，不要没事找事！态度非常蛮横 群狗非常危险 没有证件不打预防针 非常危险 望领导重视,,,
违章建筑己然存在,待回复,城建 投诉,姜***,2019-08-0720:23,国权北路515号违章建筑，什么时候拆出，相关部门领导没有准确告知我们。,,,
每逢大雨居民小区污水倒灌无法使用厕所,待回复,城建 投诉,锦***,2019-07-1608:43,宝山区锦秋路699弄7区居民，长年来被小区排污所困，遇到下大雨暴雨后小区的污水井污水排不出去，物业公司也没有办法，说是小区内的污水管道已经还要好了，但是排污到红光河的水位上涨造成污水倒灌，不属于物业管理和维修的范围，造成小区居民好多天的不能使用马桶，务请宝山区领导关心此事，争取做到从根本上解决问题，谢谢！,,,
锦秋花园物业从上到下不作为,待回复,城建 建言,匿***,2019-07-0919:58,锦秋花园物业形同虚设，对小区安全维护不力，外来车辆在小区内快速横行，车辆乱停乱放，闲杂人等频繁出入，信箱乱投放黄色广告；对小区环境维护放任不管，建筑垃圾长期不清运，破坏绿化景观铺设水泥放垃圾桶，不科学划分垃圾点位导致垃圾时时堆满或乱丢；对业主维修需求敷衍了事，反馈物业也是互相推诿，诸多方面站在业主对立面，导致业主怨声载道。#业委会#,,,
锦秋物业不作为！,待回复,政务 建言,匿***,2019-07-0918:07,我是上海市宝山区锦秋路锦秋花园的业主，锦秋花园时上海北部一个大型住宅区，区内住户约5000户。十年来物业管理每况逾下：占绿毁绿行为肆无忌惮、垃圾遍地、僵尸车无数、用住宅做废品回收站或堆放废弃的建材，消防隐患突出，偷盗现象严重等等。种种不和谐的现象均因物业管理不作为，常年投诉收效甚微。请领导在百忙之中关心下，谢谢！#业委会#,,,
私自收费,待回复,教育 投诉,微***,2019-07-0118:34,建峰高中，高三学期结束，本应退回剩余的学杂费等，然高三二班班主任私自征收，使用高三一，高三二班费用，且并未告知学生或家长，约上千元,,,
假借垃圾分类，居委会、业委会乱作为,待回复,城建 投诉,C***,2019-06-2417:16,虎林路800弄富浩花园共计1000户，原先三四栋楼间安置垃圾桶，由于垃圾分类开始，许多垃圾桶陆续撤除，设立三个定点处理垃圾分类，按照市容相关规定每500户需要建造一个垃圾厢房。在没有征询任何居民意见的情况下，小区居委会、业委会自私建造3个垃圾厢房，其中2个垃圾厢房建造地并不影响楼道居民。第三个垃圾厢房却在离79号居民楼不到5米的位置建造，（此垃圾厢房离其中1个垃圾厢房不到500米）严重影响居民正常生活。希望这种“一言堂”的事情彻底能杜绝，让居民有知情权、自主权，还居民一个良好的自治活环境。,,,
菜场门口凌晨送货车噪音扰民,待回复,城建 求助,魏***,2019-06-2109:41,你好，尊敬的宝山区区政府领导:  我是宝山区月浦镇月浦二村的居民。我们楼处于小区的第一排，朝南卧室的对面就是个菜场，小区大门与菜场的路面仅双车道的距离，该通道名为月浦二三村通道。每天凌晨，24点~2点有3-4辆货运车开到菜场门口卸货，这些车的发动机声音在晚上格外的响亮，家里有老人和孩子多次被这样的噪音吵醒。该货车在卸货的时候从不熄火，导致每天我们都遭受着凌晨的噪音。  有几次我们拨打了110和月浦当地派出所，虽然每次民警来到现场加以阻止和及时反馈，但是依旧无法解决根本问题，不出一周，货车司机继续着不熄火的操作。  另外，在该通道上（月浦二三村）靠近北安路这段，良友便利超市旁边有家布店，这家布店把门面前的3-4平方上午租给了小摊小贩（卖生活用品），一大早(5点半-9点)就叫卖吸引老年人，头戴耳麦扩音器影响居民正常休息（无营业执照），而下午傍晚（4点-7点）一对夫妻专做油炸食品(香酥鸡，里脊肉，排条)，刺鼻的味道和油烟直冲楼上的居民卧室，整个房间都是油腻味道（无营业执照）。 月浦二三村通道每天早晨有城管部门（3女3男）站在该路面上监督非机动车和机动车的乱停乱放，但是一年多下来无明显的效果。  该通道(月浦二三村)上，靠近北安路段，实在高包子店门口双休日有乞丐乞讨，这并无问题，但是开着音响放歌就影响我们双休日休息了，曾经打电话给过月浦城管，也只是象征性的过来询问一下状况。  以上问题希望区政府，我们的父母官，各单位，各部门能帮我们出以方案解决，给我们百姓一个安静的生活环境，在此本人表示由衷的感谢。  此致！  敬礼！                                                                     月浦二村居民                                                                 2019-06-21凌晨,,,
宝山区顾村镇刘行外口办权利乱用,待回复,政务 投诉,淘***,2019-05-2512:27,领导您好，我在刘行办理居住证，资料全部齐全，都外口办办理时，工作人员带着手机耳机，爱理不理回答说，缺表回去拿，我问一下还缺其他资料么，就不回答了，我说你就不能解释清楚么？然后就和旁边人用上海话说不给他办。第二天我去的时候系统里是有我资料的，他把表格拿过去十几分钟回来说没有我资料了，不给我办了，刚刚我还看到系统里有资料，就这十几分钟给删掉了，明明资料齐全，他们就权利乱用，这个部门的职能是什么？是为老板姓解决问题的还是制造问题的，这个部门设置的意义何在？投诉电话是假的根本打不通,,,
上海户籍孩子回沪升初中问题,待回复,教育 求助,文***,2019-05-0712:34,尊敬范区长：我和小孩户口都在宝山区，因工作需要孩子随我在贵阳就读贵州省重点小学。因就读地是苏教版小学6年，中学3年，现回上海就读就是六年级升七年级，不知该如何办理手续？焦虑中的市民，恳请领导帮忙指导，万分感谢！,,,
租客养鸟严重扰民,待回复,环保 投诉,一***,2018-08-2706:53,水产西路489弄（大黄馨园)34号102室租客搬来一年多点，养的鸟从早上5点左右开始啸叫，叫到下午，吵的周围居民苦不堪言，居委会社区民警110城管都上门几次了，这家租客依旧我行我素，本来想等租期到了让房东赶走房客，谁知到期了房客不肯搬，这可又苦了周围邻居了，望上面领导派人下来了解下情况，还居民一个安静的生活环境，万分感谢！,,,
希望有一个正常生活环境,待回复,环保 投诉,博***,2018-08-2407:26,长江西路通河二村82号101室在天井中，违法搭建二层楼，无证养鸽，严重扰民，恶臭无比，半夜鸽叫1，不附合信鸽管理条例。2不附合城市卫生管理条例。3不附合物业法。12345投诉一年多了，无果，居委会说管不了，物业说也管不了，严重影响周围环境和居民正常生活，法律何在，天理何在？,,,
严重扰民 日夜无法休息,待回复,治安 求助,娇***,2018-07-1310:13,宝山区红林路和家新苑B区小区 10号楼楼下早晨5点开始遛狗，吵声惊人 每天无法休息，之前是凌晨5:00那块空地上播放音乐 现在音乐调轻了 狗叫的吵声相当大，小区内没有车棚，楼下电瓶车随便乱停，电瓶车上的报警器日日夜夜响声不停，凌晨四点也是被惊醒。,,,
拆违章建筑，难拆处,待回复,城建 投诉,艾***,2018-07-0716:34,共康七村131号违章天搭建在202室阳台上，难拆处，忘范区长来看看，不要光打口号，不拆处经常有人爬到二楼来，一楼恶霸破坏绿华自建道路,,,
企业拖欠劳务公司劳务费用不付,待回复,企业 求助,花***,2018-06-2815:04,范区长您好：我是一家人力资源公司，本公司和宝山区经玮置业集团下属上海跨境通国际贸易有限公司相关劳务派遣合作，自经玮集团收购上海跨境通国际贸易有限公司以后，就不能按时支付劳务公司相关员工劳务费用，每个月现在都有劳务公司再垫付，现在已经拖欠半年以上了，希望有关领导和部门给予查证。谢谢,,,
宝山区陆翔路潘广路广场舞扰民无处申诉,待回复,环保 求助,潘***,2018-04-2407:55,"尊敬的领导你好，我只是一个住在潘广路陆翔路附近的居民。每天晚上7点至九点半甚至十点只要不下雨，北城天街广场上有一批放着高分呗音响跳交谊舞的连跳2个半小时！或3个小时！那音乐分贝起码80分贝以上或100。严重影响居民的生活！这个时段实际对于上班族是休息的时间,对于孩子是学习的时间！多次反映12345没有任何的解决，说是劝阻一下，但音乐声音照样那么响！没有根本解决问题！也打过多次110，110一开始是劝阻，后来打的多了来了个警察说九点前放多大音乐都可以。支持了广场舞的扰民现象！后来打110，宝山区的110也就不出警了！现在的问题变本加励的存在！音乐因为110那个警察的话越发的响亮了！ 我恳请你们领导帮忙解决一下广场舞的扰民情况。劝阻对于那帮不讲道理的跳舞的根本没用！人一走音乐放的更响，说110都不管，那天下楼和跳舞的交涉，差点被群殴！根本不讲道理！对于这每天3个小时的扰民跪求领导给个解决的方法！补充一点，住所离广场直线距离也就100米不到，实在忍受不了！关了窗户还都是音乐声！",,,
菁英地产无故辞退员工 黑心老板,待回复,其他 投诉,2***,2018-04-0517:41,您好：范区长！菁英地产营业六区副总殷世鸿于2018年3月28日发通告辞退本人，不发放本人的业绩提成，并将本人踢出工作微信群；人事经理蒋华于2018年3月29日也将本人踢出微信工作群。本人上访至宝山区罗店镇劳动人事争议预防调解委员会，于2018年4月4得到调解员回复，菁英地产人事经理蒋华说除了本人三月份工资，2017年8月20至2018年1月8日提成已全部发放，事实是本人还有9万多业绩提成未拿到，望范区长给本人做主。人事经理蒋华电话：13817810326，罗店调解员电话56863887,,,
共富一村小区私装地锁严重,待回复,城建 投诉,萌***,2018-01-1410:52,共富一村小区私装地锁严重。共富路183弄共富一村小区私装地锁情况严重，许多业主在公共区域上私装地锁，将小区公共区域作为自己的固定车位，严重侵害了其他业主的权益。请城管、公安执法部门联合执法，强制拆除地锁。,,,
年前回家不租房子了房东要扣百分之四十押金,待回复,其他 求助,匿***,2017-12-3013:24,我们在这里住快三年了。刚搬进来签合同的时候就问房东，假如我们合同期内要走不会扣我们钱吧，他说只要提前一个月跟他说就可以了。这样我们就签了合同。一直到今年我们都准备年前回家了。不租公寓了，提前两个月跟房东说了。他却说要扣我们百分之四十的押金费。说我们走了这个房子短时间租不出去，他就会亏钱。前不久他给我们又签了合同。现在他也以此为由说我们没有住满合同期。走的话要扣我们押金。我觉得不公平的就是搬进来都说的好好的要走提前一个月跟他说就可以了。现在他却反悔要扣押金。现在想想以前房租到期了都没见他要来签合同，几个月前却突然来签合同。又被算计了，本来上海房租加上水电费就贵，打工都不容易。现在还要扣我们百分之四十押金费用。希望区长大人评评理。,,,
盘古路废品站死灰复燃，应一抓到底，不松懈，,待回复,城建 投诉,匿***,2017-11-0914:26,位于盘古路，近同济路西100米，去年拆违整顿后的废品站，现在又营业了，不会是一时紧，时时松吧！,,,
宝山盘古路违法废品站又“死灰复燃”了,待回复,治安 投诉,Z***,2017-11-0412:15,"位于盘古路(近同济路西100米)的一个废品站,去年已经拆除的违法建筑，未料今年又重新在被拆的空地上搭建起来。现在又在进行废品回收,存在一定的安全隐患.在大上海怎么能让一个依法撤除的废品站“死灰复燃”呢",,,
隔壁邻居开麻将店有什么部门管,待回复,其他 求助,匿***,2017-09-1614:38,宝山区盛桥3村102号102室开麻将店，进出人员多，声音吵，烟味重。希望有关部门管一下。,,,
淞南九村小区内违章占道摆摊经营整治不充分,待回复,城建 投诉,大***,2017-07-0910:16,尊敬的领导：       您好！       我是江苏人五年前嫁到上海居住在淞南九村，后来发现淞南九村、八村、七村内环境可以说是脏乱差占道经营的摊贩特别多，整体环境非常不好。我老家的老小区也不会有在小区内摆摊卖鸡卖鱼之类的情况，所以落差特别大。幸好这一年政府开始整顿，环境大大改善，但是淞南九村内139号附近目前仍有收垃圾的占道经营，影响风貌，阻碍交通。更大的隐患是如果这个收垃圾的摊子不处理掉，其他小摊小贩会不会死灰复燃，过段时间再进小区摆摊作业？？希望政府的整顿工作能坚决有效彻底的执行，不然的话很有可能前功尽弃。       盼领导百忙之中拔冗回复，谢谢！,,,
罗店罗南一村违建为什么不拆,待回复,城建 投诉,无***,2017-06-2310:49,区长好，想问下，南东路上的罗南一村多处存在违建，为什么一直没人拆除？谢谢,,,
无证棋牌室聚众赌博严重扰民,待回复,其他 投诉,无***,2017-06-1416:05,区长您好！我举报的棋牌室赌博场所位于宝山区新村路789弄48号102室，该房屋属于居民住宅，但户主非法开设棋牌室，内设多台麻将机，该棋牌室违法聚众赌博，通常营业至凌晨2~3点，麻将声、吵闹声、桌椅拖动声等极其嘈杂，严重扰民，近期又是孩子期末考试的时候，噪音实在无法安心学习和睡觉。该棋牌室营业时间长，参与赌博人员素质参差不齐，导致楼梯道内常年烟雾缭绕，严重影响居民楼卫生与安全。周边居民曾多次联系物业、社区居委会及110，均沟通无果，在当前上海市政府强调加强社会治理和城市管理的背景下，且物业、执法部门均无法对其进行有效管理及取缔。恳请区长大人关注并解决，谢谢！,,,
国富光启拒付农民工工资,待回复,政务 求助,1***,2017-06-0309:48,领导您好，我们是宝山区云天路248号国富光启外墙陶砖安装工人，从4月25号开始，我们前后共计19个工人做到5月30号时，施工进度己超过一半，但是由于公司领导之间的问题，要求我们停工走人，剩余大约7万元工资拒不支付，也并没有作出明确答复，工人的情绪也非常失落,,,
锦秋花园物业不作为,待回复,治安 投诉,d***,2017-06-0207:47,我是上海市宝山区锦秋路锦秋花园的业主，锦秋花园时上海北部一个大型住宅区，区内住户约5000户。十年来物业管理每况逾下：占绿毁绿行为肆无忌惮、垃圾遍地、僵尸车无数、用住宅做废品回收站或堆放废弃的建材，消防隐患突出，偷盗现象严重等等。种种不和谐的现象均因物业管理不作为，常年投诉收效甚微。请范区长在百忙之中关心下，谢谢！,,,
顶楼房屋隔热,待回复,环保 求助,匿***,2017-05-3115:41,住在宝山大华南华苑10几年了，环境等各方面都非常好，发展也非常好。这些都离不开各界领导的努力。首先表示感谢。最近小区刚刚完成天然气管道的改造，以及电表的改造。不知道什么时候，会为我们小区居民进行屋顶隔热的各类措施。由于住在顶楼，夏天阳光暴晒，晚上房间里开很久的空调才能降温。费电，也不环保。据住在别的小区的朋友说，她们小区10几年前就加过隔热的措施，所以晚上不会那么热。不知道区领导什么时候也能将这项惠民工程也为我们落实一下。万分感谢。,,,
人行道被私装地锁停车,待回复,交通 求助,匿***,2017-05-2614:39,宝山区顾村镇顾北路（近顾荻路）511号～519号仅仅三十米人行道上被私装12个地锁用于社会车辆停放，严重影响行人通行，晚上车辆离开后地锁容易绊脚行人，而且早上7点半和下午三点半是帕堤欧幼儿园上下学高峰，行人因为地锁停车都只能在非机动车道上绕行，往有关部门尽快解决，还老百姓正真的人行道！,,,
长江南路经常通宵修路，扰民严重，望尽快解决\',待回复,其他 投诉,匿***,2017-05-2607:58,领导们，你们好，长江南路180号这边经常晚上修路修通宵，我知道现在上班不容易，但是也不能通宵修路啊，声音超级大，我们已经很久没睡过好觉了，希望领导们能尽快解决下，我也是没有办法，谢谢了！,,,
干扰居民睡眠,待回复,治安 求助,匿***,2017-05-0213:34,本人在大场镇南大路190弄，靠近马路边上，每天楼下192号，夜生活太丰富了，换换麻将，打游戏，吵我无法睡觉，我多次反应情况，没有人理，难到有关系户吗？不行我就告到市里去，换换麻将是违法行为，就没有人管，,,,
拆违？,待回复,城建 投诉,匿***,2017-04-1817:29,张庙街道的拆违工作进展到现在为止，一楼居民天井的后门基本都已经封闭了，可是让人难以理解的是:为何二楼的后门就不用封？,,,
您好，我要投诉夜间偷排废气扰民,待回复,环保 投诉,匿***,2017-04-1807:13,我是宝山区罗店镇兰湖美域居民，最近几天夜里总能闻到一股化学品的味道，可能是某些工厂偷排有害有毒气体。此行为严重影响周边居民的生活，希望环保部门可以帮我们解决此问题，万分感谢！,,,
