标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
投诉,待回复,政务 投诉,W***,2019-11-2613:50,事实证明：2019年11月25号上午8点半，本人石路村村民去石路村村委会找负责人吴**咨询关于公共竹林搭建化粪池的事情，负责人吴**一听是这个事情马上就说这个事情她不管，我问那你管什么，她回答不知道，不清楚，我不管这些事情，当时态度蛮狠，作为村委会负责人对于村民的来访没有热情接待不说，根本没有履行作为村干部的职责，说话态度恶劣，做事推诿扯皮。最后本人拨打110报警电话，有出警记录说明双方有言语冲突。本人认为吴**为村民办事不公欺善怕恶没有公平公正履行她的义务和职责，与党的价值观背道而行。望有关部门深入调查给村民一个说法。1.要求吴**当面给村民道歉2.要求吴**以书面形式公开做出道歉，字数不少于500字，并在村委会公告栏张贴一个月3.要求吴**履行自己的义务，解决村民的问题,,,
行政许可撤销申请,已办理,企业 求助,泽***,2019-10-2513:30,尊敬的李区长，今年10月15日我按约去湖南省新化县枫林市场监督管理所领取个体工商户营业执照，工作人员说：“我的名字进了全国黑名单，办不了执照。” 我觉得非常诧异，要他查看具体情况，他在系统里查出我的身份信息以法人代表身份在上海廷廷货物运输有限公司（已吊销）被注册了，并查到该公司还有一个叫刘x保的股东。经与上海市崇明区东平镇市场监督管理所(简称东平所)和湖南娄底市公安局取得联系确认后，得知该公司是被别人非法冒用我遗失的身份证（2012.04.09-2032.04.09)在东平所登记注册的，应东平所要求我于10月23日从新化县赶到东平所提交了相关证明材料并做了笔录，对比注册公司时的签名和本人贯用签名能明显看出该公司是冒名注册的，但东平所同志说他们走程序，注销行政许可的时间要4到5个月，但时间和经济我耗不起啊! 原因如下：1. 枫林所那边不能按时取得营业执照，我将会面临无证经营和被罚款的现状。2. 家中70多岁的母亲已身患肺癌晚期在治疗，本来我最近去申请了的农村低息贷款来经营小店，因我是黑名单而被否定。监于以上事实和现状，我深切地肯求李区长责令相关部门简化缩短该行政许可的撤销程序，早日把我解救出来，在此深表感谢！        ,上海市崇明区委网信办,尊敬的李区长，今年10月15日我按约去湖南省新化县枫林市场监督管理所领取个体工商户营业执照，工作人员说：“我的名字进了全国黑名单，办不了执照。” 我觉得非常诧异，要他查看具体情况，他在系统里查出我的身份信息以法人代表身份在上海廷廷货物运输有限公司（已吊销）被注册了，并查到该公司还有一个叫刘x保的股东。经与上海市崇明区东平镇市场监督管理所(简称东平所)和湖南娄底市公安局取得联系确认后，得知该公司是被别人非法冒用我遗失的身份证（2012.04.09-2032.04.09)在东平所登记注册的，应东平所要求我于10月23日从新化县赶到东平所提交了相关证明材料并做了笔录，对比注册公司时的签名和本人贯用签名能明显看出该公司是冒名注册的，但东平所同志说他们走程序，注销行政许可的时间要4到5个月，但时间和经济我耗不起啊! 原因如下：1. 枫林所那边不能按时取得营业执照，我将会面临无证经营和被罚款的现状。2. 家中70多岁的母亲已身患肺癌晚期在治疗，本来我最近去申请了的农村低息贷款来经营小店，因我是黑名单而被否定。监于以上事实和现状，我深切地肯求李区长责令相关部门简化缩短该行政许可的撤销程序，早日把我解救出来，在此深表感谢！        ,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		崇明区 >
    
	崇明区区长李政（代）
"
关于供销社下属单位情况反映,待回复,企业 求助,Y***,2019-08-2107:26,崇明区领导，很冒昧的给你们发了这份邮件，今天我要反映的是崇明区肉食品公司的以下几个问题：1.工资，大家都知道现上海市的最低工资上海2480元也就是五金扣下来的最低标准，那就是所谓基层员工最低标准也不能低于2480元，但崇明肉类食品基层员工的每月工资您知道是多少么？一个月不休息把所有的补贴加上才能达到最低工资标准线，公司给的福利里面有车费补贴和夜班补贴，夜班补贴却为几块钱；2.年终福利及其他待遇，国企很多人都知道待遇好，那崇明肉食品公司的待遇是把年终奖金都分摊到每个月的工资所谓的公积金缴纳部分，随着国家政策的变化，正规企业不都是积极响应国家政策，公积金不都是缴纳员工缴纳的么。另一种解释就是说年终奖提早分摊到基层员工的工资里面，请核实分摊后基层员工每月所拿的工资，显而易见如果不是年终奖提早分摊根本就达不到上海市标准。可是到最后基层员工年底发的奖金连他们每月拿的最低工资标准都没有，他们的钱都去哪了？所谓的分摊也只是忽悠基层员工，而行政大楼的的员工呢，日常工资拿的多了，年终奖的基数没受任何影响？肉食品公司的福利待遇年假和旅游只是行政大楼这帮裙带关系的人享受的福利，基层员工从未享受肉食品公司企业，肉食品公司的领导也未曾考虑到基层员工享受过此类福利；3.关于员工录用，已经离开肉食品公司几年的员工，就因为区供销社里面有亲戚关系，兜兜转转几年以后就空降回来，这对企业的员工发展及企业形象造成了很大的影响，更严重的是行政大楼里面的人都是要么区供销社领导这个亲戚，这个子女都安排在这里，内派人员能力也是值得让我们深思的，况且上班都是来混日子早上9点来，吃个中饭就下班，这些员工对企业都有多少贡献了，而他们的年终待遇确是基层员工的10-20倍，领导对于这些员工的考核标准又是以什么为定义，而我们基层员工辛勤的付出又得到了什么；员工是企业的重要财富，与企业发展是息息相关的，而不是去压榨员工辛苦付出得到的回报，企业再发展上海市国家标准工资也再调整，按这样的趋势应该说员工的工资只会越来越多，福利越来越好，可是崇明区肉食品的基层员工得到了什么？希望区领导针对本人反映情况仔细核实。,,,
关于中兴镇政府包庇违建户,待回复,城建 求助,c***,2019-03-2812:34,李区长：您好!上次给你留言至今差不多有两个月了，你没有回信，是什么原因？是关于中兴镇红星村红北323号沈兴元家的违建，你有亲自查过土管所负责人陆华那里的房屋报告吗？还有我们崇明对于农村建房的规定，希望你能公开公平公正处理，我国有法律，每个公民在法律面前，人人平等的等您的回应。如果你们还是不秉公办事的话我向市里反应，谢谢了!,,,
请问，2019年崇明区农业补贴政策会有变化嘛,待回复,三农 咨询,等***,2019-03-1115:56,领导，你好，最近听说2019年崇明区农业补贴政策会发生变化，请问有这么一回事吗？,,,
小城镇,待回复,三农 咨询,炎***,2019-01-2511:17,为何因为植树面积而定下一位老人是否享受小城镇待遇,,,
包庇违建,待回复,城建 求助,c***,2019-01-1715:36,尊敬的李书记:您好！感谢你在百忙之中抽出时间来关注此事，对于您回信上说，经查后，违建户房地占地面积为105平方米，产权证上只有60平方米，那应该是超出45平方米，怎么就变成超出21平方米了呢？那另外的24平方米是从哪里来的呢？你们是否用专业的人去查的？到底这24平方米来的合法合规吗？李书记，现在我明确的告诉您真相，是村土管员王志关利用职权，擅自更改规定，移花接木，想浑水摸鱼，蒙蔽老百姓。李书记，王志关把针对建两层楼房的条件的规定，移到老房子翻建里了，以为所有的老百姓都不懂政策，想浑水摸鱼。李书记，您可以亲自查阅二00七年十二月六日发布的，崇明区农村村民住房建设管理若干规定的第三十条和三十一条，写的清清楚楚。村民户如果以两层为主的，楼房总高度不得超过10米，底层层高不得超过3米。副业棚舍为一层，层高不超过2.6米，面积不超过主房面积的40%，间距标准按，《上海市农村村民住房建设管理办法》第三十一条执行。第三十一条，房屋的加层，应经本市专业机构鉴定确认安全的前提下实施。不符合间距标准的住宅，不得加层。首先它是平方，老房子翻建，人人都知道有三个不变的规定，不能超高，不能移位，不能超面积。所以在此违建中，它只能老房子翻建按原样盖，同村应该一视同仁，它怎么能变成楼房呢？怎么可以享受两层楼辅助房待遇呢？准确的说，从一开始造时，面积就超了45平方米，产权只有60平方米，以前只有两间砖瓦结构的平房，现在变成三间了，离谱的很，派来的巡逻员都是瞎眼的吗？是王志关一手经办的，作为一个党员干部，应该好好反思，知法犯法，胆大妄为，私自张冠李戴国家的规定，目无王法，藐视法律的威严，有损于中国共产党的党性，法律观念意识淡薄，希望上级领导彻底查处。我的诉求是，村镇都有包庇现象，一，楼下超面积是45平方米，不是21平方米。二，政府准备分类处理，总有个日期吧！从2017年4月至今2019年1月，这些干部处事效率太低了。李书记，我相信崇明区的最高领导人，肯定能分辨是非黑白，希望在中央的政策方针下，各领导管好下面的干部，引以为戒，真正做到在法律面前人人平等，希望您能公平公正。倘若官官相护，我会向市领导提供一切证据,,,
关于向化镇卫星村违建问题,待回复,城建 投诉,d***,2018-11-0522:01,向化镇卫星村125号新建房的地基及第一层房屋是在2017年7、8月开始的，因为未按规定流程进行申报审批，无施工许可证，属于违章建筑，镇相关工作人员已经叫停建筑。但2018年10月又开始施工建筑加盖第二层，多次去村委、城管反映并未得到解决。1.根据《上海市农村村民住房建设管理办法》，农村村民改建、扩建或者翻建住房的，必须实行“三公开一评议”(即建房用地指标公开、建房用地标准和建房对象公开、建房用地位置公开、群众评议)，“双定桩”(即宅基地使用范围定桩、住房建筑占地面积定桩)，而该户违反了相关规定。 2.该户的《农村个人建房用地批复》是2007年的，可是批复哪来的？根据《崇明县农村村民住房建设管理若干规定》，村委会公布期限不少于30日，然而村委会都没有张榜公示！且过去数十年了，该户的人口结构等都已发生变化，用地人数变少，难道村委会不需要重新审核批复的资格吗？ 3.该户没有施工许可证，只是向村委交了押金。交押金可以当施工许可证吗？这完全是不按规范流程办事，所谓建房的“一书两证”都没有齐全，村委会怎么说是手续都齐全了呢？我们向村委会和向化镇城管反映过情况了，但他们相互推卸，给予的答复也多是含糊不清。 4.该户的用地批复是极其不合理的，批复造房的地方极其不合适，把两层楼加房顶的房子建在其他村民的小屋前面，新造房还穿过电力高压线，影响邻里通风采光，妨碍电力高压走廊。且违反2018年3月1日施行的《崇明区农村村民住房建设管理规定（试行）》，朝向为南北向或者朝南偏东（西）向的房屋的间距，为南侧建筑高度的1.4倍。 5.农村宅基地规定是一户一宅，对于多出的宅基地或者面积面临收回。而该户已拥有一幢三层主楼，一个平房，现在又在建一幢二层房屋，违反了《中华人民共和国城乡规划法》和《上海市农村村民住房建设管理办法》的相关规定。 正逢崇明区人民政府在创建全国文明城区，上海市正在进行“五围四必”重点工作，每个乡镇都在大力拆除违法违章建筑，希望村建所（房屋违法认定）和拆违办（房屋拆违处置）能认真核实具体情况，及时处理。 ,,,
关于崇明区中兴镇红星村红北3队违建,已办理,城建 投诉,c***,2018-05-3117:00,"李区长：您好！是323号沈兴元家的违建，从去年2017年9月4日开始举报，包括12345,12319热线，电话已经是不计其数了，包括资料有给过巡视组，至今没有得到妥善的解决，所以才给您写信的，希望国家政策对每家每户一视同仁，能真正公平公正公开。该房屋的权证人为红星村村民刘康郎（已故），有权证房60平方米，其妻子（刘正芳）尚在，是沈兴元的岳母。是两间砖瓦结构的平房，前两年已经享受过国家危房补贴款，现在的性质是老房子翻建，农村老房子翻建是有规定的，只能是平房，而且有三个不变，{不准移位，不准扩大面积，不准超过原来的高度}。然而目前新建的房屋占地105平方米，一层已经超出了其权证房的合法面积，然而村里还另外批给他家辅房24平方，这个辅房的政策是针对建楼房的人家，才有这个条件，可以查一下2007年12月6日崇明区农村村民住房建设管理若干规定115条文中的第三十条，然而现在辅房变成了主房，辅房的高度都有要求的，不准超过2.6米，目前实际上，政策的三个不变，他家一个都没有合格，这户人家非常的野蛮，在城管执法中，吐吐沫，躺在执法车底下，阻碍城管工作，还带十几个人到举报人家里敲窗子，利用村霸来威吓，非常的嚣张，在2017年年底违建户对村里口头承诺，说不要城管来拆，自己拆，结果年初六又动工了，非但没拆，又加二层了，无法无天的，中兴镇人民政府是知晓的，但表态只拆二层，还在拖，对于这个是很不满意的，那大家都不要按政策来执行了，所以才会乱套，他家可以造，为什么别人就不可以造呢？希望违建拆除的程序不是忽悠老百姓，真正的及时处理好！",崇明区新闻办,"李区长：您好！是323号沈兴元家的违建，从去年2017年9月4日开始举报，包括12345,12319热线，电话已经是不计其数了，包括资料有给过巡视组，至今没有得到妥善的解决，所以才给您写信的，希望国家政策对每家每户一视同仁，能真正公平公正公开。该房屋的权证人为红星村村民刘康郎（已故），有权证房60平方米，其妻子（刘正芳）尚在，是沈兴元的岳母。是两间砖瓦结构的平房，前两年已经享受过国家危房补贴款，现在的性质是老房子翻建，农村老房子翻建是有规定的，只能是平房，而且有三个不变，{不准移位，不准扩大面积，不准超过原来的高度}。然而目前新建的房屋占地105平方米，一层已经超出了其权证房的合法面积，然而村里还另外批给他家辅房24平方，这个辅房的政策是针对建楼房的人家，才有这个条件，可以查一下2007年12月6日崇明区农村村民住房建设管理若干规定115条文中的第三十条，然而现在辅房变成了主房，辅房的高度都有要求的，不准超过2.6米，目前实际上，政策的三个不变，他家一个都没有合格，这户人家非常的野蛮，在城管执法中，吐吐沫，躺在执法车底下，阻碍城管工作，还带十几个人到举报人家里敲窗子，利用村霸来威吓，非常的嚣张，在2017年年底违建户对村里口头承诺，说不要城管来拆，自己拆，结果年初六又动工了，非但没拆，又加二层了，无法无天的，中兴镇人民政府是知晓的，但表态只拆二层，还在拖，对于这个是很不满意的，那大家都不要按政策来执行了，所以才会乱套，他家可以造，为什么别人就不可以造呢？希望违建拆除的程序不是忽悠老百姓，真正的及时处理好！","
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		崇明区 >
    
	崇明区区长李政（代）
"
