标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
城建问题反映,待回复,城建 投诉,W***,2019-11-2613:41,上海市崇明区新河镇石路村931号门口本来是公共竹林绿化带，现在被私自搭建了2个粪化池，对周围环境造成不可逆的影响。要求尽快拆除。,,,
寻找藏红花源头收购商,待回复,三农 求助,秋***,2019-11-1110:43,  唐书记您好我是安徽北部太和县的一位农民，我们镇有很多农户靠种藏红花走上了致富之路，我是从去年开始种的，就我们镇范围内至少也有几百亩种植。所产的花丝品质也很好。每年都是二道小商贩来收购的，价格压得很低 ，农民没明知道卖的很亏，但是也没办法。我们就像井底之蛙，也联系不上源头药商，没有销售渠道。我从网上查到，说藏红花是名贵中药材，上海市崇明区是藏红花国内种植最早的地方。所以我代表种植户向唐书记求助，看看有什么办法能让我们这边的花丝也卖个公道价，我代表广大种植户感谢书记啦谢谢唐书记,,,
强问乡村振兴是否优先发展农业,待回复,三农 求助,W***,2019-10-2015:10,                  尊敬的唐书记你好，我是崇明区庙镇永乐村的村民，也是上海市卓睿西红花合作社的法人代表。    我在发展西红花特色产业上面遇到了困难，我们永乐村作为第二批乡村振兴示范村现在正在建设中，而我们村也是依托特色产业西红花申报的示范村，作为村里面三家合作社之一，也是种植面积最多的合作社。随着我自己西红花种球的繁殖，家里的房子放不下，为了这份产业无奈之下搭建了彩钢房，但彩钢房属于违章建筑，多次遭到周边农户举报，我们也很无奈，一直寻求村、镇两级寻求帮助，希望能审批大棚或者房子。恰好今年乡村振兴，年初村镇两级多次召开座谈会，约谈合作社和农户，让我们说出困难，我把现在的问题说出。相关领导在会上表示会趁乡村振兴建设为农户整合土地、盖大棚，让我们发展农业无后顾之忧，今年八月相关领导也告知会打造我家西红花合作社，会有设计公司过来帮忙建设，明日复明日，直到十月份，我们一直没有等到，然后去镇上问，领导给的答复是资金有限，不帮我们弄了，只弄一家合作社，还说我们嘴上说的不帮你弄又怎样。这些话让我瞬间难过至极，难道政府领导对老百姓就是说说而已，我们把你当做一言九鼎，你却把我们当做污老百姓。在问相关领导能不能帮我们申请，领导直截了当说就是没有资金，就只弄一家，你连申请都不申请的态度让我心寒。我再问为什么选择那一家而不选择当下如此困难的我们，他只说那是领导决定的，他靠西边。领导的话语让我觉得什么叫恶语伤人六月寒。    乡村振兴本来就是振兴产业，我村产业就是西红花，你不扶持西红花建设，你资金都到哪了？上级款项难道就是为了让你拿来造围墙，重建村委么。约谈我们难道只是形式主义？农户无条件支持村委建基地，把西红花搬到基地，然而政府却无情的把我们抛弃，无奈之下只能肯定唐书记能还我们公道，给我们公平，助我们发展。西红花是我们赖以生存的产业，它不能作为申请的靶子后抛弃。,,,
停车难问题被加剧,已办理,交通 投诉,匿***,2019-10-0913:36,尊敬的唐书记，上海市政府已将解决停车难问题列为重点解决的民生问题，而崇明区对此没有积极的行动，非但不设法增加车位，反而不断将原来路边免费的停车位变为收费车位，使停车难问题更加严重。区政府有不作为和以罚代管之嫌。在此我想问几个问题：1、道路属于公共资源，政府对路边车位随意收费有何法律法规依据？2、政府决策程序是怎样的？3、这种涉及到群众切身利益的事情，为何在决策之前不征求群众意见？4、所收取的费用用在了何处？有无公开？,上海市崇明区委网信办,尊敬的唐书记，上海市政府已将解决停车难问题列为重点解决的民生问题，而崇明区对此没有积极的行动，非但不设法增加车位，反而不断将原来路边免费的停车位变为收费车位，使停车难问题更加严重。区政府有不作为和以罚代管之嫌。在此我想问几个问题：1、道路属于公共资源，政府对路边车位随意收费有何法律法规依据？2、政府决策程序是怎样的？3、这种涉及到群众切身利益的事情，为何在决策之前不征求群众意见？4、所收取的费用用在了何处？有无公开？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		崇明区 >
    
	崇明区委书记唐海龙
"
按摩店里带色情服务,待回复,治安 投诉,来***,2019-08-2314:54,尊敬的领导您好，我就直接描述要举报的内容了。我在崇明区长兴岛居住在699弄。这边有条繁华的一街区有 大小足疗按摩店有好多家，小店我没遇到过，但是在一街区  ***养生馆 店里以洗脚的招牌拉拢进店客人进行色情服务，真的希望相关部门能查处理一下，还大家一片绿色。不要再来影响家庭的幸福，谢谢各位办事的领导,,,
崇明大道耕地征收补偿疑问,待回复,三农 咨询,崇***,2019-07-3115:06,唐书记您好！            崇明大道建设过程中，崇明区中兴镇七效村的部分耕地划入征收范围中，村民都积极配合征地工作，但在对农户的征地补偿过程中产生了一个疑问，国家对被征地农户的社保补贴在集体中以拍卖方式进行？是否有这样的条例？农户以前拿到了国家下发的农户土地的确权登记书是否可以得到相关补偿？还是补偿应归集体所有？碰巧网上看到有留言板，所以咨询一下政策，谢谢！,,,
工程机械款项至今未结,已办理,就业 求助,头***,2019-07-1017:23,尊敬的领导你好！我是一名挖机出租车主，我于2018年6月份左右开始在东风三村风伟三村和前进农场海燕新村进行污水改造施工于2019年1月份左右完工，工程款至今还有十余万未结，如今家里经济困难生活受到严重影响老板只是一拖再拖。说今年5月份结账到现在还是没消息。我一个农村来的农民势单力薄恳请领导给予帮助！感谢！！！,上海市崇明区委网信办,尊敬的领导你好！我是一名挖机出租车主，我于2018年6月份左右开始在东风三村风伟三村和前进农场海燕新村进行污水改造施工于2019年1月份左右完工，工程款至今还有十余万未结，如今家里经济困难生活受到严重影响老板只是一拖再拖。说今年5月份结账到现在还是没消息。我一个农村来的农民势单力薄恳请领导给予帮助！感谢！！！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		崇明区 >
    
	崇明区委书记唐海龙
"
美丽乡村,已办理,交通 投诉,W***,2019-06-1916:24,  我是竖新镇大东村马路12队208号，大东村是崇明第一批美丽乡村示范已通过，然我家旁乃是村里的支路，迟迟未动工。美丽乡村是市政府投资，并且有每家4万元的补贴，这条路至少涉及4家人家，投诉前任主管村书记茅永明，有侵吞该项费用的嫌疑。美丽乡村项目已结束，而路未动工，工程费跑哪去了？,上海市崇明区委网信办,  我是竖新镇大东村马路12队208号，大东村是崇明第一批美丽乡村示范已通过，然我家旁乃是村里的支路，迟迟未动工。美丽乡村是市政府投资，并且有每家4万元的补贴，这条路至少涉及4家人家，投诉前任主管村书记茅永明，有侵吞该项费用的嫌疑。美丽乡村项目已结束，而路未动工，工程费跑哪去了？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		崇明区 >
    
	崇明区委书记唐海龙
"
农村宅基地建房,待回复,城建 求助,h***,2019-03-0517:30,唐书记，您好：      关于农村宅基地建房事宜不得不麻烦您，2013年开始申请农村宅基地建房截至今日仍无解决。 满足农村宅基地条件，32岁，结婚约 6年，小孩虚岁6岁，分户约5年。通过各种渠道咨询、信访都无实质性解决，村里么答复要等政府部分审批。现在本人一家3口，加兄长 3口人一起挤在父母与祖辈一起建的 100方楼房（1990年建），年代久，部分墙面漏水，人均面积极低，比城市人均面积低。希望书记早日处理解决。,,,
