投诉书，要求英孚退款,待回复,教育 投诉,湛***,2019-11-2221:26,"区长您好，我是一名外地的打工仔，18年7月份的时候想提升一下自己就在圣爱大厦9楼英孚办理了学习课程。1，办理的时时候他们告诉我分期付款，没想到最后是贷款，我一个外地打工的每个月还要拿来668元支付这笔贷款，上海压力这么大每个月我还要交差不多2500的房租再支付这一笔钱每个月我都剩不了多少钱，我现在无力交付这一笔贷款。2，我钱交了之后，就没有学习老师在跟我跟进，导致我现在和之前报办理英孚课程的时候一样。3，我到中心和他们心平气和的沟通，恐吓我叫警察过来！
4，我和他们中心谈退款，要扣除11个月的费用，还有剩余几个月20%的违约金，我在他们app学习时长最多1个月，要扣除我11个月我绝对不能接受的，还有违约金，我并没有单方面违约，为什么要收我20%的违约金，希望区长，能理解一个外地来打工的辛苦和不容易，希望区长能郑重处理！谢谢您！
",,,
英孚教育徐家汇校区欺骗大学生,待回复,教育 投诉,s***,2019-11-2216:47,区长您好，我是松江大学城的一名大学生，于9月22日在徐家汇英孚教育咨询并报名了一年的英语培训课程，于11.19日提出退款申请，但对方目前提出由于是我单方面违约，扣除一个月学费，并需要支付20%的违约金。根据合同，我向对方提供了证据证明不是我单方面毁约，对方一直解释不清，试图掩饰，期间我一直在跟对方友好的沟通，但去到中心两次，校长不见我，店员威胁恐吓我，报名时诱导大学生办理贷款，霸王条款。我只是一名普通的大三学生，学习紧张。我每天学习英孚的英语两个小时，效果很差。作为大学生，我没有经济来源，我不忍心父母支持我读书学习的钱被他人欺骗，希望区长帮帮我，我的诉求是不扣除违约金，仅扣除一个月学费。谢谢区长。,,,
投诉英孚徐家汇店欺骗我签署合同,待回复,教育 咨询,g***,2019-11-1210:57,区长你好，之前的一封诉求我还有一点没有补充，从五月中旬报名后我一直都没有去上过课，现在我要求全额退我学费希望领导帮帮忙，不能纵容机构的这种霸王无理的行为,,,
投诉**教育徐家汇店,待回复,教育 投诉,g***,2019-11-1113:41,区长你好，今年五月14号在**徐家汇中心店咨询并当天报名了两年的英语培训课，他们的销售跟我推荐办学费分期说不要利息，当时我一再跟她确认会不会影响我买房，因为当时我们在上海置换房子到了银行审核放款的关键时候，我跟销售一再强调这个分期会不会上征信影响我买房，她肯定的说不会说以前也有学员这样的，我确认了不下四五遍，她都说不会的结果在她的哄骗下我报名了，后来七月份的时候银行贷款老师通知我这个分期上了征信，银行不给放贷，了解才知道这是笔消费贷，这是他们故意欺骗造成的，结果导致我们中间拖延了一个半月买房给上家还赔偿了违约金，我很生气现在我要求解除跟解除合同，把学费39000赔偿给我，他们一开始不答应，后来我提供了证据他们承认是他们的失误答应退款，但是要扣除我20%违约金，我很气愤这是什么道理，有错的是他们，当初他们销售纯粹是欺骗的我们才签了合同，我现在要求他们全额赔偿我的学费39000，希望区长能给我主持公道，不要助长这种黑心机构，4万块对我们来说是很大的一笔钱就这么被他们骗走了，谢谢领导了，,,,
企业拖欠工资不给,待回复,就业 投诉,M***,2019-10-2916:13,本人于2019年9月30号于上海未来伙伴机器人有限公司离职，公司拖欠本人三个月多月工资共计4万余元，目前公司不给任何可以还清的时间，通过劳动仲裁，仲裁结果也是不执行，一直拖着，目前已经有30多离职人员被拖欠，通过法律途径也让我们至少一年之内拿不到应得的工资，各种办法都想过了，公司就是不给钱，希望领导能重视,,,
要求英孚英语退款退贷,待回复,教育 投诉,c***,2019-10-2516:57,方区长，您好。本人在上海市徐汇区曹溪北路圣爱大厦英孚英语报了24个月的线上课程，上了几次课之后发现课程和之前的介绍相差甚远，报名时说1.会有课程顾问跟进课程进度，我报名到现在9个多月了也没见过课程顾问跟进的，2.小组会话课一节课45分钟，就有十分钟是浪费在自我介绍上，并且自己回答的有误时老师也不指出，3.遇到跟读的单词时，我竟然用2种完全不一样的读法都能对，这是什么操作？？我提出退款后，英孚一开始拒绝，后来要收取我8个月的课程费+总金额的20％违约金，我后来咨询过很多退款的学员，大家退款方案竟大相径庭，同一个地区，同一个中心，竟也会有差异，是欺负我吗？价值20799元的课程费，我实际上仅仅上了不到2个月的课，要扣我9706元，这是什么逻辑？退款之路艰难，望区长帮帮我吧。,,,
小区树木断头修剪,待回复,城建 投诉,W***,2019-10-1108:48,我是徐汇区天等路430弄书香苑小区居民，这两天小区在做所谓的树木修剪，小区内几十棵香樟树被断头，本来郁郁葱葱小区被搞得惨不忍睹，小区居民多有怨言，希望相关部门能过问一下，这种断头修剪可能会造成树木死亡，也不利于小区环境建设，谢谢!,,,
长达几个月的夜间通宵噪声扰民,待回复,城建 求助,m***,2019-09-2714:59,上海合杆工程  -长达三个多月夜夜通宵高噪声施工   南丹东路靠近天钥桥路。 上。几个月以来。一个夜间施工许可证就是挡箭牌。 根据《上海市建设工程夜间施工许可和备案审查管理办法》，第八条（二）禁止采取捶打、敲击等高噪声的作业。  违法违规，如何能还老百姓一个能睡觉的夜晚。,,,
平安好医生耽误乳腺癌治疗,待回复,医疗 投诉,J***,2019-09-1916:29,因当时在平安好医生APP购买的新春感恩套餐体检查，出了漏查乳腺癌这件事后，我们也去了合肥好医生办事处，当时接待我们的工作人员和我们提出一个建议，让我拨打平安好医生总客服投诉，投诉过后他们公司想找你谈会给你电话，我们想找他们就是找不到，没有那个领导和我们谈这个事情，搞的我们没有办法，就像踢皮球把我们这些消费者忽悠过来忽悠过去，希望有关部门能给我们解决问题。平安好医生的体检卡，它的产品优势是肿瘤筛查，其中乳腺癌筛查里面包含乳腺癌ＣＡ１５－3的检测，乐金健康体检中心的姜经理透露，ＣＡ１５－３这项检测4级乳腺癌都很难检测出来，请问平安好医生乳腺癌为何还要有这项坑人的检测，我的妈妈就是他们检测中心的一个受害者，做体检敷衍马虎，导致漏查乳腺癌，这件事情出来已经有一段时间了，平安好医生换一个客服一个说法，客服竟然说出癌症只有60%的可能可以查出来，可笑，购买体检卡时和做体检时都只字未提，漏查乳腺癌后就这样解释了，沟通的客服态度强硬，语气蛮横，强势逼迫我答应他们所提出的补偿条件，原来这么大的一个平安集团，就是这样欺骗欺压普通老百姓的。,,,
投诉安福路53弄7号4楼违法搭建淋浴房,待回复,城建 投诉,a***,2019-05-0810:13,我是居住在安福路53弄7号2楼的居民，向领导反映4楼的住户邓X义在公共晒台上违法搭建淋浴房，屡拆屡建，干扰了其他居民的日常生活。恳请领导关注并督促有关部门尽快解决，还我们一个良好的生活和居住环境！,,,
关于求助铺平小区门前非机动车道出入口问题,待回复,城建 求助,m***,2019-02-2508:30,关于求助铺平小区门前非机动车道出入口问题上海市徐汇区人民政府尊敬的区长同志：我向您反映一事，并求助。关于龙漕路51弄小区门口，非机动车道出口路面不平影响通行，容易出事故的问题，我从去年12月初起已经多次向12345投诉，请求帮助。区市政水务部门的同志态度很好，也多次派人上门看过，我先后4次接待有关部门的同志来看现场，并当面介绍情况。但看现场的同志都说要把问题向上级领导反映，他们决定不了。我当时反应了4个问题：一是小区非机动车道出口处高低不平，要求铺平，主要是小区与马路的衔接部分，因“创全”时为装道闸大门有所扩大，而马路部分没有相应改造。二是小区门前马路隔离带影响机动车转弯进入小区，建议缩短一些。三是小区门前的阴沟，有三只凹陷约七八厘米，容易造成行人跌倒。四是小区商铺门前的地砖，高低不平，也容易使老人摔跤。到目前为止，三只阴沟，修好了两只；还有一只，用水泥糊了一下，已经裂开并又凹陷了，行人很容易摔跤。商铺门前的地砖也略整理了一下。其余问题，既没有解决，也没有明确的答复。我第1次用微信求助的时候，有关部门反馈说，要求铺平非机动车道，要求太高。我据理力争，车辆和人员希望进出小区方便一点，安全一点，这个要求不算高吧？接着我又电话询问和继续求助了两三次12345。过年前，有关部门派一个骑助动车的小伙子来看了一下，说是“规划就是如此”，就走了，以后就没有声音了。这样我从去年12月初开始已经先后4次向12345求助，问题没有得到妥善解决 。其间，有关部门还把问题转到徐汇交警支队解决，他们了解情况后，也认为这是市政部门的职责。但至今不见下文。但小区居民，特别是骑车进出的居民，一年多来，由于非机动车进出险象时生，怨言颇多，盼早日解决。我知道区长同志很忙，实在不愿意去打扰您，但是小区居民助动车进出的安全问题，总应该解决。我作为一名共产党员，对小区居民的反映，总不能听而不闻视而不见吧，何况我自己也对骑车风险感同身受，有几次差点摔倒。我搞不懂，为什么徐汇区市政部门的工作效率这么低？这可是他们的职责啊！所以再次求助，请求区长同志关心解决，如因故不能解决也请市政部门直接告之。企盼问题早日解决！致以敬礼！.2019年2月24日,,,
拆除违章搭建“玻璃房”,待回复,城建 投诉,y***,2019-01-2310:51,徐汇区区长方世忠，你好：   反映徐汇区华山路855号复兴西路华山路口老建筑旁违章搭建“玻璃房”，这违法建筑不仅占据了公共部位，而且还严重影响徐汇区全国文明镇的形象。希望有关执法部门按照“五违四必“精神，对影响城市形象的这处违规“玻璃房”依法予以拆除整治，让城市市容秩序更加规范，城市环境更加整齐，切实提升徐汇区城区形象。,,,
东湾小区铲除小区绿化改成停车场,待回复,环保 求助,g***,2019-01-1218:11,龙吴路2388号东湾小区，居委会书记王XX大量砍伐东湾小区树木，破坏绿化，改成停车位，打着美丽家园的口号，未取得所有小区业主同意，未上报上海市绿化管理局审批，擅自砍伐所有树木，在居民强烈阻止下，依然我行我素，甚至让外部人员暴利殴打居民，目前，小区绿化已有80%被清除，绿化所剩无几，改成停车位，收取停车费，晚上噪音污染，同时将小区停车位供应外部人员停车，小区居民安全无法得到保证，生命健康权收到严重影响，让底层居民晚上不得休息，严重影响小区居民的生活环境。多次上访徐汇区区政府，要求整改，有关部门虽然口头上不赞同该行为，但却未落到实处，并没有派人解决，居民苦不堪言，恳请领导尽快安排有关部门解决问题，将小区绿化还给居民，打造真正的美丽家园，万分感谢！,,,
吴中路100号，东风日产4S店销售员欺诈消费者,待回复,企业 投诉,文***,2019-01-0309:44,最近遇到4S店销售顾问欺诈2018年12月8日上海市徐汇区吴中路100号东风日产4S店(锦江城市专营店)，购买轩逸型号汽车。贷款7.5万，3年，跟我说利率5％，送贴膜、记录仪、胎压、雷达、封釉。我就交了定金5000元，与提前给付利息及部分手续费3900，销售顾问私底下收下。当天回家一算真实利率已经到了10％以上了，从来没有跟我提过10％以上这个事，一直在误导。12月9日去找，他说一年的利率是5％。，我贷款三年的，你跟我说那是一年的利率，而且一年利率也不是跟他那么算(销售是这样算的7.5万×0.05×3年。这个算法的意思就是我每月还款本金都得按照75000本金还款)，其实这个算法就是在欺骗。完全没这种算法，做为一名普通消费者，来店里已经明确贷款三年，我们也说好利率5％，(我们去银行存钱都会标明一年利率，两年利率等等)。然后又向我提出贷2年4万免息的，不过要增加其他费用，我没有同意，我说我要把这件事向经理反映。他直接口头威胁我如果我去跟经理反映情况，他会被批评开除，他没了工作，不好过，我也不好过，也不会放过我。(有录音)。下午他做出妥协12.2万落地价加2000贷款服务费，汽车装饰都送，我当时也答应了。他也退还我3900元，加1300元交易才刚刚开始，就涉嫌欺诈，与口头威胁我人生安全。觉得以后售后服务没法说了。12月14，去店里提出12.2万元，不贷款了，2000元贷款手续费可否打个折扣，他们没有答应。20181228再次去店里，，销售顾问在忙，我在那里等了约半个小时。于是找到了舒姓经理说明了这几天全部情况，我也开诚布公做出让步，按12.4全款购买，精品还是照旧。舒姓经理起身离开找到销售员私底下合计约半个小时找到了我，说精品不能全部送，最多只能送贴膜。真是欺负人。我已经按照他们的意思做出了退步，他们又给我来这一招。舒姓经理真是会看人下单，太欺负人了。说他们只按合同办事。销售顾问与顾客口头约定，送的精品可是销售顾问白纸黑字写在合同后面的。舒姓经理真是毫无职业道德！恳求领导给我做出公正的意见！,,,
