标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
公司辞退员工不按照劳动法补偿,待回复,就业 求助,W***,2019-10-3008:58,领导好！我要求助！我是上海优医家健康管理咨询有限公司员工，公司因经营原因，单方面要与我解除劳动合同，劳动合同并没有到期。1.公司以负债为由，让我签辞职申请表！违背事实！还无视劳动法规定，不按劳动法进行补偿。我在公司工作1年零几个月，公司没有提前一个月通知让我离职，本应该补偿(1.5+1)个月，共2.5个月工资，但公司发给我的赔偿协议上，只写赔偿1个月工资。2.公司从10月初开始，不提供我们工作，让我们在家等通知，直到月底才通知我，要辞退我，在家等公司通知这段时间的工资，公司不想按照劳动法规定发给我！另因我是在外地，无法跑到上海去维护我作为劳动者的权益，所以公司才明目张胆的无视法律，无视劳动法！法律面前，人人平等！恳请领导帮助，希望能给我们劳动者做主，帮助我们拿到劳动法规定的经济补偿金！非常感谢！,,,
讨薪,待回复,医疗 投诉,啊***,2019-10-2116:32,尊敬的鲍书记您好：       我是上海红枫国际妇儿医院的原职工，我于2017年11月份离职，红枫欠我2017年10份工资，以及2016及2017年年休假折算工资9000元，至今未支付。恳请尊敬的鲍书记为我们主持公道，讨回工资。      谢谢!,,,
强烈谴责徐汇牙病防治所的没有医德的医生,待回复,医疗 投诉,小***,2019-10-1909:45,徐汇牙病防治所口腔外科名叫孙琦的女医生没有医德并且脾气相当暴躁。对我怒言相对之外，治疗期间，没有问我任何关于牙齿，关于是否过敏，是否有病史的相关问题，就凭个人想法在我的病历单上写了与病人沟通，病人拒绝治疗的话语。我苦苦等待了八个小时的医生居然没有给我任何的治疗方案，虽说牙病不是病，但是痛起来也是可以要人命的。希望有关部门，可以督促牙防所的相关医务人员，毕竟投诉他们的也不是我一个人。医患矛盾太大，会导致很多问题，希望可以督促该牙防所的相关没有医德的医护人员，感谢！,,,
红枫妇儿医院拖欠工资,待回复,就业 投诉,小***,2019-10-1811:07,尊敬的鲍书记您好：       我是上海红枫国际妇儿医院的原职工，2017年11月份离职，红枫欠我2017年10份工资，以及2017年年休假折算工资99981.69元，至今未支付。恳请尊敬的鲍书记为我们主持公道，讨回工资。                                            谢谢。,,,
美丽家园项目维修加固屋顶，导致家中漏水，求助,待回复,城建 求助,金***,2019-10-1421:16,梅陇十一村维修加固屋顶防水时正好遇到台风天，导致我家49号-已售，31号-新买，2处6楼的房屋漏水，墙面起泡开裂，其中31号为新装修，9月底刚完成粉刷。居委表示施工队不愿出面解决，居委也没办法，请求相关部门给个说法。,,,
乱扣保证金,待回复,企业 投诉,老***,2019-10-1414:40,上海恒奢商贸有限公司经营佳茵这个产品，当时购买他们佳茵后需缴纳1500元保证金，之后乱扣除保证金，在没有提供证据的情况下，扣除1500，与该公司所谓稽核部门沟通后，不给提供证据，一直说他们查到我们低价所以扣除保证金，我要求他们提供证据，他们又各种理由不给提供，请领导重视予以处理，实在没办法才在这里求助，麻烦领导了,,,
小区业主大会通过地面固定车位有车辆长期占我位,待回复,城建 求助,祝***,2019-09-2711:25,您好 我这是老式小区无地下车位 之前非机动车抢占车位验证经12345投诉之后 改进停车方式 业主大会通过地面固定车位 先经过了一个月的车辆登记之后给予登记的业主固定车位 现有一辆无车位车辆长期占用我车位物业却一直没有解决 让物业给我反馈也无消息 一、我想求助一下 经过业主大会觉得的固定车位是否有法律效应 如物业无法解决能否拨打110将他车辆拖走 二、希望有关部门能对我小区物业进行督促 工作效率十分低下（甚至我怀疑根本没人去解决 因为我晚上回来给物业打电话都是说知道了我帮你登记 约定第二天反馈给我解决方案也无反馈） 谢谢！！！,,,
小区到底有没有人管，电梯坏，绿化随意占用,待回复,城建 投诉,l***,2019-09-0715:16,宋园路138弄小区处于无人管的状态，请区领导予以关注，协调解决。违章建筑无人管，有悖国家要求，造成全小区都批不出产证，于是没有维修基金，多年无人管，老百姓利益不重要？！分到顶楼违建的领导利益重要？！现小区处于恶性循环，电梯关人，坏了无人维修，到处漏水。看看下图，不知又是哪个领导家的车，物业不敢管，管了也没反应，诸如此类太多了。,,,
看病难住院难,待回复,医疗 求助,拜***,2019-08-1716:05,您好！我是安徽省蚌埠市固镇县的人。今年9月初在家里县医院带我弟检查身体。情况不好怀疑是肾肿瘤。建议去上海或者北京大医院。家里人就带我弟到上海复旦大学附属肿瘤医院。8月12号周一挂的专家门诊，医生也没说什么，就开了一大堆检查单子。花了两天时间把所有检查做完，医生却不上班。后来又从新挂一个医生的门诊，把检查单子给他看，他说是恶性的要手术摘肾。可是现在都8月17号了今天又是周六，还要等下个星期。我也不知道该向谁反应这个看病难住院难的问题。我相信不止我一个人这么着急，毕竟这是人命关天的事，这一天天不住院，身上带个定时炸弹，弟弟才15周岁，还那么小。实在是等的太急人了。即使帮不上我们也没事，我还是想反应这个事，希望领导能看到，解决问题，让后期看病的人不那么着急担心，浪费时间和金钱精力。,,,
中心小区环境无人管理12345反映多年无果,待回复,环保 投诉,y***,2019-07-2814:52,上海市徐汇区肇嘉浜路669弄小区共几百户人家，环境多年无人管理，建筑垃圾，生活垃圾随意摆放，在2号门口堆放的甚至破坏绿化带。近日上海市实行垃圾分类，此小区依旧垃圾桶干湿不分至今无人监管。小区无门卫保安，外来车辆可以随便进出小区，可能是市中心唯一免费停车点，甚至随意停在2号狭窄楼道口，有时连老人婴儿推车都无法进出，阻碍抢救通道，给小区安全带来极大隐患。由于无人监管12345反映多年指标不治本，物业、居委相互推诿，以此小区历史遗留问题，无一体化为由，无法管理。希望小区能够有统一监管部门，配置保安门卫，给居民提供安全良好环境,,,
举报南丹东路合杆整治工程夜间2、3点噪声扰民,待回复,环保 投诉,m***,2019-07-0716:07,南丹东路靠近天钥桥路，已经连续两周每天晚上2-3点依旧能听到持续一整晚的电镐等高噪声扰民。导致居民无法休息无法正常生活。根据《上海市建设工程夜间施工许可和备案审查管理办法》第六条(四）禁止使用高噪声机械或设备。希望能得到尽快解决，谢谢。,,,
急！急！急！寻物!,待回复,城建 求助,放***,2019-07-0113:34,尊敬的鲍炳章书记，您好！本人于今年1月24日上午10：40左右，在从上海市精神卫生中心到体育场地铁站的路上，或是地铁上遗失一个黑色塑料手提袋，手提袋内有本人病历、医药发票和存折等重要物品！不知是否有好心人捡到上交给当地派出所或地铁站，恳求帮助，千恩万谢！本人已于当天乘坐火车赶回老家阜阳。,,,
漕河泾派出所领取户口卡艰难,待回复,政务 求助,Z***,2019-06-2814:14,2018年5月1日已出台政策，领取户口卡只需要实有人口登记即可，徐汇区其他派出所也不需要租赁备案，可漕河泾派出所却需要租赁备案。这给大家办理户口卡带来很大的困难。房东不配合，且需要多次请假去办理，非常影响日常工作。既然出台了政策，为什么现在不同区域还差别待遇呢？,,,
扰民建筑垃圾迟迟未清,待回复,城建 求助,W***,2019-06-0518:12,长乐路637弄15号门口建筑垃圾堆放了近2个星期无人清理，近期天气转热，容易滋生蚊虫，曾向物业反应无果，请求核实处置,,,
