标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
暴力施工，天天像沙尘暴,待回复,城建 投诉,W***,2019-11-1816:34,中潭路大马头饭店前面说是区政府街道施工，几千万项目全部喷水泥粉，9月开始天天搞得和沙尘暴一样，周围居民多次投诉多个部门，有的部门不作为做样子，为什么只做样子大家都懂，进博会几天被投诉没有施工，现在又开始了，几平米地方说要搞到明年下半年，这个时间可以建一个北京鸟巢了，这种施工对我们居民健康造成严重影响，已经有人得肺炎和咽炎，在人口密集城市这样施工合法吗，就这种程度装修还价值几千万吗，钱去了谁的手里如果没有满意答复 我们周围居民会继续投诉别的有关部门，另外他们被投诉后偶尔喷水和做部分阻挡，但根本没用的，只能说聊胜于无，我想知道区政府这样施工合法吗 ，还有上次有其他居民投诉被有关部门泄漏信息，告诉了施工队,,,
霸王条款,待回复,企业 投诉,W***,2019-11-0616:26,2019年10月4日办的为期一年健身卡，到现在一个多月，办卡时工作人员态度热情说保证温水泳池，冬天不会冷才办的卡，结果没去几次水都是冷的，被告知其中一台加热器坏了，经理一直没修，所以水温低，就这样坚持了几次，最后终于冻感冒发烧了，现在诉求退卡，可是工作人员要求收取百分之三十手续费，协议上没写，属于霸王条款，退卡时态度恶劣,,,
收购旧家电的农民工在小区用大喇叭喧哗恶意扰民,待回复,治安 投诉,N***,2019-11-0112:12,周敏浩区长：您好！   普陀区铜川路2059弄真光五街坊小区内，每天都有收购旧空调、旧电视机、旧手机、旧电脑等整天用大喇叭在小区内到处流窜，大声喧哗，在小区内大声喧哗扰乱社区治安、恶意扰民,,,
反对在农林路建设110千伏变电站的请求,待回复,城建 投诉,c***,2019-09-1515:28,"普陀区规划和自然资源管理局8月26日-9月4日公示征询意见，在普陀区宜川街道石泉东路建造110kv高压变电站，引起周边农林小区、香溢花城、香溢天地（商住）、裙房商铺、住宅会所、早教中心、华荻幼儿园、上海理工大学普陀实验学校家长等强烈反响。 该变电站建在居民和学校聚集的核心区域，距离最近的居民楼不到20米, 距离学校不足百米，对周边居民的身心健康非常不利。恳请领导重新考虑选址。谢谢！",,,
真光小学校门应开在真光五街坊小区外面保障安全,待回复,教育 建言,N***,2019-09-0113:56,周敏浩区长：您好！   上海市普陀区铜川路2059弄（真光五街坊）小区内的真光小学校门开在真光五街坊小区内，每天上学和放学时家长接送小孩的助动车、电瓶车、轻骑、摩托车、自行车、三轮车、轿车、大汽车等车辆进入小区，给真光五街坊小区的治安管理带来很多不便，而且影响小区居民的生活安宁，同时造成社区诸多安全隐患。现在真光五街坊58号东门口改造成电子门了，真光小学接送小学生上学和放学的其它社区的家长们因为没有本小区的钥匙，所以进出真光五街坊小区很不方便，而且不安全。真光小学的校门应开在真光五街坊社区的外面，开在金汤路或万镇路上，给真光小学接送小孩上学和放学的家长们提供方便，同时保障真光五街坊社区安全和居民生活安宁。十载植木木木成林，百年树人人人著名。教育为先先先生才，安全第一一一对应。祝真光小学全师生教师节快乐，长大成为国家的有用之才，祝真光五街坊社区居民家家户户生命、财产安全和生活安宁。谢谢周敏浩区长。,,,
上海中环百联真光路非机动车强占人行道无法通行,待回复,交通 投诉,N***,2019-08-3117:14,周敏浩区长：您好！  上海市普陀区真光路1288号百联中环购物广场门口的人行道上，堆满了助动车、电瓶车、轻骑摩托车、自行车、共享单车等车辆，严重阻塞交通，路人根本无法通行，行人只能从机动车道上绕行，很危险，不安全。人行道是行人的通道，不是助动车、摩托车等车辆的停车场和收费站，这种情况必须加强管理，应该合理有序地在人行道上停放排车辆，而不能影响行人通行，阻碍交通，保障人行道安全。谢谢周敏浩区长。,,,
真光五街坊42号车库平台上乱搭建违章建筑扰民,待回复,治安 投诉,N***,2019-08-3107:56,周敏浩区长：您好！  最近上海市普陀区铜川路2059弄42号车库平台上违法搭建了很多平方米的简易房违章建筑，搭好了拆除，拆了又重新搭建，故意制造得得得、梆梆梆声音，恶意扰民。苏北淮安农村的男保洁工杨XX，利用建筑工在42号车库平台上违法搭建简易房的机会，每天早上和晚上都在42号车库平台上发疯似的哐当当敲钢管和钢条等建材，故意制造恐怖暴力声音，恶意扰民，经常作到半夜三更才消停，心理变态、精神不正常,,,
上海普陀企业饿了么骗钱,待回复,企业 求助,1***,2019-08-3014:20,我的饿了么号210e80b8180 这二个月下不了单，订单全被关闭，被关闭订单中用了的红包居然不肯退，我的红包是在饿了么上买来的，下不了单等于红包白买，跟客服说了多次都没解决问题。,,,
小区公园内长期噪音，终日不得安宁,待回复,环保 投诉,M***,2019-08-2414:45,桃浦七村，280号楼后边有个公园，老人们一天到晚都在公园大声播放音乐。1.工作日，年轻人，孩子都要上班上学，每天六点多就开始，播太极拳的音乐，十分大声，根本不能休息。2.周末，难得周末休息，老人们变本加厉，一大早七点又开始太极拳，不反对她们打太极拳，但是音响无敌大声扰民实在困扰，下午开始播放其它歌曲，还一起合唱，扰民终日。3.老人们整天遛狗，到处拉屎拉尿，环境恶劣噪音终日，终日无休，精神憔悴，请麻烦政府工作人员前来整治，十分感谢。,,,
