标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
 乱开罚单,待回复,治安 投诉,W***,2019-11-3012:49,我家居住于普陀区桃浦新村白丽路701弄紫藤苑小区99号。供电部门在19年11月26到我们小区查电表偷电。查出大量用户不少于100户有被动过电表偷电。包括我家电表。可是电表不是我家动的。我爸被污蔑偷电很气愤，发生争执。被剪断电线。导致两天停电。但是邻居家楼上楼下都只是贴了罚单，没有断电。在11月28号没办法。只能交了2400多元罚款，和100块新电表费用。供电局人说我们这撞电表是一人手法。所以是偷电人为了掩人耳目一起动的手脚。可是我们最终还是交了钱，不然不给电。可是楼上楼下都没去交罚款，也没有换新电表。还是继续使用能偷电的电表。也没有断电。 希望上面的领导能看到我们老百姓的委屈和难处 ,,,
出租车司机乱收费绕行辱骂拖拽讹诈乘客行为,待回复,交通 投诉,百***,2019-11-1213:20,"10月28我乘出租车起点静安区延安西路221号 到中山北路华东师范大学 途中问司机为什么不按导航行驶 司机不回答 到了目的地发现打车金额是37元 比同路程计费多了13元钱 当时下车后 我觉得计费有问题 要求给滴滴打车平台打电话核实费用后 在支付车费 可是司机坚决不同意 要求我必须线下按37元计费支付 我当时没有同意 司机就跑下车 拖着我要把我强行塞进车里 司机在拖拽我得时候用力过猛把他自己的衣服袖子拖开线了 就大声辱骂恐吓我最后我无奈打了报警电话 警察来了后先暂时调解开  让我先把车费按原价付给司机又给司机陪了他的工作服钱 30元 现在海博出租车公司做事不理对绕行 行为否认 对全程司机对乘客绕行收费 辱骂恐吓乘客 讹诈乘客行为 至今没有做出任何说法 
 我个人认为作为一个乘客我受到了这样不公平的服务感受 心里特别委屈 想请求领导帮助我解决
要求出租车公司与司机给我一个合理的说法
我认为在上海这样的一个文明城市发生了这样事情不可能就这样不了了之了对吧最少也要给我做出当面道歉，毕竟我还是一位乘客，
当天司机师傅在拖拽我的时候 我的手机落地摔坏了一个角 缺没有人管了 
 现在司机的损失都让我买了单 可是我的损失和委屈又有谁来给我一个说法呢？",,,
驾驶证被套用,待回复,交通 求助,陶***,2019-10-1617:03,本人在上海交警APP上面看到莫名其妙出现一个违章，说是来了没有悬挂机动车号牌车辆。我从来没有开过没有号牌的车子。我怀疑我得驾照被套用。现在人在外地没办法转证很麻烦。,,,
小区内业主公共面积被划分了固定停车位,待回复,城建 求助,D***,2019-10-1117:11,大华颐和华城，所属物业为上海馨城物业管理公司，将小区的地面停车位划分为部分业主的固定车位。在2018年的7月地面停车位已将地面车位锁全部拆除，但并未实现地面停车位属小区业主共同所有，实行先到先停的原则。对于由物业划分为固定车位的，其它车辆仍不能停放。联系过小区的居委会（回复：此事不由他们管）、联系收停车费的物业公司（回复：我们只负责收停车费，这个停车的问题，需要找业委会），联系到业委会（回复：这个我们管不了，你们的停车费是交给物业的，需要找物业处理），所以颐和华城（武威东路479弄）小区的停车出现的问题就是，地面固定车位的车主晚上可能不回家，车位空置着，但其它没有划分到固定车位的车主下班回到小区时，车辆无处停放。有时候没有办支，只能叠在其它车辆前面，可能随时需要准备接听电话挪车。这样算不算是浪费所有业务的公共资源。小区地面停车位的权益作为附属设施归属全体业主，其性质与其他公共附属设施性质并无不同。为何颐和华城地面所有业务的公共面积，被划分出有部分业务可以享有特殊待遇，所谓的固定车位。对于居委会、业委会和物业公司三方相互推脱的情况，应该找哪个部门协助解决？,,,
不要再折腾校园绿化啦！,待回复,教育 建言,肖***,2019-10-0616:19,绿树长成数十年，砍树（移树）只需数日，普陀区金鼎学校新一轮绿化“工程”又在国庆期间开启了，记得数年前的今天我曾就同样问题向韩正书记反映过，后查是毁绿（美其名曰改造）超标。其中三颗4——5米高的大树移位后无一存活！道路为大树改道的新闻以不稀罕，每每看到大树，就会感到莫名的安详，大树经历台风暴雨没有倒下，却倒在个别领导的手下。据说学校每年绿化经费用不完（不知绿化经费具体数据），以至于如此折腾了？！实在令人痛心！是否需要调整，我个人认为学校绿化可以补种，修剪，维护即可，不需要大动干戈。,,,
曹杨七村旧改,待回复,城建 咨询,W***,2019-08-1916:00,曹杨七村的旧改希望政府了解一下，这样的旧改怎么能安定民心，这么小的地方贴扩建那么连119.120的车也进不来，更不要说小区的绿化，现在威逼利诱大家签字，希望政府赶紧制止这样的行为,,,
严重投诉，华阴路宜川五村的物业！！！！！,待回复,城建 投诉,朴***,2019-08-1914:10,位居普陀区华阴路，宜川五村物业，严重失职，小区内车辆停放本来就吃紧，物业人员及其门卫管理人员，还陆续云逊非本小区的外来车辆停放进小区，致使本小区居民无法正常停车，常常因为车位问题引起纠纷，新物业已经上任1月，小区居民一直反馈，从未得到正面回应，一直未整改，小区居民都是付的停车费，但是无法保证停在在自己小区内，外来车辆的费用，基本都是门卫人员自己拿进，小区内发生的挂侧，监控都是死角，无法合适，物业也不予理会！！！！ 物业管理费居民按时上交，但物业从未尽职尽责，令人愤慨！！！！ 请严肃合适！,,,
上海市普陀区宁夏路电缆入地工程噪音扰民,待回复,城建 建言,曹***,2019-08-1815:36,五月份针对标题中的问题给予反映，七月初得到了回复。但是现在实际情况并无太大改善，路面开挖后填埋随意，道路不平整。经常在晚上21:00开始在沿街居民楼外用重型机械（例如钻地车、挖斗车等）施工，噪音导致居民无法休息，甚至损害居民身体健康。想请区领导派人来这里感受一下，看看是否能忍受这样的噪音。,,,
曹杨新苑小区垃圾泥土满地,待回复,环保 求助,s***,2019-08-1710:19,真如曹杨新苑小区的建筑垃圾总是不能及时清理，每次下雨后引起泥土满地，超过2周未清理，影响居民正常生活，多次投诉无果，请求领导帮忙协调处理。,,,
