小区内违章建筑，多年没人拆除,待回复,城建 投诉,省***,2019-11-2815:10,杨浦区双辽新村小区内违章建筑，几十年都没人来拆除，没人管，居委会放任不管，无人拆除，双辽新村小区16.17.18号楼楼下连着一排违章建筑已经几十年，小区车位紧张，人都不大好走，违章建筑就是不拆，是领导不知道，还是无人敢拆？谁提供的保护？希望领导拔出这一排的违章建筑,,,
民警不作为，未做到为民服务,待回复,治安 投诉,慧***,2019-09-0415:29,四平路1028弄公交新村为老小区，只有一条环形道，车主乱停车，打挪车电话没有回应，打110，民警说没有执法权这事找物业去反应，他们只能打电话让车主帮忙开走，民警不仅未对车主批评教育，还对报警人以车技差多次讽刺。领导，首先车主停在不该停的位置，民警还要我们用求的态度来让车主挪车，助长不良风气，乱停车的问题不但没有解决，反而越来越严重，作为民警就算没有执法权，起码应该有正义感，知道是非对错，但我们的民警连纠正错误，教育的义务也不存在了吗？其次，民警没有执法权，踢给物业，物业就有执法权吗，这样不负责，不作为的态度，实在愧对警服！希望领导能够关注一下，尽快让有关部门落实解决方案，对于民警这种不负责不作为的态度予以处理，感谢领导！,,,
杨浦区早教机构陆续关闭 导致家长损失惨重 ,待回复,教育 求助,L***,2019-07-2317:10,尊敬的领导：你好对于一个双职工的二胎家庭，相信能够有一个白天托付三岁以下宝宝的机构是我们也是很多其他家长的迫切需求。为了照顾好宝宝，在市政府公办托幼机构不足够的情况下，无奈我们也是报了私立的全日托机构培正逗点。但是报班没有多久，培正逗点就突然宣布关闭并停课，经过一段时间调整，号称是宝知成接收了培正逗点的学员，能继续在原来的地方上课家长们当然表示都很乐意。但是没过多久，杨浦区Z18广场的宝知成又宣布停课，最终的协调方案是转课至黄兴路九隆坊的宝知成，虽然交通比以前远一点，环境相对差一点，但是家长还是勉为其难的接受了，这才上没有一个月，故伎重演，又让学员转至国定东路的辛格儿托幼中心，并且该中心刚装修不久，中心内味道非常的强烈，家长已经非常不满了，但是还是有部分学员坚持上课，一个月没到，这下故伎重演*2希望区领导能够对此事进行严肃查处，这不但涉及无证经营，在关门前还是在促销吸引其他家长，个人觉得是否涉及商业诈骗？里面法人关系复杂，导致家长追责非常困难，经济损失是一方面，另一方面，有些孩子目前在家无法上课也影响到了家长的工作状态。望区领导能够给每个有孩子的家庭和无奈的家长一个解决方案。非常感谢！,,,
五角场街道擅自取消法规规定的业委会换届审计,待回复,政务 建言,匿***,2019-06-2719:41,区长你好，希望这封信你本人能看到并重视，而不是七年来30多封信直接转街道而无人过问一样走过场作秀。我们是纪念路289弄三湘世纪花城的业主，我们业委会2010年第一次换届，街道换届指导小组擅自取消法规规定的维修基金公益收入的审计，2015年第二次换届，街道又一次重蹈覆辙。2012年起，部分业主开始写信要求看到审计报告，但到今天也没有看到，街道和区房办互相推诿，说他们平级，不可指挥对方。区长：对你来说，他们都是你的属下，你对九年前街道乱作为擅自取消审计，九年来不作为倒浆糊怎么看？2016年，我们得到了审计工作底稿，底稿中看到，我们业委会二届十年中有321.6万维修基金和94万公益收入支出没有合法手续，区长：你对负有监督维修基金的区房办在十年中这么多的钱在他们的监督下出去了怎么想？还是再一次转街道让他们继续捣浆糊？#业委会#,,,
小区业委会主任应该要先培训后上岗。,待回复,政务 建言,匿***,2019-06-2510:25,小区业委会主任因没有培训过，不知道该做什么事，我认为第一根据合同规定的标准核查，第二管好业主的钱，第三最好是党员。现在有些主任好像当了小区领导，滥用职权谋私利。##,,,
长白三村小区124栋楼走廊窗户锈蚀严重,待回复,城建 建言,关***,2019-06-1310:54,长白三村小区124栋楼楼道里随便堆放杂物无人清理，墙面非常脏。还有一些住户把排油烟机的烟囱安在楼道里，造成空气污染。走廊钢窗锈蚀严重，存在极大安全隐患，楼梯扶手护栏底部锈蚀严重。望有关部门切实负起责任，给百姓营造一个安全整洁的居住环境。,,,
关于杨浦区新江湾房管局,待回复,治安 求助,W***,2019-05-3010:36,尊敬的谢区长你好:我们是杨浦区江湾城路1299弄橡树湾小区居民。我们小区坐落在美丽宁静的新江湾城。小区由央企华润投资建设，总共有1392户居民。小区第一期交付已经十年，物业公司至今仍是华润物业。在小区业主和物业公司的共同努力下，我们小区干净整洁，尤其以高绿化率称雄新江湾，是全体业主心仪的家园。由于历史原因，我们小区车位配比标准还是2005年土地出让时候的1:1。但是在广大业主和物业公司的共同努力下，在不开放全部地面车位的前提下，小区能保证每家第一辆车停进地下车库，以确保小区地面绿化、景观道路完好、确保老人小孩在小区内通行无忧。但是2018年以来，有个别业主为了让自己家里第二第三辆车停进小区，持续不断地前往新江湾街道和区政府纠缠，用尽各种方式，无视绝大部分业主人车人流的意愿，要求开放全部地面车位。新江湾街道和区房地局为了息事宁人，在没有深入小区对大多数业主进行摸底调研的前提下，采用处罚物业公司的粗暴办法，直接行政指令开放地面停车位。已经在小区引起了恐慌和愤怒！请问到底是几户业主的第二第三辆车重要还是1300多户绝大多数业主的安居乐业重要？小区地面车位属于全体业主共有，绝大多数业主不同意开放，有关部门于法于理凭哪一条可以违背绝大多数所有权人的意见下行政指令？我们强烈要求杨浦区政府有关部门认真听取橡树湾广大业主的意见；暂缓执行行政指令，还华润物业一个公道。同时敦请新江湾街道全力指导督促橡树湾小区召开业主大会、成立业委会；明确小区地面车位所有权属于全体业主，只有业主大会才能决定地面车位的使用管理办法。请杨浦区政府还我小区安定团结。杨浦区橡树湾小区绝大多数居民2019年5月30日,,,
滨江综合公交枢纽站点要合理规划及时有效使用,待回复,交通 建言,何***,2019-05-2519:23,区长你好！我是杨浦滨江带居民。近年来滨江建设发展给百姓带来实惠。现期待滨江综合公交枢纽站点要合理规划，更要及时有效使用。江浦路杨树浦路口正在建地铁和越江隧道，期望尽早规划和兴建一个综合公交枢纽站点，将丹东路轮渡站、渔人码头地铁站等，能与70路、80路、960路、37路公交车终点站集中规划在一起，形成换乘优势，方便群众。同时，也解决现有终点站长年来对居民区和学校的干扰及影响安全之苦。还有，秦皇岛路综合公交枢纽站早已建成，至今闲置，应尽早启用，方便市民。谢谢！,,,
老小区室内装修 六点就开始 噪声巨大严重扰民,待回复,环保 投诉,G***,2019-03-2014:27,区长您好: 我是一名普通的居民，由于近日生活受到了非常严重的噪声污染，实在无法忍受，特向您反应，还望得到帮助解决。事情是这样的杨浦区武川路222弄住宅小区13号丙楼501室内装修，砸墙钻地声音非常大，早上六点就开始，严重影响睡眠以及工作生活，已经住人的老小区本就禁止大规模的装修，况且砸墙钻地这种动静非常大，恐怕哪天家里的房顶都要掉下来了，希望对方能够降低噪声并在合理的时间装修，还给居民一个安静的居住环境。,,,
杨浦区拆迁规划,待回复,城建 咨询,猪***,2019-03-1316:51,谢区长您好，我是住在杨浦区贵阳路的老上海人，在贵阳路生活了42年，现在的贵阳路简直可以说是脏乱差的代表，有名的棚户区，没有煤卫设施，许多家庭还在用马桶痰盂罐，冬天只能去大众浴室洗澡，夏天就在路边洗，房屋年久失修，马路越来越窄，居民生活很不方便，上海做为国际性大都市，发展越来越快，但我们这些住在棚户区的老百姓居住条件很差，许多人盼拆迁已经好多年了，请问2019年贵阳路有动迁计划吗？希望政府不要忘了我们,,,
