标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
眼镜配错，维权无果,待回复,企业 求助,W***,2019-11-0207:34,领导您好:        2019年9月30号我在千雅眼镜城的美际眼镜店配了一副近视镜有质量问题，花费780元。地址为松江中山中路177号，企业电话为021-52715763。       美际眼镜店的主要问题有一下四点:1.配镜度数不对，带着非常不适;后经医院验光，两个镜片和我眼睛的实际近视度数差距分别为25度和75度;2.冒用上海眼镜协会名义针对不特定消费者欺诈，店主说自己是眼镜协会的，按照正常人的基本理性都会产生重大误解，都会把他们当做社会团体法人及其工作人员;3.店主给我推荐的镜片属于超薄型防蓝光镜片，并告知我，配出来的五百度的新镜片要比我现在戴的四百度的镜片还要薄，配好后实际上是明显比我戴的眼镜厚; 两个眼睛片也可以用正常人的肉眼看出颜色都不一样，两个镜片不配套;4.拒绝出示经营许可证、验光师资质证书，索要发票也被拒绝。        维权时遇到的问题有一下3点:1.向上海眼镜协会求助，希望靠行业自律来维权，眼镜协会一直推脱，说这个事项的负责人不在或者在开会;2.市场监督管理部门让我去医院验光，说度数不对可以退款，我去医院验光后市场监管部门并未满足我退费的诉求，并且调解方式倾向于眼镜店，即只按照眼镜店的要求，给我重新换一副近视镜;3.我想把这副有质量问题的眼镜退掉，然后再去正规医院配一副以满足我的近视需求。问题一直不能解决，这和监管部门违背合法行政、高效便民、权责统一的行政原则是有因果关系的。       我的诉求是:1.追究眼镜店冒名上海眼镜协会、对不特定消费者欺诈行为的责任，并对我原价退款780元;2.调查眼镜店不开发票的逃税行为;3.检查眼镜店的经营资质，验光师和制作眼镜者的行业从事的资质，自己仪器设备的合格证。以上，非常感谢领导。,,,
关于物业违规公示在配电房边建垃圾房,待回复,城建 投诉,l***,2019-10-1611:49,"1. 该小区物业前后三次修改建垃圾房选址，直至10月8日，该小区物业贴了告示，方案里面有个是在小区的配电房边上建垃圾房，对此我们请求政府撤销这一违规方案。2.配电房的辐射距离一般在5米，这5米之间种植大量的竹子，物业如砍掉竹子建垃圾房，影响居民的身体健康；此外，这个垃圾房的距离会和配电房的以及住户距离较近。再次，垃圾房中有的垃圾一碰到明火就容易燃烧，会引起火灾危险爆炸，还有有的垃圾腐臭潮湿，安全隐患大。3.配电房对周边的使用环境，进出通道都有相应的要求的，是不能堆杂物，更不能在这么狭小的空间垃圾房，万一配电房有事故，影响抢救，会被追究责任。
4.物业拍脑袋说定在这里，没有一点的依据和参照相关规范和依据。 物业反馈是根据居委会的指令进行选点公示的，他们只是传达公示，去居委会问，居委会又说是物业指定的，和他们没有关系，两个主体互相推卸，而物业将本来就违规的事情物业说交给业主大会表决，这个是完全不合理的。
5.对此，请求政府，撤销在配电房周边违规建设垃圾房这一方案，否则如此多的安全隐患，以及此垃圾房离配电房如此近，以及离住宅如此近，对于我们居住住在这里是极度恐慌的。",,,
有效管理小区养犬行为规范,待回复,治安 投诉,W***,2019-10-0815:55,莘松路1155弄雅仕轩438号居民携带大型犬只外出，多次违反《上海市养犬管理条例》第二十二条：不给犬只束牵引带，不给大型犬只戴嘴套。多次向物业、公安部门反映无果，该居民依旧我行我素，给小区其他居民尤其是老人或小孩等弱势群体造成安全隐患，希望对此进行有效管束。,,,
毕业生大学城口袋户申请恢复一段时间的集体户口,待回复,政务 求助,W***,2019-09-0514:59,您好！我是松江大学城华政2019应届毕业生，在毕业前想要将户口迁到深圳，于是在大学城派出所登记了毕业户口迁移证，地址填写的深圳，在毕业后去深圳办理因手续欠缺没有落户成功，现在想要在天津走海河英才计划落户，但因为现在户籍迁移证已办理，成了口袋户，户籍联网没有我的户籍信息，天津那边必须要网络上有户籍才可以处理我的申请，想问可以暂时恢复在大学城的户口一段时间以便我申请天津户口吗？,,,
涞坊路上茵芳小区旁边的桥上常年有碎玻璃渣危险,待回复,交通 投诉,W***,2019-08-1914:27,你好，松江地区有个事情可以给你反应一下吗，涞坊路上茵芳小区旁边的桥上，常年有碎玻璃渣，由于下坡一般不好刹车，非机动车只好硬生生骑在玻璃渣上，车扎坏了耽误时间隐藏隐患如果不算重的，有人不慎把碎玻璃渣踩回家，家里老人孩子光脚不小心踩到玻璃渣就很危险了。虽是小事一桩，我还是希望政府可以帮忙揪出撒碎玻璃渣的人。我们没有调查摄像头的权限，使能投诉了。感谢。感谢。贴出百度地图上的地址，请查收。,,,
投诉松江区恒大帝景二期房屋漏水问题！,待回复,城建 投诉,m***,2019-08-0215:32,    本人投诉所购房屋严重建筑质量问题。     截止7月14日，房屋6楼顶楼，一间房间两面墙壁目前均被雨水渗透墙纸发黑，房内卫生间顶部被水浸泡严重变形开裂。     2018年下半年以来，有记录的2次维修，维修人员极端不负责任，仅仅打开房间吊顶，做简单维修，即把吊顶复原，维修人员口头保证不会再渗水，且保证今后渗水造成损失由物业承担。     7月初，墙体严重渗水。此次维保人员于7月14日至屋顶查看只简单观察，未能找出渗水点，表示只能对屋顶排水沟做防水处理，但是无法保证该排水沟就是渗水源头，也不保证处理以后雨天不再渗水。且该维保人员拒绝打开瓦片做彻底检查，仅对屋顶排水沟做简单处理。开发商维修负责人表示维修已经完成，但是本人及家人根本不予认可。     本投诉已于7月15日报上海12345热线，但是建委人员仅电话联系过一次，之后再无联系。维修事宜至今无人负责。    本人诉求: 1、请恒大维保打开屋顶瓦片，彻底检查渗漏源头并做防水处理。               2、房间墙纸为业主购买张贴，目前已经大面积发黑，墙面后续重新处理费用由物业全额赔付。               3、如恒大维保本次仍不打开屋顶瓦片彻底检修，则由业主自行选择有资质企业做屋顶防水处理，由此产生全部费用（含屋内重新装修费用）由物业支付。,,,
我们要求上“新闵小学”,待回复,教育 求助,唐***,2019-08-0214:50,"    陈区长，您好！不好意思，打扰您了！我是外地的退休职工叫唐女士，现居住在松江区新桥镇明华路的“象屿上海年华”，我的孙女到了上学的年龄，小区和幼儿园的孩子早就落实了就读的学校，而我们至今还处在焦急的等待之中。    今天我打电话给松江区中山二路，后来她叫我找许老师，电话号码为5XXXXXXX，徐老师回答说没有房产证就得上民办学校。根据就读公办学校的条件，我们明明可以就读于公办学校，为什么因为某些说不通的“理由”，而把我们排挤到民办学校？    陈区长，我们不服有五点：一、我们在松江买了房，有预售合同为证，而且已居住了两年多，有左邻右舍为证；二、我儿子、媳妇和孙女虽然没有上海户口，但他们都有“松江”的居住证；三、我媳妇在单位里连续工作10多年，一直在缴五险一金；四、我再三解释没有办理房产证的原因，是因为我们在“松江”注册了一个电商公司，有营业执照为证；五、我们的办公地点就在新桥镇银都西路，每个月为“松江”缴纳各种税款，这也是为松江的建设在添砖加瓦吧......。    我们一家人都是靠工资收入，为了买房子、创办和运作这个公司，我们除了贷款外，把家底全部都投入进去了：每月还房贷、员工的工资、员工的五险一金、各种税费款、办公室租赁、办公器材及设施、材料产品采购、林林总总的开支，造成我们目前无力去办理房产证。    虽然我们有“销售合同”没有“房产证”，但我们却实实在在的在“松江”买了房安了家，并居住了两年以上，我们的事业也定在了松江,为什么某些租户通过弄虚作假借房产证都能就读公办学校？而我们却不能？我实在是有苦难言，特求助与您，望陈区长为我们解决孩子上“新闵小学”的问题，因为我们居住的小区对口在新闵小学。                                              如需要我们提供资料，请告知，急盼回复和解决！                                                                                                                 谢谢！        2019年8月1日               唐女士",,,
关于住房补贴久未发放以及机管局个别干部作风的,待回复,政务 求助,W***,2019-07-2714:02,尊敬的陈区长，您好！    我曾在松江区学习、工作、生活了12年，先后在松江不同的岗位上工作、学习，离开松江之前，是上海市公安局松江分局民警。由于家住南汇，长期与父母妻儿分居两地，每天上班单程70公里路，加上父亲年迈体弱多病，无奈之下于2017年7月从松江公安分局正常流程辞去公职，再次自主择业。   来信的目的是想反映我久拖未发放的公务员五年一次性住房补贴问题。按照规定，上海公务员满五年可以享受一次性住房补贴18.2万元。我于2012年7月入职松江公安分局，2017年7月离职，工作时间是满五年的。五年里我在基层加班加点、吃苦耐劳、任劳任怨、矜矜业业，先后获得过“优秀公务员”、“优秀共产党员”荣誉，也得到领导、同事和群众的一致好评。而五年一次性房帖的启动时间有所滞后，在我离职后才启动申报、填写。   2018年、2019年我原先的单位都将我的情况报给区机管局，但得到的答复均为暂时不讨论，下一批考虑。2019年7月15日，我只能再次拨打12345市民服务热线反馈。7月16日，区机管局一位郭姓科长与我联系，跟我说了解我的情况，但还需要向我原来的单位核实我是否满五年等情况，核实之后将报给领导讨论决定。后经公安战友于7月23日将我的“公务员录用登记表”等复印件上报给了区机管局。7月23日上午9:44该郭科长再次用座机联系我。在该通长约5分钟电话的初始，郭科长说：“你的情况比较特殊，考虑到你在公安工作了五年，工作非常辛苦，经过领导讨论，决定发放你的一次性住房补贴。但发放需要等下批落实。”   出于稳妥考虑，我还是问了句：“之前一直说明年讨论，下次讨论，这次确定会发放了吗？”。   始料未及的是，听到这句话后，郭科长语音中显得很不满 便挂了电话。再拨打过去多次，一直呈无人接听状态。   当天这位郭科长翻脸的整个过程之快，令人咋舌。   给您写信实属无奈。不管结果如何，我始终相信党和政府。,,,
大学城棋牌室可以开吗？,待回复,治安 投诉,云***,2019-06-2915:11,松江大学城文汇新天地6楼猫公主桌游吧 包厢内大厅有麻将桌。大学城内开设麻将业务会不会对学生有影响,,,
