标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
紧急求助！！,待回复,城建 求助,维***,2019-11-2709:26,上海市浦东新区六灶镇陈桥村这里，据说已经划入迪士尼东片区的动迁规划中，已有招标文书但是村里现在迟迟没有动静，,,,
闲置空地20余年,待回复,城建 求助,凌***,2019-11-2616:20,领导您好：  浦东新区东明街道灵岩南路801弄凌云公寓小区，1998年建造，580户人家，车位仅仅地面60个。车位比例1：0.103，远远不能满足居民停车需求，目前消防通道、救护车通道经常被堵塞。向居委、街道、房管办等部门反映过难处，但是没有空地，确实困难。  经查阅小区竣工图纸，发现小区东侧靠近中环线高架，临近杨思港河道边，有块空地，历史上做过菜市场，经过20多年变迁，地块归属有了变化，目前听闻是市政道路绿化范围，建议能否进行地矿合理利用，修建健身广场或停车场，给小区居民停车，绿化部分仍尽量保留，采用植草砖等形式。上海国际性大都市，寸土寸金，这块地闲置已久，目前有人在种菜，也有施工队伍堆放了建材，实在可惜。  期盼合理开发利用起来。拆掉围挡，还老百姓合理天地，将来河道杨思港治理起来，也好进行。谢谢！,,,
投诉在居民区建药厂,待回复,环保 投诉,二***,2019-11-2613:49,张江高科园区规划的上海生物制药厂违背居民意建药厂，   环境破坏：项目附近水系丰富，戴家河是重要的自然水体，存在污染威胁。区域规划：项目旁边康新公路蓝靛路是规划中27号地铁的站点和区域商业中心位置，项目马路之隔规划有湿地公园和大型公租及回迁居民社区。药厂建在此地实在是匪夷所思！ “绿水青山才是金山银山”，我们作为附近的居民，强烈坚决反对在居民区新建药厂！！！,,,
金杨新村三街坊垃圾临时堆放点成垃圾山,待回复,环保 投诉,W***,2019-11-2610:18,1、浦东新区金杨新村三街坊临时垃圾堆放处紧邻居民聚集区，临时垃圾堆放的大件垃圾没有放入堆放处，而是随意仍在空地及道路上，很少清理，严重影响环境。垃圾运输车辆作业时产生噪音污染、扬尘，严重影响居民生活，希望领导协调小区重新安置小区临时垃圾堆放处，并加强垃圾清理管理，不能将大件垃圾堆放路边。2、生活垃圾不按时间段、不按分类丢弃现象严重，希望加强管理和清运。,,,
绿谷药厂建在居民区旁边,待回复,城建 投诉,c***,2019-11-2516:48,公示环评是八年前的内容，12345反馈说张江管委会正在开会研究，重视居民大量投诉意见，。可就在11/25上午，微博张江高科技园区公布最新消息，绿谷争取年内建厂，无视民意。规划土地使用性质为M1，药厂为工业用地M2性质，,,,
板泉路海鲜一条街严重油烟噪音严重扰民,待回复,环保 投诉,一***,2019-11-2209:16,领导好，上海浦东新区板泉路与洪山路口有海鲜一条街，大多数是炒菜为主。板泉路1037号黄兴阁海鲜，1033号老滋老味严重影响了距离不到10米的世华锦城的一排居民。领导们你们看到这一排居民的窗一定是紧闭的，因为油烟味非常大，他们的油烟机的噪音和地铁一样，一直从早上9点到凌晨不停。根本无法开窗。到了晚上高峰时间，关了窗依然能听到油烟机的轰鸣声。领导，我们这一排居民在太阳好的日子里也不能开窗。求领导处理！肉眼可见油烟从二楼排出，正对世华锦城56 57号居民，晚上噪音更加与地铁一样,,,
瓜子二手车，按照说好的价格付了首付,待回复,金融 投诉,W***,2019-11-2114:24,实在是不知道通过什么平台能解决现在遇到的问题，通过瓜子二手车订购了一辆车，之销售承诺的服务费给打折，首付下来一万二千多可以把这辆车开走，于是11.11付了意向金4510元，11.18号又付了6999，都是按照销售的示意来付的款，按照约定再付一千左右就可以办牌照上保险把车开走了，但是现在销售说还要另外再付二千多，说服务费不给打折了，我不同意，到现在两天了，钱也付出去了，他们没人再联系我了，打电话给他们也就是要我把这个钱付掉，不付掉说他也没办法，我现在怎么办，钱花了，东西也不给我,,,
夜间环卫清运依旧严重扰民,待回复,城建 投诉,l***,2019-11-2010:45,2019.10.19投诉，2019.11.13给了垃圾清运处理意见的回复，至2019.11.20，清运公司在此期间又多次在凌晨4点左右进行垃圾清运工作，噪音又再次恢复至原来的状态，平均噪音超过60分贝，峰值噪音超过70分贝。政府管理部门协调只能维持几天？还是清运公司可以无视政府管理部门对市名的承诺？还是政府可以一边哄骗市名，一边纵容垃圾清运公司在这半年的时间里无视居民的夜间休息时间？请问城市管理者，如何兑现你们的履职承诺？,,,
群租扰民问题一直未处理，严重扰民,待回复,政务 投诉,我***,2019-11-1913:41,您好领导，实在没有办法了，多有打扰敬请谅解！浦东新区康士路15弄44号10x室是属于群租房，70平米房子隔断三间房，每间至少三人，每天凌晨一点陆续才有人回家，摔门而入、高跟鞋满房走动关窗的刺耳声还有多种噪音，本来老房子隔音就差，这种情况严重影响我们正常生活，不到凌晨两点根本不敢休息，担惊受怕。我们多次向12345寻求帮助，相关部门有上门处理，他们是北京蛋壳公寓属于合租房子，至今未处理！！！！请处理一下这种情况吧，我们居民生活完全要疯了，老人也无法生活下去了，我们也无法正常工作！群租办和居委会都出面解决过，都说是符合条件要求，怎么可以在居民楼做营业性出租呢，太影响我们生活了，而且租借对象都是什么人都有，用电用水也不安全卫生状况堪忧，一楼阳台一塌糊涂，整整一年都是垃圾从不清理，我们实在没有办法了，只好多处寻找机会求助，真的连死的心都有。请还我们一个正常合理的生活环境，谢谢,,,
求助楼梯间加装公共烟道。,待回复,城建 求助,感***,2019-11-1518:43,我们是浦东新区潍坊路140弄小区，建于八、九十年代，由于楼房结构不合理，每层楼都有2家厨房油烟机排风口对着楼梯间，中午和晚上做饭的时候，楼道里都是油烟，空气浑浊，影响居民身体健康，希望浦东新区和潍坊街道领导能帮忙想想办法，建一个简易的公共烟道，谢谢！,,,
村外籍办工作人员做事不作为 ,待回复,政务 投诉,W***,2019-11-1517:50,连续两天进行外籍人士办理居住证，两个时间段都未有工作人员，第一次下午三点来，说人家下班了，第二次早上十点半 工作人员又告知外籍办人员不在现场需要下午在来进行办理。,,,
奔驰可达4S店 ,待回复,企业 求助,W***,2019-11-1517:35, 今年9月底在浦东新区可达奔驰4s店购买了E300L。行驶一周变速箱发生异响。投诉近两个月，无人处理，此店总经理 威胁我们再去店里维权就给我们颜色看看！ 12315没人管，工商联系不上 ,,,
