由于政府机关单位工作疏忽导致办理房产证资料丢,待回复,城建 求助,天***,2019-12-0210:06,区长您好！我家在浦东新区合庆镇，家里70多岁的老人为了房产证奔波了5年，因为政府机关单位人员小顾的工作导致房产证资料丢失，老人心急如焚，五年不停的奔波，也没有下文。恳请区长领导看在老人年纪大的情况下帮忙咨询一下情况，老人心理状况不佳，谢谢！,,,
居民反对家墙面外绿地成为临时垃圾堆放点,待回复,城建 投诉,W***,2019-11-2918:07,"一、没有任何人任何文件知会居民这是个合理的临时垃圾堆放点！（此处抗议！）。这是他们私下决定的。二、此处要求还原正常绿化。而为临时垃圾堆放点，全楼居民是一致反对的！三、谁能设定临时垃圾堆放点？什么样的地方符合设定为临时垃圾堆放点？临时垃圾堆放点是否有合理具体的管理办法？临时垃圾是否也要垃圾分类？谁是它们的监督单位？ 补充:
1. 2019年5月初至今已，长期的破坏和环境混乱，难免造成实地情况就像一片垃圾站，完全违背和忽视掉全国2019垃圾分类要求！时常会有路过居民就随处乱扔一丢（以为这就是垃圾站）。对此现象物业也没有管理而是长期的忽视，说法是随它去（这就是临时垃圾堆放点）。
2. 这些相关单位，如，都市庭院物业，都市庭院居委会，周家渡街道，对以上事实完全知晓，并是长期忽略的工作态度，是极不负责，极不作为的，居民严重投诉并抗议！
4. 实地现场环境是一天比一天越恶劣，肯请上级领导单位给予帮助！",,,
坚决反对绿谷药厂建在居民区旁边,待回复,城建 投诉,S***,2019-11-2617:03,"蓝靛路/康新公路交界处正在规划建设大型医药制剂工厂，该工厂距离阳光城丽景湾500 米，距离保利 艾庐800米，距离梧桐人家养老社区1500米，距离国际医学中心2300米，距离上海健康医学院南苑学 生宿舍1000米。  1. 目前针对该项目的环评存在着重大的瑕疵与疏漏。2. 已经公示的环评里面隐瞒了周围有居民区，幼儿园等教育机构的事实。4. 环评报告表内披露，工厂有5根烟囱，其中4根35米。环境破坏：项目附近水系丰富，戴家河是重要的自然水体，存在污染威胁。
区域规划：项目旁边康新公路蓝靛路是规划中27号地铁的站点和区域商业中心位置，项目马路之隔规划有湿地公园和大型公租及回迁居民社区。药厂建在此地实在是匪夷所思！
 
“绿水青山才是金山银山”，我们作为附近的居民，强烈坚决反对在居民区新建药厂！！！",,,
擅自改变地块用途；污染药厂离居民区500米,待回复,环保 投诉,c***,2019-11-2517:17,蓝靛路/康新公路交界处正在规划建设大型医药制剂工厂，该工厂距离阳光城丽景湾500 米，距离保利 艾庐800米，距离梧桐人家养老社区1500米，距离国际医学中心2300米，距离上海健康医学院南苑学 生宿舍1000米。  1. 目前针对该项目的环评为12年前的报告，存在着重大的瑕疵与疏漏。2. 已经公示的环评里面隐瞒了周围有居民区，幼儿园等教育机构的事实。4. 环评报告表内披露，工厂有5根烟囱，其中4根35米。,,,
坚决反对在居民区五百米外建药厂,待回复,城建 投诉,c***,2019-11-2516:48,绿谷将在浦东蓝靛路康新公路口建立药厂，药厂有五根大烟囱。可居民区就在药厂500米、800米外。已12345多次投诉，回复说张江管委会领导正在开会讨论。但今天微博官微宣布最新消息，不顾民意，不给明确答复，令百姓心寒。,,,
追讨工资，在昌硕被骗,待回复,就业 求助,L***,2019-11-2109:56,杭区长，你好！！我是一位远奔他乡的农名工。。目前在昌硕科技（上海）有限公司上班！！我是8.2号过来面试的。然后那个介绍人说做满75天和打卡满55个工作日后有7500的返费。。。到目前为止我一分钱没收到！！我现在还在在职，一个人没有任何办法。。。无依无靠，希望遇到你们的帮助,,,
翻建民房,待回复,城建 求助,馨***,2019-11-1816:34,领导您好，我是惠南镇城南村8组的居民。我们村里有十户左右打了翻建报告，报告有的打了快一年了迟迟不批。房子年久失修漏雨发霉，不适合居住，望领导帮我们问问镇里尽快帮我们解决一下。,,,
浦东联洋广场芳甸路一侧缺少人行道,待回复,交通 建言,洋***,2019-11-1810:53,浦东联洋广场芳甸路一侧（丁香路和迎春路之间）缺少一条标准人行道，目前只有一条弯曲的石子路，是要绕到联洋广场里面去的。这条石子路很滑，老人走起来很不便，而且还要绕远。这条路（芳甸路）本来应该有标准人行道和盲道，而且它前后的道路都有标准的直的人行道，就只有这一段没有。因此目前的设计应该是不符合道路设计规范的。希望尽快增设标准人行道，让老年人可以安心出行。,,,
没有户口没有身份证导致近3年无法正常生活，各,待回复,政务 求助,W***,2019-11-1414:55,2015年初三毕业之后，因为成绩不理想 ，母亲提出休学一年去复读，再去高中。复读第二学期刚开始的时候， 因为我的户口本来是广东那边的，而上海高中需要上海户口，母亲就带我回广东去办，但是她比较忙平时，然后广东的公安管理随意：有认识的人可以直接注销原本的户口，母亲就直接注销了，也没有办转迁证明等。带我回来之后，就着手在办理我的上海户口。2017年2月，她心梗 猝死，公安那边也因为她猝死的事情就没法给我办了。17~18年大概就是一直去跑各种部门，想办法弄。一直被告知，需要找到我的父亲。而父亲在母亲去世那天和他通过电话之后，就换了手机号，再也联系不到。我也没法出上海，根本不可能去找他，所以实在不知该怎么办。现在市民热线（12345）也不对我的反应做出回应。目前我材料齐全，公安只要求联系上父亲，要他亲口答应同意我在上海办理户口。母亲是本市户口，实在无法联系上父亲，我该怎么办,,,
未享受动迁安置证明街道找谁开具,待回复,政务 求助,Y***,2019-11-1314:04,尊敬的区长，本人因工作原因，从2018年3月通过上海的‘居转户’政策将户籍从安徽长丰县老家迁到上海，目前户籍地在上海浦东新区沪东新村街道。在户口迁入上海之前我在老家合肥已有一份承包责任田，今年我之前的村将整体动迁，按相关政策，原户籍在本村并且有承包责任田的可享有一定面积的住房安置，但需要现户籍地的街道开具：在我户口迁入后未享受住房安置的证明。所以需要目前的户籍地沪东新村街道开具‘未享受住房安置’证明。我就去街道咨询了此事，街道办事处的人告诉我去沪东新村街道管理处；然后我去街道管理处，那边的人告诉我，他们不开此证明，让我去找区征收中心；去了区征收中心咨询，那边的人也告诉他们不开此证明。经多方奔走，目前还是开不了街道的相关证明。想求助一下，我这个证明到底到哪能开具？期间我也咨询了‘12345市民热线’，得知相关证明需要到对应的街道办事处咨询开具；但街道办事处的人又说他们不能开，也没权限开此证明。互相矛盾的说法，让人实在无法理解。此事目前已反复咨询街道管理处多次，无果。,,,
周浦东地铁站往周祝公路路灯有几个常年不亮,待回复,城建 求助,W***,2019-11-1109:56,杭区长，您好，周浦东地铁站后面到周祝公路有一条小路，上面有好几个灯坏掉了，常年得不到维修，上下班有很多人骑电瓶车和走路经过，那条小路很窄，加上光线不足，经常发生刮蹭，很容易出事，希望能得到解决，谢谢您,,,
