万高汽车质保险不退,待回复,金融 投诉,华***,2019-11-2209:05,领导你好，我之前在万高买了一份平行进口车保险，汽车三大件的保险。现在我车卖了，不需要这份保险了，我给他们客服打了电话，他们客服反馈不退，烦请领导处理一些退险的事情，谢谢。陈诉如下：1. 当初买的保险是3年的，现在只用了1年多点，车子不到2万公里。2. 买保险按照3年买的，,,,
虹口区居民楼开设赌博房扰民,待回复,治安 投诉,j***,2019-11-1217:06,尊敬的领导您好：我举报的赌博场所位于上海市虹口区海伦路88弄2号**室，该房屋属于居民住宅，但户主非法开设赌博房/麻将室并以此为盈利手段。此赌博房导致2号楼深夜出入人员繁杂，为居民小区住户安全增加风险。另外，每天晚上麻将吵闹声音严重打扰居民晚上睡眠和休息，居民多次报警，民警劝说后继续扰民，我请求可以予以彻底的取缔。恳请相关领导关注并解决。,,,
高顿不要变相延长员工工作时间,待回复,其他 建言,匿***,2019-11-1210:49,上海高顿教育企业管理咨询有限公司，员工天天超长工作时间，让员工变相加班。早八点半晚八点半。请领导从根本上治理。不要搞形式主义，说早走的员工都是玩手机不好好工作的。#基层减负年#,,,
公司不给我办理离职手续,已办理,就业 求助,I***,2019-10-1610:13,我从2015年12月份开始在虎扑(上海)文化传播股份有限公司工作，于2019年8月底提出离职，已经超过一个月，公司始终以各种理由推脱不给我办理离职手续，我希望可以尽快办理离职手续，重新有个新工作，因为家里父母基本已经没有劳动能力，拖下去一天我的家庭就多承受一天压力。我的精神在一天天耗下去的过程中也几度濒临崩溃。,上海市虹口区人力资源和社会保障局,亲爱的网友，您好！    您的来信收悉，经区劳动保障监察大队与虎扑（上海）文化传播股份有限公司沟通协调，公司已于2019年10月29日向您寄出离职证明。区监察大队与您电话确认，您已收到离职证明，对相关协调处理结果无异议。    感谢您的留言，祝您生活愉快！,回复时间：2019-11-15 09:01
以罚代管,待回复,治安 投诉,r***,2019-10-1218:57,虹口嘉兴街道派出所2019年9月3日下午对我公司进行了消防检查，在前期未对公司进行培训、指导，明确消防标准和要求的情况下，就对我公司作出罚款1万元的处理，1、我们在此大楼办公4年多，前期从未接到任何消防指导、培训。2、没有任何整改机会及验收，直接进行处罚，目的就是为了罚款。3、罚款动辄1万，企业负担不起。4、我们要申相行政复议但还是要先把罚款交了，不交还有滞纳金。,,,
尊敬的区委书记，投诉棋牌室扰民！求助解决！,已办理,治安 求助,魏***,2019-08-1308:48,尊敬的区位书记，您好！我想投诉我所居住的小区赤一小区（密云路471弄）11号101室开设棋牌室，相当扰民。每天麻将要开到凌晨2点多，抽烟的人也很多，二手烟的烟雾相当浓，来棋牌室的人员也很杂，我们觉得很不安全，另外，我们因为是老公房，隔音相当差，第二天还要上班、上学，他们每天都经营到凌晨，对楼上和左右的居民造成了相当大的影响。请您帮帮我们！谢谢您了！,上海市公安分局虹口分局,网友，您好！    您反映的问题我局收悉。我局曲阳路派出所已对该址进行了治安检查，未发现涉赌违法行为，民警已会同居委会干部对该户住户进行教育，告知其注意噪音、二手烟扰民问题，一旦发现涉赌违法行为将予以取缔。上述情况我局曲阳路派出所已通过电话向您进行了反馈。    感谢您对公安工作的支持与信任！,回复时间：2019-09-03 10:28
东宝兴路地铁办公楼24小时空调噪音扰民,已办理,环保 投诉,白***,2019-07-1219:25,多次投诉治理没有效果，尤其是晚上噪音巨大。我们这里是居民住宅区，强烈要求该物业晚上把空调关闭或者调低频率。,上海市虹口区生态环境局,网民：    您好！收到您的留言后区委书记吴信保针对此事做出批示：要求妥善处理好噪音扰民问题。    我局曾在今年1月收到过相关投诉，执法人员赴现场踏看，确认噪声派为地铁站五楼楼顶平台24小时运行的中央空调机组，用来保障地铁三、四号线控制中心机房环境的恒温恒湿。我局多次与上海地铁维护保障有限公司相关部门沟通，希望落实降噪整改工作。7月初地铁维保公司完成了中央空调机组周边隔声屏安装工作。14日，我局对整改后的空调机组噪声进行监测，结果显示该设备昼间（6:00-22:00）噪音排放达标。居民反映噪声已有明显改善，但夜间噪声仍有一定影响。经我局再次与地铁维保公司沟通后，地铁维保公司夜间21:00至次日7:00关停楼顶空调机组，同时增建一组分组式空调机以满足控制中心设备在夜间对恒温的要求。    为确保该单位整改措施落实到位，我局自7月14日起每周两次对空调机组夜间停用情况进行跟踪抽查。因未能联系到您，7月26日，我局工作人员对前期投诉该处噪声的部分居民进行了回访，对方表示楼顶空调机组夜间确已停止运行，对处理结果表示满意。    感谢您的留言，祝您生活愉快！,回复时间：2019-08-08 09:56
上海维信荟智金融科技公司强制发放贷款无法结清,已办理,金融 投诉,遗***,2019-06-2919:51,我6月26号从上海维信金科公司旗下的卡卡贷平台申请一笔2万元代还信用卡，签约协议时被告知是一个月要还2000多一点，共计12期，我也认可该费用就签了字，申请完后他们很快就放款了，然后发过来帐单是一个月要2200多，还要强制买一份1500元的人身意外保险，我马上联系客服要取消该笔贷款，被告知已放款无法取消，除非一次结清，我马上操作该办法，页面却提示不支持提前结清该笔贷款，我又打客服电话申请查询我签约的合同，然后发过来三份合同，但发过来的合同我全部没有签过，我说没见过此合同，被告知是申请款项时签的套件合同，一份合同是担保合同，一个月218元，另外一份是咨询合同，一个月250元，还有一份是贷款合同，还要额外买一份永安保险公司1499元的保险，签字时发的全是套件，现在想结清也不行，我算了一下，贷2万元把各种手续费加起来一年要多还9000多，费用高的离谱，请各相关部门解决为盼。,虹口公安分局、虹口区金融工作局,网友：    您好！    经了解您反映的情况为因您误勾操作项目导致，经积极协调，该公司已与您达成一致，以贷款本金清贷并协助您向保险公司退保。感谢您的留言，祝您生活愉快！,回复时间：2019-07-23 09:14
小区棋牌室扰民,已办理,治安 投诉,M***,2019-06-0216:05,区委书记您好，我是虹口区水电路191弄，小区楼下28号楼有大量闲杂人员长期设立棋牌室，几乎每天从中午到凌晨1点一群人大声喧哗。之前也有很多居民反馈给居委会，居委会表示这个问题长期存在，他们只能尽力但是没法完全解决，现在实在是不胜其扰，每天窗户也不敢开，因为音量实在太大，晚上11点到1点尤其明显，让人没法正常睡眠休息，影响第二天上班。希望能派管理人员解决根除此问题，还给小区居民一个正常的休息环境，不胜感激。谢谢！,虹口公安分局,网民，您好！    收到您反映的问题我局广中路派出所即对该址进行了治安检查，当日发现该址内有六名男子正准备打扑克牌，民警即将该六人及房主口头传唤到所接受调查。因该六人系准备打扑克而尚未开始实施赌博行为，且事后悔过态度较好，房主也表示不再组织人员到该址进行赌博，民警在对该七人进行批评教育后放行。上述情况我局广中路派出所已通过电话向您进行了反馈。    感谢您对公安工作的支持与信任！祝您生活愉快！,回复时间：2019-06-21 11:08
有关虹口区非机动车交通执法的问题,已办理,交通 建言,对***,2019-05-1613:28,作为一个国际大都市，我觉得上海应该是一个多元，包容的代名词。而虹口区的普法工作明显存在纰漏，本人今天在人行道上骑行，被交警拦下。经过教育后，认识到了自己的违章行为，并缴纳了罚款。但罚款是走交警个人支付宝账户，执法记录仪似乎已成了交警的万能法宝。交警：不支持网络支付，没带现金你转我个人账户，由我代缴。我：可以。交警：记录仪都是有记录的。这件小事是否引人深思？,上海市公安局虹口分局,网友，您好！    因您提供的信息有限，缺少具体时间、地点及民警姓名/警号等内容，希望您及时与虹口公安分局警务督察支队联系（联系方式：23032068），便于我们进一步核实情况。感谢您对虹口公安工作的关心与支持。祝您生活愉快！,回复时间：2019-05-22 15:11
