标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
御府公寓,待回复,城建 求助,寻***,2019-11-2013:34,尊敬的金山区委书记您好，几年来上海市金山区亭林镇御府公寓一直以“长期租赁”的名义，对外违规销售公租房，骗取老百姓的血汗钱。本人于2016年在开发商虚构事实下，说是:这是政府扶持，合作项目，3到5年后可以办房产证，现场有售楼处，有样板房，有营销团队，还有砸金蛋，在热闹非凡的情况下我花了68万多买了59.23平的小户型。早在2016年12月就有举报了，为什么买了几年后才说违规呢？为什么不通知受害者？为什么不加强监管力度？为什么还让开发商继续对外销售房屋3年多呢？请领导明查直属管理部门!追回老百姓的血汗钱!目前现状:政府说清退，开发商说没钱。我们要面临钱房两空了!我们真的走投无路了!恳请领导还公道于600多老百姓,,,
小孩游乐园受伤，游乐园不管不问。,待回复,企业 投诉,那***,2019-11-1314:04,你好赵书记，我小孩于2019年10月2号，在上海服指商务咨询有限公司旗下的游乐园发生安全事故，地址是上海市金山区枫泾环东一路65弄65号1453室，脸部缝了4针，反正毁容。事情发生是小孩玩滑梯导致的，经过是我小孩滑滑梯下来后刚起身被别的小孩撞倒了导致脸部创裂，现在该游乐园不闻不问，事情发生这么久了医疗费都没出，打电话不接逃避责任，但是有三方责任，第一：我作为家长有也有责任，没有做好监护人的作用。第二：撞倒我小孩的也有责任，但是里面有几百个小孩，根本就找不到那个小孩。第三：游乐园也有责任，未做到看护义务和及时清理和检查游乐园内有无尖利物品，还有就是管理混乱，随便大人小孩进去，不进行安检登记。现在需要游乐园最基本的医疗费要先出了吧！可是没有，目前在上海市书记李强领导人留言处留言，但是过了快一个月了，只是通过审核没有回复，不知道是不是留言留错地方了，所以请赵书记您为我主持公道。,,,
上海蓝泰展览公司欠我临时工工资,待回复,企业 建言,匿***,2019-11-0710:06,领导好，四月份上海蓝泰展览公司叫我们去杭州做车展打下手，工资工资还欠二万多，一直要到现在，公司承欠我钱就是不肯打条子，我不知怎么办，望有关部门能帮帮我，我也快六十的人，这笔钱我要干半年。谢谢。,,,
上海浩卓贸易公司产品质量问题不售后,待回复,企业 投诉,s***,2019-06-2718:51,去年1月在淘宝上买了一台打印机，企业名称是上海浩卓贸易有限公司。今年就坏了，打不了字。卖家不管，说是自然消耗。关键我买回来都很少用！基本一个月用一次。又是家用，偶尔打几张照片打几段话欣赏下。没有打到十几张纸，居然就坏了，怎么自然消耗？卖家也不理，不管。明显是质量有问题啊。如果我是商用，天天用一年时间坏了，我还可以接受。关键还没打到十几张纸就坏了，谁都过不去！质量有问题还不处理，明显是假货有缺陷，希望相关部门还我一个公道！谢谢,,,
活禽交易,待回复,三农 投诉,独***,2019-06-1916:22,漕泾镇中一东路469号对面活禽交易、中一东路434弄活禽交易，这两个位置多次举报确不起作用！,,,
赵卫星委书记你好！ ,待回复,其他 求助,漫***,2017-11-2514:15,位于金山区干巷镇白漾新泾村2063号，住房后面养的鸡鸭，粪便长期不清理，气味难闻。早晨4-5点鸡鸭呱呱叫，休息不好。请领导关注一下,,,
金山区朱泾镇新农社区浦银五村安全隐患众多,待回复,城建 求助,匿***,2017-09-1613:47,赵书记：您好，我是朱泾镇新农社区浦银五村居民，我们小区存在太多的安全和火警隐患，现抓两个重点来反映一下。1～小区车库都被私自改变使用性质，用于自住或者出租，乱拉电线，液化气钢瓶使用情况毫无规范，同时又侵占了本来就少得可怜的几个车位。2～原小区北围墙后有个私人服装加工厂，就是一排搭建的彩钢板房，是不是违章我不知道，也暂且不提，可厂家在小区围墙上开了个厂门，进出货，厂家自有车辆和货车全部在本身不宽敞的小区道路进出，在小区内随意停放，布料等随意堆放，无灭火器等消防设备配套，更有多次工厂人员半夜三点还在小区内争吵，实在扰民。这两点是比较突出的，居委会也无人管理，无奈只能求助赵书记，望有关部门核实后进行政治！谢谢！,,,
拆迁安置,待回复,其他 求助,s***,2017-08-2917:51,"本人是上海市金山区张堰镇鲁堰村内一名普通村民.因房子拆迁安置于海悦馨苑,本人家庭成员共6名,我父亲,我母亲,我爷爷奶奶,我及我爸离异的前妻.按照拆迁原则,我独生加大龄未婚一共90平,我爸妈60平,我爸前妻60平,我爷爷奶奶60平,(我也爷爷奶奶户口本是单独的一本).算下来加上政府贴的平方一共190平,这次海悦馨苑选房中套面积97,小套面积67,我安置了三套小套,一套中套,按照政策我想买两套中套,两套小套,超出总面积11平,(前妻按照政策不算,算得话是18平).可是张堰拆迁办人员说一个平方不能超,后来发现其他人家都是超出总面积的,有的十几平,有的甚至超出总面积三十几平,试问为什么人家超了能买,我超了11平不能买,我只想保证自己应得的利益,既然不能超平方那就每家都不能超,现在已经安置好了,我恳求我家重新安置选择户型,不想自己利益得到损失.",,,
枫泾杨进浜整治河道问题,待回复,环保 投诉,匿***,2017-06-0116:36,我想说下我们家房子靠河边很近，上次挖泥机挖过之后旁边泥土就塌陷下去了这对我们房子来说我觉得有安全隐患，不是说整治河道水域面积只增不减现在却反而缩小了，整治这个河道弄的原本就那么点的地方现在连蔬菜都中不成了，这哪是给我们带来福利，望给个满意的答复,,,
城管不按法规拆违,待回复,城建 投诉,匿***,2017-05-1815:02,2017年5月17日9点45分，金山区城管电话67290031答复农村拆违法规是除宅基地证外的所有建筑物！也就是说违建户几乎是100%！因为宅基地证的注明只有住宅楼，一般农村在住宅楼旁边都建个厨房，卫生间等，也就是说这些厨房间，卫生间等都在违建之列而全部拆除！那么金山区城管在拆除违建时是否看过宅基地证！更是宅基地证外的违建全部拆除！你们执行了吗！,,,
请严治不良中介,待回复,其他 建言,匿***,2017-03-1517:11,希望该地能加强对中介公司相关人员的管理，使克扣暑假工押金以及其他费用的情况能得以解决，让刚步入社会的青年更多的看到真善美。,,,
工伤求助,待回复,其他 求助,匿***,2017-01-1816:46,书记你好我是云南的！来到上海打工受了工伤。在石化555号行政大楼做了工伤认定。现在工厂倒闭老板跑了。1月10号到我工伤认定的地方问给我做工伤认定的同志说叫我等半年后才可以去鉴定。可是我现在跟本无法工作生活费都没有等不了丨，他们说这也没办法！还有问他们鉴定以后找那个部门他们也说不知道，我现在实在不知道怎么办！所以向书记您求助,,,
张堰化工区周围安全距离,待回复,环保 建言,匿***,2017-01-0216:15,张堰化工区已建成多年，但规划进展比较慢，有项目落项目。纵看整个化工区规划，周围居民都离的非常近，有些甚至在1公里内，这对居民的健康造成严重影响。因重新合理规划，至少10公里才是安全距离。对于拆迁补偿，政府的压力也很大，可以通过上级资源支持，二是继续扩大招商力度，三是以房换房。,,,
关于河道长期不清理存在的潜在危险及河岸塌方,待回复,环保 求助,匿***,2016-11-3010:43,赵书记您好！看到有整治金山河道的报道，规划是某几个点先重点整治。但是亭林某村的一条河道由于长期未清理，导致垃圾，树根等许多堆积在河道上，淤泥沉积也使得河道变浅，时间一长河水已经变黑。局部河岸也塌方的厉害。虽然变浅的河却更危险了，因为很有可能掉下去后会被树枝，玻璃等刺中。严重的会导致死亡。有人曾掉下去过，虽然没有发生悲剧，但是这个隐患一直存在。希望可以去查实，尽快解决。,,,
石化十村低保费用被贪污,待回复,政务 求助,匿***,2016-10-1915:33,我来自一个石化十村的普通住户，我母亲因为身体问题在家待业，家中就只有父亲的每月工资两千块的唯一经济来源而我是一名大二学生，目前家中最大的经济问题就我每学期一万五的学费，因此我母亲去申请低保，但是被十村居委会以“我是成人，可以自己养活自己”为理由驳回，因此我怀疑是我的低保费用被贪污，希望领导能帮忙调查一下，感激不尽（附有我母亲的聊天记录）,,,
生活,待回复,城建 求助,匿***,2016-10-1615:53,杨市长你好我是上海金山吕巷镇的市民，我们这好久都在用煤气罐，相当不安全，不知道煤气管道何时能排到我门这里，杨市长帮我们解决下吧,,,
外工者的人身安全谁来保障,待回复,治安 求助,匿***,2016-10-1113:58,赵书记您好！我是一名甘肃来金山的打工者，9月30日晚上被一名醉酒者故意碰撞导致鼻腔大出血及鼻骨骨折，当场我己昏迷被同乡报警及送入医院救助，过后蒙山路派出所民警来做了笔录并拿走验伤单后至今无人问津，责任人也在外逍遥自在并未受到任何限制，住院期间所有费用都是老乡凑的，如今我是债台高垒身无分文，去派出所询问被告知民警很忙让我等至少还要一个月，，，，，我一个弱女子想拿法律武器维护自己的合法权益怎么这么难，，，，无奈之下只好求助政府深切盼望赵书记能帮忙还我一个公道，让犯法者受到法律的制裁谢谢，,,,
对朱泾汽车站的公交车行驶走向的建议,待回复,交通 建言,僻***,2016-09-1614:27,朱泾汽车站的公交线路大部分是向东去的，但公交车驶出车站大门后都要左转向西行驶约300米，然后左转进入东风路再左转驶入320国道。这样东去的公交车多驶了约600米还多了2个左转（左转比右转不方便），这既多耗了燃油（也多污染了大气）又延长了公交线路运行时间，还多耽搁了乘客的时间。希望朱泾汽车站的向东去的公交线路公交车驶出车站大门后右转向东驶，这样既节省时间又省油省力。另外，建议“朱枫线”出车站后右转进入罗星路，向北到万安街左转，沿万安街到万安桥，再按照原路线到枫泾。在万安街（罗星路口）和紫金广场设上下客站点，以方便镇区乘客去枫泾。 希望有关方面加以考虑。,,,
G15省界治安差，偷油太猖狂,待回复,治安 投诉,匿***,2016-08-1308:25,我是开大货的，在晚间疲劳时在浙沪省界收费广场休息一会，本以为安全没想到油被盗，已发生好几次了，公安部门能查处而不要加强巡逻,,,
上海睦艺实业有限公司消费欺诈问题,待回复,企业 投诉,匿***,2016-06-2609:43,消费投诉举报信  6月6日在“谱霖斯顿厨卫”店铺（企业：上海睦艺实业有限公司）花2140元买了一个石英石水槽（订单号：1600914652990261）。收货后发现水槽表面遍布孔洞，商家多处存在欺诈：    1、产品无厂名、厂址、联系电话，来源不明。收到的商品外包装和包装内部均无使用说明书、合格证等，更没有厂名、厂址等信息，属于三无产品。多次与卖家沟通要求其提供厂家生产许可证，一直提供不了。同时商家表示自己就是厂家直销。从商家提供的国家化学建筑材料测试中心检验报告来看，生产单位是“上海睦艺实业有限公司”经查，该单位营业执照经营范围并没有生产水槽资质。    2、卖家售卖的水槽属于不合格产品，却欺诈消费者属于正常工艺。商家提供的国家化学建筑材料测试中心检验报告里载明，外观质量中一项“表面 光滑平整、不允许有气泡、杂质”方为合格。但卖家给消费者的解释是有气泡属于正常工艺。显然卖家知道不允许有气泡，却依然将不合格劣质产品给消费者介绍为正常、合格产品，属于典型的欺诈。3、产品虚假宣传。在商品页面介绍里多次出现：主体材料为进口天然石英石、德国工艺、德国材质、德国赛道阀芯等。当初也正是因为相信了这些介绍，才买了水槽。结果让商家提供相关证明，商家辩称自己进口是不纳税的，什么都提供不了。构成欺诈。4、商家一直不提供发票，索要后无回应。要求：按照消费者权益保护法第五十五条，经营者提供商品或者服务有欺诈行为的，应当按照消费者的要求增加赔偿其受到的损失，增加赔偿的金额为消费者购买商品的价款或者接受服务的费用的三倍。,,,
拆迁,待回复,城建 求助,哈***,2016-05-3015:52,我们一家是在朱泾做冷冻批发的，租的仓库房在万丰公路两旁，属于违建，即将拆除，所以我们家就每天重找房子建库，找房子就找了好多天，找到房子后现在房东已经在申请增容三相电，可这边我们冷库的电已被砍掉，冷库里十几万的货怎么办啊，两天用不到就化完了，我们也想尽  早搬走，也一直配合政府，可我们就是做小生意的老百姓，那边库没建好往哪里搬啊！希望政府给予帮助,,,
亭林长三角西面（加油站北 车亭公路边）,待回复,城建 投诉,匿***,2016-05-1510:25,尊敬的领导你好，我是亭林长三角的一员，我反应的事是亭林长三角商铺西面和南面环境，亭林现在是全国文明城镇，近期的五违整治让亭林又格外感觉靓丽，但是在亭林长三角商铺西面和南面，短短不到0.5km，杂草众生，坑坑洼洼，乱乱摆乱放，严重影响整体环境，现长三角三期已成型和大居门口也即将整理的非常清洁，唯独亭林长三角商铺西面和南面，格格不入。为了亭林整体效果，尊敬的领导是否可以将这个地方整整平种些花草，给商铺门口留出足够的停车位和行车道，目前的窄道都会给居民带来危险，听说这里都是国家的土地，物业也无法整理的。,,,
居民家里养狗的事情,待回复,治安 投诉,匿***,2016-04-1910:05,我是来沪打工人员，我在朱泾镇工作，我向你们反映一个情况，在朱泾镇的大街小巷，随处可见遛狗的人，基本上有一部分的狗主人用缰绳拴住狗，还有一部分的狗主人是自由将狗放养的在街上，我觉得这很不安全，给居民给社会造成一些不安全的生活环境，希望你们有关部门尽快落实以及规范养狗。谢谢！,,,
关于金山聚众赌博夜间扰民事宜,待回复,治安 投诉,匿***,2016-02-2519:51,敬爱的杨书记，您好！    我是金山区枫泾镇兴塔新苑10区的居民，想反映一个我们小区的问题，就是现在小区聚众赌博和开麻将馆的居多，每晚搞的很晚，严重影响居民的日常休息还破坏了家庭幸福。我老公就是受这影响每晚不着家，整晚都要搞到半夜凌晨回家，聚众玩麻将、童子功等恶性赌博。现在小区挨家挨户麻将馆开的很多，一家总会有个5~6个麻将桌，夜晚还吵的睡不着，有时候为了一句话一张牌大声喧哗，打架都有，这样的风气严重影响我们10区居民的休息。,,,
请问在外地生孩子到当地报销吗？,待回复,医疗 咨询,匿***,2015-12-0814:01,我是四川的，父亲在老家买了农村合作医疗，请问我在上海孕检和生孩子可以报销吗？报多少？需要什么相关证据呢？谢谢！,,,
关于龙航路多年来的断头路，区政府什么时候能通,待回复,交通 求助,匿***,2015-08-1508:48,金山区的龙航路成为断头路,,,
小孩子玩充气城堡摔伤，没人愿意承担责任,待回复,治安 求助,匿***,2015-08-0618:49,2015年6月20日下午三点左右，我小孩在易家中心广场上一个充气城堡上玩，结果从充气滑梯上摔落在充气气垫上，因为觉得气垫是软的，也没在意，就把小孩抱回家了，1个小时左右发现小孩胳膊肿了，赶快送去医院检查，拍片发现小孩肘关节骨折，需要做手术，因为当时已经是晚上六七点了，而且金山这边的医院儿科不做手术，所以也没报警，直接叫了120把小孩送去闵行儿科医院去了，手术期间，一直陪着孩子住院，也没时间回来，6月26日下午，小孩做完手术出院，27日上午，我们找到易家中心并同时报警，经查，该娱乐设施是上海圣迹实业有限公司的娱乐设施，派出所民警问他们买了保险没，他们说买有保险，后来我们一起到派出所分别做笔录，做完笔录，金山卫派出所周警官给我讲，说对方负责人不在，我这边因为手术费用也不全，后期还有费用，让我等小孩好了，发票都齐全的时候，再看下总共花多少钱，算下误工费什么的，对方买有保险，理赔下就好了，因为是派出所这样讲的，我就相信了，7月29日，小孩子术后钢钉拆除，我到派出所问这个事情，周警官突然说，人家不承认小孩在那里摔伤的，不愿意赔偿了。我就要求去调取监控，周警官和易家中心通了电话，说是监控只保存一个月，现在没有了。我想问下，既然对方不同意，为什么当时让我等费用全部出来呢？为什么当时不调取监控把事实确定下来，6月20日发生的事情，6月27日报警，当时监控肯定有的？对方负责人电话周警官是有的，期间联系，对方不同意，为什么不通知我？一定要等到证据没有了才通知我，而且和易家中心打电话背着我，不让我听，我觉得完全是他们之间相互勾结，先骗我，一直到关键证据没有了，再翻脸不认帐，上海圣迹实业有限公司，作为小孩娱乐设备的运营商，出了事故，不愿承担责任，金山卫派出所民警失职，不作为，导致证据丢失，现在我起诉的证据都没有了，请杨书记帮我处理下这个问题，社会强势群体和执法机关就是这样糊弄哄骗我们老百姓吗？,,,
企业住房公积金是强制不低于7%吗？,待回复,企业 咨询,匿***,2015-02-0708:40,1、是否强制不低于7%2、计量基数是否是应发放工资，因为公司的应发放工资包括 基本工资、绩效工资、岗位津贴，而住房公积金应该是哪个乘以7%？,,,
请领导救救我们母子,待回复,征集 群众路线,匿***,2014-06-0410:11,我是来金山的外地人，2005年与金山朱泾镇东林街95号居民胡坚士结婚，孩子现在已有十几岁上初中了，成绩优异，可我丈夫多次到派出所为孩子申报户口无果，我的户口也无法迁进来，4月中旬丈夫突然得脑溢血去世，我先后找到当地居委会、派出所、镇政府都没人管，派出所还借我丈夫去世为名没收了我丈夫的户口本，如今我可怜的孩子成了黑户，我们母子举目无亲、无依无靠。丈夫的房产还被其前妻和女儿强占，我们母子只能流落街头，救救我们母子吧。党中央不是在反“四风”走群众路线吗？我们这些苦难的老百姓为什么没人来管呢？,,,
军转干部呼声！！！,待回复,征集 群众路线,w***,2014-04-1709:28,国务院、中央军委（2001）3号文件第三十五条　“计划分配到党和国家机关、团体、事业单位的军队转业干部，退休时的职务等级低于转业时军队职务等级的，享受所在单位与其转业时军队职务等级相应或者同等条件人员的退休待遇。本条规定不适用于到地方后受降级以上处分的军队转业干部。”   也就是说，我们军转干部退休后享受的是降级以上处分的待遇。关于第三十五条，上海十几年来从未执行过。欺骗了广大军转干部，是不讲诚信的表现！也是对现役军人的欺骗,,,
上海金山忠诚数码破产公司员工的咨询,待回复,企业 求助,匿***,2013-12-1212:30,我是上海金山忠诚数码破产公司员工之一，我们公司在上海金山区东日路 186号，与今年7月份宣布解散，根据国家劳动法 我们员工应得到赔偿金，当时我们去过金山区政府和劳动监察部门，他们答复的是要等公司拍卖以后 才会得到补偿。现在公司已经成功拍卖了，但是 补偿金的事 就无下文了，不知道书记可知道此事。我们并无过分要求，完全是根据国家法律来，当时也是答应 给与补偿 当时也叫我们留的个人的资料和银行卡卡号。请书记在百忙之中 帮忙处理下此事。 静候回复，如果得不到处理 我会向上级领导反映此类情况,,,
石化老人何时能够方便打吊针,待回复,医疗 求助,匿***,2013-11-1716:11,石化九村医院为啥不能帮病人打其它医院配的吊针   此规定害死人不知哪个领导为啥要作这样的规定  这规定害死人他知道吗,,,
金山区枫泾镇青春苑住宅小区的水质严重污染,待回复,环保 咨询,匿***,2013-09-2009:24, 金山区枫泾镇青春苑住宅小区水出现严重污染水的颜色发黄，我们和小区物业多次反映都无法解决只能向金山区人民政府反映请政府帮助解决,,,
标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
