要求英孚英语退款退贷,待回复,教育 求助,G***,2019-11-0417:17,王区长，您好。本人在上海市长宁区长宁路1018号龙之梦商场的英孚英语报了24个月的线上线下课程，上了几次课后，发现课程内容和介绍相差甚远，报名时说：1.全程课程顾问会全程负责、跟踪指导，实际上从上课到到要求退款5个月以来，就联系过我一次。2.小组会话一节课45分钟，自我介绍就要浪费10分钟。3.遇到单词发音不确定时，向老师询问，老师不管你读的是什么，老师都说对。4.上课级别根据每人的测试结果进行安排课程，没有测试，直接写了一级，上课又是三级。5.学习过程中，我发现我和别人花一样的钱，上课的时长不一样，别人都是30个月，我才25个月。我第一次要求退款，却拒绝我退款。因为教学质量的下降，我实在忍受不了再次要求退款。我提出退款后，英孚一开始是拒绝的，要求我发律师函再说，后来又要收取我7个月的课程费+剩余金额的20%违约金。后来我咨询过很多退款的学员，大家退款方案各不相同，同一个地区，同一个中心，竟也会有差异，是欺负我吗？价值38949的课程，我才上课5个月，却要扣我近20000元的课程费，这是什么逻辑？退款之路艰难，望区长帮帮我吧。,,,
国家体操中心旁边停车场乱贴劣质商业广告,待回复,城建 投诉,勇***,2019-10-2514:32,上海市中山西路555号绿洲大厦停车场，乱贴劣质商业广告，影响上海文明建设和上海市市容。,,,
洒水车操作人员故意对准行驶中的自行车百姓喷水,待回复,城建 投诉,玉***,2019-09-3012:04,"2019年9月30日早上8点45分，在中山西路（内环高架路）与安顺路段。上海长宁园林绿化建设有限公司的橘黄色洒水车，车号:沪E F3071洒水车操作员工故意对准自行车道上行驶中的电动自行车百姓喷水！而且很多骑车人员都停下等他把喷水口降下，但是站在车后的操作人员更是对准已经停车的骑车人员继续故意喷水。对此进行投诉！站在车后的操作人员故意对准行车人员和已经停车的骑车人员继续故意喷水。
这种行为是恶劣的。这样做不但会造成自行车行驶人员身上半身都湿了，而且容易造成行车危险。并且在场被喷到的人都非常气愤。影响城市形象。
会选择这样的时间敢做这种事情。因为是8点45分左右。被喷的都是赶着上班的上班人员。这样做不是第一次了。可以调动当时的车况录像能够看的很清楚。
这种行为完全是可以避免的。稍微把水枪往下放一点，或者晚几秒钟再洒水。所以明显是操作员工是故意对准骑车人员喷水的，行为非常恶劣。
对于这种行为必须投诉！",,,
住宅小区周末扰民施工何时休,待回复,环保 投诉,小***,2019-09-2219:33,按照上海市有关规定，住宅小区周末不能施工，但总是八点就被吵醒，跟物业和居委会投诉反映多次均无实质性效果，因其无处罚权，施工单位总是敷衍了事，下次再犯，12345也打过两次但还是交居委会处理根本无法解决问题，请问区长如何才能杜绝这一现象，保障我们休息的权利。地址在水城路虹日小区。,,,
三分钟快取临时身份证机无法使用,待回复,政务 投诉,P***,2019-09-1614:03,1、最近在上海各区安置了临时身份证制作一体机，宣称三分钟出证 2、到了现场使用机器发现制证模糊，完全无法使用3、民警说该机器经常坏4、由于一天内只能申请一次临时身份证办理业务，导致当日无法再次办理,,,
享骑出行恶意不退还299元押金,待回复,金融 求助,Z***,2019-07-2619:16,享骑出行恶意不退还299元押金，已经拖欠数月，作为还没有开始挣钱的穷学生299元确实有些多，麻烦您了。,,,
瑞冬小区非机动车占车位无人管理,待回复,城建 投诉,n***,2019-06-2809:09,瑞冬小区，长宁区剑河路409弄，年初张贴告示不允许非机动车抢占车位，但仍有部分常年占车位，向物业反映后被告知：“如果你有监控可以把他们非机动车移开”，我不知应该如何理解，为何大多数遵守规则，少部分常年违规但物业视而不见？,,,
拆除违章建筑 提升城市形象,待回复,城建 投诉,y***,2019-06-1915:22,长宁区区长顾洪辉，你好： 长宁区虹梅路3888弄延北小区违法搭建成风，底层许多违法建筑搭建情况严重。另外该小区约有40多户业主在顶层公共空间均未办理任何审批手续，肆意改变楼顶的结构，拆墙开窗，铺设地板等，改变楼顶的承重。这些违法建筑大都采用简易的建筑材料，经过风吹日晒会出现生锈、翻翘、松动等现象，大风天气还容易被刮掉，所以这些违法建筑存在很大的安全隐患。        希望长宁区政府要把“五违四必”工作作为重中之重，集中精力打好“五违”攻坚战。虹桥街道领导要下定决心，对小区开展彻底的综合治理，对虹梅路3888弄延北小区违法搭建进行集中整治，对违法用地、违法建筑、违法经营、违法排污、违法居住“五违”现象采取零容忍态度，加大力度开展“五违四必”整治 ，坚决依法拆除违法建筑。建设美丽家园，让市民人的居住环境更整洁、更舒适。,,,
网购平台欺诈顾客，长宁区市场监督管理局不作为,待回复,企业 投诉,愤***,2019-06-1406:57,本人于2019年5月31日通过拼多多平台途谷官方旗舰店购买一部苹果手机，单号为190531-056922277112934，6月1日收到平台退款，无任何理由强制关闭交易，经询问途谷客服表示不知情 ，关闭交易是拼多多平台单方面操作。经多次与拼多多客服协商，无果。6月1日投诉至12315，受理单位为长宁区市场监督管理局，诉求为要求拼多多平台继续履行交易。6月13日得到12315投诉平台书面答复，拼多多平台已对消费者做出解释，对于消费者其他诉求无法满足，调解依法终止。在6月6日，曾接到拼多多客服一次电话，告知我终止交易理由为平台规定参加活动商品收件地址相似视为同一买家（本人收件地址为高校）。对于整个事件我想表达以下意见:1.拼多多回复的结果是基于其不平等活动条款之上的，拼多多平台并不能证明我曾经已经享受优惠购买商品，换言之，拼多多平台不能依据此条款拒绝该地址周边人员（即平台规则所谓的相似地址）购买活动商品，我要求拼多多平台继续履行交易协议，按活动优惠提供商品。2.投诉期间，长宁区市场监督局并无人员联系本人进行调解，单方面根据拼多多平台回复就终止了调解，且无法继续沟通申诉。3.本人在12315平台投诉诉求与上述第一点相同，仅要求拼多多平台继续履行交易，正常供货，长宁区市场监督局回复平台无法满足此要求，拒绝调解。正常付款参加优惠活动购买商品却被告知调解失败！总结以上我认为长宁区市场监督局存在行政不作为问题，望予以重视！,,,
外地62岁残疾老人无证骑三轮摩托车被扣,待回复,交通 咨询,晶***,2019-05-1620:55,我只想尽快拿回三轮代步摩托车。我腿部残疾，我没有驾照拿回来就卖掉车子。车子合法z,,,
外买的厨房问题,待回复,城建 投诉,W***,2019-04-2210:00,区长您好！长宁区中山西路1700号联华超市，里面旁边的一间厨房间，以前是猫代和凉皮先生的厨房间，现在又换什么牌子的厨房间，看上去像杂物间很肮脏的，开了有三、四年了，没有人来查的，外卖网平台也没有地址的，反映两年多次，区食品监督网站和手机微信号都反映多次了，没有结果 你们派人去看看，太脏乱差了！,,,
