欺骗消费者,待回复,企业 投诉,N***,2019-11-1615:51,2019年10月17日，我在上海寻梦信息科技有限公司旗下的拼多多app下的店铺怿想天开运动户外专营店买了一双球鞋，在发给我之前并没有说鞋子有任何瑕疵问题，当我收到鞋子时并未仔细检查，在收到货10天后发给平台查验时发现鞋内侧标有严重瑕疵，平台鉴定为不合格，我向店铺客服寻求帮助，店铺客服以各种理由推脱责任，我不能接受这样的售后态度，我用全新的鞋子价格去购买的鞋子，发给我的却是有瑕疵的鞋子，已经严重影响,,,
拼多多签到领现金活动涉嫌诱导、欺诈,待回复,企业 投诉,e***,2019-11-1515:18,事实经过：拼多多app页面上显示签到可领100元现金，规则里又提到涉及异常可能会以优惠券形式发送。我通过正常途径达到领取条件，却以500减50的形式发送优惠券。投诉事项：一、未在规则中说明优惠券非无门槛，而是满500-50，涉嫌侵犯我的知情权，将参与方置于不平等地位；二、规则中说涉及异常才发优惠券，而我是一个个转发提高的金额，请提供异常证据。述求：解释说明，优惠券换为无门槛或现金,,,
拼多多虚假发货，消费者维权难,待回复,企业 投诉,董***,2019-10-2420:44,"您好，本人九月三十日在拼多多APP上购买了一部手机，十月三日货到后发现里面没有所购买的手机，只有一张手机贴膜和USB小夜灯，发的这些  只是些赠品，这几日我多次找拼多多消费者热线，在本人未允许情况下私自退款，补偿因之前客服说找不到卖家了，只能退款，说明拼多多对自己对商家监管不力，付主要责任，对于他说的很不满意，出了问题只会推脱，图片上诱导，欺诈，更是比比皆是，当时拼单时，我也以为是假的，但是好多人都在拼我四次才拼到，得有多少人上当受骗了，货发出来店铺就把所有商品全部下架，拼多多身为第三方监管，对此事不与理会，而且我发现都过了二十多天了还有类似商品在售卖，曾与12345和12315多次联系未果，长宁市场监督局曾告与我说不行找司法，对此我想问句  这个部门应该管什么，只问拼多多公司  不联系消费者  给出的意见不敢苟同，消费者维权就这么难嘛，315了就管下，不315了就不管了，希望王书记秉公执法还消费者公道。

",,,
老旧小区市政改造 6点施工噪声,待回复,环保 投诉,W***,2019-10-2116:53,1.玉屏南路113弄，天天早上6点施工，噪声严重扰民，投诉市长热线无果，小区集体去街道投诉也无结果，还有没有王法了，再不行，我们只能再往上投诉2.家里有心梗患者，邻居有小孩，我们真经不起每天6点开始的电锯声，民声四起3.工人说还要到明年下半年才能结束4.请领导重视，再不处理，我们真的被逼的走投无路了,,,
长宁区旧区改造工程出现质量不达标工期延误问题,待回复,城建 投诉,武***,2019-10-1717:14,"尊敬的王书记您好。今年下半年在天山路街道天山三村小区进行了旧城区改建工程。施工大概从6月份开始进行，原定一栋楼工期在1-2个月内完工，但是如今已经到10月份了还在进行施工，工期一再拖延未定。严重影响了小区内居民的生活。且有多处出现了疑似豆腐渣工程的情况。比如插座松动，等离子电位箱箱体外露，墙体破损，电线外露，多管道外露，橱门错位，部分管道尖锐端外露，极不方便且有安全隐患。向施工负责人反映后迟迟没有处理!原本的一些家具，装饰因施工被拆卸下，但是现在施工负责人拒绝将原本家装复位装回。且施工垃圾都堆于家中，需要我们住户自己进行清理。给众多住户带来了极大的不便。
我奶奶现因施工暂住我们家中，且老小区内多老年住户，超出工期的施工已经严重影响了大家的生活，且一旦因安全隐患发生事故，后果将不堪设想。
曾多次向施工负责人反映问题，都得到的是模棱两可的答复，且其对反馈的问题始终保持冷处理，消极处理的态度。
小区里的老年住户部分由于知识程度受限，只能闷声打落牙往肚里咽。在此我也代表大家向政府部门寻求帮助，望书记在百忙之中能抽空为大家关注一下此问题。
在此向书记表示由衷的感谢，谢谢您!",,,
街道办事人员不负责任，导致了居民的损失,待回复,政务 投诉,小***,2019-09-1014:57,"我于6月27日去北新泾街道社区事务受理中心咨询工会住院保险的事情，工作人员给我一些相关资料让我回去考虑，也没告知6月30日就截止办理缴费了，我由于不知情，于7月初才去办理，被告知已经停止办理了，下一次就是明年了，我根据公式计算一下，总计我们损失一万以上，工作人员说无法弥补，办理通道已经关闭。我拨打了12345,但是她们给我的回答也是无法弥补，而且她们推卸责任，不认为她们工作有错。由于他们的失职，导致了居民的损失，他们最后也不想办法来弥补这一过失，还一味的推卸责任。工会退休职工住院保险这一事情很多老人都不是很清楚，说明他们宣传工作不到位，让老人无法享受应有的福利，当家属去咨询，还把最重要的事项给遗漏，老人退休将近20年，街道从未向他及监护人宣传过退休住院保险的事情。就算办理缴费通道关闭，他们也不愿意考虑其他途径来帮助我们，态度让我们心寒。",,,
周家桥街道在武夷花园业委会换届过程不作为,待回复,治安 投诉,z***,2019-08-1410:49,尊敬的王书记：街道自治办在核查武夷花园业委会候选人过程中不讲政治力推业主任X勇，其人有案底（酒驾拘留），为小区抢占车位纠集人员闹事，为此恶意划其他业主的车子，与业主打架，叫嚣为了车位要使武夷花园血流成河，为此多次进派出所。在核查业委会候选人过程中换届小组四位业主代表坚决反对任X勇作为业委会候选人，改选小组另外三位政府代表（街道自治办、街道房办及居委会）同意任X勇作为候选人。7月15日换届小组开会，街道自治办金主任宣布不管四位业主代表意见如何，第二天改选小组必须公布业委会候选人。并说明她是询问过街道法律顾问，并与街道书记与主任沟通过。四位业主代表表示不能接受，说如果一定要公布就注明四位业主代表对此不予认可。金主任拒绝四位业主代表的意见，与会业主代表表示只能退出筹备组以示抗议。7月22日街道自治办与街道房办贴出公告，称改选小组四位业主代表对个别候选人资格审核啊认可，经相关审核部门解释说明仍坚持以辞职方式表达诉求并书面退出换届改选小组。任X勇一直口口声声说为了车位要使武夷花园血流成河，要当业委会主任。对于这样有暴力倾向的人换届小组中四位业主理所当然要将其排斥在业委会候选人之外（这中间四位业主代表曾提出折中方案，在公告备注任X勇的情况。换届小组中三位政府代表不认可）。按理对任X勇的审核应该是换届小组中三位政府代表把关，很遗憾三位政府代表不仅未能把关还阻止换届小组四位业主代表把关。 恳请王书记在百忙之中过问武夷花园之事，早日还武夷花园名符其实上海市文明小区花园小区。 ,,,
领导您好，我投诉巴黎春天新世界酒店乱收费,待回复,旅游 投诉,y***,2019-07-2410:57,尊敬的领导：    您好!    本人男，6月19日凌晨0点20，我去上海市巴黎春天新世界酒店探访一个德国朋友。我在前台进行访客登记的时候，前台工作人员要我支付116.60 元。 我觉得很奇怪，我又不是要住宿，我只是访客登记，为什么要交费呢。前台并没有详细说明为什么要收这个钱。最后我作为访客，支付了116.60 元给前台。我这是第一次遇到酒店对访客进行收费。所以我觉得这个收费不合理不透明，没有依据。后据了解到的信息，原来巴黎春天新世界酒店和德国汉莎有合同，合同规定，对于晚11点以后进入汉莎的住客的房间探访要收取一笔费用，由【德国汉莎的客人向酒店支付这笔费用】。但是巴黎春天新世界酒店却违规操作，直接向访客 我 收取这笔钱116.60元。而我当时在完全不知道内情的情况下，支付了这笔费用。所以现在我投诉巴黎春天新世界酒店乱收费。    谢谢领导。    此致敬礼,,,
群租扰民 长期神经衰弱 举报12319不作为,待回复,城建 求助,F***,2019-07-1619:28,举报长年宁区仙霞西路888弄新泾北苑某户，原房东动迁所得此房后将其租售给二房东，二房东将其打隔断将原来为三室二厅的100多平的房子分成六间，南北客厅各隔成一个房间，厨房单独隔成一个房间，一共6间房间分别出租以此来谋利，自2012年动迁搬至本小区后本人一家老小都住于此群租房楼下，至搬迁进小区至现在一直为群租状态，期间形形色色的租户不知换了多少，通常多为夜里搬家，租户多为白天睡觉，半夜回来，各种偷电私拉电线为电瓶车充电，电线插头多为裸露在外，悬在半空之中，存在极大安全隐患，一旦出事谁来负责？半夜各种座椅拖行，高跟鞋走动，聚众喝酒打闹，打牌打麻将等，人员如此复杂，影响十分恶劣。每日基本如此，期间本人实在忍不住，想去与之沟通，房屋里确认有人但是大门紧闭，实在无奈本人拨打12319城建热线举报，但得到的结果是已处理，实际根本没有处理，更没有相关部门上门调查，多次举报都无果，本人一家为本分人家，家中老人年岁已大，小孩还小，本人和爱人工作早9晚5，承担家中照顾老人和小孩的压力，每晚被吵的都不能正常入睡，更何谈照顾老人和小孩，现去医院看病诊断为神经衰落，白天缺少睡眠更是不能好好投入工作，本人实属无奈，恳求政府领导给予帮助，还我一个正常生活环境！谢谢！,,,
“世纪之春花园”小区垃圾房变睡房,待回复,城建 投诉,y***,2019-07-1614:15, 长宁区委书记王为人，你好：            反映长宁区新泾镇福泉路123弄“世纪之春花园”小区，该小区内只有一个垃圾房(38号旁)，垃圾房内原本应该存放垃圾的地方成了卫生工人的厨房和睡房。垃圾房变住房，垃圾房里一应俱全～有电饭煲、电磁炉、电视机、空调、有线电视、电脑。把安全通道也堵了…存在严重的安全隐患！而把生活垃圾、建筑垃圾每天都堆放在外，垃圾随意而放，蚊蝇密集，满地垃圾不仅影响卫生环境，也影响小区环境卫生。物业还在垃圾房外违章建了2个小隔间，每天晚上九点以后还在垃圾房外分拣垃圾，现在气温已高臭味让居民掩鼻而过。垃圾随意而放，蚊蝇密集，时有老鼠出没，鼠洞有数十个之多，满地垃圾不仅影响卫生环境，也妨碍交通，这些问题严重影响“世纪之春花园”附近住户日常生活，附近居民反映强烈。希望长宁区政府部门关注此民生问题，要求相关部门速整治垃圾房违规住人现象，严禁垃圾房违规挪作他用，规范垃圾箱房使用，搞好小区垃圾分类工作，还业主一个干净整洁安全的居住环境。同时，小区居委会也要持续进行巡查、跟踪、督导，切实维护辖区安全稳定，营造良好社区公共环境。,,,
