享骑押金一直不退,待回复,企业 投诉,W***,2019-11-3011:09,从2018年10月，申请的押金一直到现在都没退款，希望有关部门和领导帮帮忙。,,,
小区物业不管不问,待回复,城建 投诉,W***,2019-11-2808:37,2019年新买小区上海市闵行区华宁路1399弄88号，一家人除了使用中国移动号码还有中国电信号。中国移动全屋无信号！打电话需要跑出去。半夜打也一样。就此事向小区物业反应多次，不管不问，向10086，12345都打过电话投诉都不解决！中国移动说我们小区房子构造有问题，那么中国电信完全是正常的，为何就偏偏中国移动不行呢？一拖再拖，影响居民正常生活。,,,
上海市闵行区东兰路段氏龙虾实验小学对面消防，,待回复,环保 投诉,W***,2019-11-2109:28,两天前去该店就餐。油烟不能有效排出，消防设备不到位，厨房过于拥挤，安全隐患明显，望领导可以督促有关部门处理整改一下，规范下该餐饮环境。,,,
吴中路476号珠江建设工地拖欠农民工工资,待回复,就业 咨询,好***,2019-11-1916:06,朱书记您好，我一行三人10月11日从四川到闵行区吴中路476号珠江建设工地干点工，来之前就讲好9个小时一个工，做一天记一天的工，随时走随时结清账，但现在活儿干完了，公司也跟我们核对了工时，就只给了一张工时单，说公司现在没有钱，具体给钱时间也不确定，我们总共也就两万多块钱，这么大的工地两万块都没有吗？我们已经等了几天了，问公司就相互推诿，一会儿叫我们找这个人，一会儿又让找那个人，踢皮球，我们实在是等不起啊，马上都快过年了，我们还要去南京工地，恳请朱书记帮帮我们。,,,
移动集团太牛了，没有人能管得了他,待回复,企业 投诉,W***,2019-11-1915:57,朱书记，您好，10月份办了移动手机卡，并有一根100兆的宽带，现在说无法安装，移动公司浦江镇的主管王**说了无法安装，让我爱怎么投诉怎么投诉，投诉到移动10086，10080说让我耐心等待一直未处理，接着投诉到12345然后，移动就走形式主义，给我又派王可聪下边的安装师傅问我什么问题，老是搞这些形式主义，就装个宽带怎么这么费劲，希望书记重视能帮忙督促处理，还有这种形式主义太严重，处理问题就做做样子,,,
三石犀健身房虹梅店,待回复,文娱 求助,W***,2019-11-1614:50,尊敬的朱区长你好：我老婆原为澳力龙健身房挑战卡会员（一年打卡一百五十次即可退回年卡费用），后被三石犀健身房接手，现三石犀健身房拒不履行原本的健身挑战卡协议，说我们只有使用权，不是他们三石犀真正的会员。希望镇府还我们一个公道！,,,
一兆韦德阳明会所存在虚假销售行为,待回复,企业 投诉,W***,2019-11-1215:47,上海市闵行区报春路555号1/3楼(阳明国际会所) 诉求：请领导大人帮忙，换我们一个公道。现在母亲急需用钱，只希望把钱全额返还，我当时贷款办的，利息愿意自己承担。情况：去年七月，一兆韦德销售李**打电话告知我说因为他们内部员工违记用了我们的权限，使我们的原卡（当时剩余一年多有效期）不能退，转了（可证实此为虚假），现在给我们优惠续卡（两万零伍佰元）可以办十年卡了，当时我们有犹豫，他便并且告知我们在开卡前可以免费转让一次并且可以帮我们找到下家。现在新卡还未开卡，我们去门店，被门店告知，不能免费转让，也不能替我们找下家。,,,
机构跑路，恳请领导帮忙追回学费,待回复,教育 求助,s***,2019-10-2614:57,韦伯开心豆莘庄龙之梦店突然跑路，还有万余元学费血汗钱在他们手里，能否恳请领导帮忙追回？,,,
拖欠工资,待回复,就业 求助,y***,2019-10-2411:57,申述人母亲经某某在2019.7.1，经家政介绍到上海某文化传播有限公司工作，连续工作2个月（2019.7~2019.8），其中7月份的工资到账，8月份的工资（合计1625元）一直未收到。个人联系公司负责人未果。,,,
吴泾镇X鱼网吧抽烟人员过多,待回复,治安 投诉,W***,2019-10-2410:35,X鱼网咖龙吴路店每天里面抽烟人数超过十人以上，很大的安全隐患，且服务人员不管，无视禁烟标志，请随时监督，尤其晚上七点到十点最为严重。烟头随地乱扔，沙发都被烫到不在少数，极易引发火灾。,,,
求求领导管管宝宝每天惊醒,待回复,环保 求助,任***,2019-10-2013:56,您好，我这里是闵行区罗秀路1651弄，罗秀路龙里路十字路口。我家住在罗秀路上.边上的工地老是深夜施工或者早上施工，一开始是清晨4点多开始，到晚上8.9点，后来我报警了，但是还是6点多开始，晚上8点偶尔有，打擦边球，我刚生宝宝，晚上睡不好，早上天天被她们榔头敲醒，宝宝昨天感冒生病了，又被她们早上敲醒，现在宝宝6个月了本来醒来应该微笑的，但是每天早上要被他们敲醒是哭闹的，我报警很多次了，没用，求求你们领导管管好不好，我没有钱换房子啊，真的是没办法了啊,,,
小区停车问题,待回复,城建 投诉,W***,2019-10-1314:06,小区停车问题：业主委员会，居委会，物业。都无视小区停车问题，业主都说自己有固定停车位，保安还经常打电话让我挪车位给这些所谓的有固定停车位的业主，还出言恐吓，不挪车位不让进小区，完全没有管理的小区停车，也严重影响了我的个人生活，望能解决小区的停车问题上海市闵行区航东路255弄嘉丰新苑,,,
小区附近施工单位昼夜施工严重扰民,待回复,城建 投诉,W***,2019-10-0416:53,1.碧江路280弄附近工地，存在24小时施工现象，声音很大，严重影响居民休息。2.施工单位有夜间施工许可证，但办理施工许可证之间没有提前告知居民，居委会在居民谅解协议盖章，然后获得夜间施工许可证。3.请求施工单位在连续施工期间，妥善安排好附近居民。,,,
员工讨薪,待回复,就业 求助,加***,2019-09-1815:56,我是上海心本商贸的一名基层员工。 公司克扣18年19年的加班费不给。答应的13薪也没给。请书记帮忙解决。谢谢,,,
为什么投诉无回复呢？,待回复,交通 投诉,杨***,2019-09-1719:44,前面投诉哈喽顺丰车注册地在上海闵行区，投诉了这么长时间了，也不见回复，不知是什么原因？,,,
克扣加班费、不履行十三薪的发放,待回复,就业 咨询,X***,2019-09-1718:50,上海XX商贸有限公司工资不按时发放，强制制定一些制度，加班费未按劳动法依法发放，18年十三薪不履行发放,,,
员工讨薪,待回复,就业 求助,王***,2019-09-1618:58,书记您好：我是上海心本商贸有限公司的一名基层员工，公司克扣18年和19年的加班费不给，答应的十三薪也没兑现，请书记帮忙解决。谢谢,,,
小区到处乱收停车费,待回复,企业 投诉,W***,2019-09-1512:04,闵行区许经村老式小区出入口现在全部设置停车杆收费，包年两千块钱而且发票是小区物业开具的发票，最过分的是小区旁边的厂区还要收取停车费厂区员工车子必须要从小区出入口进出而且没有占用小区停车位，只是停在厂区门口,,,
鲁南路—浦星公路至汇舒段,待回复,城建 求助,单***,2019-09-0713:44,鲁南路上夜间车流声特大，特别是大型车夜间经过都会轰隆隆响，严重扰民！曾12345市民热线，给到的回复就是发个信息，让我自己去找业委会查看相关噪音符合标准的文件，我们也不懂，事实就是夜间大型车声音特大，希望得到领导重视，且回复，还有处理意见，欢迎实地考察,,,
投诉一个哈喽顺风车的问题怎就这么难呢？,待回复,交通 投诉,杨***,2019-08-3014:02,我大概在七月份左右坐了一次哈罗顺风车出行，然后平台有一个预付费是按没有拼车成功的费用收取，如果说拼车成功了，会返还给个人，但是我当天明明拼车成功，问这边平台打电话咨询说没有拼车的，后来投诉了很多，这边平台得多余的钱成功，我把这个问题反应给了上海12315，等了一个月之久还是没有回复，到今天也就是9月29号，我再次打12315回复说叫我打12319，可是打进去之后这个接线员工号是2309态度非常的不友好，后面又说要我报什么车牌号，从什么地方上车，什么地方下车等信息，我这么久了哪里记得住，接线员说没车牌号就不登记，领导这样的做法正确吗？希望有你们电话回复,,,
色情按摩店涉黄,待回复,治安 投诉,大***,2019-08-2322:26,"沁春路**号，**楼盘的2楼有个隐蔽的按摩店，已有2,3年了，涉及裸体按摩，甚至有卖淫嫖娼的活动，多次110举报，楼下有门禁，摄像头，每次当地派出所警车出警就在门口停留，楼上马上熄灯，下面入口的门也推不开了，警察拍两张照就走了，关两天门，就又开了，周边居民反应很大，希望区里能重视，公安队伍能尽到自己的职责，尽快整治，还市民一个良好良好的环境。希望无将举报人详细信息告知当地派出所，他们和涉黄经营者有联系，会把信息告诉经营者，骚扰举报人，切记。",,,
