标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
这个小区民房存在很大的消防隐患,待回复,治安 投诉,余***,2019-11-1416:56,上海市青浦区盈港东路8300弄家乐苑小区xxx室和xxx室都把住宅房改成快递仓储，还有住改商，我已向12345反应多次至今仍然没有改进，如果有关部门还是不管不问我还会继续投诉，,,,
青浦的劳务公司严重违反劳动法,待回复,企业 投诉,W***,2019-11-0817:56,余区长，青浦区香花桥街道上海霖富劳务派遣有限公司严重违反劳动法，该公司员工600多人都不交社保，全年无休，没有年休假，强制性加班！员工离职也不给清算工资！请求区长百忙之中能够惩治黑心企业,,,
工作8年公司不给年休假！,待回复,企业 求助,W***,2019-11-0808:18,区长大人您好，我是青浦区上海霖富劳务派遣有限公司的一名员工，我从2011年11月到2019年11月在上海霖富劳务派遣有限公司工作8年，公司没有给我安排过任何年休，也没有给过任何补偿。还望领导百忙之中能够体察民情为民做主。谢谢领导,,,
被欠薪8万的民工工资,待回复,城建 建言,匿***,2019-11-0715:06,赵巷镇沪青平公路30X9号，2017年建设钢结构厂房。建设单位为“创X工业设计有限公司”，负责人为“谢X贤”；施工单位为“金山区新阳市政建设工程有限公司”，项目负责人为X峰。后工程停工，我被欠薪八万元。X峰说甲方欠他80万，所以没钱发我的民工工资八万元。#拒绝欠账#,,,
居民房内非法经营快递仓储,待回复,治安 投诉,余***,2019-10-1313:55,马上双十一要到了，这小区居民房里有两家快递仓储，每天堆得跟山一样万一发生火灾那损失是不可预估的，而且每天道路拥堵严重影响小区的秩序，希望领导能够重视，不要等到事情发生了给群众造成无法挽回的伤痛，也希望能帮我保密。,,,
小区居民楼一楼开设商铺非法经营，,待回复,城建 投诉,余***,2019-10-1116:31,盈港东路8300弄家乐苑居民房内有两家快递代收点还有好几家小卖部，晚上下班时严重影响道路通行，还存在很大的消防隐患，找物业投诉也不管用，希望能恢复原状，希望领导能给我保密谢谢，,,,
优速快递涉嫌逃税漏税，不提供发票,待回复,企业 投诉,c***,2019-09-1109:02,每次走优速快递的业务，都不提供发票，这次从东莞寄到深圳的快递，是到付的快递费，咨询优速快递微信在线客服，答复要联系寄件站点开具发票，说发票用完无法提供发票；收了款，提供发票是天经地义，把消费者搞来搞去不给发票，涉嫌逃税漏税，请核查此公司！,,,
咨询,待回复,治安 咨询,请***,2019-09-0318:13,尊敬的上海青浦区领导您们好，我是安徽安庆一市民。我的孩子在贵辖区范围内工作，请问办理居住证具体需要哪些材料，在哪办理。望予及时回复，谢谢。,,,
希望在崧泽华城华中苑附近增加便民设施,待回复,城建 建言,落***,2019-07-0912:56,作为崧泽华城华中苑居民，因秀沁路路崧漪二路附近公共便民设施，如:银行、日常五金店、小卖部等设施均没有，居民生活较为不利，望在可能情况下能增加这些基础惠民设施，以便大家的生活。,,,
万达茂地下车库有安全隐患，业主车位分配不合理,待回复,城建 投诉,b***,2019-06-1813:42,在购买万达茂住宅房的时候开发商给每户分配了一个车位，每月收取车位管理费，业主由5号楼地下车库入口进出，地下车库共两层，左右一半分别是住宅专用车位和商场停车位（包括地下二层）。住宅区6号楼和7号楼之间的地下车库出入口现由开发商规划给了商场使用，消费者从这个出入口进去地下车库，6号楼西单元业主电梯通道在收费亭处，收费亭另一边是墙壁，车辆进来如果要停在地下一层就要90度向右直角转弯。住在6单元的业主车只能停在7单元楼下，电梯不直达地下二层，业主只能通过步行走到地下一层最西面坐电梯，乘坐电梯必须经过这个被墙壁挡住的90度直角，在周末的时候车流量太多，外来车辆不清楚地下车库的情况，容易撞到正要回家的业主，业主每天进出地下车库都提心吊胆，家里有孩子的更不敢走，地下二层的车位在5号楼那边，离6号楼住宅比较远，地下二层的车位没有电梯直达，需要从商业的电梯或者安全通道上到地下一层，大商业的电梯不是24小时开放的，楼梯的走道又陡，路程又远，又和大商业相通，单身女性不安全。建议开发商把地下一层全部规划给业主使用，现住宅车库入口（5号楼）与6、7号楼之间的入口对换，业主由6、7号楼之间的出入口进入，消费者由5号楼下的出入口进去直达地下二层（一层封闭），业主来往车流量比消费者少很多，而且也知道收费亭处会有行人经过，安全隐患相对小一些。住宅电梯只能到达地下一层，地下二层设有商场专用直达电梯，说明地下一层原本就该给业主使用，地下二层给商场。除此之外，6、7号楼之间这个入口的收费亭后面还有一个垃圾站，周围环境脏乱差，消费者由这个入口进入地下车库 第一眼就是这个垃圾站，天气炎热的时候气味也非常难闻，车库出入口的设计也不合理，容易造成拥堵、碰撞等人身安全问题。之前已经反应过这个问题，上面只是把业主的门禁往里面移了一下，业主进出还是要经过这个可怕的地方。希望上级领导能够实地考察，听一听业主的心声。,,,
