医保买药确实贵的离谱了,待回复,医疗 建言,滨***,2019-12-0211:11,我在青浦白鹤镇云湖药店买了两袋百蓝根就花了151元，医保里面的钱就不是钱了，板蓝根哪里都有卖的，十几二十块钱的药，让你们卖出了新的高度！希望政府办实事！,,,
《农民要建房，政府不批新宅基地》,待回复,三农 投诉,江***,2019-12-0209:13,白鹤的村庄规划文件什么时候下发？10年了，做个规划要10年吗？上海市政府的规划等到何年何月？让我们老百姓没人容身之地，十年建房的原材料人工成本翻了好几倍，你们政府想弄死我们无地无房的农民呀？白鹤的一个青龙村形象了一片区域，我们赵云又没古遗址。45以下的人都没人在种地了，这么等下去，孩子们大了成家都无定居的房子了。,,,
拒不执行垃圾分类  多户民宅内存在群租,待回复,环保 投诉,好***,2019-11-2208:41,青浦 重固镇 回龙村 472 473 474 475 这些民宅内住着大量租户 从18年实行垃圾分类 就劝说垃圾要分类 至今扔不执行 近来上门劝说 租户不但不分 还威胁打人 ,,,
房屋质量安全隐患严重，管辖人员不作为,待回复,城建 求助,我***,2019-11-2010:33,房屋位于沪青平公路2799弄56号，是精装房，拿到手就因屋顶开裂维修过两次，后情况愈发严重，到物业报修过三、四次，来人看过就没有下文了，现在情况更严重，我觉得已经影响到我们一家人的正常生活的安全了，说不定哪天就会塌下来，也往上一级反映了，至今没有结果，无奈之下上了留言板，打扰了领导，希望能够解决问题。,,,
青浦区公园东路2099号烂尾拆迁问题,待回复,城建 咨询,李***,2019-11-0716:29,你好，作为一个住在普通市民，看到距离青浦区市政府如此近的位置有此烂尾项目，而且一拖20年，比较影响青浦形象，也比较痛心，每次听说又要启动了都无比高兴，后来又不了了之。请问这个项目拆迁重建有什么进展吗？,,,
农民工工资要不到,待回复,城建 求助,廖***,2019-11-0713:46,尊敬的赵书记您好：本人2017年2O18年带领十几个兄弟在朱家角中骏雍景湾工地干砌墙活，至今还欠农民工工资五万元整，当时冯X同意这五万元公司付，后来查帐发现廖X兵的工程款没有了，所以又不付，他们俩互相推辞，都不付这批农民工工资，在这肯请赵书记帮忙解决，谢谢。,,,
小区建筑垃圾堆放点严重影响居民生活,待回复,城建 投诉,Q***,2019-11-0610:25,庆华苑也就是沙埭浜路258弄的建筑垃圾堆放点，离居民楼太近，导致影响居民生活。第一，噪音大且经常早上6:30不到开始铲垃圾，大型卡车加垃圾抛洒直接导致扰民。第二，灰尘污染严重，每次来铲建筑垃圾灰尘产生量很大，导致周边居民没法开窗、晒出的衣服也会积灰。第三，不安全，由于卡车停在小区道路中间，铲建筑垃圾工人会直接抛物，路过的行人车辆会很危险。由于我是一名孕妇，这个建筑垃圾堆放点已经给我生活带来了很严重的影响，噪音导致睡眠不好；灰尘导致全身过敏。本来是垃圾分类的好事，但选地方也应该考虑到离周边居民楼太近，这就变成了坏事，望有关部门领导能尽快解决。,,,
五浦汇B区小区麻将扰民,待回复,治安 投诉,z***,2019-11-0609:13,您好，青浦区五浦汇B区崧子苑13号楼某房，每天都有人打麻将，该房屋属居民住宅，但非法开设棋牌室。该棋牌室麻将声和说话声很大，棋牌室一般经营到半夜12点才结束。周围邻居无法休息好，影响到白天工作。希望执法部门能加强执法监管。,,,
外地农民工维权无门,待回复,就业 求助,弟***,2019-11-0607:33,我是甘肃人，2019年4月份经网络中介介绍到青浦区嘉松中路3899号百世快递仓库上班，由于刚出校门第一次出门打工，什么都不懂，没有签订任何合同，上班第三天就被百世工人赵X宝驾驶叉叉车撞断了脚踝，住院初期百世负责人曹X民骗走了我的工牌，销毁了我在百世上班的一切证据，现在已经七个月了，没有任何答复，走劳动仲裁由于缺乏直接证据没有认定劳动关系，现在脚还走不了路，打官司也没钱，生活靠家里救济，找了好多部门都没答复，我好端端的一个脚就这样废了，我才二十岁，现在还要做二次手术也没有钱，恳请领导能关心一下我们外地农民工维权的难处，为我说一句公道话，跪谢！,,,
劳务公司不发工资,待回复,就业 建言,匿***,2019-10-3118:44,暑假我和同学一起经过上海滨淮劳务派遣有限公司安排到淮安丰瑞化妆品有限公司，因为开学，我们8月底离职，8月份工资到现在还没有发放，企业说发给劳务公司了，劳务公司不发，我们没有办法，只有过来求助！#拒绝欠账#,,,
居改非，私自改建粪便池污染河道,待回复,城建 投诉,W***,2019-10-2418:04,中铁逸都某用户居改非，租赁给青亭新能源科技发展有限公司经营汽车充电桩影响居民正常生活，地下室另租给别人，将原有房屋私自搭建粪便池，并将粪便另接管道排入下水道流入汤家浜河道，周边恶臭不断，联系物业居委12345都无法解决 只求书记出面替我们老百姓解决一下。,,,
