网络授课退款难之北风网退款难，请求帮助,待回复,教育 求助,W***,2019-11-1917:00,尊敬的领导人，您好，近期有一个退款难题让我进退两难，特此，请求帮助～本人于2017年12月27日许浏览上海创网络科技有限公司旗下北风网官网，在其销售部专员的引导下购买了《unity3D、VR-虚拟现实、AR-增强现实》一课程，共计学费为10000元整。缴纳学费之后，由于工作时间忙，有退课想法，而销售告诉我，可以先休学，什么时候想学了再开课，并且本公司是签合同后才正式上课，故而听从导购的建议开了休学处理，只是加入了预科班，并没有接触到任何有关学习资料。也未成签成正式开课合同。之后在2018年，本人多次申请退款无果，其中的值班老师就以北风网言明不让退款，只能无奈接着休学。今年11月，在家人的建议下我无奈的发起了12315网络投诉，12315接受投诉后协调无效，商家拒绝退款，又以聚投诉等平台投诉，只希望有部门能帮助协助退款。至今各种投诉已经十数天之久，依旧毫无进展，希望上海的领导人们能够给予帮助，协助退款。由于刚毕业没多久，一万块也是一笔巨款，压的个人生活困难。只希望，有人能够帮助一下。,,,
请加强绿地的人为管理,待回复,城建 建言,k***,2019-10-2917:19,领导好，恳求领导督办西藏北路中兴路口的中兴公共绿地的噪音管理！这也是几乎上海所有绿地的通病了，本来大力建设绿化是一件非常利民的好事，但是绿地只有建设，没有管理反而会把绿地变成一个麻烦，让住在绿地周围的居民饱受各种噪音的煎熬苦不堪言！自从有了扩音器这个东西，广场舞，萨克斯还有卡拉ok的噪音污染已经成为几乎每个绿地的投诉点，各大媒体也都有报道但是仍然没有解决这个全国性的问题。针对中兴绿地，宝山派出所和街道也有过联合执法，但是执法过后每次都死灰复燃，公安一次次接到举报后前往也只能劝阻，离开后依旧无效，而公安不可能一直蹲点在那里，这样根本治标不治本还浪费了警力。所以，请求领导可以督办一个长效的管理机制，虽然是公共绿地，但也需要值班管理员，也需要管理条例来规定哪些行为是不允许的，及时制止扩音器的使用，而不是由公安一次次跑的短暂劝阻。而把绿地当自己家的老年人们他们唱歌跳舞其实也是有这个需求，但是没有掌握分寸，造成了扰民。那我们在不停造露天绿地的同时能不能也考虑下隔一个区域建他们的活动室，并规定他们在有隔音的场所里活动，把绿地还给喜欢清净接近自然的其他人，互不影响。希望中兴绿地可以有整改有改善！,,,
建议增设公交站点,待回复,交通 建言,圣***,2019-10-2614:34,恒丰路立交桥北居民小区多，居民南向过桥沿长寿路西行去曹家渡方问的公交车仅有966一部车，搭乘该车要沿芷江西路步行较长一段路，其间还要穿过普善路，居民出行很不方便。建议：966路在路经芷江西路接近沪太路口的地方增设一个站点，这样就可以大大方便居民出行了。况且966路本身这一站距离就已过长，中间设点无需绕道和增加行车距离。再则就是966路的运营时间能够延长，班车间隔时间能够缩短就更好了，谢谢！,,,
金融街融府车位问题,待回复,城建 求助,W***,2019-10-2515:45,金融街融府，售房时所有口径（宣传册、销售人员、官方公众号）均称户数与车位配比1:1.2。现《销售方案备案证明》（静安房管（2019）第20190282）中实际可售数量441个，并存在如下问题：1、依据《建筑工程交通设计及停车库（场）设置标准》（DJ/TJ 08-7-2014）（J 10716-2014），可售车位中35个为不合格车位（89/119/120/121/159/173/174/226/227/228/244/245/246/249/287/288/289/290/303/370/371/404/418/419/440/446/460/461/462/467/476/479/492/493/494）；2、30多个子母车位在销售中按照 2个车位计算，而实际只能有一个产权人。 综上，小区内共501户=445套商品房+56套人才公寓，配比（441-35-15）/501=0.75车位比严重不足，对全体业主权益构成侵害。此外，开发商售房时未告知小区内将有52个车位作为对外社会配套车位，并且这些车位与小区业主共享车库，人员可通过车库出入小区，欺诈业主的同时，对小区安全也构成严重威胁。 诉求：要求市区房管部门、市场监督部门、消协等相关部门介入，暂停融御置地有限公司销售行为，并对车库销售备案方案启动审查程序，彻查问题，责成开发商给出解决方案，保护小区业主和消费者合法权益。,,,
金融街融府开发商欺诈销售,待回复,城建 求助,W***,2019-10-2512:53,金融街融府，售房时所有口径（宣传册、销售人员、官方公众号）均称户数与车位配比1:1.2。现《销售方案备案证明》（静安房管（2019）第20190282）中实际可售数量441个，并存在如下问题：1、依据《建筑工程交通设计及停车库（场）设置标准》（DJ/TJ 08-7-2014）（J 10716-2014），可售车位中35个为不合格车位（89/119/120/121/159/173/174/226/227/228/244/245/246/249/287/288/289/290/303/370/371/404/418/419/440/446/460/461/462/467/476/479/492/493/494）；2、30多个子母车位在销售中按照 2个车位计算，而实际只能有一个产权人。 综上，小区内共501户=445套商品房+56套人才公寓，配比（441-35-15）/501=0.75车位比严重不足，对全体业主权益构成侵害。此外，开发商售房时未告知小区内将有52个车位作为对外社会配套车位，并且这些车位与小区业主共享车库，人员可通过车库出入小区，欺诈业主的同时，对小区安全也构成严重威胁。 诉求：要求市区房管部门、市场监督部门、消协等相关部门介入，暂停融御置地有限公司销售行为，并对车库销售备案方案启动审查程序，彻查问题，责成开发商给出解决方案，保护小区业主和消费者合法权益。,,,
关于小区蜂巢快递柜及电瓶车充电装置等事宜的求,待回复,城建 求助,y***,2019-10-1414:11,尊敬的区长您好：我是中兴路571弄1号中鸿大厦2楼居民，今天打扰您主要是有三个问题想求助，第一是我们小区自美丽家园工程后，在小区内设置了蜂巢快递柜，安装的位置就在我家朝西的房间楼下，每天晚上被来来往往取快递的嘈杂声以及清脆的快递箱关门声搅得不胜其烦(即便是在另外一个朝南房间内也能清晰地听见）；第二我们家楼下就是物业办公室，也是美丽家园后，物业外墙设置了电瓶车的充电装置（等于我家内阳台的外墙下面就是充电装置），感觉对我家的安全造成了相当大的隐患；第三件要向您求助的也是因为美丽家园工程进行时，损坏了我家的遮雨棚，后来跟街道反映后给免费重新安装了遮雨棚，但是安装的遮雨棚的材质非常劣质，每次下雨，雨水滴落其间，声音之响，让我曾经整夜失眠。三件事情的出发点都是为民办事，但是对我们这样个别家庭实在是造成了比较大的影响。因此思虑良久，我还是想来求助，占用您宝贵的时间，并给您带来的麻烦我十分抱歉。请求能得到您的帮助。不胜感激！,,,
本人举报上海XX医疗美容医院12315不予受,待回复,医疗 投诉,受***,2019-10-0816:52,1、本人为上海XX医疗美容医院受害者，并提供了该医院虚假广告宣传的相关证据向12315举报，处理的单位是上海市静安区昌平路655号江宁路市场监管所，我等待了半个月等来的却是不予受理，理由很含糊，是对方提供相关证明材料，我举报的内容该医院根本提供不了证据，12315管理部门迟迟不处理给到该医院删除了大部分的虚假宣传的机会，希望上级领导为民做主，感谢万分,,,
鑫鑫大酒店服务质量差，管理态度要改善,待回复,旅游 投诉,y***,2019-10-0813:40,       反映静安区鑫鑫大酒店（共和新路4710号）服务质量差，首先客人包房吃饭自带茶叶要求服务员泡壶茶被拒，理由是酒店规定的，其次，客人还未用餐完毕，就要求结账并收台面了。 这样的酒店服务，已严重地侵犯了消费者的权益。      希望有关部门给消费者维权，并加强对该酒店的管理，以良好的形象迎接第二届进口博览会的顺利举办。,,,
受伤求助,待回复,治安 求助,古***,2019-08-2314:54,于区长您好：2019年8月11日，恒通路268号凯德星茂B1层，由于未及时清除地上的油渍完成本人滑倒，20分钟内没有任何商场人员出现前来，直到报警后警察同志赶到，才相继有人出现，本人自己拨打120前往就医，商场无人负责，后续CT和MRI诊断结果软组织挫伤和少量积水随访，工作自然停下，期间从摔倒送医至今没有任何电话询问和关心，一位保洁部自称负责人的肖女士在送医后来到医院让我把当天所有病例交给她，说去给保险公司做理赔，之后凯德一位叫王*的经理经过电话沟通，告知8月21日下午13时30分在凯德星贸6层商量后续处理理赔事宜，我在13时20分准时到达，由于脚部疼痛，由妻子陪同前往，凯德出席人员直到14时才来，本人诉求医药费实报实消，同时因滑倒摔伤导致误工费需要商场赔付，王*经理作为凯德全权代表，一位保洁公司负责人，还有一位保险公司业务员在场，凯德星贸的王*经理表述全部委托给人寿保险公司的业务人员处理，凯德全部根据保险要求，不做任何关于人道解释，并且本人携带了实际收入的工资流水以及正当收入流水凭证给到保险公司业务员，这个时候王*经理开口说不能接受我提出的关于误工费的理赔，理由是保险公司无法认可，因此凯德也没办法认可，协商未果，保险公司提出做一份备忘录，我表示认可，考虑正规操作要求凯德给我一份公司抬头纸的纸张便于双方明确备忘录，被强烈拒绝，只是没想到变成了暴力恐吓群围事件，因为双方对抬头纸的争辩，从办公室冲出5到6名凯德星贸的员工，一名工作人员(肇事者)直接面对我，和我不断强调就是没有，我提出我和王*经理在处理事情，如果相关可以坐下来说，不相关人员就不要影响我们的协商，这个时候这名工作人员就用手指着我，瞪大了眼睛冲着我吼叫，凶相毕露，对方有5、6个人有拉有推有劝，我只能后退，就在这个时候，我的脚被他踩到了之前伤到的部位，疼痛难忍，只能坐在地上，这时所有凯德工作人员全部散开，我妻子电话报警后警察到场，问遍所有人包括在场的保洁和保险公司人员却无法找到这位工作人员，因为疼痛我无奈拨打120就医再次查看伤情，回天目西路派出所后，将自述交给当值警察，直至此时肇事的工作人员依然没有出现过。写给领导，实属无奈，当面对这样情况发生时，面对这样的企业和这样的工作人员，社会的人道主义，社会的良知以及最基本的人与人的沟通问题的准则都不顾，以人多欺负人少的恶性相向，协商不成二次伤害，很痛心被这样的对待和戏弄，希望得到领导的帮助。还一片和谐,,,
居民区野猫泛滥，传播跳蚤，咬伤小孩,待回复,环保 求助,C***,2019-07-1618:49,本人家住上海市静安区虬江路上的城上城小区，近一两年来野猫大量繁殖，白天走进车库随处可见，夜间更是成群结队。小孩现在都不能去小区绿地里玩耍。周边其他小区也是饱受野猫噪音屎尿侵扰，居民也多次与爱猫人士起冲突请政府尽快扑杀抓捕无主野猫，同时敦促物业严加管理，告诫那些喜欢喂食野猫的人要么接回家养要么不要喂食。,,,
