标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
电表被别人动过，被污蔑偷电,待回复,城建 建言,W***,2019-11-2909:00,因为电表是装在公共场所又没有锁起来没有摄像头。邻居家偷电，防止被抓，同时动了隔壁几个电表。我家在不知情的情况被判偷电罚款2400多元。而且是立马剪断电线。导致几天都没电。在我们桃浦十村。有很多这样的受害人。希望领导看到我们的苦和委屈。,,,
国家电网乱开罚单,待回复,城建 求助,W***,2019-11-2808:29,于2019年11月26日。国家电网人员，上门剪短电线，说我家偷点，要罚款2400多元。证据就是电表被动过。还有隔壁两家人的电表也被动过属于同一个人所做。可是电表不是我家动的，我家在这里住了3年。电费每个月平均20块钱。根本不会去动电表。现在人在上海市电力公司市北供电局，违章用电处理中心两天了。他们的意思就是要我们承认偷电并且罚款2400多元。不然不给电。,,,
五星酒店用餐后致上吐下泻,待回复,旅游 求助,认***,2019-11-1116:34,10月19晚6.30分左右，在静安区******酒店参加喜宴。回到家深夜11点左右上吐下泻，折腾到第二天的凌晨三点左右。其间我第一时间打酒店官网电话，报备此事。第二天中午左右，餐饮经理致电了解情况，劝说我去医院看一下。于是我拖着病体一个人去医院检查。几天后报告出来，未有大碍。于是10月25日带着病历去饭店说明情况，接待的是餐厅经理、饭店卫生经理还有厨师长。他们表示了抱歉并主动提出补偿用代金券的形式。当时我感觉用代金券不妥，是否折合人民币。他们一口回绝。一气之下，当天我打了12345。11月1日下午南京西路市场监管所作了双方调解。当时来了卫生经理，很蛮横的要我拿证据。什么证据？我一个正常健康之人，去你饭店用餐，回到家后下吐下泻，第一时间向你们报备。事隔二星期事情没解决，向我要证据，用心何在。还扬言，既然你走了行政12345，那法律解决。一下把我推向了边缘..我再次拨打了12345，至今已过去了10天，没有一个人致电给我。试问书记，我怎么办？难道真的就走法律程序吗？,,,
路面施工,待回复,城建 咨询,Y***,2019-11-1109:56,陆书记，你好，我想询问下，南汇路85弄内的市政管道施工何时能再次开工并完成，现在道路不平加上老小区老人居多，出行容易造成不必要的伤害，老人不敢出门，子女担心老人，群众希望能尽早完成，谢谢,,,
楼道内堆放杂物及垃圾,待回复,城建 投诉,哪***,2019-11-0415:36,共和新路1700弄某住户将垃圾等杂物堆置在楼道已有三月有余，物业无人过问及清理，给其他住户的出行带来了极大的影响！,,,
新楼盘车位不合格，开发商欺瞒业主,待回复,城建 求助,W***,2019-10-2518:52,金融街融府，售房时所有口径（宣传册、销售人员、官方公众号）均称户数与车位配比1:1.2。现《销售方案备案证明》（静安房管（2019）第20190282）中实际可售数量441个，并存在如下问题：1、依据《建筑工程交通设计及停车库（场）设置标准》（DJ/TJ 08-7-2014）（J 10716-2014），可售车位中35个为不合格车位（A89、A119、A120、A121、A159、A173、A174、A226、A227、A228、A244、A245、A246、A249、A287、A288、A289、A290、A303、A370、A371、A404、A418、A419、A440、A446、A460、A461、A462、A467、A476、A479、A492、A493、A494）；2、30多个子母车位在销售中按照 2个车位计算，而实际只能有一个产权人。 综上，小区内共501户=445套商品房+56套人才公寓，配比（441-35-15）/501=0.75车位比严重不足，对全体业主权益构成侵害。此外，开发商售房时未告知小区内将有52个车位作为对外社会配套车位，并且这些车位与小区业主共享车库，人员可通过车库出入小区，欺诈业主的同时，对小区安全也构成严重威胁。 诉求：要求区领导协调房管部门、市场监督部门、消协等相关部门介入，暂停融御置地有限公司销售行为，并对车库销售备案方案启动审查程序，彻查问题，责成开发商给出解决方案，保护小区业主和消费者合法权益。,,,
不负责任的警员,待回复,治安 投诉,W***,2019-10-1115:32,尊敬的书记您好，我是一名外地来此寻亲的百姓，9月25号通过浦东新区崂山分局领到失踪二十多天的女儿，下午5点左右在火车站进站时，由于我女儿患有精神分裂症，和我玩起了捉迷藏，想趁机甩掉我，不跟我一起回家治病，在广场追逐到东南角时，被巡逻民警拦下询问身份时，我解释说是我费了好大劲才刚刚找到的我家女儿，可他执意让我不要追，让我留下询问，致使我女儿趁机消失在茫茫人海中，我随机报了警，出警的还是这位警员，一番审问下来，便向110中心宣布结案完毕。？怀疑我们没错！审问我们没错，最起码要保障我们俩个都在场吧！只审我一人，造成了我的巨大精神损失和财产损失。从25号下午5点到现在音信全无，一家人焦虑万分也无济于事，麻烦陆书记百忙之中给予调查，谢谢！,,,
静安区恒安小区美丽家园非规定时段施工噪音扰民,待回复,环保 投诉,1***,2019-10-0815:57,自国庆假期以来，恒安小区美丽家园施工方每天早上6点不到在小区内开始施工，发出巨大噪音，严重影响居民休息。该项目从2018年6月前后开工，至今一年有余，仍未完工，效率低下。一年多来，工人工棚占用小区中央绿地，部分时期只见工人早晚进出，不见小区施工进展。希望加强监管。,,,
旅行社收钱不办事,待回复,旅游 投诉,蓝***,2019-08-2116:27,我们是来上海旅游2天的，给我们安排的住宿环境不是特别好，然后还让我们自己坐地铁去，我们人生地不熟，不认识，他说你们打车给报销，结果没给我们报销，微信上问他第三天早上送我们走，他说是结果也没送我们，而且我发现这是一个黑社，给我们发的图片是上海华鑫旅行社，结果签合同上面是华东旅行社，骗人，我想要给我们外地人维权一下,,,
请书记为我们做主～,待回复,城建 求助,z***,2019-08-1621:24,尊敬的陆书记您好，我是东宝兴路458弄宝山新村的一居民，受新村众居民的委托，来向书记反应一些情况，望书记能在百忙中看一下。我们这个小区是二级旧里，房屋内部的老旧，脏乱差，老鼠众多直接影响了居民生活，虽然之前来修缮过一次，但是根本没有让生活得到什么改变…很多老人期盼着能住上新公房，但是直到过世都没有如愿。周围的二级旧里几乎都拆光了，就剩下我们这里了，第一次征询在2010年就以百分之95的同意率通过了，但至今未有下文，望书记能尽早解决我们的民生问题，让大家都能住上新房子，万分感谢，感恩。,,,
请领导打击一下群租,待回复,治安 投诉,6***,2019-06-0910:28,各位领导好，江宁路838号富荣大厦14楼B，有群组现象，一个二房东把客厅用木板隔成两间，厨房里还放了个床住了个人，极度不安全。尤其这个二房东极其狡猾，检查的时候就把隔板拆了，晚上再安装上 请领导重视一下，打击一下这种群租现象。,,,
