标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
关闭存在重大火灾隐患上海南外滩轻纺面料市场,待回复,城建 投诉,y***,2019-08-2720:10,"       反映黄浦区上海南外滩轻纺面料市场(陆家浜路399号)是一幢住宅大楼, 属于人员密集场所，主要经营布料、窗帘、针织品、床品、服装、箱包等。       因上海南外滩轻纺面料市场存在严重消防安全隐患，应被列为市区级消防安全隐患重点挂牌督办单位。       希望黄浦区政府在第二届进博会举办前，对该市场建筑区块实施关停，以彻底消除火灾隐患，切实维护住宅楼群众生命财产安全。黄浦区上海南外滩轻纺面料市场(陆家浜路399号)是一幢住宅大楼, 属于人员密集场所，主要经营布料、窗帘、针织品、床品、服装、箱包等。
       因上海南外滩轻纺面料市场存在严重消防安全隐患，应被列为区级消防安全隐患重点挂牌督办单位。
       希望黄浦区政府在第二届进博会举办前，对该市场建筑区块实施关停，以彻底消除火灾隐患，切实维护住宅楼群众生命财产安全。",,,
关于旧改地块问题,待回复,城建 咨询,上***,2019-07-2116:20,巢市长，你来过黄浦区半淞园街道的南房集团，可见就在这南房眼皮底下的二级以下里弄和棚户否?从我父辈出生在此到我这代已经近百年了，虽多次修修补补但房屋老旧马桶非全可安装，煤气全无。这个街道的此种房类地块已经不足四到五块，且都非大型地块，不知道什么时候能够得到动迁?根据区规划看这地块(341-01)是商务及商业配套规划。,,,
美发骗局,待回复,企业 投诉,甜***,2019-07-1910:38,本人反应黄浦区香港广场11楼美发店骗单身女孩的过程…淮海中路属于上海最繁华的地方，可经常有不法分子街上拉客，特别是欺骗单身女性，他们都是二个男孩看见单身女孩就说我们理发店邀请过来明星造型师可以免费设计发型，然后就被带到店里，最后不折手段，带种欺骗，恐吓，又是敲诈勒索。多则几万，少则几千，很多小女孩都哭着出来，包括我的亲人也被骗过。听说派出所多次来过，都没办法他们，这些不法分子在上海流窜作案都打着明星造型师的旗号、骗顾客办卡消费！恳请领导叫有关部门介入管管，还人民一个祥和，兴旺，令人向往的繁华之地。,,,
烂尾楼影响到沿途高架桥城市形象,待回复,城建 投诉,y***,2019-07-1215:38,    黄浦区区长巢克俭，你好：        长宁中山西路229号对面(上海第一纺织厂)的钢结构烂尾楼，其未完工的外观影响到高架桥沿途风光，严重影响到上海市的文明城市的整体形象。      第二届国际博览会即将在上海举办，希望有关部门尽快给烂尾楼外面制作大型的工业性广告，以维护上海良好的城市形象,,,
拆除违章建筑,待回复,城建 投诉,y***,2019-04-2414:45,黄浦区区长巢克俭 ，你好：    反映黄浦区 人民大道36号人民公园南大门，有3个违章建筑：一个是小浦东传统美食，一家为喜廷便利店，另一家为顺心美食坊。    希望黄浦区城管执法部门进行联合整治，尽快拆除新些违章建筑。,,,
赌博网站有害,待回复,治安 求助,网***,2019-03-2318:12,该网站开设时间长久，多个网址，金额大，玩法多，人数多，望领导给与严厉打击,,,
动迁范围,待回复,城建 咨询,一***,2019-03-0119:03,领导你好我是云南南路346弄的居民，也就是寿宁路的北面。最近黄埔区的官网有显示会稽路寿宁路在征收范围里面，启动时间是2019年的第四季度。我想请问一下领导，寿宁路的北面是否也在征收范围里面。因为这里的居民常年住在狭窄的空间，居民对面就是加油站，没有厨房和厕所，10几平的房间里居住着3带人。我们这里也真的非常渴望被国家征收，能够改善居住环境，图片里有看到寿宁路云南南路，但是规划图里缺只有寿宁路南面，希望领导领导能在官方的文章里提示一下，谢谢！,,,
拆除占道小亭子,待回复,城建 投诉,y***,2019-02-1820:07,黄浦区区长巢克俭，你好：   反映黄浦区汉口路10号右边的人行道上，有泊车公司在地面上画了线，还违规设置了一处小亭子，严重地影响路人通行，也影响上海外滩周边的城市形象。这小亭子长年霸道人行道，经过咨询，这是严重的违规现象。占用人行道就是侵占群众权益，而群众的权益又是最容易被牺牲的部分，希望能够引起相关部门的重视，妥善处理，还人行道于民。,,,
征收范围,待回复,城建 咨询,一***,2019-01-3014:36,你好领导  我是家住云南南路346弄的居民，也就是黄埔区寿宁路地块的北面。最近有在官方网站上看到了会稽路寿宁路动迁一事，我想咨询一下是否寿宁路北面地块也在征收范围里面，因为这里的房子一直是二级旧里，居住环境真的是脏乱差。而且3代人居住在20平的石库门里面，这里的居民也真的非常非常渴望列入国家的征收范围。希望领导能够告知一下我们云南南路346弄是否有机会被征收，谢谢。,,,
违法建筑房何时才能拆除,待回复,城建 投诉,y***,2018-12-2801:47,反映上海市黄浦区 人民公园（人民大道36号）大门口，有二个违章建筑：一个是小浦东传统美食，另一家为喜廷便利店，两家都是无证违法建议。大门口这两个违章建筑，已严重地影响上海城市中心的形象！为何黄浦区 人民公园（人民大道36号）大门口二个违法建筑为何原因拆不了啊……？希望黄浦区政府对行政不作为行为的职能部门进行问责。      上海人民公园为上海市一张靓丽的名片，作为黄浦区城市窗口，其存在的违章建筑现象，严重影响黄浦区整洁亮丽的城市形象。 为让人民公园这张城市名片再次靓丽起来，提升游客的舒适感，黄浦区政府要与区绿化市容部门、南京东路街道等进行联合整治，尽快拆除人民公园门口的违章建筑，对人民公园大门景观进行设计改造尤为重要。,,,
拖欠薪金,待回复,就业 投诉,圹***,2018-12-2515:31,巢区长您好，我是上海斯迈康生物科技有限公司的原员工，今年10月离职，公司至今还欠我的薪金未发，别人已发放，上海是国家的门面，我希望领导帮助解决。谢谢,,,
