中华路河南南路市政施工扰民达半年之久,待回复,环保 投诉,W***,2019-11-1910:12,"中华路河南南路路口从今年五月起，不断夜间十点后施工，架空线入地工程，至今已达半年。有夜间施工证民警不管，打12345投诉，转到市政建设部门说交通部门不允许十点前做，没有办法。打12345至交通委，质疑该路口车流量不大，为何不能晚高峰后七点即施工，交通委又转至市政建设部门，不予回复。居民要求提早施工时间，晚高峰后开始施工，到十点前结束，还给居民一个正常休息的权利。车辆可以绕道，可以缓行，居住在此的居民晚间受噪音折磨长达半年之久，躲到何处去？现居民生理心理均受严重影响，一到晚上就担心有噪音骚扰，无法正常工作生活。
12345一次次拨打，得到的都是相同的回复，没有办法。交通委每次接到电话都回访，告知会有专门人员处理，然后转到市政建设部门，继续回复居民没有办法，交通部门不允许早施工，同时在12345标记已经回复居民。这样来回踢皮球，不考虑居民受到的长达半年的噪音骚扰，令人心寒。",,,
妈妈因设施问题于店内摔倒店家拒赔,待回复,企业 求助,W***,2019-10-2709:55,带着宝宝妈妈去位于黄浦区湖滨道的知名连锁亲子餐厅。但因为店内的那个充气设施装置，我妈妈背向后摔倒并磕在后面无防护措施的台阶上。我妈妈因为本来腰就骨折过，当时就趴在地上起不来。老人本身就骨脆不能摔。叫了120送到医院检查，虽并无新的骨折，但是很疼痛医生也是说需要卧床至少两周。我心里真的很难过。去找店家理论希望他们能给到我们一些赔偿对于我妈妈的慰问金。并没有过分的要求。但是店家却拒绝赔付我们。一直以保险等各种理由推脱责任。恳请领导处理,,,
友信信贷利息高于国家规定,待回复,金融 求助,2***,2019-10-1717:08,在2017年9月14日，本人与友信信贷签署借款协议，该公司员工对利息没有做明确解读，避重就轻，在协议中体现3年总借款为116400元，实际我只收到借款为8万元，36期还款，每期还款金额为3734.08元，实际还满3年金额为134426.88元。协议中151.67元为每月咨询费36个月为45460元，协议中859.44元为每月服务费36个月为30940元。两笔费用在签定协议时该公司没有做明确解释！我目前已还款24个月每月3734.08元总计89617.92，在近期还款时，他们公司App出现故障，导致还款延迟一天，罚息400元，请问他们的标准是什么？按照国家规定利息不应超过正常贷款利息百分之24。目前体现该贷款利息为百分之50以上。请市领导为民做主，还社会一个良好的金融环境，对这类不合规的企业进行清退处罚！,,,
复兴东路动迁,待回复,城建 咨询,空***,2019-10-0315:15,想问咨询下复兴东路663弄会动迁么？应该隔壁都已经动迁了,,,
投诉京东,待回复,企业 投诉,g***,2019-09-2410:32,京东退货不退款，拖延一个月了，私自开通小金库，将客户余额的钱私自转走，退款只能接受京豆补偿，京豆使用是有限制的，要不然就小金库绑定银行卡，如此无良蛮横商家难道没有政府职能部门监管制裁。已有多地市民反映此事，望引起重视。,,,
熊猫星厨请退我三个月押金,待回复,企业 投诉,张***,2019-09-2109:58,我是黄浦区熊猫星厨的一商户，今年4月入驻熊猫星厨，交了三万六的进场费和四个月的房租，房租言明押三付一，经营到9月已经累计亏损20来万，提出离场申请，熊猫星厨答应了，但是要等新商户进来后方可结算费用，这期间我得继续交租金及物业费，作为小本经营的我，家底已经亏光，无力承担每月一万二的房租及六千块的水电及物业费，况且已经到了申请离场的时间也没有找到新的商户，熊猫星厨这边要清退我，押金也不退，申诉无门。,,,
噪音,待回复,环保 投诉,W***,2019-08-2416:22,斜土路致远大厦中段有近30个空调机箱，噪音扰民，曾向12345救助过，后噪声管理部门也来检测过，但是一直没有解决问题，他们声称自己不是执法部门，只能劝说，望领导能百忙之中抽空了解下此事，还我们一个清净!,,,
还孩子一片清明的天空,待回复,教育 投诉,W***,2019-08-1617:35,书记您好，我是一个普通的妈妈，我给我的儿子报了朗恩美语，想让小朋友练练听力，在2017年8月，我第一次报名，查看相关资质后报了两年英语，在2018年11月又续报了两年，在2019年8月11日，朗恩突然宣布经营不善，申请破产清算。投诉至教委，教委说这家公司是无证经营，并且已经无证经营2年，与此同时，我们也查到:在2018年4月8日，工商部门由于这家公司违法经营开出2万的罚单。这些内容在此之前，我们没有人知情，也没有人告知我们。作为工商监督部门，不是为了保护我们消费者的吗？为什么违法经营行为，反而消费者没有知情权呢？为什么违法经营行为相关部门可以知道了以后，继续违法经营下去呢？为什么让小朋友出去学习一下这么难呢？为什么学习机构无论大的小的，新的旧的都是说关门就关门，说资金链断裂就断裂呢？我们社会的诚信，我们政府的公信力，为人民服务的政府职能部门在哪里呢？我们社会又是怎么样纵容这股歪风邪气蔓延的呢？朗恩原来的负责人李春霞，高枕无忧讨论着她的教育产业？现在的负责人李靖艳躲着不见人影？一个个教科书式的审判，决定了犯罪成本如此之低，教书育人的人是如此的嘴脸。作为一个家长，假如不站出来维权，我有何面目去面对我的孩子，我怎么教育他怎么做人做事？我写这封信是恳请区长或者市长，能督促一查到底，让这些人受到应有严厉的惩罚，以此警戒，教育是一个国家的根本和底线，没有人能在教书育人上面有任何侥幸心理，要负责就要负责到底，没有能力和资格的就不应该开设。一旦跨过了线，就不是一句破产和资金断裂可以搪塞的。我也提出一个建议:教育是不是能有一个第三方托底，比如保险，要开设教育机构，必须买相应的保险假如机构倒闭了，能根据保险号给家长进行理赔。请给孩子头上一片明朗的天空，别让小孩眼里看到都是灰色的天空吧。,,,
厅西路徽宁路旧改何时启动,待回复,城建 咨询,s***,2019-07-0912:38,领导：您好！看到您今日所说黄浦区旧改下半年计划以金陵路和建国路毛地为主，请问下年初发的旧改征收批复文件厅西路这个地块今年还会有征收的考虑？以及何时会启动动迁？谢谢,,,
南外滩轻纺面料市场存在安全隐患,待回复,城建 投诉,y***,2019-06-1416:29,"黄浦区委书记杲云，你好：   反映黄浦区上海南外滩轻纺面料市场(陆家浜路399号),该整个市场内外存在经营户跨门经营、摊位占用防火间距，占用、堵塞消防车通道(包括消防器材旁乱堆物)、等现象严重，存在重大火灾隐患。一旦发生火灾事故，将造成重大人员伤亡及财产损失，后果难以想象。      因上海南外滩轻纺面料市场存在严重消防安全隐患，应被列为市级消防安全隐患重点挂牌督办单位。      希望有关部门开展消防安全隐患专项治理工作，重点对辖区内的南外滩轻纺面料市场综合体进行整治，并深入开展安全隐患排查整治工作，严防重特大火灾或安全事故。为此建议黄浦区政府牵头组织消防、安监、派出所、城管、市场监管等部门在第二届进博会举办前，对该市场建筑区块实施整顿或关停，以彻底消除火灾隐患，切实维护群众生命财产安全。",,,
驾驶证被套证,待回复,交通 投诉,冯***,2019-06-0207:52,尊敬的领导  你好，本人情况是这样的。本人是从来没有去过上海，更加不可能在上海处理过违法行为。就在这几天我发现我本人的驾驶证状态有违法未处理，然后自己便去查询查到了一个本人从来没有去过的地方有违法行为！现在本人也不知道该怎么办，到底是系统出错还是自己的驾驶证被套证了也不知道！所以特意提出本文反馈内容！希望领导重视这个问题能尽快帮我解决这个问题，也为广大的人民群众维护个人利益，不能让不法分子继续逍遥法外。非常感谢地方领导,,,
沃洋优品电商退货款不退,待回复,企业 投诉,橙***,2019-05-2714:07,4月份在沃洋优品跨境电商采购了24713元的货后来发现质量有问题协商退货退款，货于4月23号29号退到指定地点，5号退款可是已经20多天还迟迟不退款,,,
健身房的欺诈,待回复,文娱 求助,力***,2019-05-2414:54,在办理健身卡的过程中，没有告知我签的是合同，事后告知我之前签了一份合同，我感觉被欺骗，商家无理不给退款,,,
九院手术室  加班时间严重超时,待回复,就业 投诉,人***,2019-04-2510:14,上面要求手术量要增加，于是刀多了，然而手术室上班的依旧还是那些人，资历老的几乎不用加班，资历小的天天加班，每个月40个小时是常事，正常上班时间是早上8点到下午4点，然而真的8点上班又怎么可能呢？每天7点半到医院，下班又都是8点9点，运气好点5点6点可以下班了，运气差半夜12点还没下班，第二天又是一天的开始，天天加班，加到精神崩溃，请个病假，奖金没了，想请个公休吧，然而资历小的又有多少公休呢？朋友问五一去哪里玩，我们只想睡觉。手术室上班不像病房，没事的时候稍微坐一会儿聊会天，我们总是在高强度的工作，担心针丢了，担心纱布少了，一个疏忽万一丢了，领导只会说你上班不够认真，不用心，责任心不强，然而我们也是人啊，我们每天都精神高度紧张，担心这儿担心那儿，还不能好好休息。让我们喘口气吧！我们好累！我们想睡觉！,,,
