标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
承包土地来种植水果,待回复,三农 建言,王***,2019-11-3010:57,我有个致富水果品种，打算承包土地投资种植，问问有什么政府帮助没得？？,,,
莫名其妙手机卡无法接打电话,待回复,旅游 咨询,z***,2019-11-2317:42,晚上8点多还接了一个快递电话，十点左右电话卡就莫名其妙的不能接打电话了？想问问这是为何呢？想打10000号咨询也打不出去。想问问是否能帮我解封，我是来亲戚家探亲，帮忙干活的,,,
手机无故停机,待回复,治安 投诉,袁***,2019-11-2220:49,   我父亲手机被临沧警方停机，也没有任何提示，拨打088396110号码也一直处于无法接通状态，我父亲的手机号码是实名注册的，也没有任何违法记录，一直在上海居住，手机停机后给生活带来许多不便。望领导叫以关注，早日开通我父亲的手机。 谢谢！,,,
赴沧源出差电话卡，支付宝，微信被封至今未解决,待回复,治安 求助,灯***,2019-11-1413:29,尊敬的领导您好，我是深圳的一名灯光师，经常在全国各地出差，但是今年7月份应公司安排前往你们沧源市附近出差时，结果没过多久发现我的所有账户都被封停，说什么涉嫌电信诈骗，7月份时当我打电话给短线要求的电话96110时说在调查，没有问题就会解封，但是如今已经11月份了，账号还是全部都是封停状态，0883—96110的电话和短信中说的电话都已经打不通了，我现在应该怎么办呢? 希望能够给我一个解决方案，起码能给我一个电话能联系的上的，因为我真的是无辜的，没有参加电信诈骗 ，账号被封这么久给我带来了非常大的不便，希望能帮我解决,,,
拖欠员工及绩效工资4个月，五险一金也未按时缴,待回复,就业 求助,咖***,2019-11-1315:53,尊敬的杨书记：您好！我本人户籍是外市的（玉溪市）于2017年进入到临沧市镇康县临沧祖古纳咖啡股份有限公司工作，从今年7月起，公司就一直拖欠员工工资及绩效工资，包括五险一金也因为没有缴纳被停保，现如今想用租房公积金贷款买房也因公司欠费没有缴纳不可以办理贷款买房，医保也是因为公司没有缴纳而停保。因家中父母生病，向公司借支一点工资，公司不借给。向我这样外地来工作的就想打工赚点钱回家。望书记给予关心一下，让相关领导部门解决一下，哪怕是先暂时给一点工资都行。,,,
手机卡一周被封停三次？到底该怎么办？,待回复,政务 求助,老***,2019-11-1108:34,我是一个在缅甸老街做正当工作的中国公民，现在电话卡被莫名强制封停了，非常影响我的正常生活和工作.,,,
手机号无故封停了。,待回复,治安 求助,小***,2019-11-1108:12,尊敬的领导您好！11月9日发现本人手机号码不能使用，联系电信客服后说是卡被临沧反电信网络诈骗中心封停，需致电088396***解决，但连续打了好多次都是无人接听，号码无故封停，手机号码绑定很多生活账号，已严重影响到正常生活工作，该号码已经正常使用2多年，恳请核实，及时解决，让我恢复正常使用，谢谢！,,,
电话号码莫名被封停,待回复,治安 投诉,L***,2019-11-0816:56,尊敬的杨书记，您好！我的手机号码不明不白地就被封了，我是一名货车司机，该号码我已经用了6年了，从未违反国家有关法律法规，很多账户都该号码开户注册的，咨询10000回复公安部查封，说什么电信诈骗之类，叫我电话088396110，该电话打了一上午只打进去一次，登记完就没有下文了。,,,
关于小湾电站土地赔偿遗留问题,待回复,三农 求助,1***,2019-11-0810:45,书记你好，我家的小湾电站土地赔偿问题到现在一直没有全部到位（只赔偿承包面积，没有赔偿实际测量面积和经济林木）现在土地淹没多年一直没有解决，写申请问县移民局告知赔偿已经全部到政府，我不知道情况出在哪里，还有全村人搬迁的搬迁，就地建房的建房，就胜三家没有解决，望领导彻查问题所在谢谢！,,,
手机卡无故停机,待回复,治安 求助,宋***,2019-11-0809:06,尊敬的领导    本人与10月11日与朋友结伴到耿马朋友开的餐馆去看了一下，游玩了一些日子，没有收到任何提示，手机卡就不能用了，回来之后在营业厅咨询，说是被反诈中心停封，088396110电话一直打不进去，,,,
