标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
玉龙花园退房问题,待回复,城建 求助,小***,2019-11-2814:58,尊敬的区委尚书记，本人是玉龙花园的租户，本人与2014年大学毕业回临沧创业，2014年递交了公租房申请直到2018年底接到了入住通知，当时的心情激动万分，等待了4年的公租房终于可以入住了，在这里要感谢政府对我们这些贫困人口的照顾有这么一个政策，由于在这4年的时间里我创业过程中积攒了一小部分资金，2019年在家人和朋友的帮助下在海棠城小区付了首付，可是今天却突然接到了玉龙花园的退房通知。感觉晴天霹雳的一个消息，由于买的房子才刚刚开始施工，还没有盖起来，导致我现在不知道该怎么办。我也知道政府这样做是对的我们也支持，就是有房子的不能再继续居住在公租房内。这是对没有房子的比我们更需要这个房子的人居住，可是现在我买的那个房子还没有建造起来，还需要一年的时间才可能交房，我想请政府给予解决一下这个问题（现玉龙花园居住的居民有在外面购买房子的，但是房子还在建造过程中没有达到交房的用户给予一定的时间到购买的房子交房以后在退房）个人原因：1.本人申请公租房从递交申请到接到入房通知是4年时间。一个大学生出来创业不可能4年时间都一分钱苦不到。我是在家人和朋友的帮助下载海棠城交了首付，可是现在买的房子还在盖，还没有交房，导致我居住不了。个人诉求：1.想诉求政府给予点时间，在购买的房子交房之后我们会主动退房。,,,
华旭小区6区租户、商家露天烧火严重影响生活,已办理,城建 求助,W***,2019-10-2911:02,尊敬的区委尚书记，本人是华旭小区6片区业主，首先感谢政府对华旭小区进行棚户区改造，自改造以来小区环境得到了很大的改善，居民生活环境也得到了大幅度的提升，但华旭6片区靠近滇西科技学院背靠商贾天下小区，因此有很多外来人员租用1楼的车库改造房居住，有的甚至用来经营小吃等等，华旭6片区3栋，靠近商贾天下小区楼下的租户、经营小吃的商家，每天在楼下我家卧室的窗户下，露天烧火、炒菜做饭，散养鸽子，更严重的是，楼下住户，灶台就放在窗户正下面，煤气罐成天在露天摆放，本人居住在2楼，每天回到家，整个家都烟雾弥漫，大股刺鼻的油烟味无法散去，床铺上都是油烟味，只要开窗户，客厅、卧室家具都沾满油烟，单元住户直接不敢打开背靠商贾天下这面的窗户，更不敢在窗台晾晒东西，不出几天窗户玻璃就粘满油烟。娃娃、老人苦不堪言，我多次找物业公司反应改问题，物业公司也多次和该住户和经验小吃的商家沟通，也向他们几户下发了相应的告知书。物业公司甚至找到了房东沟通。但效果没有得到一丝的改善，同时我2次拨打12319向城市管理监督指挥中心进行反应，到至今3个月过去了，也没有见任何效果。无奈之下，我上门和他们沟通，和他们商量大家相互理解，大家淘生活也不容易，至少换个地方炒菜做饭，不能为了自己的方便，不顾他人的感受，在我们的窗户下面炒菜做饭。怎奈住户蛮横无理，沟通无果，严重影响生活，无奈之下只能求助尚书记帮忙解决。,临翔区城市综合执法局,尊敬的区委尚书记，本人是华旭小区6片区业主，首先感谢政府对华旭小区进行棚户区改造，自改造以来小区环境得到了很大的改善，居民生活环境也得到了大幅度的提升，但华旭6片区靠近滇西科技学院背靠商贾天下小区，因此有很多外来人员租用1楼的车库改造房居住，有的甚至用来经营小吃等等，华旭6片区3栋，靠近商贾天下小区楼下的租户、经营小吃的商家，每天在楼下我家卧室的窗户下，露天烧火、炒菜做饭，散养鸽子，更严重的是，楼下住户，灶台就放在窗户正下面，煤气罐成天在露天摆放，本人居住在2楼，每天回到家，整个家都烟雾弥漫，大股刺鼻的油烟味无法散去，床铺上都是油烟味，只要开窗户，客厅、卧室家具都沾满油烟，单元住户直接不敢打开背靠商贾天下这面的窗户，更不敢在窗台晾晒东西，不出几天窗户玻璃就粘满油烟。娃娃、老人苦不堪言，我多次找物业公司反应改问题，物业公司也多次和该住户和经验小吃的商家沟通，也向他们几户下发了相应的告知书。物业公司甚至找到了房东沟通。但效果没有得到一丝的改善，同时我2次拨打12319向城市管理监督指挥中心进行反应，到至今3个月过去了，也没有见任何效果。无奈之下，我上门和他们沟通，和他们商量大家相互理解，大家淘生活也不容易，至少换个地方炒菜做饭，不能为了自己的方便，不顾他人的感受，在我们的窗户下面炒菜做饭。怎奈住户蛮横无理，沟通无果，严重影响生活，无奈之下只能求助尚书记帮忙解决。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临翔区委书记
"
新亚太广场开发商收取天然气初装费,待回复,城建 投诉,Z***,2019-10-1618:21,尊敬的区领导：我是在新亚太广场新购房的市民。在去签购房合同时，发现有天然气初装费，国家财政部2002年4月23日巜关于公布取消部分政府性基金项目的通知》规定中指出，取消天然气初装费。国务院出台2011年3月1日起施行的巜城镇燃气管理条例》第十九条规定，新建商品房燃气初装费，应作为开发建设成本计入商品房价格，由房地产开发单位缴纳，不得向用户单独收取。为什么新亚太广场开发商还在购房合同中收取？希望领导关注一下,,,
玉龙花园保障性住房,已办理,城建 投诉,W***,2019-10-1413:00,"请临沧领导为临沧市玉龙花园小区收费问题给与处理，小区收费太高。                ———临沧市临翔区玉龙花园保障性住房前言：临沧市临翔区玉龙花园小区（即为目前临沧市临翔区保障性住房之一），属于国家针对地方部分贫困民众的扶贫项目之一；所谓保障性住房，顾名思义就是提供给一些弱势人群，贫困人群的一个合理合法性的低价住房；是国家，是政府关注，关爱国民的一个措举！———临沧市临翔区玉龙花园保障性住房（廉租房，公租房）。前言提到是国家对国民的一种关注性，关爱性的扶持每个地方的住房措举！随着我国飞速发展的趋势，自2000年以后房地产价格也跟着日益飙升，实际这标注着我国国民日益有钱了，正在迈向全民小康的生活化，是值得庆贺的，值得自豪的！
保障性住房（廉租房 公祖房），今天的玉龙花园保障性住房，均要让住户每户缴纳停车费，每辆，每月200元人民币，每年合计每辆车的停车位高达2400元！目前许多住户住房费用年费用都不过3000元，仅一辆车就要收费2400元一年，试问这地方是国家给弱势群体盖的住所，还是盖收费停车场！？随着国家发展的趋势，贫民也要奋发图强，有辆车是为了能让自己多谋些生计所用，快速追赶小康生活的步伐！我们大多人每年人均收入大概也就在两万多三万，就一停车费就要占去了我们年收入的10%，这个数字我们的确无法承受，何况我们这些贫困群体，有些还没有那个收入数据，上带老下拖小的------然而目前玉龙小区保障性住房的有关停车费这一规定让众多住户无力承当，如果是为了小区内的道路通畅无阻，盗抢保障收取合理性，合法性的管理费用我们同意，接受；前提是希望收取方考虑我们的真实困难性，如若费用过高，我们等于是雪上加霜！故有了今天的这份材料递交于政府，希望当地政府帮忙核实给予一个合理性的协调方案，解决于我们这些弱势群体的眼前困境！   有家方立业，家都没有哪来立业可言，所以这些贫困群体如能有个家便能安生创业，跟上国家步伐一起迈向小康！在此致谢！！",临翔区城市建设开发投资有限责任公司,"请临沧领导为临沧市玉龙花园小区收费问题给与处理，小区收费太高。                ———临沧市临翔区玉龙花园保障性住房前言：临沧市临翔区玉龙花园小区（即为目前临沧市临翔区保障性住房之一），属于国家针对地方部分贫困民众的扶贫项目之一；所谓保障性住房，顾名思义就是提供给一些弱势人群，贫困人群的一个合理合法性的低价住房；是国家，是政府关注，关爱国民的一个措举！———临沧市临翔区玉龙花园保障性住房（廉租房，公租房）。前言提到是国家对国民的一种关注性，关爱性的扶持每个地方的住房措举！随着我国飞速发展的趋势，自2000年以后房地产价格也跟着日益飙升，实际这标注着我国国民日益有钱了，正在迈向全民小康的生活化，是值得庆贺的，值得自豪的！
保障性住房（廉租房 公祖房），今天的玉龙花园保障性住房，均要让住户每户缴纳停车费，每辆，每月200元人民币，每年合计每辆车的停车位高达2400元！目前许多住户住房费用年费用都不过3000元，仅一辆车就要收费2400元一年，试问这地方是国家给弱势群体盖的住所，还是盖收费停车场！？随着国家发展的趋势，贫民也要奋发图强，有辆车是为了能让自己多谋些生计所用，快速追赶小康生活的步伐！我们大多人每年人均收入大概也就在两万多三万，就一停车费就要占去了我们年收入的10%，这个数字我们的确无法承受，何况我们这些贫困群体，有些还没有那个收入数据，上带老下拖小的------然而目前玉龙小区保障性住房的有关停车费这一规定让众多住户无力承当，如果是为了小区内的道路通畅无阻，盗抢保障收取合理性，合法性的管理费用我们同意，接受；前提是希望收取方考虑我们的真实困难性，如若费用过高，我们等于是雪上加霜！故有了今天的这份材料递交于政府，希望当地政府帮忙核实给予一个合理性的协调方案，解决于我们这些弱势群体的眼前困境！   有家方立业，家都没有哪来立业可言，所以这些贫困群体如能有个家便能安生创业，跟上国家步伐一起迈向小康！在此致谢！！","
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临翔区委书记
"
请调查林翔时代广场林溪物业收费是否合规,待回复,城建 投诉,g***,2019-10-0714:07,近期林翔时代广场物业管理公司林溪物业公司又在对小区业主停车动收费心思（之前曾收取住户停车费不合规），要求住户办理临时停车卡，一辆车十元，否则不能进入小区唯一停车区域（该区域非停车场）。请问林溪物业该项收费是否获得收费批准？,,,
临沧市客运站站收费。国家不是规定公厕不允许收,已办理,城建 投诉,a***,2019-09-1621:08,临沧市客运站站收费。国家不是规定公厕不允许收费么 ,临翔区交通运输局,临沧市客运站站收费。国家不是规定公厕不允许收费么 ,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临翔区委书记
"
2016年的建档立卡户,已办理,城建 求助,W***,2019-09-0716:04,书记您好：  我是蚂蚁堆乡忙糯村委会的一户建档立卡户，家里的房屋于2016年开始建设，建房贷款到现在都还没着落，以至于房屋还没钱装修！到哪问都说是没名额，恳请书记帮我咨询一下！谢谢！,临翔区蚂蚁堆乡,书记您好：  我是蚂蚁堆乡忙糯村委会的一户建档立卡户，家里的房屋于2016年开始建设，建房贷款到现在都还没着落，以至于房屋还没钱装修！到哪问都说是没名额，恳请书记帮我咨询一下！谢谢！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临翔区委书记
"
临翔区忙畔街道工业园区同康北城万象交房4年没,已办理,城建 求助,Z***,2019-09-0417:16,同康北城万象交房4年，到现在开发商没给办理房产证，想求助市领导，和相关部门查一下，是哪个部门出了问题？开发商交房4年不给房产证是否违法？开发商拿小区的大证抵压贷款是否合法？等问题，能否一一回复，谢谢！,临沧区自然资源局,同康北城万象交房4年，到现在开发商没给办理房产证，想求助市领导，和相关部门查一下，是哪个部门出了问题？开发商交房4年不给房产证是否违法？开发商拿小区的大证抵压贷款是否合法？等问题，能否一一回复，谢谢！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临翔区委书记
"
建议主要道路增加中间隔离带及规范停车,待回复,交通 建言,N***,2019-08-3017:38,1.目前临翔区好多道路都没有隔离带，导致出租车、私家车等随意掉头，导致交通严重拥堵，特别是高峰时段。2.好多路段随意停车或者没有规范停在车位里面，导致交通严重堵塞。建议不按规范停车请予以纠正，必要时进行处罚。3.建议大力启用道路交通违法监控。4.道路标志线能否随时更新，随着时间及车流量，标志线已不是很明。5.特备提一下临翔路及南天路，交通混乱拥挤，没有停车位的道路及人行道停满了车。,,,
中铁二十四局大临铁路六标段拖欠工资,待回复,就业 投诉,W***,2019-08-2621:29,你好，本人于2019年3月到大临铁路六标段二工区工作（属于大临铁路项目部外聘人员），担任职务隧道监控量测，当时说好工资不会拖欠。结果干活一直到七月份都没拿到过一分钱，本人于2019年七月底离职重新找工作，当时干了五个月，工资大约一万七千左右，领导说工资八月十日左右打到卡上，结果并没有。五月到八月前后十几次打过电话给工区书记，项目经理，总工等反映情况，结果都是口头敷衍一下，互相推脱。希望引起你们重视，毕竟出来打工谁都不容易，如果能尽快解决这个问题，我将感激不尽。,,,
现在还可以申请公租房吗？,已办理,城建 咨询,j***,2019-07-3115:54,书记，您好，我想咨询一下，现在还可以申请公租房吗，我才大学毕业，在临沧还没有什么固定的住所。申请公租房有什么条件吗。 ,临翔区住房和城乡建设局,书记，您好，我想咨询一下，现在还可以申请公租房吗，我才大学毕业，在临沧还没有什么固定的住所。申请公租房有什么条件吗。 ,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临翔区委书记
"
孩子的上学问题,已办理,教育 求助,佤***,2019-07-2316:47,尊敬的尚东红书记： 您好！我的孩子现在已经幼儿园毕业了，要上一年级了，但是因为孩子的原籍户口问题，现户口为：临翔区忙畔街道忙畔社区师范路6号3栋，收到教育局的录取通知书为原籍户口小学（南信桥小学），我们夫妻已经进城务工多年，工作地点在工业园区离学校太远，无法方便照顾孩子，而且家中老人也无法监护孩子，希望请相关部门给予孩子能就近入学，谢谢！！,临翔区教育体育局,尊敬的尚东红书记： 您好！我的孩子现在已经幼儿园毕业了，要上一年级了，但是因为孩子的原籍户口问题，现户口为：临翔区忙畔街道忙畔社区师范路6号3栋，收到教育局的录取通知书为原籍户口小学（南信桥小学），我们夫妻已经进城务工多年，工作地点在工业园区离学校太远，无法方便照顾孩子，而且家中老人也无法监护孩子，希望请相关部门给予孩子能就近入学，谢谢！！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临翔区委书记
"
南天路批发市场至迎春桥路段人行道急需整修,已办理,城建 建言,l***,2019-07-2216:26,南天路批发市场至迎春桥路段，车流人流量较大，但是因为人行道路面年久失修，路面破损严重，人员行走十分不便，现在很多都是在车道上行走，安全隐患很大，而且还影响到主干道车辆行驶，请相关部门给予关注。,临翔区住房和城乡建设局,南天路批发市场至迎春桥路段，车流人流量较大，但是因为人行道路面年久失修，路面破损严重，人员行走十分不便，现在很多都是在车道上行走，安全隐患很大，而且还影响到主干道车辆行驶，请相关部门给予关注。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临翔区委书记
"
小区商铺烧烤扰民，烟醺，苦不堪言！求助。,已办理,环保 投诉,Z***,2019-07-1616:27,我是天豪国际小区的住户，反映：本小区与晨盛花园小区之间的两小区商铺，一到晚上就变成了烧烤一条街，每晚开到零晨3.4点甚至天亮，营业期间给两小区的住户造成的影响，主要1，烧烤形成的烟，醺得两边小区的住户不敢开窗阿！2，噪声影响，大声喧哗，打架，吵架，骂架，摔东西，在寂静的夜你能想象到被吵醒后难以入眠的滋味吗？这条路共有十余家烧烤滩。我想请你们告诉我在生活小区能允许开这样的店吗？？工商管理如何能审批这样的商铺？？道路上空烟醺得可怕，每晚都有人打架，存在安全隐患，对于建设大美临沧，文明城市有着格格不入的风景！我恳请书记为我们两小区的住户解决。,临翔区公安分局,我是天豪国际小区的住户，反映：本小区与晨盛花园小区之间的两小区商铺，一到晚上就变成了烧烤一条街，每晚开到零晨3.4点甚至天亮，营业期间给两小区的住户造成的影响，主要1，烧烤形成的烟，醺得两边小区的住户不敢开窗阿！2，噪声影响，大声喧哗，打架，吵架，骂架，摔东西，在寂静的夜你能想象到被吵醒后难以入眠的滋味吗？这条路共有十余家烧烤滩。我想请你们告诉我在生活小区能允许开这样的店吗？？工商管理如何能审批这样的商铺？？道路上空烟醺得可怕，每晚都有人打架，存在安全隐患，对于建设大美临沧，文明城市有着格格不入的风景！我恳请书记为我们两小区的住户解决。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临翔区委书记
"
林翔时代广场一直不交房,待回复,城建 求助,临***,2019-06-1712:58,尊敬的尚东红书记：    您好！我于2017年10月在林翔时代广场2栋购买自住商品房一套，当时已经交付30%首付款，定购合同预计是2017年12月底交房，但是现在已经过去将近两年的时间开发商依然没有交房，而且对于什么时候能够交房开发商也一直没有给一个答复，严重拖延广大业主的交房期限。    1、我多次到开发商售楼部去咨询，答复是2幢的暂时不能交房，办证也不知道什么时候，但是可以在购买1个小区停车位（19万元）或者将房款交付购房总价的80%后可以进行装修入住。该公司这种在房屋没有经过相关职能部门验收的情况让业主先行装修入住的行为是否合法合规？该公司对该项目开发建设手续是否齐全？不能交房的真正原因又是什么？这些问题开发商对我们业主都没有一个正面的答复，开发商也未能告知真实情况，所以只能通过这种方式请您帮助协调相关职能部门帮助调查并能反馈社会大众知悉。    2、2019年6月13日，我联系了临沧市住建局房管科，在他们的协调下才知悉：2栋因涉及拆迁补偿问题未能交房，但是购房时已经咨询过开发商是否涉及土地拆迁法律问题，开发商的答复是没有。开发商的这种对消费者的故意隐瞒是否涉及违规？    我们作为普通的市民，买一套房子是毕生最大愿望，却因为开发商的刻意隐瞒，严重拖延迟迟未能入住，没有一个正面答复。在此恳请有关部门协调解决。,,,
15年申请的廉租房，到现在没反应,已办理,城建 求助,W***,2019-05-1009:38,我2015年申请的廉租房，到现在都没接到通知，去年说年底，可是年都过了，还是没有，在我后面申请的入住的有好多，为什么?_?,临翔区住房和城乡建设局,我2015年申请的廉租房，到现在都没接到通知，去年说年底，可是年都过了，还是没有，在我后面申请的入住的有好多，为什么?_?,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临翔区委书记
"
拖欠危房加固工程款,已办理,城建 求助,沧***,2019-04-2015:44,书记你好，我是2017年年底去博尚镇那戈村做危房加固工程的，2017年底就已完工，当初镇政府给我们的承诺是完工每户付一万，验收后付清，有了这个承诺我才敢去做。可是现在全区都脱贫了我还拿不到工程款，今年过年都一分没给我们，都三个年头每次和镇镇府要都是说没钱。我也是贷款去做，现在银行催款还不上，全区都脱贫我却因此反贫。实在没有办法才请书记给予解决一下。,临翔区博尚镇,书记你好，我是2017年年底去博尚镇那戈村做危房加固工程的，2017年底就已完工，当初镇政府给我们的承诺是完工每户付一万，验收后付清，有了这个承诺我才敢去做。可是现在全区都脱贫了我还拿不到工程款，今年过年都一分没给我们，都三个年头每次和镇镇府要都是说没钱。我也是贷款去做，现在银行催款还不上，全区都脱贫我却因此反贫。实在没有办法才请书记给予解决一下。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临翔区委书记
"
公厕手费合理吗？,已办理,环保 咨询,看***,2019-04-0609:01,请问现在临沧汽车站里的公厕，每次收费1元合理吗？,临翔区交通运输局,请问现在临沧汽车站里的公厕，每次收费1元合理吗？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临翔区委书记
"
