玉龙花园退房问题,待回复,城建 求助,小***,2019-11-2814:58,尊敬的区委尚书记，本人是玉龙花园的租户，本人与2014年大学毕业回临沧创业，2014年递交了公租房申请直到2018年底接到了入住通知，当时的心情激动万分，等待了4年的公租房终于可以入住了，在这里要感谢政府对我们这些贫困人口的照顾有这么一个政策，由于在这4年的时间里我创业过程中积攒了一小部分资金，2019年在家人和朋友的帮助下在海棠城小区付了首付，可是今天却突然接到了玉龙花园的退房通知。感觉晴天霹雳的一个消息，由于买的房子才刚刚开始施工，还没有盖起来，导致我现在不知道该怎么办。我也知道政府这样做是对的我们也支持，就是有房子的不能再继续居住在公租房内。这是对没有房子的比我们更需要这个房子的人居住，可是现在我买的那个房子还没有建造起来，还需要一年的时间才可能交房，我想请政府给予解决一下这个问题（现玉龙花园居住的居民有在外面购买房子的，但是房子还在建造过程中没有达到交房的用户给予一定的时间到购买的房子交房以后在退房）个人原因：1.本人申请公租房从递交申请到接到入房通知是4年时间。一个大学生出来创业不可能4年时间都一分钱苦不到。我是在家人和朋友的帮助下载海棠城交了首付，可是现在买的房子还在盖，还没有交房，导致我居住不了。个人诉求：1.想诉求政府给予点时间，在购买的房子交房之后我们会主动退房。,,,
华旭小区6区租户、商家露天烧火严重影响生活,已办理,城建 求助,W***,2019-10-2911:02,尊敬的区委尚书记，本人是华旭小区6片区业主，首先感谢政府对华旭小区进行棚户区改造，自改造以来小区环境得到了很大的改善，居民生活环境也得到了大幅度的提升，但华旭6片区靠近滇西科技学院背靠商贾天下小区，因此有很多外来人员租用1楼的车库改造房居住，有的甚至用来经营小吃等等，华旭6片区3栋，靠近商贾天下小区楼下的租户、经营小吃的商家，每天在楼下我家卧室的窗户下，露天烧火、炒菜做饭，散养鸽子，更严重的是，楼下住户，灶台就放在窗户正下面，煤气罐成天在露天摆放，本人居住在2楼，每天回到家，整个家都烟雾弥漫，大股刺鼻的油烟味无法散去，床铺上都是油烟味，只要开窗户，客厅、卧室家具都沾满油烟，单元住户直接不敢打开背靠商贾天下这面的窗户，更不敢在窗台晾晒东西，不出几天窗户玻璃就粘满油烟。娃娃、老人苦不堪言，我多次找物业公司反应改问题，物业公司也多次和该住户和经验小吃的商家沟通，也向他们几户下发了相应的告知书。物业公司甚至找到了房东沟通。但效果没有得到一丝的改善，同时我2次拨打12319向城市管理监督指挥中心进行反应，到至今3个月过去了，也没有见任何效果。无奈之下，我上门和他们沟通，和他们商量大家相互理解，大家淘生活也不容易，至少换个地方炒菜做饭，不能为了自己的方便，不顾他人的感受，在我们的窗户下面炒菜做饭。怎奈住户蛮横无理，沟通无果，严重影响生活，无奈之下只能求助尚书记帮忙解决。,临翔区城市综合执法局,刘女士：您好！ 您反映的信访问题已收悉，临翔区综合执法局汇同区住建局、小区物管，及时对信访件中提到的情况走访了解。对提到的业主进行约谈，现场对其进行小区物业管理规定的法制宣传教育，通过宣传教育，业主当场表态，将严格按照相关要求，进一步加强管理，做到合法经营，不影响周边的住户的正常休息。下步，我们将进一步完善辖区行业场所的常态化管理机制，加强管控力度，积极构建群众监督、行业场所自律、派出所管理的齐抓共管的良好局面。感谢您对我区工作的支持与理解，祝您身体健康、生活愉快！临翔区综合执法局2019年11月25日,回复时间：2019-11-25 15:31
新亚太广场开发商收取天然气初装费,待回复,城建 投诉,Z***,2019-10-1618:21,尊敬的区领导：我是在新亚太广场新购房的市民。在去签购房合同时，发现有天然气初装费，国家财政部2002年4月23日巜关于公布取消部分政府性基金项目的通知》规定中指出，取消天然气初装费。国务院出台2011年3月1日起施行的巜城镇燃气管理条例》第十九条规定，新建商品房燃气初装费，应作为开发建设成本计入商品房价格，由房地产开发单位缴纳，不得向用户单独收取。为什么新亚太广场开发商还在购房合同中收取？希望领导关注一下,,,
玉龙花园保障性住房,已办理,城建 投诉,W***,2019-10-1413:00,"请临沧领导为临沧市玉龙花园小区收费问题给与处理，小区收费太高。                ———临沧市临翔区玉龙花园保障性住房前言：临沧市临翔区玉龙花园小区（即为目前临沧市临翔区保障性住房之一），属于国家针对地方部分贫困民众的扶贫项目之一；所谓保障性住房，顾名思义就是提供给一些弱势人群，贫困人群的一个合理合法性的低价住房；是国家，是政府关注，关爱国民的一个措举！———临沧市临翔区玉龙花园保障性住房（廉租房，公租房）。前言提到是国家对国民的一种关注性，关爱性的扶持每个地方的住房措举！随着我国飞速发展的趋势，自2000年以后房地产价格也跟着日益飙升，实际这标注着我国国民日益有钱了，正在迈向全民小康的生活化，是值得庆贺的，值得自豪的！
保障性住房（廉租房 公祖房），今天的玉龙花园保障性住房，均要让住户每户缴纳停车费，每辆，每月200元人民币，每年合计每辆车的停车位高达2400元！目前许多住户住房费用年费用都不过3000元，仅一辆车就要收费2400元一年，试问这地方是国家给弱势群体盖的住所，还是盖收费停车场！？随着国家发展的趋势，贫民也要奋发图强，有辆车是为了能让自己多谋些生计所用，快速追赶小康生活的步伐！我们大多人每年人均收入大概也就在两万多三万，就一停车费就要占去了我们年收入的10%，这个数字我们的确无法承受，何况我们这些贫困群体，有些还没有那个收入数据，上带老下拖小的------然而目前玉龙小区保障性住房的有关停车费这一规定让众多住户无力承当，如果是为了小区内的道路通畅无阻，盗抢保障收取合理性，合法性的管理费用我们同意，接受；前提是希望收取方考虑我们的真实困难性，如若费用过高，我们等于是雪上加霜！故有了今天的这份材料递交于政府，希望当地政府帮忙核实给予一个合理性的协调方案，解决于我们这些弱势群体的眼前困境！   有家方立业，家都没有哪来立业可言，所以这些贫困群体如能有个家便能安生创业，跟上国家步伐一起迈向小康！在此致谢！！",临翔区城市建设开发投资有限责任公司,"李廷明同志，您好！ 您的信访问题已收悉，经调查核实后，现将相关情况回复如下：玉龙花园小区是2011年市区共建保障性住房建设项目。项目净用地面积202.05亩，共建设保障性住房8092套，70万平方米，其中：公共租赁住房5674套39万平方米，廉租住房2418套12万平方米；配套商业、生活、社区服务中心等设施约8万平方米（包含12个班的幼儿园2所）；地下建筑面积约11万平方米。项目总投资约18.95亿元。项目于2011年8月31日分为主体五个标段开工建设，其中：第一标段四川三一工程建设（集团）有限公司、第二标段鑫业集团有限公司、第三标段海力集团有限公司、第四标段江西中盛建筑有限公司、第五标段四川星星建设集团有限公司。玉龙花园小区2011年8月30日开工建设至今，整个项目已完成，小区居民也全部入住。由于小区人口越来越多，小区内车辆乱停乱放问题十分严重，一直以来住户反映都较为强烈，特别是地面停车堵塞消防安全通道，存在重大安全隐患。小区里又居住着很多幼童、周边上学的孩子和老人。为了让小区的家人们拥有一个安全有序的居住环境，在广泛开展市场调研，统筹考虑小区住户承受能力的基础上，报经发改部门核准后实行小区停车收费，车位运营管理费用是参照《云南省共租房住房出租出售征收使用管理暂行办法规定》提取，收取费用将用于小区停车位的维护管理。关于您们反映玉龙小区停车收费太高，我公司高度重视并积极协调做好相应的解决工作,玉龙花园小区收取停车费的试行期为1年，期满后将会根据运营情况进行调整完善。感谢您对我们工作的支持与理解，祝您身体健康、生活愉快！",回复时间：2019-10-24 01:23
请调查林翔时代广场林溪物业收费是否合规,待回复,城建 投诉,g***,2019-10-0714:07,近期林翔时代广场物业管理公司林溪物业公司又在对小区业主停车动收费心思（之前曾收取住户停车费不合规），要求住户办理临时停车卡，一辆车十元，否则不能进入小区唯一停车区域（该区域非停车场）。请问林溪物业该项收费是否获得收费批准？,,,
临沧市客运站站收费。国家不是规定公厕不允许收,已办理,城建 投诉,a***,2019-09-1621:08,临沧市客运站站收费。国家不是规定公厕不允许收费么 ,临翔区交通运输局,吴涛同志：您好！    您通过人民网《地方领导留言板》给临翔区委书记的留言收悉，临翔区交通运输局高度重视，现将有关情况回复如下：经核实，临沧市客运站不存在公厕收费现象。客运中心站按照交通部办公厅下发的《关于汽车客运站旅客厕所不允许收费的通知》（厅公路字〔1998〕30号）文件以及《云南省汽车客运站管理规定》执行，对乘车的旅客凭票入厕，不收取费用。但是由于客运中心站配套设施有餐厅和宾馆，为方便群众的需要，客运中心站卫生间实行对外承包管理，不发工资。客运中心站属私营企业，为减轻企业负担，对客运站公厕的管理，实行对外承包，不收取承包费。承包方所收取的费用，用于劳务费、水电费及公厕日常维护费。感谢您对我们工作的支持与理解，祝您身体健康、生活愉快！                        临翔区交通运输局                     2019年10月25日,回复时间：2019-10-29 01:24
2016年的建档立卡户,已办理,城建 求助,W***,2019-09-0716:04,书记您好：  我是蚂蚁堆乡忙糯村委会的一户建档立卡户，家里的房屋于2016年开始建设，建房贷款到现在都还没着落，以至于房屋还没钱装修！到哪问都说是没名额，恳请书记帮我咨询一下！谢谢！,临翔区蚂蚁堆乡,胡金刚同志：您好！    您通过人民网地方领导留言板给临翔区委书记的留言收悉，临翔区蚂蚁堆乡高度重视，现将有关情况回复如下：关于您举报家里的房屋于2016年开始建设，建房贷款到现在都还没着落，以至于房屋还没钱装修问题，蚂蚁堆乡党委、政府已进行调查核实与处理：你户于2016年建房，结合当年政策，享受建房补助5万元，分三次拨付：2016年9月拨付1万元，2016年11月拨付3.5万元，2018年1月拨付0.5万元。目前，你户建房补助已经全部兑付完毕。你户原属于2016年易地搬迁户，根据《临沧市临翔区脱贫攻坚工作指挥部关于印发<临沧市临翔区农村危房改造和抗震安居工程资金补助及贷款政策>的通知文件要求》，在享受5万元建房补助的同时，还可申请6万元贷款扶持，该项目资金蚂蚁堆乡共有2088万，需按照农户办理贷款先后顺序划拨，但你户申请贷款时，接到银行通知但未按时办理相关手续，银行多次催促无果后已顺位办理其他农户，因此，你户因个人原因未得到该项目贷款。感谢您对我们工作的支持与理解，祝您身体健康、生活愉快！     蚂蚁堆乡人民政府     2019年11月7日,回复时间：2019-11-08 17:40
临翔区忙畔街道工业园区同康北城万象交房4年没,已办理,城建 求助,Z***,2019-09-0417:16,同康北城万象交房4年，到现在开发商没给办理房产证，想求助市领导，和相关部门查一下，是哪个部门出了问题？开发商交房4年不给房产证是否违法？开发商拿小区的大证抵压贷款是否合法？等问题，能否一一回复，谢谢！,临沧区自然资源局,赵云振同志：您好！   您通过人民网地方领导留言板给临翔区委书记的留言收悉，临沧区自然资源局高度重视，现将有关情况回复如下：同康北城万象小区因开发商云南同康置业开发有限公司将其开发的北城万象小区土地在工行进行抵押，致小区住房土地不能进行分摊办理不动产权登记。经临翔区自然资源局多方协调，目前抵押已经解除，并于2019年10月30日开始逐步办理不动产登记，住户可持相关资料申请办理不动产权登记证。感谢您对区工作的支持与理解，祝您身体健康、生活愉快！                   临翔区自然资源局                   2019年11月18日,回复时间：2019-11-19 01:24
建议主要道路增加中间隔离带及规范停车,待回复,交通 建言,N***,2019-08-3017:38,1.目前临翔区好多道路都没有隔离带，导致出租车、私家车等随意掉头，导致交通严重拥堵，特别是高峰时段。2.好多路段随意停车或者没有规范停在车位里面，导致交通严重堵塞。建议不按规范停车请予以纠正，必要时进行处罚。3.建议大力启用道路交通违法监控。4.道路标志线能否随时更新，随着时间及车流量，标志线已不是很明。5.特备提一下临翔路及南天路，交通混乱拥挤，没有停车位的道路及人行道停满了车。,,,
中铁二十四局大临铁路六标段拖欠工资,待回复,就业 投诉,W***,2019-08-2621:29,你好，本人于2019年3月到大临铁路六标段二工区工作（属于大临铁路项目部外聘人员），担任职务隧道监控量测，当时说好工资不会拖欠。结果干活一直到七月份都没拿到过一分钱，本人于2019年七月底离职重新找工作，当时干了五个月，工资大约一万七千左右，领导说工资八月十日左右打到卡上，结果并没有。五月到八月前后十几次打过电话给工区书记，项目经理，总工等反映情况，结果都是口头敷衍一下，互相推脱。希望引起你们重视，毕竟出来打工谁都不容易，如果能尽快解决这个问题，我将感激不尽。,,,
