标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
云州新城公租房商铺向谁或那个部门招租,待回复,城建 咨询,r***,2019-11-2319:04,问：书记你好！云县云州新城公租房一楼商铺是向那个部门招租的，还是不对外出租。,,,
三户养殖用电,待回复,三农 求助,1***,2019-10-2712:30,我三户养殖用电在两年前以向有关部门申请，找有关部门得不到解决，望领导处理，感谢,,,
投诉占用老百姓土地,待回复,三农 投诉,W***,2019-10-1311:18,领导您好！我们是云县爱华镇，哑口田村委会小帮五组，原有一块茶山一百多亩，几年前被村里人和村委会毁灭了，现在种一些桉树，有一部分被他人非法卖了，这些土地是分到户时候集体的，现在被这些人非法获取利益，老百姓蒙在鼓里，不知道怎么回事，希望领导百忙之中帮老百姓讨回公道，谢谢领导！祝您身体健康，万事如意！,,,
2018年8月抽签的公租房什么时候入住,待回复,城建 求助,小***,2019-10-1016:33,官庄河保障性住房什么时候能入住？？？？？？？？？,,,
云县云州新城公租房申请咨询,已办理,城建 咨询,W***,2019-09-1809:44,尊敬的领导，您好！      我是云县爱华镇独木村委会的，现在在县城打工，因家庭条件不好，离家比较远。在年前申请的公租房现在还没有结果。现在租房比较困难，希望这套房子能早一点有结果，希望领导给予帮助，可以通过领导帮忙解决一下。                                                           致此！谢谢领导！,云县住房和城乡建设局,尊敬的领导，您好！      我是云县爱华镇独木村委会的，现在在县城打工，因家庭条件不好，离家比较远。在年前申请的公租房现在还没有结果。现在租房比较困难，希望这套房子能早一点有结果，希望领导给予帮助，可以通过领导帮忙解决一下。                                                           致此！谢谢领导！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	云县县委书记
"
投诉暂用老百姓土地，违法行为举报,待回复,三农 投诉,W***,2019-09-1221:50,领导您好！感谢你百忙之中看我的留言，我们云县爱华镇，哑口田村委会，小帮五村上下两个组，原叫茶山有一百多亩茶叶，现在被村委会和村里人，一起种 桉树。有一部分被他人卖了，老百姓根本不知道怎么回事，这些土地是在集体到户，一直都是老百姓的茶园，现在被他们毁了，也没有给老百姓一个明确的答复，希望党中央政府领导和地方领导，帮老百姓讨个说法，谢谢领导！祝您们身体健康，万事如意！,,,
云州新城公租房,已办理,城建 咨询,W***,2019-09-0917:36,你好，书记，我想咨询一下，一年前提交申请官庄河的公租房，什么时候有结果？我是外地在云县教书的幼儿园老师，男朋友是云县打工的，双方家庭条件都比较差，现等公租房结婚，我真的很喜欢云县这个地方。麻烦书记给予帮助谢谢。,云县住房和城乡建设局,你好，书记，我想咨询一下，一年前提交申请官庄河的公租房，什么时候有结果？我是外地在云县教书的幼儿园老师，男朋友是云县打工的，双方家庭条件都比较差，现等公租房结婚，我真的很喜欢云县这个地方。麻烦书记给予帮助谢谢。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	云县县委书记
"
驾校考试中心不公平评判，考试中心推卸责任,待回复,交通 求助,N***,2019-08-3013:47,领导您好，我是一名正在学车的学员。我2019年8月29日上午在凤庆科目三考场C类4参加科目三考试，我抽到第一个考试。开始考试后发现考试车辆灯光有问题，随及被判考试不合格，于是和考官（安全员）反应，考官开始不相信车辆有问题，让在试一次，考官也没有表明这是第二次考试机会，我傻傻以为只是试试，结果还是车辆灯光有问题，被判考试不合格。后来考官就说我没有考试机会了，让我下车，就把车辆开去修了。车辆修好后我要求重新考试，可考试中心答复我考试次数已使用完，不能参加考试了。这本来是车辆有问题，考试中心的问题与责任，偏是说考生问题，不给考生重新考试机会，这对于考生来说公平吗，又不是考生操作不当。这些都是属实，考试车上都有监控录音。对于考试中心的这种不负责任与推卸责任的态度，我表示非常不满。望各位领导能够给予关注与解决问题为谢！,,,
民政局有记录身份证重号如何办理结婚证,已办理,政务 求助,l***,2019-08-2720:41,书记您好，很抱歉打扰到您，我是云县爱华镇头道水乡人，原因是10年前我的身份证号码和别人重号，对方04年在云南大理登记结婚，05年改了身份证号码，派出所这边已经不重号了，可是民政局这边还是显示重号，导致我无法登记结婚，工作人员没有经历过类似的情况，不知道如何处理，所以请求您的帮助，万分感谢！ ,云县民政局、云县公安局,书记您好，很抱歉打扰到您，我是云县爱华镇头道水乡人，原因是10年前我的身份证号码和别人重号，对方04年在云南大理登记结婚，05年改了身份证号码，派出所这边已经不重号了，可是民政局这边还是显示重号，导致我无法登记结婚，工作人员没有经历过类似的情况，不知道如何处理，所以请求您的帮助，万分感谢！ ,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	云县县委书记
"
云县瓦窑坝尚派慢摇吧扰民诉求,已办理,文娱 投诉,W***,2019-08-0912:04,尊敬的书记，你好!在你百忙之中请你关心一下我们，自己2019年7月份以来，不知道是不是县委政府批准开的慢摇吧！现在严重影响了我们居民生活秩序，晚上9点以后里面的重低音就像是地震一样，让人无法入睡，隔壁邻居上有七八十岁的老人，下有十几岁上学的孩子，有几个老人家心脏病都震发，晚上无法在家睡觉，和经营商协调去住了几天宾馆，可是有家不能回，那要家干什么，隔壁邻居好几个因为声音的震动，精神上不同程度受到伤害，住院的住院 打针的打针，凌晨一二点外面还有打架斗殴，飙车等等，不知道县委政府为什么要让这样的行业在居民区营业呢？我们希望书记能够理解一下我们居民说诉求，还我们一个安静的环境为谢！希望领导给予妥善处理为谢!地址在瓦窑坝盛景大酒店进去500米左右。,临沧市生态环境局云县分局、云县公安局,尊敬的书记，你好!在你百忙之中请你关心一下我们，自己2019年7月份以来，不知道是不是县委政府批准开的慢摇吧！现在严重影响了我们居民生活秩序，晚上9点以后里面的重低音就像是地震一样，让人无法入睡，隔壁邻居上有七八十岁的老人，下有十几岁上学的孩子，有几个老人家心脏病都震发，晚上无法在家睡觉，和经营商协调去住了几天宾馆，可是有家不能回，那要家干什么，隔壁邻居好几个因为声音的震动，精神上不同程度受到伤害，住院的住院 打针的打针，凌晨一二点外面还有打架斗殴，飙车等等，不知道县委政府为什么要让这样的行业在居民区营业呢？我们希望书记能够理解一下我们居民说诉求，还我们一个安静的环境为谢！希望领导给予妥善处理为谢!地址在瓦窑坝盛景大酒店进去500米左右。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	云县县委书记
"
垃圾集装箱摆放位置不合理,已办理,环保 求助,y***,2019-07-3008:37,尊敬的明奎书记您好，我是云县幸福镇幸福村下张毕组的农户，我家下面路边摆着1个垃圾箱，因家附近农户比较集中每天产生大量生活垃圾，有的邻居还把动物尸体、粪便和带有污水的垃圾废渣倒在垃圾箱，但是垃圾清运车经常未及时进行垃圾清运，每天箱内垃圾产生的恶臭有毒气体对我家人生活和身体健康造成严重影响，几次与村组相关领导人沟通无果，得到的答复是：垃圾箱没有其他合适的摆放位置或是会督促垃圾清运车及时进行垃圾清运，但问题一直没有得到解决。家人还因为此事与邻居发生过争吵。这件事长期困扰着我们全家人，衷心希望书记您能帮助协调解决，对垃圾箱摆放位置进行重新选址，谢谢！祝您身体健康，工作顺利！,云县幸福镇,尊敬的明奎书记您好，我是云县幸福镇幸福村下张毕组的农户，我家下面路边摆着1个垃圾箱，因家附近农户比较集中每天产生大量生活垃圾，有的邻居还把动物尸体、粪便和带有污水的垃圾废渣倒在垃圾箱，但是垃圾清运车经常未及时进行垃圾清运，每天箱内垃圾产生的恶臭有毒气体对我家人生活和身体健康造成严重影响，几次与村组相关领导人沟通无果，得到的答复是：垃圾箱没有其他合适的摆放位置或是会督促垃圾清运车及时进行垃圾清运，但问题一直没有得到解决。家人还因为此事与邻居发生过争吵。这件事长期困扰着我们全家人，衷心希望书记您能帮助协调解决，对垃圾箱摆放位置进行重新选址，谢谢！祝您身体健康，工作顺利！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	云县县委书记
"
天生桥路段什么时候铺路,待回复,交通 咨询,云***,2019-07-2721:30,"从康明村到凤山镇有一段3,4公里的泥巴路，到雨季严重影响了群众出行，不知道政府什么时候修路，能不能尽快通路，方便群众出行",,,
公租房,已办理,城建 求助,王***,2019-07-1413:47,您好，书记，我想咨询下，我今年申请的公租房什么时候能有结果，我小孩大了要上幼儿园，老公又在外面跑车，在城里租房住实在不方便，所以跟家人合计申请一套公租房，希望尽快有眉目。在此谢谢您了。,云县住房和城乡建设局,您好，书记，我想咨询下，我今年申请的公租房什么时候能有结果，我小孩大了要上幼儿园，老公又在外面跑车，在城里租房住实在不方便，所以跟家人合计申请一套公租房，希望尽快有眉目。在此谢谢您了。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	云县县委书记
"
领导您好，请问一下黄暑山职高问题,已办理,教育 投诉,有***,2019-07-1114:09,黄暑山职高的教学大楼10年左右吧，还有旁边的报告厅4年左右，这些都是才使用没多少时间的大型设施啊，这些建设起码都耗资上千万了吧。为什么忽然间就这么拆掉。这些资金款项是怎么安排的？会不会有人巧立名目，乘机占便宜。,云县教育体育局,黄暑山职高的教学大楼10年左右吧，还有旁边的报告厅4年左右，这些都是才使用没多少时间的大型设施啊，这些建设起码都耗资上千万了吧。为什么忽然间就这么拆掉。这些资金款项是怎么安排的？会不会有人巧立名目，乘机占便宜。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	云县县委书记
"
请求云县供电部门给于林下养殖供电,待回复,三农 求助,l***,2019-07-0113:48,我去年就申请林下养殖供电，等到今年去催搭接，被告知，不符合供电。已作废 ，确有需要得重新申请，于是今年4月下旬又递交了申请，当时告诉我说是等一个月左右，现在即将进入雨季，仍是没有任何动静。林下养殖没有电是极其不方便，恳求领导百忙之中帮忙督促联络一下。谢谢！,,,
危房改造问题,已办理,城建 咨询,L***,2019-06-2711:16,领导，你好，我是爱华镇安河村，因为家里贫困盖不了新房，去年不是刚好有危房改造项目吗，然后爱华镇的工作人员去家里了解情况以后，说是施工队可能在规定时间内忙不过来，让我们自己找资金先改造，改造好以后找村委会上报，说是政府会给补助，可是现在一年多了也没动静，我想问一下这个补助什么时候给发放啊,云县爱华镇,领导，你好，我是爱华镇安河村，因为家里贫困盖不了新房，去年不是刚好有危房改造项目吗，然后爱华镇的工作人员去家里了解情况以后，说是施工队可能在规定时间内忙不过来，让我们自己找资金先改造，改造好以后找村委会上报，说是政府会给补助，可是现在一年多了也没动静，我想问一下这个补助什么时候给发放啊,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	云县县委书记
"
爱华镇昔汉村大临铁路沿线补偿啥时候给？？,已办理,交通 求助,橘***,2019-06-1521:20,我们昔汉村邦五组的地被施工便道毁坏了的意思就是量的地为什么有的给了补偿款有的还没给啊？前面说是那个负责人回家生孩子去了可是都过了一年多了咋还没什么信息？是不是忘了？麻烦帮忙打听一下，谢谢您！,云县大临铁路建设办公室,我们昔汉村邦五组的地被施工便道毁坏了的意思就是量的地为什么有的给了补偿款有的还没给啊？前面说是那个负责人回家生孩子去了可是都过了一年多了咋还没什么信息？是不是忘了？麻烦帮忙打听一下，谢谢您！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	云县县委书记
"
2016年爱华镇扶贫建房补贴到现在都没声,已办理,三农 投诉,云***,2019-06-1414:50,当时村委会说建房补贴最后一批，村主任拆房子来拍照，房子建好了来拍照。都过去3年了扶贫建房补贴还没给。,云县爱华镇,当时村委会说建房补贴最后一批，村主任拆房子来拍照，房子建好了来拍照。都过去3年了扶贫建房补贴还没给。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	云县县委书记
"
老城区拆迁问题,待回复,城建 咨询,t***,2019-06-1414:25,书记你好！感谢百忙之中来解答问题。最近听说老城区大片区域要拆迁，市民们查看了下拆迁补偿方案，并未涉及具体如何安置。现在到处都是人心惶惶、想咨询以下一些问题。1.很多居民担心安置问题，比如打铁街延平街原居民是给安置住房，还是给拆迁款去另外购房？2.如果是另外购房，补偿款能不能保证每户居民买得起房子？3.房子的面积和原住宅面积是否相当？4.搬迁后离城中心多少距离？,,,
关于老城片区住房老化街道拥人居生活环境问题。,已办理,城建 咨询,掌***,2019-05-1410:51,尊敬的云县委书记您好！因近十年来国家欣欣向荣，在改革发展的道路上云县爱华镇老城片区（卖花街、延平街、打铁街、土锅街）已跟不上时代的变换了。危房众多并道路狭窄，遇到火灾事件消防车无法进入，因为老房子众多并拥挤火线非常容易蔓延并可能造成其他重大的安全隐患，并且省委陈豪书记调研云县时也指出云县占据地理优势，近几年铁路和高速网架也即将覆盖，所以时代在发展。凤庆县老城区改造早已在结束。而我们云县老城区何时能跟上发展的脚步拆迁改造？或者说县里针对老城区是否有几年规划计划？,云县自然资源局,尊敬的云县委书记您好！因近十年来国家欣欣向荣，在改革发展的道路上云县爱华镇老城片区（卖花街、延平街、打铁街、土锅街）已跟不上时代的变换了。危房众多并道路狭窄，遇到火灾事件消防车无法进入，因为老房子众多并拥挤火线非常容易蔓延并可能造成其他重大的安全隐患，并且省委陈豪书记调研云县时也指出云县占据地理优势，近几年铁路和高速网架也即将覆盖，所以时代在发展。凤庆县老城区改造早已在结束。而我们云县老城区何时能跟上发展的脚步拆迁改造？或者说县里针对老城区是否有几年规划计划？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	云县县委书记
"
公租房,已办理,城建 咨询,千***,2019-05-1410:35,您好，书记，我想咨询下今年三月份提交申请官庄河的公租房，什么时候有结果？我和我老公都是外地的务工人员，在云县很希望有一个自己的小家，因为带着小孩租房住很不方便，我们喜欢云县这个地方。,云县住房和城乡建设局,您好，书记，我想咨询下今年三月份提交申请官庄河的公租房，什么时候有结果？我和我老公都是外地的务工人员，在云县很希望有一个自己的小家，因为带着小孩租房住很不方便，我们喜欢云县这个地方。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	云县县委书记
"
