云州新城公租房商铺向谁或那个部门招租,待回复,城建 咨询,r***,2019-11-2319:04,问：书记你好！云县云州新城公租房一楼商铺是向那个部门招租的，还是不对外出租。,,,
三户养殖用电,待回复,三农 求助,1***,2019-10-2712:30,我三户养殖用电在两年前以向有关部门申请，找有关部门得不到解决，望领导处理，感谢,,,
投诉占用老百姓土地,待回复,三农 投诉,W***,2019-10-1311:18,领导您好！我们是云县爱华镇，哑口田村委会小帮五组，原有一块茶山一百多亩，几年前被村里人和村委会毁灭了，现在种一些桉树，有一部分被他人非法卖了，这些土地是分到户时候集体的，现在被这些人非法获取利益，老百姓蒙在鼓里，不知道怎么回事，希望领导百忙之中帮老百姓讨回公道，谢谢领导！祝您身体健康，万事如意！,,,
2018年8月抽签的公租房什么时候入住,待回复,城建 求助,小***,2019-10-1016:33,官庄河保障性住房什么时候能入住？？？？？？？？？,,,
云县云州新城公租房申请咨询,已办理,城建 咨询,W***,2019-09-1809:44,尊敬的领导，您好！      我是云县爱华镇独木村委会的，现在在县城打工，因家庭条件不好，离家比较远。在年前申请的公租房现在还没有结果。现在租房比较困难，希望这套房子能早一点有结果，希望领导给予帮助，可以通过领导帮忙解决一下。                                                           致此！谢谢领导！,云县住房和城乡建设局,张天辉同志：      你好！      你通过《人民网》“地方领导留言板”给县委李书记反映关于要求解决申请公租房问题的留言已收悉，县委、县人民政府高度重视，安排县住房和城乡建设局调查处理。现将有关情况答复如下：      经查，您户申请的公租房（两室一厅）房源，现不具备摇号抽签分配条件。如需单身公寓（一室一厅）房源，可于每月1日至5日到云县住房和城乡建设局（一楼）登记，当月摇号抽签分配入住。      感谢您对县委、政府工作的信任、支持！祝你身体健康！生活愉快！ ,回复时间：2019-10-10 01:23
投诉暂用老百姓土地，违法行为举报,待回复,三农 投诉,W***,2019-09-1221:50,领导您好！感谢你百忙之中看我的留言，我们云县爱华镇，哑口田村委会，小帮五村上下两个组，原叫茶山有一百多亩茶叶，现在被村委会和村里人，一起种 桉树。有一部分被他人卖了，老百姓根本不知道怎么回事，这些土地是在集体到户，一直都是老百姓的茶园，现在被他们毁了，也没有给老百姓一个明确的答复，希望党中央政府领导和地方领导，帮老百姓讨个说法，谢谢领导！祝您们身体健康，万事如意！,,,
云州新城公租房,已办理,城建 咨询,W***,2019-09-0917:36,你好，书记，我想咨询一下，一年前提交申请官庄河的公租房，什么时候有结果？我是外地在云县教书的幼儿园老师，男朋友是云县打工的，双方家庭条件都比较差，现等公租房结婚，我真的很喜欢云县这个地方。麻烦书记给予帮助谢谢。,云县住房和城乡建设局,谭若依：您好！您通过《人民网》“地方领导留言板”给县委李书记留言咨询申请公租房的有关问题已收悉，现将有关情况回复如下：经查，您申请的公租房（两室一厅）房源，现不具备摇号抽签分配条件，如需单身公寓（一室一厅）房源，可于每月1日至5日到云县住房和城乡建设局（一楼）登记，当月摇号、抽签、分配、入住。感谢您对政府工作的信任、理解，祝您身体健康、工作顺利！,回复时间：2019-09-20 01:23
驾校考试中心不公平评判，考试中心推卸责任,待回复,交通 求助,N***,2019-08-3013:47,领导您好，我是一名正在学车的学员。我2019年8月29日上午在凤庆科目三考场C类4参加科目三考试，我抽到第一个考试。开始考试后发现考试车辆灯光有问题，随及被判考试不合格，于是和考官（安全员）反应，考官开始不相信车辆有问题，让在试一次，考官也没有表明这是第二次考试机会，我傻傻以为只是试试，结果还是车辆灯光有问题，被判考试不合格。后来考官就说我没有考试机会了，让我下车，就把车辆开去修了。车辆修好后我要求重新考试，可考试中心答复我考试次数已使用完，不能参加考试了。这本来是车辆有问题，考试中心的问题与责任，偏是说考生问题，不给考生重新考试机会，这对于考生来说公平吗，又不是考生操作不当。这些都是属实，考试车上都有监控录音。对于考试中心的这种不负责任与推卸责任的态度，我表示非常不满。望各位领导能够给予关注与解决问题为谢！,,,
民政局有记录身份证重号如何办理结婚证,已办理,政务 求助,l***,2019-08-2720:41,书记您好，很抱歉打扰到您，我是云县爱华镇头道水乡人，原因是10年前我的身份证号码和别人重号，对方04年在云南大理登记结婚，05年改了身份证号码，派出所这边已经不重号了，可是民政局这边还是显示重号，导致我无法登记结婚，工作人员没有经历过类似的情况，不知道如何处理，所以请求您的帮助，万分感谢！ ,云县民政局、云县公安局,李菊：你好！你通过《人民网》“地方领导留言板”给县委书记关于身份证重号导致不能办理结算登记的留言收悉，县委、县人民政府高度重视，安排县公安局、县民政局调查处理，现将有关情况回复如下：经查，你反映的情况属实。县公安局给你出具了公民身份证重号证明材料，同时，通过电话与昆明市官渡区民政局、大理市凤仪镇民政办进行沟通协调，你反映的问题已得到解决。感谢你对县委政府工作的信任！祝你身体健康！生活愉快！,回复时间：2019-09-12 16:41
云县瓦窑坝尚派慢摇吧扰民诉求,已办理,文娱 投诉,W***,2019-08-0912:04,尊敬的书记，你好!在你百忙之中请你关心一下我们，自己2019年7月份以来，不知道是不是县委政府批准开的慢摇吧！现在严重影响了我们居民生活秩序，晚上9点以后里面的重低音就像是地震一样，让人无法入睡，隔壁邻居上有七八十岁的老人，下有十几岁上学的孩子，有几个老人家心脏病都震发，晚上无法在家睡觉，和经营商协调去住了几天宾馆，可是有家不能回，那要家干什么，隔壁邻居好几个因为声音的震动，精神上不同程度受到伤害，住院的住院 打针的打针，凌晨一二点外面还有打架斗殴，飙车等等，不知道县委政府为什么要让这样的行业在居民区营业呢？我们希望书记能够理解一下我们居民说诉求，还我们一个安静的环境为谢！希望领导给予妥善处理为谢!地址在瓦窑坝盛景大酒店进去500米左右。,临沧市生态环境局云县分局、云县公安局,"网民同志：您好！您通过人民网地方领导留言板给云县县委书记的留言收悉，临沧市生态环境局云县分局、云县公安局高度重视，现将有关情况回复如下：王世斌同志：您好！  您通过人民网《地方领导留言板》给云县县委书记的留言收悉，临沧市生态环境局云县分局高度重视，现将有关情况回复如下：经调查核实，你反映的云县瓦窑坝尚派歌舞厅扰民问题属实。对于该歌舞厅的环境违法行为，我分局及时处理，于2019年8月19日对该歌舞厅送达了《临沧市生态态环境局云县分局责令改正违法行为决定书》（云县环责改字〔2019〕27号），责令该歌舞厅立即对现有隔音降噪设施进行整改。具体整改措施为：1、加强管理，严禁超标排放。2、增加隔音工程及措施投入，对歌舞厅现有隔音措施进行改造，对相对薄弱的墙体进行二次降噪。3、关闭场内低频设备，窗户加装双层隔音玻璃，加长通风管并在通风管折弯处安装隔音棉，出入口处加装隔音帘。4、完成存在问题整改后，及时委托有资质的第三方检测机构对厂界噪音排放情况进行检测，并出示检测报告，确保达标排放。我分局将对该歌舞厅改正环境违法行为的情况进行适时监督，确保整改到位。在下一步工作中，我分局将严格加强监督管理，确保该歌舞厅噪音排放分贝达标。感谢您对我县环境保护工作的支持与理解，祝您身体健康、生活愉快！王世斌同志:您好!我局于2019年8月14日收到云县信访局转办你反映的信访事项，根据你提出的信访事项,我局做出以下答复意见:       你所反映的案件我局已按照法定程序受理，一、信访中提到的噪音问题，应有环保部门进行监管，不在公安机关职责范围内；二、开办娱乐场所的许可条件，在此业务中，公安机关不办理任何证照，只要求备案；三、针对凌晨一二点存在的打架斗殴。飙车等，经核实爱华派出所报警记录，共有2起，分别是7月18日一起，8月12日一起，对涉案人员均给予拘留处理，爱华派出所会加大巡逻力度；四、噪音问题以及营业时间过晚问题，对噪音问题归环保部门监管，对营业时间问题，《娱乐场所管理条例》有明确规定不能超过凌晨2点，爱华派出所做到提前提醒，并按凌晨2点必须停止营业要求进行监管。根据公安机关执法职权和办案程序，我局将会按照法定程序尽职尽责侦办案件，对于案件办理进展情况也会及时通报。感谢你对公安工作的关心支持，祝你生活愉快！云县公安局2018年8月20日感谢您对我（省、州、市、县）   工作的支持与理解，祝您身体健康、生活愉快！",回复时间：2019-08-31 01:23
垃圾集装箱摆放位置不合理,已办理,环保 求助,y***,2019-07-3008:37,尊敬的明奎书记您好，我是云县幸福镇幸福村下张毕组的农户，我家下面路边摆着1个垃圾箱，因家附近农户比较集中每天产生大量生活垃圾，有的邻居还把动物尸体、粪便和带有污水的垃圾废渣倒在垃圾箱，但是垃圾清运车经常未及时进行垃圾清运，每天箱内垃圾产生的恶臭有毒气体对我家人生活和身体健康造成严重影响，几次与村组相关领导人沟通无果，得到的答复是：垃圾箱没有其他合适的摆放位置或是会督促垃圾清运车及时进行垃圾清运，但问题一直没有得到解决。家人还因为此事与邻居发生过争吵。这件事长期困扰着我们全家人，衷心希望书记您能帮助协调解决，对垃圾箱摆放位置进行重新选址，谢谢！祝您身体健康，工作顺利！,云县幸福镇,施红同志：      你好！      你通过《人民网》“地方领导留言板”给县委李书记关于对垃圾箱摆放位置进行重新选址的留言已收悉。县委、县人民政府高度重视，安排幸福镇人民政府调查处理。现将有关情况答复如下：      经查，你户房子下面路边确实摆着一个垃圾箱，每天产生的生活垃圾量比较大，若是垃圾清运车未能及时清运，垃圾箱产生的臭味难闻，对你户也造成了一定的空气污染。     为此，幸福镇政府本在着方便群众的前提下，已安排幸福村两委进行处理。目前，垃圾箱摆放位置已做改动，与原来摆放位置相比，现摆放位置离你户保持一定距离。      感谢您对县委、政府工作的信任、支持！祝你身体健康！生活愉快！ ,回复时间：2019-10-12 01:23
天生桥路段什么时候铺路,待回复,交通 咨询,云***,2019-07-2721:30,"从康明村到凤山镇有一段3,4公里的泥巴路，到雨季严重影响了群众出行，不知道政府什么时候修路，能不能尽快通路，方便群众出行",,,
公租房,已办理,城建 求助,王***,2019-07-1413:47,您好，书记，我想咨询下，我今年申请的公租房什么时候能有结果，我小孩大了要上幼儿园，老公又在外面跑车，在城里租房住实在不方便，所以跟家人合计申请一套公租房，希望尽快有眉目。在此谢谢您了。,云县住房和城乡建设局,王李娜：    你好！     你咨询《申请公租房什么时候能有结果》的问题已收悉，现将有关情况回复如下：     经查，你申请的公租房为两室一厅房源，现不具备摇号抽签分配条件。如你需要单身公寓（一室一厅）房源，可于每月1日至5日到县住房城乡建设局登记，当月即可摇号、抽签、分配、入住。     感谢政府工作的信任、理解和支持！祝你身体健康、工作顺利！,回复时间：2019-09-12 16:40
