标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
农业用地,待回复,三农 咨询,穷***,2019-10-2511:13,领导你好，请问在凤山镇扎路营租用的农业用地上盖蔬菜大棚搞蔬菜种植需要办理建设大棚之类得证件么,,,
请求书记帮忙解决华屹溪谷盛景的不动产证，,已办理,城建 求助,W***,2019-10-0917:59,您好书记，我是华屹溪谷盛景小区二十幢业主，小区这么多年来一直没有不动产权证，请问一下书记是什么原因？何时能办理？辛苦您啦！谢谢！,凤庆县委书记,您好书记，我是华屹溪谷盛景小区二十幢业主，小区这么多年来一直没有不动产权证，请问一下书记是什么原因？何时能办理？辛苦您啦！谢谢！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	凤庆县委书记
"
非法占用公共道路,待回复,城建 咨询,L***,2019-09-1419:52,泰平餐厅旁文明社区，有一家人非法占用公共道路盖房子，满地都是水泥沙子钢管，让小孩和老人处于危险之中，群众生活造成极大不方便，社区不作为继续纵容，未帮群众解决问题。,,,
顺宁佳苑龙润茶厂交通安全,待回复,交通 投诉,幸***,2019-09-1413:48,尊敬的领导:凤庆县顺宁佳苑龙润茶厂门口去年到今年发生多起严重交通事故，到现在那一段路依然没有任何交通警示牌警示灯减速带这些东西，不知道当地主管部门是怎么想，为了不让悲剧重现，让平安凤庆体现更加好，麻烦领导关注一下，谢谢。,,,
蔗农的无奈,已办理,三农 求助,杨***,2019-08-3010:59,    书记您好！     我只是营盘蔗农的一个代表。    我们2018~2019年度的甘蔗已于今年5月份全部入榨营盘糖厂，但至今糖厂一直未结清农户的蔗款。我们以无数次向糖申要蔗款，但总是只有一个答复“不有钱”！是问蔗糖都卖出去了，他们为什么一直要占用农户的辛苦钱。农民一年的辛苦，好不容易盼来了收获，但在盼望糖厂给钱的时候却连连遭遇着心酸的等待。更没道理的是我们若借用糖厂的扶持种植是必须给付糖厂年利率10%，而糖厂是一直在无偿占用蔗农的蔗款，是问是给我们的扶持多？还是他们占用我们的蔗款多呢？像这样占用是不是也应该给付给我们利息呢？    我们来年的种植生产定本支出也比较大，日常生活费用学生开学等等都指望这笔钱来维持！恳请政府给予我们帮助，尽快得到我们的蔗款！    所有蔗农的请求与心声！,凤庆县委书记,    书记您好！     我只是营盘蔗农的一个代表。    我们2018~2019年度的甘蔗已于今年5月份全部入榨营盘糖厂，但至今糖厂一直未结清农户的蔗款。我们以无数次向糖申要蔗款，但总是只有一个答复“不有钱”！是问蔗糖都卖出去了，他们为什么一直要占用农户的辛苦钱。农民一年的辛苦，好不容易盼来了收获，但在盼望糖厂给钱的时候却连连遭遇着心酸的等待。更没道理的是我们若借用糖厂的扶持种植是必须给付糖厂年利率10%，而糖厂是一直在无偿占用蔗农的蔗款，是问是给我们的扶持多？还是他们占用我们的蔗款多呢？像这样占用是不是也应该给付给我们利息呢？    我们来年的种植生产定本支出也比较大，日常生活费用学生开学等等都指望这笔钱来维持！恳请政府给予我们帮助，尽快得到我们的蔗款！    所有蔗农的请求与心声！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	凤庆县委书记
"
天生桥路段问题,已办理,交通 咨询,云***,2019-07-3111:19,从康明村至风山镇天生桥路段雨天严重影响了群众出行，且危险性较大，对群众生产生活造成了不小影响，只有3，4公里的路程，两年多了没有通路，希望政府给我们一个答复，什么时候可以铺路通路,凤庆县委书记,从康明村至风山镇天生桥路段雨天严重影响了群众出行，且危险性较大，对群众生产生活造成了不小影响，只有3，4公里的路程，两年多了没有通路，希望政府给我们一个答复，什么时候可以铺路通路,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	凤庆县委书记
"
感谢各级领导来看灾情，险情得已控制,已办理,城建 感谢,y***,2019-07-3008:41,领导们好！我因当时太着急所以发了条留言，我不清楚这些办事程序，现在各级领导都来到我家看了，7月24日的塌方泥巴跟石头现在都清理差不多了，险情也排查得差不多，灾情也得已控制，当时我太着急不懂办理程序需要时间，感谢各级领导们！,凤庆县委书记,领导们好！我因当时太着急所以发了条留言，我不清楚这些办事程序，现在各级领导都来到我家看了，7月24日的塌方泥巴跟石头现在都清理差不多了，险情也排查得差不多，灾情也得已控制，当时我太着急不懂办理程序需要时间，感谢各级领导们！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	凤庆县委书记
"
7月24日天天大雨凌晨一点左右门前挡墙倒塌,已办理,城建 求助,y***,2019-07-2723:05,我家门口坍塌了紧急 ，书记大人、网络上给我们这样的一个平台就是让我建言献策、提出我们人民的意见和投诉的渠道。我是农村人、没什么文笔。我家是在三岔河镇松花村委会老杨小组、7月24日凌晨一点左右门口挡墙地块受雨水冲刷、已经坍塌了。导致挡墙倒塌石头跟泥巴都在邻居家的房子后面，已经影响到他房子安全，天天下雨施工困难，向村干部反映了问题，却说要上报，都好几天都没有什么动静，着急啊家人都吓坏了，没有什么背景也不知道该像谁述说，今天看到这个平台，希望领导们、进行调查、派施工队救灾 ， 这种天灾该怎么办，家里都是老人小孩我在外打工，心非常难受不知道如何是好，情况紧急啊领导们。,凤庆县委书记,我家门口坍塌了紧急 ，书记大人、网络上给我们这样的一个平台就是让我建言献策、提出我们人民的意见和投诉的渠道。我是农村人、没什么文笔。我家是在三岔河镇松花村委会老杨小组、7月24日凌晨一点左右门口挡墙地块受雨水冲刷、已经坍塌了。导致挡墙倒塌石头跟泥巴都在邻居家的房子后面，已经影响到他房子安全，天天下雨施工困难，向村干部反映了问题，却说要上报，都好几天都没有什么动静，着急啊家人都吓坏了，没有什么背景也不知道该像谁述说，今天看到这个平台，希望领导们、进行调查、派施工队救灾 ， 这种天灾该怎么办，家里都是老人小孩我在外打工，心非常难受不知道如何是好，情况紧急啊领导们。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	凤庆县委书记
"
三岔河镇水田村饮水，自来水问题,已办理,三农 求助,云***,2019-07-2710:50,水田村早在几年前就弄了自来水工程，但是缺乏管理，刚通水时用了不到一年时间，后面就没有水了，一直到现在，几千人的饮水还是问题，村里由于缺乏资金还是怎么回事不清楚，希望政府给予资金支持和技术支持，帮助我们解决一下这个问题。,凤庆县委书记,水田村早在几年前就弄了自来水工程，但是缺乏管理，刚通水时用了不到一年时间，后面就没有水了，一直到现在，几千人的饮水还是问题，村里由于缺乏资金还是怎么回事不清楚，希望政府给予资金支持和技术支持，帮助我们解决一下这个问题。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	凤庆县委书记
"
