农业用地,待回复,三农 咨询,穷***,2019-10-2511:13,领导你好，请问在凤山镇扎路营租用的农业用地上盖蔬菜大棚搞蔬菜种植需要办理建设大棚之类得证件么,,,
请求书记帮忙解决华屹溪谷盛景的不动产证，,已办理,城建 求助,W***,2019-10-0917:59,您好书记，我是华屹溪谷盛景小区二十幢业主，小区这么多年来一直没有不动产权证，请问一下书记是什么原因？何时能办理？辛苦您啦！谢谢！,凤庆县委书记,网民朋友您好：    您通过人民网地方领导留言板给陈书记的留言收悉。县自然资源局进行了办理。现回复如下：    经了解，凤庆县华屹溪谷盛景项目建设单位为云南华屹投资开发有限公司凤庆房地产分公司。该项目因各主体施工单位及分包方的施工部分款项至今未能得到妥善解决，致使各项工程施工资料尚未移交，房屋建设工程至今未能竣工验收。鉴于以上情况，住户暂不能办理房屋产权证。若您还有其他需咨询了解事项，您可直接与县自然资源局联系。联系电话：0883-4215188。    顺祝工作顺利，身体健康。,回复时间：2019-11-20 11:30
非法占用公共道路,待回复,城建 咨询,L***,2019-09-1419:52,泰平餐厅旁文明社区，有一家人非法占用公共道路盖房子，满地都是水泥沙子钢管，让小孩和老人处于危险之中，群众生活造成极大不方便，社区不作为继续纵容，未帮群众解决问题。,,,
顺宁佳苑龙润茶厂交通安全,待回复,交通 投诉,幸***,2019-09-1413:48,尊敬的领导:凤庆县顺宁佳苑龙润茶厂门口去年到今年发生多起严重交通事故，到现在那一段路依然没有任何交通警示牌警示灯减速带这些东西，不知道当地主管部门是怎么想，为了不让悲剧重现，让平安凤庆体现更加好，麻烦领导关注一下，谢谢。,,,
蔗农的无奈,已办理,三农 求助,杨***,2019-08-3010:59,    书记您好！     我只是营盘蔗农的一个代表。    我们2018~2019年度的甘蔗已于今年5月份全部入榨营盘糖厂，但至今糖厂一直未结清农户的蔗款。我们以无数次向糖申要蔗款，但总是只有一个答复“不有钱”！是问蔗糖都卖出去了，他们为什么一直要占用农户的辛苦钱。农民一年的辛苦，好不容易盼来了收获，但在盼望糖厂给钱的时候却连连遭遇着心酸的等待。更没道理的是我们若借用糖厂的扶持种植是必须给付糖厂年利率10%，而糖厂是一直在无偿占用蔗农的蔗款，是问是给我们的扶持多？还是他们占用我们的蔗款多呢？像这样占用是不是也应该给付给我们利息呢？    我们来年的种植生产定本支出也比较大，日常生活费用学生开学等等都指望这笔钱来维持！恳请政府给予我们帮助，尽快得到我们的蔗款！    所有蔗农的请求与心声！,凤庆县委书记,网民同志您好！      您通过人民网《地方领导留言板》给陈书记的留言收悉。现回复如下：      您所反映问题，在您留言前营盘镇人民政府已关注。经与凤糖集团营盘公司联系，该公司承诺对拖欠的蔗农蔗款于下个榨季开榨前付清。在下步工作中，营盘镇政府将继续督促该公司按承诺做好相关款项的支付工作。以上情况，营盘镇人民政府已当面向您进行了解释答复，您本人表示理解。若您还有其他需咨询了解事项，您可直接与营盘镇人民政府联系，联系电话：0883-4810178。      感谢您对我们工作的理解与支持。顺祝工作顺利，生活愉快。,回复时间：2019-11-20 11:31
天生桥路段问题,已办理,交通 咨询,云***,2019-07-3111:19,从康明村至风山镇天生桥路段雨天严重影响了群众出行，且危险性较大，对群众生产生活造成了不小影响，只有3，4公里的路程，两年多了没有通路，希望政府给我们一个答复，什么时候可以铺路通路,凤庆县委书记,网民朋友您好：      您通过人民网地方领导留言板给陈书记的留言收悉。县交通运输局进行了办理。现回复如下：      您所反映问题在您未来信前我们已开展整治。给您带来的不便敬请谅解和特致歉意。您所反映凤山镇至康明村天生桥路段属于凤山镇大有村至三岔河镇康明村的连接线，于2010年已实施开展了通达工程。为继续改善道路通行质量，后又纳入建制村通畅工程。但在具体实施过程中，因上级资金未全部下拨及施工单位工地施工人员技术薄弱等原因，导致工程进度较慢。目前，已在积极筹措资金，待雨季结束后将组织复工，同时已督促施工单位对该路段进行保通，保障群众正常出行。公路建设和畅通需要我们每个公民的积极支持和关心维护爱护，感谢您对我们工作的监督和支持，希望您一如即往帮助支持爱护维护大家的公路，共同促进发展。若您还有其他需咨询了解事项，您可直接与县交通运输局联系。联系电话：0883-4211117。      顺祝工作顺利，生活愉快。,回复时间：2019-08-20 17:42
感谢各级领导来看灾情，险情得已控制,已办理,城建 感谢,y***,2019-07-3008:41,领导们好！我因当时太着急所以发了条留言，我不清楚这些办事程序，现在各级领导都来到我家看了，7月24日的塌方泥巴跟石头现在都清理差不多了，险情也排查得差不多，灾情也得已控制，当时我太着急不懂办理程序需要时间，感谢各级领导们！,凤庆县委书记,网民朋友您好：      您通过人民网地方领导留言板给陈书记的留言收悉。感谢您对我们工作的理解和支持。也欢迎您继续对我们工作给予监督和提出意见建议，共同促进家乡发展。      顺祝在外工作顺利，生活愉快。,回复时间：2019-08-20 17:43
7月24日天天大雨凌晨一点左右门前挡墙倒塌,已办理,城建 求助,y***,2019-07-2723:05,我家门口坍塌了紧急 ，书记大人、网络上给我们这样的一个平台就是让我建言献策、提出我们人民的意见和投诉的渠道。我是农村人、没什么文笔。我家是在三岔河镇松花村委会老杨小组、7月24日凌晨一点左右门口挡墙地块受雨水冲刷、已经坍塌了。导致挡墙倒塌石头跟泥巴都在邻居家的房子后面，已经影响到他房子安全，天天下雨施工困难，向村干部反映了问题，却说要上报，都好几天都没有什么动静，着急啊家人都吓坏了，没有什么背景也不知道该像谁述说，今天看到这个平台，希望领导们、进行调查、派施工队救灾 ， 这种天灾该怎么办，家里都是老人小孩我在外打工，心非常难受不知道如何是好，情况紧急啊领导们。,凤庆县委书记,网民朋友您好：      您通过人民网地方领导留言板给陈书记的留言收悉。三岔河镇人民政府进行了办理。现回复如下：      在您来信前，我们已根据村委会和您家人的灾情反映，及时组织人员到现场进行了查看，人员无伤亡，灾情已控制，请你勿念，在外安心工作。根据灾情实际提出的解决方案征得您户与另一当事方同意后已由双方各自开展相关清理工作。根据规定不能申报享受民房保险。为缓解灾害造成的损失，村委会已协助您两户申请民政临时救助，待上级批准后将及时兑付到位，以降低灾害损失。      希望您户继续发扬不等不靠精神，继续积极开展生产自救。如还有其他事项，您可直接与三岔河镇人民政府咨询了解，联系电话：0883-4870028。      顺祝在外工作顺利，生活愉快。,回复时间：2019-08-20 17:44
三岔河镇水田村饮水，自来水问题,已办理,三农 求助,云***,2019-07-2710:50,水田村早在几年前就弄了自来水工程，但是缺乏管理，刚通水时用了不到一年时间，后面就没有水了，一直到现在，几千人的饮水还是问题，村里由于缺乏资金还是怎么回事不清楚，希望政府给予资金支持和技术支持，帮助我们解决一下这个问题。,凤庆县委书记,网民朋友您好：      您通过人民网地方领导留言板给陈书记的留言收悉。三岔河镇人民政府进行了办理。现回复如下：      接到您的来信后，三岔河镇人民政府即时组织相关工作人员深入水田村所辖13个村民小组部分农户家中进行了调查核实。针对走访中发现的饮用水管理制度不完善问题，三岔河镇人民政府己着手安排人员在全镇范围内开展农村人畜安全饮水工程管理大排查，督促指导各村全面完成农村人畜安全饮水工程运行管护自检自查工作，并对存在的问题立行整改，完善饮水保障机制，规范用水协会管理，明确管水人员，落实管水责任，管护好饮水工程，确保群众日常饮用水常效保障。若您还有其他需咨询了解事项，您可直接与三岔河镇人民政府联系，联系电话：0883-4870028。必将竭诚为您服务。      感谢您对我们工作的监督和支持。顺祝工作顺利，生活愉快。,回复时间：2019-08-20 17:45
凤庆车站物流部，收费和环境差等。,已办理,城建 投诉,幸***,2019-07-1414:06,凤庆车站是凤庆对外一个非常重要窗口，特别是物流部刚刚好在路边，物流部属于私人承包，乱七八糟，在哪里煮饭吃饭环境卫生相当差，服务那么就更不用说一塌糊涂，给里里外外国内外客人留下非常差印象，反应茶车站管理跟不上或者就无所谓，和县委县政府的打造大美滇红之乡背道而驰，收费不合理，一件货从临沧车站已经付款，为什么到凤庆这边还要在付款，乡村快递都没有在收取到货费用为什么还出现在这里，不可能凤庆买一张车票坐到临沧，下车还要在买一张票吧，去过好多地方这里奇葩，最让人生气就是服务态度差，卫生太差，上梁不正下梁歪，反应出来凤庆车站整体问题，习近平总书记说过:群众身边无小事。感谢领导，,凤庆县交通运输局,网民朋友您好：      您通过人民网地方领导留言板给陈书记的留言收悉。现回复如下：      非常感谢您对我们工作的关注和监督。就您反映环境卫生和服务态度差的问题，县交通运输局已责成临沧交通集团凤庆分公司对物流部存在的问题进行整改，同时要求完善工作服务制度、落实奖惩机制，并加强对履行承包合同和经营服务情况的监管，确保问题整改到位，长效执行。就重复收费问题，根据《云南省交通厅、云南省物价局关于完善汽车客运站服务价格管理有关事项的通知》（云交运管〔2017〕54号）“汽车客运站服务收费标准定价机制，实行政府指导价与市场调查价相结合的价格管理机制”的规定，货物寄存的价格收费属汽车客运站竞争性领域服务价格，实行放开市场调节价，物流部收取包管寄存费属合理收费范围，目前，公司就您反映问题还在持续整改。      若您还有其他需咨询了解事项，您可直接与县交通运输局联系，联系电话：0883-4211117。必将竭诚为您服务。      顺祝身体健康，工作顺利。,回复时间：2019-08-02 14:47
