标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
尹景花园部分电梯被关停,待回复,城建 投诉,W***,2019-11-2709:26,书记您好，我是尹景花园小区的住户，我所住的二期房电梯已经被关停十多天了，去问了物业，物业说是钱没到位被厂家关停了，具体关停多久也不清楚，这样下去不知道要关到什么时候，严重影响了我们住户的出行及正常生活。希望相关部门给予帮助及解决。,,,
被噪音困扰,已办理,环保 求助,小***,2019-09-3014:49,您好：  谢谢你抽出宝贵的时间倾听我的诉求，我是的家是在双江县勐库镇，事情是这样的，勐库街上基本每个手机店或者其他的店铺都配备一个高音喇叭，也不分时间不分大小，放在街上对着街放，已经严重影响了我们的生活学习和健康，我曾经采取过去店里说，但是不是太理想，报警，说是后期给予反馈也没有给予，还打过环保部门电话，他们说不是他们的职责范围内的事情。对于街道噪音限制应该有标准，但是他们行使权利时候已经侵害了我们的权利，我实在没有办法，希望矛盾激化之前政府能够帮忙解决，谢谢,双江县委书记,您好：  谢谢你抽出宝贵的时间倾听我的诉求，我是的家是在双江县勐库镇，事情是这样的，勐库街上基本每个手机店或者其他的店铺都配备一个高音喇叭，也不分时间不分大小，放在街上对着街放，已经严重影响了我们的生活学习和健康，我曾经采取过去店里说，但是不是太理想，报警，说是后期给予反馈也没有给予，还打过环保部门电话，他们说不是他们的职责范围内的事情。对于街道噪音限制应该有标准，但是他们行使权利时候已经侵害了我们的权利，我实在没有办法，希望矛盾激化之前政府能够帮忙解决，谢谢,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	双江县委书记
"
老板拖欠农民工工钱己一年,待回复,就业 求助,1***,2019-08-2917:04,尊敬的领导:      我和几个工友于2018年9月份到双江县中天地产公司阳光茗苑小区工地上干活，我和几个工友在工地上长螺旋打桩剩余的一万多工钱到现在多次讨要无果，还望领导帮我们民工想想办法。,,,
公很社区门口至大寨活动室道路问题,已办理,城建 投诉,W***,2019-08-1817:22,1。社区门口上去的道路，路面损毁严重，特别是移动公司埋光纤以后，回填质量差，造成路面差。同时路边有一个又深又大的明沟，没有路灯，有多人掉进去，也有车辆掉进去，存在安全隐患。建议修整道路，整改明沟，安装路灯，同时建议在此路段安装限高杆，禁止重型车辆进入压坏路面。2，第二张图片白色车停的位置，据了解是公共用地位置，经常被占用，建议在此位置修建凉亭，绿化供居民修行使用。,勐勐镇人民政府,1。社区门口上去的道路，路面损毁严重，特别是移动公司埋光纤以后，回填质量差，造成路面差。同时路边有一个又深又大的明沟，没有路灯，有多人掉进去，也有车辆掉进去，存在安全隐患。建议修整道路，整改明沟，安装路灯，同时建议在此路段安装限高杆，禁止重型车辆进入压坏路面。2，第二张图片白色车停的位置，据了解是公共用地位置，经常被占用，建议在此位置修建凉亭，绿化供居民修行使用。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	双江县委书记
"
我们村移民问题没人管,已办理,三农 求助,回***,2019-08-0116:50,尊敬的黄书记您好！    我是双江县忙糯乡荒田村窝拖组村民，我曾多次到县移民局及乡移民办反应我们村在糯扎渡电站移民征占地中不按相关国家政策及文件执行，导致百姓利益受到侵害。一直没人管，我们该如何办？,双江县委办公室,尊敬的黄书记您好！    我是双江县忙糯乡荒田村窝拖组村民，我曾多次到县移民局及乡移民办反应我们村在糯扎渡电站移民征占地中不按相关国家政策及文件执行，导致百姓利益受到侵害。一直没人管，我们该如何办？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	双江县委书记
"
双江24个建档立卡标第一标问题,已办理,企业 求助,云***,2019-01-2223:02,尊敬的领导你好，我们在双江24个建档立卡标第一标勐勐到大吉公路上做活（云南世珉建筑工程有限公司），现在马上到过年了，我们有十几个农民工呢工资还没有拿得，我们多次向包工头要，包工头说公司没有给钱，我们实在没有办法了，我们家中大部分都是贫困户，也没有什么收入，只能等着我们这点工钱回家过年，我们希望政府能帮帮我们，,县交通运输局,尊敬的领导你好，我们在双江24个建档立卡标第一标勐勐到大吉公路上做活（云南世珉建筑工程有限公司），现在马上到过年了，我们有十几个农民工呢工资还没有拿得，我们多次向包工头要，包工头说公司没有给钱，我们实在没有办法了，我们家中大部分都是贫困户，也没有什么收入，只能等着我们这点工钱回家过年，我们希望政府能帮帮我们，,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	双江县委书记
"
双江建档立卡一标工程,已办理,城建 求助,1***,2018-12-2115:04,黄书记您好，已到年关了，工人工资一直还没得到解决，工人去劳动保障局，劳动保障局不受理这个案件，这些工人在工地上干活当地工人都可以做证。这些工人里有好几个都是建档立卡贫困户，出远门谋生活，您能帮帮我们这些贫困的工人吗？,双江自治县交通运输局,黄书记您好，已到年关了，工人工资一直还没得到解决，工人去劳动保障局，劳动保障局不受理这个案件，这些工人在工地上干活当地工人都可以做证。这些工人里有好几个都是建档立卡贫困户，出远门谋生活，您能帮帮我们这些贫困的工人吗？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	双江县委书记
"
建档立卡一标工程,已办理,城建 求助,1***,2018-11-1910:48,李金，他用世珉建筑工程有限公司，资质干临沧市，双江县24个建档立卡一标工程，找我去干路面，水沟工程，叫我干活的时候没讲工期，等我把远的地方干了，亏钱的地方干了，他就来个不要我干了，说的时候口头答补偿我损失，结果算账出来不补不说，还说我做的不合格，不合格干活的时候，是他们的技术人员现场指挥的，他们要求这祥做的，现在在这干了几个月的工人工资都没发，起诉要几万块，我该怎么办，望黄书记能帮帮我们,双江自治县交通运输局,李金，他用世珉建筑工程有限公司，资质干临沧市，双江县24个建档立卡一标工程，找我去干路面，水沟工程，叫我干活的时候没讲工期，等我把远的地方干了，亏钱的地方干了，他就来个不要我干了，说的时候口头答补偿我损失，结果算账出来不补不说，还说我做的不合格，不合格干活的时候，是他们的技术人员现场指挥的，他们要求这祥做的，现在在这干了几个月的工人工资都没发，起诉要几万块，我该怎么办，望黄书记能帮帮我们,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	双江县委书记
"
同一方向的信号灯为何指示不一致,已办理,交通 咨询,匿***,2018-11-0910:59,我就想问一下书记同志，如图所示的那个路口的信号灯，人行道的立杆和行车道上的横杆指示的为何不一致？这种设置是基于什么考虑？,县住房和城乡建设局,我就想问一下书记同志，如图所示的那个路口的信号灯，人行道的立杆和行车道上的横杆指示的为何不一致？这种设置是基于什么考虑？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	双江县委书记
"
感谢,已办理,城建 感谢,俸***,2018-09-0315:44,感谢党委政府支持，目前货款己得到落实，我将加快建房,双江自治县大文乡人民政府,感谢党委政府支持，目前货款己得到落实，我将加快建房,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	双江县委书记
"
感谢您,已办理,城建 感谢,俸***,2018-09-0312:37,感谢政府的支持，目前贷款己得到落实，我将加快建房,双江自治县大文乡人民政府,感谢政府的支持，目前贷款己得到落实，我将加快建房,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	双江县委书记
"
书记您好,已办理,城建 求助,俸***,2018-08-3015:20,房子盖不下去，代款不知道什么时候到！您看能帮问一下吗？,双江自治县大文乡人民政府,房子盖不下去，代款不知道什么时候到！您看能帮问一下吗？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	双江县委书记
"
感谢各位领导的关心,已办理,政务 感谢,Z***,2018-07-2515:52,瓦已经来装了，感谢各位领导，，..........谢谢,双江自治县沙河乡人民政府,瓦已经来装了，感谢各位领导，，..........谢谢,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	双江县委书记
"
我的房子的瓦拆了怎么不来装,已办理,政务 求助,Z***,2018-07-2117:13,下雨我房子里面的东西全部都湿了要什么时候装，我的损失又要谁来负责,双江自治县沙河乡人民政府,下雨我房子里面的东西全部都湿了要什么时候装，我的损失又要谁来负责,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	双江县委书记
"
农村发展产业增加经济收入求助,已办理,就业 求助,假***,2017-12-2008:29,尊敬的县委书记：    您好！    最近几年我们老白姓因盖房子所有积蓄已投光了，农村要致富唯有产业带。草果既可以当食材又可以当药用。个人经过网上搜索、实地考察、走访草果种植基地。我村气候、土壤、地理海拔非常适合种植草果。    现在我已约了村里部分村民种植草果，很多村民说草果二到三年以后才能挂果部分村民不敢去冒这风险，想想也可以理解农村唯一经济来源就只靠粮食及种烟在加上去年脱贫盖房子部分村民压力也很大。但是农村除了产业没有什么能提高经济收入，所以最近我约了5家经济条件好点的村民，计划带他们出去草果种植基地实地考察后，我们以办合作社承包土地及利用山沟、荒沟来种植草果，在以合作社办加工厂，加工后在走村村乐、农村淘宝互联网上及各别销售渠道向外打出我们的原生态产品。    我们5家现在计划承包土地100亩，加上各自家土地、山地亩积可能会达到200亩左右，想以合作社把产业加工及销售市场打通以后有效益在带动村民一起致富。    农村山地地租300元一亩 X 100亩 X 10年，10年租地地租共：30万元。草果苗每亩90棵200亩共1.8万棵 X 5元，苗钱共：9万元，在加上人工费肥料费管理费也需要很大笔资金，资金方面我们打算和作社自筹在加上贷款，也希望能得到有关部门的扶持，能让我们把产业顺利做起。    此致！    祝领导工作顺利，阖家幸福！,双江自治县忙糯乡人民政府,尊敬的县委书记：    您好！    最近几年我们老白姓因盖房子所有积蓄已投光了，农村要致富唯有产业带。草果既可以当食材又可以当药用。个人经过网上搜索、实地考察、走访草果种植基地。我村气候、土壤、地理海拔非常适合种植草果。    现在我已约了村里部分村民种植草果，很多村民说草果二到三年以后才能挂果部分村民不敢去冒这风险，想想也可以理解农村唯一经济来源就只靠粮食及种烟在加上去年脱贫盖房子部分村民压力也很大。但是农村除了产业没有什么能提高经济收入，所以最近我约了5家经济条件好点的村民，计划带他们出去草果种植基地实地考察后，我们以办合作社承包土地及利用山沟、荒沟来种植草果，在以合作社办加工厂，加工后在走村村乐、农村淘宝互联网上及各别销售渠道向外打出我们的原生态产品。    我们5家现在计划承包土地100亩，加上各自家土地、山地亩积可能会达到200亩左右，想以合作社把产业加工及销售市场打通以后有效益在带动村民一起致富。    农村山地地租300元一亩 X 100亩 X 10年，10年租地地租共：30万元。草果苗每亩90棵200亩共1.8万棵 X 5元，苗钱共：9万元，在加上人工费肥料费管理费也需要很大笔资金，资金方面我们打算和作社自筹在加上贷款，也希望能得到有关部门的扶持，能让我们把产业顺利做起。    此致！    祝领导工作顺利，阖家幸福！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	双江县委书记
"
