尹景花园部分电梯被关停,待回复,城建 投诉,W***,2019-11-2709:26,书记您好，我是尹景花园小区的住户，我所住的二期房电梯已经被关停十多天了，去问了物业，物业说是钱没到位被厂家关停了，具体关停多久也不清楚，这样下去不知道要关到什么时候，严重影响了我们住户的出行及正常生活。希望相关部门给予帮助及解决。,,,
被噪音困扰,已办理,环保 求助,小***,2019-09-3014:49,您好：  谢谢你抽出宝贵的时间倾听我的诉求，我是的家是在双江县勐库镇，事情是这样的，勐库街上基本每个手机店或者其他的店铺都配备一个高音喇叭，也不分时间不分大小，放在街上对着街放，已经严重影响了我们的生活学习和健康，我曾经采取过去店里说，但是不是太理想，报警，说是后期给予反馈也没有给予，还打过环保部门电话，他们说不是他们的职责范围内的事情。对于街道噪音限制应该有标准，但是他们行使权利时候已经侵害了我们的权利，我实在没有办法，希望矛盾激化之前政府能够帮忙解决，谢谢,双江县委书记,"廖榆然:你好    2019年9月30日,你在人民网提出的信访事项,经双江县勐库镇人民政府调查核实。现将调查核实情况答复如下：   你反映的问题：勐库街部分商铺播放高音喇叭严重影响居民生活问题。经调查核实，勐库街部分商铺播放高音喇叭的情况确实存在，播放时间主要为街天及做促销活动期间。下一步镇综治办将联合城管办对勐库街商铺进行排查，发放《勐库镇商铺音响播放管理告知书》，进一步加强管理。",回复时间：2019-11-22 10:19
老板拖欠农民工工钱己一年,待回复,就业 求助,1***,2019-08-2917:04,尊敬的领导:      我和几个工友于2018年9月份到双江县中天地产公司阳光茗苑小区工地上干活，我和几个工友在工地上长螺旋打桩剩余的一万多工钱到现在多次讨要无果，还望领导帮我们民工想想办法。,,,
公很社区门口至大寨活动室道路问题,已办理,城建 投诉,W***,2019-08-1817:22,1。社区门口上去的道路，路面损毁严重，特别是移动公司埋光纤以后，回填质量差，造成路面差。同时路边有一个又深又大的明沟，没有路灯，有多人掉进去，也有车辆掉进去，存在安全隐患。建议修整道路，整改明沟，安装路灯，同时建议在此路段安装限高杆，禁止重型车辆进入压坏路面。2，第二张图片白色车停的位置，据了解是公共用地位置，经常被占用，建议在此位置修建凉亭，绿化供居民修行使用。,勐勐镇人民政府,我镇对你提出的信访事项十分重视，迅速与公很社区核实情况，并积极与县住建局联系对接，确定了处理意见，现答复如下：1、2019年给予解决路灯；2、道路的修整及明沟的整改将纳入2020年老旧小区改造或棚户区改造项目进行实施。,回复时间：2019-09-12 10:55
我们村移民问题没人管,已办理,三农 求助,回***,2019-08-0116:50,尊敬的黄书记您好！    我是双江县忙糯乡荒田村窝拖组村民，我曾多次到县移民局及乡移民办反应我们村在糯扎渡电站移民征占地中不按相关国家政策及文件执行，导致百姓利益受到侵害。一直没人管，我们该如何办？,双江县委办公室,你好：你在“人民网《地方领导留言版--县委书记黄光富留言板”的“我们村移民问题没人管”的帖子：“尊敬的黄书记您好！我是双江县忙糯乡荒田村窝拖组村民，我曾多次到县移民局及乡移民办反应我们村在糯扎渡电站移民征占地中不按相关国家政策及文件执行，导致百姓利益受到侵害。一直没人管，我们该如何办？”。根据你反映的问题，现答复如下：1、我县涉及糯扎渡水电站建设征地补偿和移民安置工作自2006年以来，均按程序按阶段逐步进行，执行的政策主要为：（1）《临沧市糯扎渡水电站建设征地补偿和移民安置宣传手册》；（2）《中华人民共和国土地管理法》；（3）《中华人民共和国农村土地承包法》；（4）《中华人民共和国村民委员会组织法》；（5）《大中型水利水电工程建设征地补偿和移民安置条例》（国务院令第471号）；（6）《国务院关于完善大中型水库移民后期扶持政策的意见》（国发[2006]17号）；（7）《云南省林地管理条例》；（8）《云南省人民政府关于贯彻落实国务院大中型水利水电工程建设征地补偿和移民安置条例的实施意见》（云政发[2008]24号）；（9）《国家发展改革委员会关于云南澜沧江糯扎渡水电站项目核准的批复》（发改能源[2011]566号）；（10）《云南省移民开发局关于澜沧江糯扎渡水电站多渠道多形式移民安置指导意见》（云移澜[2009]11号）；（11）2007年国家发改委颁布的《水电工程建设征地移民安置规划设计范围》等八项规范；（12）糯扎渡水电站建设征地及移民安置相关规划设计报告；（13）省市相关业务部门出台的其它规程规范。2、你反映的百姓利益受到侵害，请你具体以文字形式一一反映到相关部门，以便我县相关部门调查核实处理，如对调查核实处理情况有异议，可在接到答复后的30日内向县人民政府提出信访复查。3、我县移民搬迁安置工作，县乡均设立搬迁安置办公室，有专人负责来访、信访答复工作。县搬迁安置办联系人孔广明，联系电话18988329196；忙糯乡搬迁安置办联系人王玉敏，联系电话15126563249。,回复时间：2019-08-12 09:29
双江24个建档立卡标第一标问题,已办理,企业 求助,云***,2019-01-2223:02,尊敬的领导你好，我们在双江24个建档立卡标第一标勐勐到大吉公路上做活（云南世珉建筑工程有限公司），现在马上到过年了，我们有十几个农民工呢工资还没有拿得，我们多次向包工头要，包工头说公司没有给钱，我们实在没有办法了，我们家中大部分都是贫困户，也没有什么收入，只能等着我们这点工钱回家过年，我们希望政府能帮帮我们，,县交通运输局,李永江同志：您好，您反映的工程属双江县勐勐镇大吉村（24个建档立卡一标）的道路工程，由云南世珉建筑工程有限公司双江自治县24个建档立卡村交通基础设施建设项目第1标段项目部承建。经调查核实，根据验收的工程量，应支付工程款为452355.99元。在施工期间，项目部支付工程进度款254000元，剩余的198355.99元工程款中，经劳动保障局调解处理，项目部用于代支付农民工工资187808.00元。剩余工程款及工程保证金项目部已于12月13日在勐勐镇派出所调解下支付35547.99元。,回复时间：2019-03-29 15:01
双江建档立卡一标工程,已办理,城建 求助,1***,2018-12-2115:04,黄书记您好，已到年关了，工人工资一直还没得到解决，工人去劳动保障局，劳动保障局不受理这个案件，这些工人在工地上干活当地工人都可以做证。这些工人里有好几个都是建档立卡贫困户，出远门谋生活，您能帮帮我们这些贫困的工人吗？,双江自治县交通运输局,"朱太雄同志:    您好，您于2018年12月20日在《人民网地方领导留言板》中给县委书记留言反映的信访事项,经我局调查核实，已办理完毕。现将办理情况答复如下：    你反映的工程属双江县勐勐镇大吉村（24个建档立卡一标）的道路工程，由云南世珉建筑工程有限公司双江自治县24个建档立卡村交通基础设施建设项目第1标段项目部承建。经调查核实，根据验收的工程量，应支付工程款为452355.99元。在施工期间，项目部支付工程进度款254000元，剩余的198355.99元工程款中，经劳动保障局调解处理，项目部用于代支付农民工工资187808.00元。剩余工程款及工程保证金项目部已于12月13日在勐勐镇派出所调解下支付35547.99元。",回复时间：2019-01-16 10:48
建档立卡一标工程,已办理,城建 求助,1***,2018-11-1910:48,李金，他用世珉建筑工程有限公司，资质干临沧市，双江县24个建档立卡一标工程，找我去干路面，水沟工程，叫我干活的时候没讲工期，等我把远的地方干了，亏钱的地方干了，他就来个不要我干了，说的时候口头答补偿我损失，结果算账出来不补不说，还说我做的不合格，不合格干活的时候，是他们的技术人员现场指挥的，他们要求这祥做的，现在在这干了几个月的工人工资都没发，起诉要几万块，我该怎么办，望黄书记能帮帮我们,双江自治县交通运输局,"朱太雄同志:    您好，您于2018年11月18日在《人民网地方领导留言板》中给县委书记留言反映的信访事项,经我局调查核实，已办理完毕。现将办理情况答复如下：    你反映的工程属双江县勐勐镇大吉村（24个建档立卡一标）的道路工程，由云南世珉建筑工程有限公司双江自治县24个建档立卡村交通基础设施建设项目第1标段项目部承建。经调查核实，根据验收的工程量，应支付工程款为452355.99元。在施工期间，项目部支付工程进度款254000元，剩余的198355.99元工程款中，经劳动保障局调解处理，项目部用于代支付农民工工资187808.00元。剩余工程款及工程保证金项目部已于12月13日在勐勐镇派出所调解下支付35547.99元。",回复时间：2019-01-16 10:47
同一方向的信号灯为何指示不一致,已办理,交通 咨询,匿***,2018-11-0910:59,我就想问一下书记同志，如图所示的那个路口的信号灯，人行道的立杆和行车道上的横杆指示的为何不一致？这种设置是基于什么考虑？,县住房和城乡建设局,信访人同志：你所上访 “环城北路信号灯指示不合理的问题”事项已收悉，经我局城市建设管理监察队和交警大队相关技术人员调查核实，已办理完毕。现将办理情况答复如下：我局城市建设管理监察队和交警大队相关技术人员于2018年11月20日对我县过境线及主要市政道路交通信号灯进行排查，过境线四个信号灯路口存在左转弯灯和人行道灯同时显示绿灯的情况，经交警队技术人员调整，目前已全部整改。,回复时间：2019-01-02 17:25
感谢,已办理,城建 感谢,俸***,2018-09-0315:44,感谢党委政府支持，目前货款己得到落实，我将加快建房,双江自治县大文乡人民政府,"俸文成同志：    2018年9月3日,你在人民网地方留言板上留言。现答复如下： 一、主要留言内容“感谢党委政府支持，目前货款己得到落实，我将加快建房”。二、核实情况 接到信访件留言后，大文乡高度重视，专门安排人员进行调查核实，经调查核实俸文成户目前贷款已得到落实，本人表示感谢党委政府支持，将加快建房。",回复时间：2019-01-03 10:51
