标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
永德棠梨花园公租房房产证何时办理,待回复,城建 咨询,h***,2019-11-2319:26,你好书记：我是永德县的一名普通的农民！2年以前在永德县城凤凰城旁边的公租房住宅小区37栋买了一套公租房，房款当时间是一次性付清全款，也签了合同！但是房产证当时没有办！询问售楼的工作人员，当时给的答复是要等几年才能办到！我想在这里问一下书记你！我们的房产证什么时候能办下来！我们农民在城里买一套房子不容易！希望得到实质的答复！谢谢。,,,
爱心捐赠书籍没有人认领,已办理,教育 咨询,杨***,2019-11-1615:26,永德县建材市场华阔物流有几箱爱心捐赠书籍，看着已经丢了好久了。请书记安排相关部门处理一下。爱心人士做公益也不容易，辜负什么也请別辜负爱！,中共永德县委书记宋正垠,永德县建材市场华阔物流有几箱爱心捐赠书籍，看着已经丢了好久了。请书记安排相关部门处理一下。爱心人士做公益也不容易，辜负什么也请別辜负爱！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	永德县委书记
"
小孟统麻栎树村到小学的河与河边的路,已办理,三农 咨询,l***,2019-10-1915:56,1、领导你好我是小孟统麻栎树村的村民，我们麻栎树等几个村的的稻谷水田的水源都是靠我村下面的一条小河、我小的时候这条小河我们村会组织打捞还好一些，我们小的时候去上学过路也是常过这条河边，现在每次打工回家看到这条提供我们几村稻田粮食水源的小河和河边道路、不但得不到改善还越来越不好。我特代表几村农民的稻田特向领导申请改善我们麻栎树村到小学的这条河和河边的道路    ,中共永德县委书记宋正垠,1、领导你好我是小孟统麻栎树村的村民，我们麻栎树等几个村的的稻谷水田的水源都是靠我村下面的一条小河、我小的时候这条小河我们村会组织打捞还好一些，我们小的时候去上学过路也是常过这条河边，现在每次打工回家看到这条提供我们几村稻田粮食水源的小河和河边道路、不但得不到改善还越来越不好。我特代表几村农民的稻田特向领导申请改善我们麻栎树村到小学的这条河和河边的道路    ,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	永德县委书记
"
凌晨摩托车公租房扰民,已办理,治安 投诉,艺***,2019-10-0817:10,时段:2019年3月以来时间:最短凌晨1:00－2:15         最长记录1.00－4:25地点:永德县德党镇公租房住宅区事件:总有几个人在楼下大声吵闹，并且驾驶改装摩托车来回跑，走一段停下几秒大声轰油门，而接着飙车！诉求:希望能让扰民行为得到制止，扰民之人得到应有的惩处！,中共永德县委书记宋正垠,时段:2019年3月以来时间:最短凌晨1:00－2:15         最长记录1.00－4:25地点:永德县德党镇公租房住宅区事件:总有几个人在楼下大声吵闹，并且驾驶改装摩托车来回跑，走一段停下几秒大声轰油门，而接着飙车！诉求:希望能让扰民行为得到制止，扰民之人得到应有的惩处！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	永德县委书记
"
凤凰城公租房留言已得到答复,已办理,城建 感谢,8***,2019-08-3107:50,尊敬的领导您好！                           我于2019.8.26日在留言版上咨询了关于凤凰城公租房的交房问题，住建局领导曾局长和副局在8月29日就及时给我打电话回复了我，给我祥细说明了情况。解决了我的问题，非常感谢县委县局领导的关心体携人民！                                                    祝：                                     各位领导和各部门同志身体健康，                          万事如意！祝大美永德发展越来越好！！                                 ,中共永德县委书记宋正垠,尊敬的领导您好！                           我于2019.8.26日在留言版上咨询了关于凤凰城公租房的交房问题，住建局领导曾局长和副局在8月29日就及时给我打电话回复了我，给我祥细说明了情况。解决了我的问题，非常感谢县委县局领导的关心体携人民！                                                    祝：                                     各位领导和各部门同志身体健康，                          万事如意！祝大美永德发展越来越好！！                                 ,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	永德县委书记
"
永德凤凰城公租房什么时候能入住,已办理,城建 咨询,8***,2019-08-2619:54,书记您好！为了方便孩子上学父母也在县城做活2018在永德棠梨园售楼处预定了一套凤凰城的公租房，当时预勾的时候售处的售楼员说每套政府补助4万元且年底就办过户，可之后多次询问都是一个月托一个月也没个准确时间，当时就想没多少存款家里老房先不修，先在县城买套公租房可现都不知道什么时候能入住。,中共永德县委书记宋正垠,书记您好！为了方便孩子上学父母也在县城做活2018在永德棠梨园售楼处预定了一套凤凰城的公租房，当时预勾的时候售处的售楼员说每套政府补助4万元且年底就办过户，可之后多次询问都是一个月托一个月也没个准确时间，当时就想没多少存款家里老房先不修，先在县城买套公租房可现都不知道什么时候能入住。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	永德县委书记
"
从小父母双亡，跟着奶奶长大，想了解建房补贴,已办理,三农 咨询,普***,2019-08-1220:57,尊敬的书记你好！我是亚练乡云岭村打毒山的村民，今年25岁，我从小父母双亡，跟着年迈的奶奶一起生活，小学毕业刚就出去打工，由于学历太低工资也就只能勉强维持祖孙两的生活，家里的房子已经达到危房了，之前也参加过危房改造，现在谈了同是农村人家庭条件一般的女友，女友什么都不要，唯一的要求就是能在婚后有个遮风避雨的房子，现目前想了解一下我这样的情况建房有没有什么补贴之类的，实在无奈才会做出此举，望谅解！,中共永德县委书记宋正垠,尊敬的书记你好！我是亚练乡云岭村打毒山的村民，今年25岁，我从小父母双亡，跟着年迈的奶奶一起生活，小学毕业刚就出去打工，由于学历太低工资也就只能勉强维持祖孙两的生活，家里的房子已经达到危房了，之前也参加过危房改造，现在谈了同是农村人家庭条件一般的女友，女友什么都不要，唯一的要求就是能在婚后有个遮风避雨的房子，现目前想了解一下我这样的情况建房有没有什么补贴之类的，实在无奈才会做出此举，望谅解！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	永德县委书记
"
关于永德城市的一些看法。,已办理,城建 建言,大***,2019-07-1412:58,永德县城建设还在初级阶段，希望政府部门把县城整治干净整洁，县城环境卫生包括农贸市场街头巷角卫生环境有待该善，乱摆乱设特别需要整治幼儿园学校前面出入通道摆摊设点这在其他地方早好多年就整治好了的事情，应该规范传统赶场占道整治，设计在不影响通行的地方如新农贸市场内，现在的新农贸市场应该不是成包给个人就放弃建设及监管应该政府规范规划运作功能区配套设施建设完善，应该把新农贸市场正常运转起来，建设成一个功能齐全的及批发零售果疏肉禽批发市场，作为一个外地人最不想见到街巷的消防通被占，希望政府部门加强各部门监管督促到位实施有效，加快建设美丽永德大家齐努力！,中共永德县委书记宋正垠,永德县城建设还在初级阶段，希望政府部门把县城整治干净整洁，县城环境卫生包括农贸市场街头巷角卫生环境有待该善，乱摆乱设特别需要整治幼儿园学校前面出入通道摆摊设点这在其他地方早好多年就整治好了的事情，应该规范传统赶场占道整治，设计在不影响通行的地方如新农贸市场内，现在的新农贸市场应该不是成包给个人就放弃建设及监管应该政府规范规划运作功能区配套设施建设完善，应该把新农贸市场正常运转起来，建设成一个功能齐全的及批发零售果疏肉禽批发市场，作为一个外地人最不想见到街巷的消防通被占，希望政府部门加强各部门监管督促到位实施有效，加快建设美丽永德大家齐努力！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	永德县委书记
"
谢谢你书记！,已办理,政务 感谢,蕾***,2019-06-2214:11,你好书记！    谢谢您在百忙之中抽出宝贵的时间为我解决问题。    现经行政执法局调解，我与物管双方已经达成共识。特此感谢你对我们公民的帮助！,中共永德县委书记宋正垠,你好书记！    谢谢您在百忙之中抽出宝贵的时间为我解决问题。    现经行政执法局调解，我与物管双方已经达成共识。特此感谢你对我们公民的帮助！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	永德县委书记
"
噪声污染,已办理,环保 求助,蕾***,2019-06-2210:59,书记你好！       我是永德县一位普通公民，现住在保障性住房小区。今天因为32栋在装修房子我打电给物业投诉，并被告知该物业没有一条规定和相关法律是不允许在休息日和周末装修的。今天本是周末从早上八点开始一直在装修，严重影响到我的生活。在工作日也是一样，每次到了下班午休时间就会有人装修，中午想睡个午觉也成奢望，生活没有质量。在提交一定的物业费的前提下得不到应该的管理，我想这种物业是不是可以提早的整顿一下。希望书记能够帮助我们这些普通公民解决。谢谢！                                                           2019年6月22日 ,中共永德县委书记宋正垠,书记你好！       我是永德县一位普通公民，现住在保障性住房小区。今天因为32栋在装修房子我打电给物业投诉，并被告知该物业没有一条规定和相关法律是不允许在休息日和周末装修的。今天本是周末从早上八点开始一直在装修，严重影响到我的生活。在工作日也是一样，每次到了下班午休时间就会有人装修，中午想睡个午觉也成奢望，生活没有质量。在提交一定的物业费的前提下得不到应该的管理，我想这种物业是不是可以提早的整顿一下。希望书记能够帮助我们这些普通公民解决。谢谢！                                                           2019年6月22日 ,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	永德县委书记
"
永德小勐统农村危房改造补助资金问题,已办理,城建 咨询,叶***,2019-05-1114:39,尊敬的书记您好！我是小勐统镇湾甸村的乡村居民，为了响应农村危房改造，以为遇到好政策，我家房子都盖好快一年了，各种拍照验收，补助资金什么时候到，为了盖房子家里东凑西凑找亲戚朋友借钱、找银行贷款，差了一屁股债，我们是草根出生的农民，没有什么主要收入来源，就盼望着国家政府的危房补助资金早点下发，能把差的钱尽快还上一部分，减少部分压力。我们也到乡村居委会问了好多次，都是已各种原由搪塞我们，国家补助资金那是我们农民的救命稻草啊，没有这笔补助资金，真的过不下去了，希望您能帮助我们落实一下具体情况。,永德县宣传部,尊敬的书记您好！我是小勐统镇湾甸村的乡村居民，为了响应农村危房改造，以为遇到好政策，我家房子都盖好快一年了，各种拍照验收，补助资金什么时候到，为了盖房子家里东凑西凑找亲戚朋友借钱、找银行贷款，差了一屁股债，我们是草根出生的农民，没有什么主要收入来源，就盼望着国家政府的危房补助资金早点下发，能把差的钱尽快还上一部分，减少部分压力。我们也到乡村居委会问了好多次，都是已各种原由搪塞我们，国家补助资金那是我们农民的救命稻草啊，没有这笔补助资金，真的过不下去了，希望您能帮助我们落实一下具体情况。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	永德县委书记
"
种植项目,已办理,三农 咨询,W***,2019-04-2916:27,地方种植中草药有补贴政策吗？我想种植金线莲，白芨。,中共永德县委书记宋正垠 ,地方种植中草药有补贴政策吗？我想种植金线莲，白芨。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	永德县委书记
"
公租房下水道漏水,已办理,城建 投诉,l***,2019-03-2610:13,敬爱的书记，您好！感谢您在百忙之中能仔细阅读我的求助！我居住在永德公租房42栋15-8，我居住的房子卫生间下水道漏水，已多次向物业公司反映，始终得不到解决，已经严重影响我的生活。,中共永德县委书记宋正垠,敬爱的书记，您好！感谢您在百忙之中能仔细阅读我的求助！我居住在永德公租房42栋15-8，我居住的房子卫生间下水道漏水，已多次向物业公司反映，始终得不到解决，已经严重影响我的生活。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	永德县委书记
"
关于公租房总是停水的问题,已办理,城建 求助,没***,2019-03-1509:01,敬爱的书记，您好！感谢您在百忙之中能仔细阅读我的求助！我是一名离家在外工作的孩子，居住在永德公租房10栋二单元，不知道是何原因，我们这栋隔三差五的停水，一停就是一两个星期，来个三五天又停，停水也没有通知！打电话给物业公司，物业答复是永德水厂维修水管，打电话给水厂，水厂回复不清楚、不知道！我已不知道该向什么部门反应该情况！在去年我已在留言上反应过该问题，得到答复后用水正常了，可2019年以来又频繁出现断水，我们又重新过上了每天提水上楼的日子！我想提升人均居住环境不仅仅是城市的美丽建设，更应该是基础设施的完善和居民基本生活条件的保障！希望您能在百忙之中帮我们广大住户彻底解决一下这个困扰生活的问题！,中共永德县委书记宋正垠,敬爱的书记，您好！感谢您在百忙之中能仔细阅读我的求助！我是一名离家在外工作的孩子，居住在永德公租房10栋二单元，不知道是何原因，我们这栋隔三差五的停水，一停就是一两个星期，来个三五天又停，停水也没有通知！打电话给物业公司，物业答复是永德水厂维修水管，打电话给水厂，水厂回复不清楚、不知道！我已不知道该向什么部门反应该情况！在去年我已在留言上反应过该问题，得到答复后用水正常了，可2019年以来又频繁出现断水，我们又重新过上了每天提水上楼的日子！我想提升人均居住环境不仅仅是城市的美丽建设，更应该是基础设施的完善和居民基本生活条件的保障！希望您能在百忙之中帮我们广大住户彻底解决一下这个困扰生活的问题！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	永德县委书记
"
甘蔗款问题,已办理,三农 求助,L***,2019-03-0913:43,县委书记你好我是朝阳大新寨的村民，我家15年16年的甘蔗款拖欠着，单据之类的都在着，想问一下什么时候能发放剩余蔗款。现在自己还生病急需用钱，没办法了。,中共永德县委书记宋正垠,县委书记你好我是朝阳大新寨的村民，我家15年16年的甘蔗款拖欠着，单据之类的都在着，想问一下什么时候能发放剩余蔗款。现在自己还生病急需用钱，没办法了。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	永德县委书记
"
