标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
赴沧源出差电话卡，支付宝，微信被封至今未解决,已办理,治安 求助,灯***,2019-11-1217:18,尊敬的领导您好，我是深圳的一名灯光师，经常在全国各地出差，但是今年7月份应公司安排前往你们沧源市附近出差时，结果没过多久发现我的所有账户都被封停，说什么涉嫌电信诈骗，当我打电话给短线要求的电话96110时说在调查，没有问题就会解封，但是如今已经11月份了，账号全部都是封停状态，0883—96110的电话和短信中说的电话都已经打不通了，我现在应该怎么办呢? 希望能够给我一个解决方案，起码能给我一个电话能联系的上的，因为我真的是无辜的，没有参加电信诈骗 ，另外我附上我的出差机票截图以及前往沧源的截图！希望能帮我解决,沧源县信访局,尊敬的领导您好，我是深圳的一名灯光师，经常在全国各地出差，但是今年7月份应公司安排前往你们沧源市附近出差时，结果没过多久发现我的所有账户都被封停，说什么涉嫌电信诈骗，当我打电话给短线要求的电话96110时说在调查，没有问题就会解封，但是如今已经11月份了，账号全部都是封停状态，0883—96110的电话和短信中说的电话都已经打不通了，我现在应该怎么办呢? 希望能够给我一个解决方案，起码能给我一个电话能联系的上的，因为我真的是无辜的，没有参加电信诈骗 ，另外我附上我的出差机票截图以及前往沧源的截图！希望能帮我解决,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	沧源县委书记
"
感谢书记,已办理,三农 感谢,W***,2019-08-0510:11,书记你好，非常感谢你百忙之中看到了我的留言，急忙安排了成投公司在处理我的事情，现还在处理之中，我在此灰常感谢你，为农民工办实事，你是一个好领导，是一个直得老百性增进的好领导，祝你步步高升,沧源县信访局,书记你好，非常感谢你百忙之中看到了我的留言，急忙安排了成投公司在处理我的事情，现还在处理之中，我在此灰常感谢你，为农民工办实事，你是一个好领导，是一个直得老百性增进的好领导，祝你步步高升,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	沧源县委书记
"
医保问题,已办理,医疗 求助,李***,2019-08-0119:17,尊敬的领导您好、我是勐省农场二队的一个待业人员、父亲患有恶性肿瘤、已花了不少费用、为什么他们的医保报销不了、我父亲已经第六次做化疗了。再这样下去我们已经无法承担医疗费用了！我们农场有百分之九十的农民都报不了这个医保！这个问题一直得不到解决、是存在什么问题也没有什么个答复、我们老百姓什么都不知道、部门领导也没有给我们老百姓一个交代、我们病重了才知道这个问题的严重性、广大老百姓病了都得不到保障、希望您给我们个答复，谢谢了！,沧源县信访局,尊敬的领导您好、我是勐省农场二队的一个待业人员、父亲患有恶性肿瘤、已花了不少费用、为什么他们的医保报销不了、我父亲已经第六次做化疗了。再这样下去我们已经无法承担医疗费用了！我们农场有百分之九十的农民都报不了这个医保！这个问题一直得不到解决、是存在什么问题也没有什么个答复、我们老百姓什么都不知道、部门领导也没有给我们老百姓一个交代、我们病重了才知道这个问题的严重性、广大老百姓病了都得不到保障、希望您给我们个答复，谢谢了！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	沧源县委书记
"
讨薪无门,已办理,就业 求助,伤***,2019-07-2216:45,我们在岩帅做乡村公路的涵洞，给（二标开远祥邦公司）下面的老板李xx，李xx又转包给李某某与蒋x，最后我们来做工，2019年6月21日做完，7月2号算账，我们现在还要进三万八千二百六十三元钱，说7月12日由李xx给我们，我们在昆明打电话李xx不接，7月13日我们到李xx家，李xx说不管，叫我们找李某某和蒋x，李某某电话不接，蒋x说不过来处理让我们找李xx，老板一个都不处理吗我们去交通局，找到工程科田科长，田科长电话13759311897，田科长要我们盖公司的章，公司我们找不到，他又让我们去社保局，我们去社保局找到劳动监察大队，大对长说他们公司没有缴纳农民工保证金，他们处理不了，叫我们回来找李xx，现在李xx又不见我们的面，烦请书记帮我们想想办法,沧源县交通运输局,我们在岩帅做乡村公路的涵洞，给（二标开远祥邦公司）下面的老板李xx，李xx又转包给李某某与蒋x，最后我们来做工，2019年6月21日做完，7月2号算账，我们现在还要进三万八千二百六十三元钱，说7月12日由李xx给我们，我们在昆明打电话李xx不接，7月13日我们到李xx家，李xx说不管，叫我们找李某某和蒋x，李某某电话不接，蒋x说不过来处理让我们找李xx，老板一个都不处理吗我们去交通局，找到工程科田科长，田科长电话13759311897，田科长要我们盖公司的章，公司我们找不到，他又让我们去社保局，我们去社保局找到劳动监察大队，大对长说他们公司没有缴纳农民工保证金，他们处理不了，叫我们回来找李xx，现在李xx又不见我们的面，烦请书记帮我们想想办法,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	沧源县委书记
"
农民工，干活了拿不到工钱,已办理,三农 求助,W***,2019-07-0913:34,赠进的书记大人你好，我在此打扰您一下，2014年龙某叫我们来沧源，费达新村对面公租房刮反瓷，我们一起有8个人，做了两年时间，钱也没拿到，我们找龙某要过，他说他就没拿到钱，没有给我们的，最后我还有我儿子和我姐的儿子在这里等，等到现在也没拿到，还有就是公租房9到12栋，好多墙都搞坏了，大老板姚某的手下龚某，给姚某管工地的，他找到我，要我给修补一下，另外付钱，他就带我看了那些地方要修补，当时是这样说的，给我拿1万8千元钱的生活费，后头的钱等做好了在给，我们做好了找过龚某，他说他只管工地不管钱，他说这个钱要由大老板姚某找，我找姚某他说他不知道情况，我有龚某算的工资单，是4万8千5百元，我现在这个钱还不知道找什么人要了，龙某那理也还有6万多，我在此，谢谢书记大人花点您宝贵的时间，安排下面的工作人员般我处理一下我的事情，谢谢书记大人。,沧源自治县信访局,赠进的书记大人你好，我在此打扰您一下，2014年龙某叫我们来沧源，费达新村对面公租房刮反瓷，我们一起有8个人，做了两年时间，钱也没拿到，我们找龙某要过，他说他就没拿到钱，没有给我们的，最后我还有我儿子和我姐的儿子在这里等，等到现在也没拿到，还有就是公租房9到12栋，好多墙都搞坏了，大老板姚某的手下龚某，给姚某管工地的，他找到我，要我给修补一下，另外付钱，他就带我看了那些地方要修补，当时是这样说的，给我拿1万8千元钱的生活费，后头的钱等做好了在给，我们做好了找过龚某，他说他只管工地不管钱，他说这个钱要由大老板姚某找，我找姚某他说他不知道情况，我有龚某算的工资单，是4万8千5百元，我现在这个钱还不知道找什么人要了，龙某那理也还有6万多，我在此，谢谢书记大人花点您宝贵的时间，安排下面的工作人员般我处理一下我的事情，谢谢书记大人。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	沧源县委书记
"
请求帮我拿到我的工钱,已办理,就业 求助,W***,2019-06-1216:21,我在沧源打工，2014年来的，我是刮大白的，到现在做的工钱都没拿到，我找个信反部，答复要我等消息，到现在也没有等到消息，我求你们领导帮我拿到我的工钱,沧源自治县信访局,我在沧源打工，2014年来的，我是刮大白的，到现在做的工钱都没拿到，我找个信反部，答复要我等消息，到现在也没有等到消息，我求你们领导帮我拿到我的工钱,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	沧源县委书记
"
咨询,已办理,政务 求助,陈***,2019-04-2712:29,领导，您好。我有两个问题咨询一下。     第一，问关于现役军人立功授奖，沧源县当地，对立功军人有什么服务。     第二，   义务兵家庭优待金的问题,沧源县信访局,领导，您好。我有两个问题咨询一下。     第一，问关于现役军人立功授奖，沧源县当地，对立功军人有什么服务。     第二，   义务兵家庭优待金的问题,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	沧源县委书记
"
医疗报销不了,已办理,医疗 投诉,陈***,2019-04-0218:26,父亲于今年3.4日入耿马医院住院治疗 医院说父亲单位的（社会保障卡）没有交钱 不能报销 去了父亲单位问 说可以去社保局报销 去了社保局 社保局又说单位没有交钱 不能报销 如今父亲又转入市区医院进行大手术治疗 如此高昂的费用 不能报销 希望尊敬的领导重视 给一个满意的答复和解决方案！,沧源自治县信访局,父亲于今年3.4日入耿马医院住院治疗 医院说父亲单位的（社会保障卡）没有交钱 不能报销 去了父亲单位问 说可以去社保局报销 去了社保局 社保局又说单位没有交钱 不能报销 如今父亲又转入市区医院进行大手术治疗 如此高昂的费用 不能报销 希望尊敬的领导重视 给一个满意的答复和解决方案！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	沧源县委书记
"
为什么快递包邮，可到了勐省镇还要收费？,已办理,企业 投诉,两***,2019-03-1316:05,每次去拿快递包裹，都要被收取5块、十块、二十块的费用。望相关部门好好查一下。,沧源自治县信访局,每次去拿快递包裹，都要被收取5块、十块、二十块的费用。望相关部门好好查一下。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	沧源县委书记
"
