赴沧源出差电话卡，支付宝，微信被封至今未解决,已办理,治安 求助,灯***,2019-11-1217:18,尊敬的领导您好，我是深圳的一名灯光师，经常在全国各地出差，但是今年7月份应公司安排前往你们沧源市附近出差时，结果没过多久发现我的所有账户都被封停，说什么涉嫌电信诈骗，当我打电话给短线要求的电话96110时说在调查，没有问题就会解封，但是如今已经11月份了，账号全部都是封停状态，0883—96110的电话和短信中说的电话都已经打不通了，我现在应该怎么办呢? 希望能够给我一个解决方案，起码能给我一个电话能联系的上的，因为我真的是无辜的，没有参加电信诈骗 ，另外我附上我的出差机票截图以及前往沧源的截图！希望能帮我解决,沧源县信访局,  您通过人民网《地方领导留言板》给沧源县委书记的留言收悉，沧源县人民政府高度重视，交由县公安局办理，现将有关情况回复如下：您的电话卡、支付宝、微信被封，可很据公安机关对外公布的联系方式进行解封，如未解封，您还可以到当地公安机关或者被封地公安机关刑侦部门提供相关证明材料，由公安机关将证明材料提交到上级公安机关进行解封。需要提交的材料有：个人居民身份证；乘坐交通工具的票据；到境外的相关证明文件或公司证明文件等材料。感谢您对我县 工作的支持与理解，祝您身体健康、生活愉快！,回复时间：2019-11-21 09:26
感谢书记,已办理,三农 感谢,W***,2019-08-0510:11,书记你好，非常感谢你百忙之中看到了我的留言，急忙安排了成投公司在处理我的事情，现还在处理之中，我在此灰常感谢你，为农民工办实事，你是一个好领导，是一个直得老百性增进的好领导，祝你步步高升,沧源县信访局,网民同志：您好！  感谢您对我们工作的信任理解与肯定。祝身体健康、生活愉快！,回复时间：2019-08-15 01:22
医保问题,已办理,医疗 求助,李***,2019-08-0119:17,尊敬的领导您好、我是勐省农场二队的一个待业人员、父亲患有恶性肿瘤、已花了不少费用、为什么他们的医保报销不了、我父亲已经第六次做化疗了。再这样下去我们已经无法承担医疗费用了！我们农场有百分之九十的农民都报不了这个医保！这个问题一直得不到解决、是存在什么问题也没有什么个答复、我们老百姓什么都不知道、部门领导也没有给我们老百姓一个交代、我们病重了才知道这个问题的严重性、广大老百姓病了都得不到保障、希望您给我们个答复，谢谢了！,沧源县信访局,网民朋友：您好！您通过人民网地方领导留言板给县委书记的留言已交由县医疗保障局办理，2019年8月2日县医疗保障局已深入您家就您所反映的问题进行解答，并对医疗保险相关政策进一步做宣传，您家对县医疗保障局的答复意见表示满意。感谢您对我县医疗保险工作的支持和理解，祝您生活愉快！,回复时间：2019-08-15 01:23
讨薪无门,已办理,就业 求助,伤***,2019-07-2216:45,我们在岩帅做乡村公路的涵洞，给（二标开远祥邦公司）下面的老板李xx，李xx又转包给李某某与蒋x，最后我们来做工，2019年6月21日做完，7月2号算账，我们现在还要进三万八千二百六十三元钱，说7月12日由李xx给我们，我们在昆明打电话李xx不接，7月13日我们到李xx家，李xx说不管，叫我们找李某某和蒋x，李某某电话不接，蒋x说不过来处理让我们找李xx，老板一个都不处理吗我们去交通局，找到工程科田科长，田科长电话13759311897，田科长要我们盖公司的章，公司我们找不到，他又让我们去社保局，我们去社保局找到劳动监察大队，大对长说他们公司没有缴纳农民工保证金，他们处理不了，叫我们回来找李xx，现在李xx又不见我们的面，烦请书记帮我们想想办法,沧源县交通运输局,网民同志：您好！您通过人民网地方领导留言板给沧源县委书记的留言收悉，现将有关情况回复如下：由于您提供的字据无公司及项目经理部签章，且你的工程量未结算，经我局协调，李文民已先支付给您10000元工人工资，剩余的工资，待你们双方结算后，由李文民支付给您。期间，我局将督促李文民做好支付工作。感谢您对我县工作的支持与理解，祝您身体健康、生活愉快！,回复时间：2019-09-06 01:23
农民工，干活了拿不到工钱,已办理,三农 求助,W***,2019-07-0913:34,赠进的书记大人你好，我在此打扰您一下，2014年龙某叫我们来沧源，费达新村对面公租房刮反瓷，我们一起有8个人，做了两年时间，钱也没拿到，我们找龙某要过，他说他就没拿到钱，没有给我们的，最后我还有我儿子和我姐的儿子在这里等，等到现在也没拿到，还有就是公租房9到12栋，好多墙都搞坏了，大老板姚某的手下龚某，给姚某管工地的，他找到我，要我给修补一下，另外付钱，他就带我看了那些地方要修补，当时是这样说的，给我拿1万8千元钱的生活费，后头的钱等做好了在给，我们做好了找过龚某，他说他只管工地不管钱，他说这个钱要由大老板姚某找，我找姚某他说他不知道情况，我有龚某算的工资单，是4万8千5百元，我现在这个钱还不知道找什么人要了，龙某那理也还有6万多，我在此，谢谢书记大人花点您宝贵的时间，安排下面的工作人员般我处理一下我的事情，谢谢书记大人。,沧源自治县信访局,郑达建：您好！您通过人民网地方领导留言板给沧源县委书记的留言收悉，我县交由县城投公司办理，县城投公司答复如下：经我公司核实，你于2014年下半年至2015年12月在2011年沧源保障性住房项目做刮瓷工程，班组负责人为龙永发。2015年你们双方尚未对工程量进行结算，你单方面统计完成工程量15.8万元，龙永发前后共支付给你3.66万元。2017年9月至今我公司在化解债务过程中共代支付给你工资5.8万元。2016年你在2011年沧源保障性住房项目做维修，（包括刮瓷修补、点工等），负责人为王宗建，你们双方尚未结算，你单方面统计共完成工程量4.8525万元，2016年王宗建已支付给你1.8万元。因你与龙永发、王宗建对工程量未进行结算，2011年沧源保障性住房项目负责人姚朝品已同意将你的工资以10万元为基数纳入拖欠农民工工资花名册进行登记。你所反映的龙永发拖欠你6.3万元，王宗建拖欠3万余元，只是你单方面统计完成的工程量，请你们尽快对所涉及的工程总量进行结算，待你们结算完毕后，我公司将根据姚朝品签字认可的农民工工资花名册逐步化解。感谢您对我县工作的支持与理解，祝您身体健康、生活愉快！,回复时间：2019-07-18 15:11
请求帮我拿到我的工钱,已办理,就业 求助,W***,2019-06-1216:21,我在沧源打工，2014年来的，我是刮大白的，到现在做的工钱都没拿到，我找个信反部，答复要我等消息，到现在也没有等到消息，我求你们领导帮我拿到我的工钱,沧源自治县信访局,郑达建：您好！您通过人民网地方领导留言板给沧源县委书记的留言收悉，我县交由县城投公司办理，县城投公司答复如下：经我公司核实，你于2014年下半年至2015年12月在2011年沧源保障性住房项目做刮瓷工程，班组负责人为龙永发。2015年你们双方尚未对工程量进行结算，你单方面统计完成工程量15.8万元，龙永发前后共支付给你3.66万元。2017年9月至今我公司在化解债务过程中共代支付给你工资5.8万元。2016年你在2011年沧源保障性住房项目做维修，（包括刮瓷修补、点工等），负责人为王宗建，你们双方尚未结算，你单方面统计共完成工程量4.8525万元，2016年王宗建已支付给你1.8万元。因你与龙永发、王宗建对工程量未进行结算，2011年沧源保障性住房项目负责人姚朝品已同意将你的工资以10万元为基数纳入拖欠农民工工资花名册进行登记。你所反映的龙永发拖欠你6.3万元，王宗建拖欠3万余元，只是你单方面统计完成的工程量，请你们尽快对所涉及的工程总量进行结算，待你们结算完毕后，我公司将根据姚朝品签字认可的农民工工资花名册逐步化解。感谢您对我县工作的支持与理解，祝您身体健康、生活愉快！,回复时间：2019-07-18 15:14
咨询,已办理,政务 求助,陈***,2019-04-2712:29,领导，您好。我有两个问题咨询一下。     第一，问关于现役军人立功授奖，沧源县当地，对立功军人有什么服务。     第二，   义务兵家庭优待金的问题,沧源县信访局,陈向宾同志：您好！     您通过人民网《地方领导留言板》致沧源自治县委书记的留言收悉，现回复如下：    一、关于现役军人立功受奖问题2005年沧源佤族自治县人民政府办公室转发《临沧市义务兵家属优待规定的通知》的通知（沧政办发〔2005〕219号）文件。在《临沧市义务兵家属优待规定》（临政办发〔2005〕241号）文件中第九条“义务兵在服现役期间，被评为优秀士兵、荣立三等功以上或者被授予荣誉称号的，由各县（区）人民政府通过其家属给予一次性奖励，其数额不低于下列标准”：（一）被中央军委授予英雄荣誉称号的，一次性发给奖励金10000元；（二）被大军区授予荣誉称号或荣立一等功的，一次性发给奖励金5000元；（三）荣立二等功的，一次性发给奖励金2000元；（四）荣立三等功的，一次性发给奖励金300元；（五）被评为优秀士兵的，一次性发给奖励金100元。以上所指是“义务兵在服现役期间，超出义务期不在地方奖励范围”。    二、关于义务兵家庭优待金的问题根据《中共临沧地委 临沧地区行署关于实行退役士兵自主择业安置改革的意见》（临发〔2001〕34号）文件精神，沧源佤族自治县人民政府于2002年12月24日下发了《沧源佤族自治县人民政府关于批转县民政局<沧源佤族自治县退役士兵安置工作改革实施意见>的通知》（沧政通〔2002〕71号）文件，在文件中明确了城镇义务兵家属优待金不再发放到户，作为符合安排工作条件的退役士兵自谋职业补偿金来源。您如果还需咨询其他政策，请直接与县退役军人事务局局联系，电话：0883-7122188。    祝身体健康、生活愉快！,回复时间：2019-05-08 01:22
医疗报销不了,已办理,医疗 投诉,陈***,2019-04-0218:26,父亲于今年3.4日入耿马医院住院治疗 医院说父亲单位的（社会保障卡）没有交钱 不能报销 去了父亲单位问 说可以去社保局报销 去了社保局 社保局又说单位没有交钱 不能报销 如今父亲又转入市区医院进行大手术治疗 如此高昂的费用 不能报销 希望尊敬的领导重视 给一个满意的答复和解决方案！,沧源自治县信访局,陈尼那同志：您好！ 您通过人民网《地方领导留言板》给沧源县委书记的留言收悉，沧源县勐省农场高度重视，现将有关情况回复如下： 经查，您父亲陈永生系国营勐省农场茶叶公司十二队退休工人，其因患胃癌在临沧市人民医院住院做部分切除手术，在办理出院手续时城镇职工医疗保险统筹部分报销不了，需患者全额承担住院治疗费，你信访的情况属实。经调查，发生该情况的原因主要是国营勐省农场未按时上缴城镇职工基本医疗保险费和大病补充医疗保险费，勐省农场管委会领导高度重视，及时安排专人负责催缴国营勐省农场下属农场茶叶公司、水泥厂、农业连队等单位差欠的医疗保险费。2019年4月17日，国营勐省农场筹措资金将城镇职工大病补充医疗保险费用上缴至县医保中心并多方通知您和家人可以到县医保中心办理职工医疗保险报销相关手续。至此，您反映您父亲职工医疗保险报销不了的信访事项得到了有效落实，希望您尽快到县医保中心办理职工医疗保险报销相关手续。 感谢您对我县工作的支持与理解，祝您身体健康、生活愉快！,回复时间：2019-07-18 15:13
为什么快递包邮，可到了勐省镇还要收费？,已办理,企业 投诉,两***,2019-03-1316:05,每次去拿快递包裹，都要被收取5块、十块、二十块的费用。望相关部门好好查一下。,沧源自治县信访局,李林锋网民：您好！ 您通过人民网给地方领导【沧源县委书记】的留言我们已转临沧市邮政管理局按有关规定处理，处理情况如下： 一、3月21日，就勐省镇快递网点向收件人收取派件费问题，临沧市邮政管理局依法对全市37家持证快递企业进行集体约谈告诫，要求企业严格执行《快递市场管理办法》及《快递服务》国家标准，坚决杜绝发生违规收费问题，否则，发现一起严肃依法查处一起。 二、3月28日，临沧市邮政管理局到勐省镇执法检查，共检查快递网点4个，对4个网点所属的3家法人企业依法立案查处，现案件正在办理中。 感谢您的关心和监督。祝身体健康，生活愉快！,回复时间：2019-07-18 15:12
单甲岔路口招呼站卫生间明显标识建设问题,已办理,城建 建言,W***,2019-03-1010:46,领导您好：  首先非常感谢您百忙之中抽空看我的留言，事情是这样的，机场、沧源县城、勐省方向以及单甲乡岔路口是一个十字路口。其它三个方向大家比较熟知，作为交通要道，单甲乡的人民群众都会在这里转车，但是路边却没有一个可以遮风避雨的地方。以我的亲生经历来说，我在耿马工作，每次坐车到岔路口下车，等待回家的车，基本都要在那里站几个小时。那里是风口，下雨的时候打伞都困难，在那里看着乡亲们风里来雨里去，好像习以为常又觉得于心不忍。我们漂泊在外的游子，回家的路不仅很长，也很难，无数次的路过，看着大家踏上外出务工的大巴车，过年的时候又纷纷归来，那里的绿化做得非常好，但是都没有给大家留一个公共卫生间。今年我结婚了，丈夫还买了车，我再也不用像过去一样，呆在那里，然而心里也像缺失了一块，想为大家争取一下，最近路过怕秋路口的时候发现他们的路口做得很好，能不能也关注一下单甲岔路口呢？让漂泊归乡的游子感受故乡的温暖。谢谢。,沧源县交通运输局,唐春芸：你好！你通过人民网《地方领导留言板》写给县委书记的留言收悉，现作回复如下：单甲岔路口，是通向县城、单甲乡、勐省镇及机场的一个重要交通道口，位置特殊重要，目前，单甲乡已开通农村客运，人民群众到县城可乘坐农村客运直达，出行至勐省方向或是返家，可在岔路口下车，等待过往辆车。由于单甲岔路口是一个十字路口，是南岗线与耿沧二级路的连接线，通过二级路过往车辆车速较快，如在路口建盖客运招呼站，群众在路口上下车，会埋下较大的安全隐患。同时，由于沧源公路分局已于2017年在南撒道班（路口往县城方向200处）新建服务区，为了不重复投资，我局未在单甲路口列建客运招呼站及卫生间，群众出行等车、入厕等可到南撒道班服务区。    感谢您对沧源交通运输工作的关心和支持。,回复时间：2019-05-11 01:21
