标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
感谢领导的关心,待回复,交通 感谢,L***,2019-11-1810:27,     感谢领导对南炮大沟的舒通关心，百姓的用水问题得于解决，在此深表感谢！！但就不知村村通的问题何时能解决?,,,
家乡路况,已办理,交通 求助,L***,2019-08-2415:49,尊敬书记:您好!不知，在百忙之中，您能否看到这封信，我是勐永镇新和村委会的村民，在这里想向您反映的事情是勐永镇新和村委会南炮组至芒来的村村通硬板路，不知什么情况，现停工状态，还有就是修路时的泥沙石，把路下面老百姓田地和青苗损坏甚多，另外，村民灌溉用水大沟已堵塞，农民没法用水，造成大部分村民吃菜都必须上街去买，致此全民有望:相关领导给于帮助与解决。早日实现通车通水的愿望!致谢,耿马傣族佤族自治县信访局,尊敬书记:您好!不知，在百忙之中，您能否看到这封信，我是勐永镇新和村委会的村民，在这里想向您反映的事情是勐永镇新和村委会南炮组至芒来的村村通硬板路，不知什么情况，现停工状态，还有就是修路时的泥沙石，把路下面老百姓田地和青苗损坏甚多，另外，村民灌溉用水大沟已堵塞，农民没法用水，造成大部分村民吃菜都必须上街去买，致此全民有望:相关领导给于帮助与解决。早日实现通车通水的愿望!致谢,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	耿马县委书记
"
公租房子,已办理,城建 咨询,W***,2019-08-0310:04,尊敬得县委书记！我户口属清水河清叔寨，属于空挂户，没地没房子，一直在孟定打工租房子住，刚刚不知道允相花园是公租房，现在才知道去申请，结果是停止申请了，就是想问问书记多久才能申请，谢谢了,耿马傣族佤族自治县信访局,尊敬得县委书记！我户口属清水河清叔寨，属于空挂户，没地没房子，一直在孟定打工租房子住，刚刚不知道允相花园是公租房，现在才知道去申请，结果是停止申请了，就是想问问书记多久才能申请，谢谢了,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	耿马县委书记
"
书记您好，,待回复,政务 感谢,W***,2019-07-2908:57,县委书记您好，我于2019年7月27日向您投递了一份求助信，内容为(耿马县供电所车辆压到本人的狗不给予赔偿)于2017年7月28日本人得到满意的处理结果，特写此信感谢领导,,,
求领导评评理,已办理,政务 求助,W***,2019-07-2721:23,领导你好，我是耿马县勐简乡一村民，于2019年7月21日耿马供电所一驾驶员开车到勐简乡压到我的狗一只(德国牧羊犬)爱犬于出生9日就一直人工喂养到两个月，驾驶员导致爱犬盆骨断裂，驾驶员声称自己开的是公车还多次已领导推辞，到现在也没任何赔偿，多次联系也不给予回复，属于无奈恳请领导评评理,耿马傣族佤族自治县信访局,领导你好，我是耿马县勐简乡一村民，于2019年7月21日耿马供电所一驾驶员开车到勐简乡压到我的狗一只(德国牧羊犬)爱犬于出生9日就一直人工喂养到两个月，驾驶员导致爱犬盆骨断裂，驾驶员声称自己开的是公车还多次已领导推辞，到现在也没任何赔偿，多次联系也不给予回复，属于无奈恳请领导评评理,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	耿马县委书记
"
想咨询目前还有没有自建房4万补助6万贷款的政策,已办理,城建 咨询,唯***,2019-07-1015:58,尊敬的耿马县委书记           您好！我是菜籽地箐门口组村民，因为一直在外打工，没在家中，不清楚家里的相关政策。所以想咨询一下目前如果要自建房子还有没有政府补贴4万贷款6万的补助，因家里房子目前还是空心砖盖的瓦房，家里房间不够住，老鼠太多等一系列问题考虑重建，家里没什么经济能力，所以询问一下还有没有相应的政策补助，望领导回复，谢谢,耿马傣族佤族自治县信访局,尊敬的耿马县委书记           您好！我是菜籽地箐门口组村民，因为一直在外打工，没在家中，不清楚家里的相关政策。所以想咨询一下目前如果要自建房子还有没有政府补贴4万贷款6万的补助，因家里房子目前还是空心砖盖的瓦房，家里房间不够住，老鼠太多等一系列问题考虑重建，家里没什么经济能力，所以询问一下还有没有相应的政策补助，望领导回复，谢谢,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	耿马县委书记
"
您好，耿马县公租房或者廉租房现在还能申请吗,已办理,城建 咨询,唯***,2019-05-0316:42,耿马县县委书记您好，我是菜籽地村箐门口组的，我想问一下耿马公租房或者廉租房现在是否还能申请，应该要怎样去申请。还有一个问题就是如果申请到了是不是租期满几年以后这个房子可以以低于市场价的价格购买房子产权，然后交掉多少年的租金可以在总价直接减去来购买。是这样吗？,中共耿马傣族佤族自治县委员会办公室,耿马县县委书记您好，我是菜籽地村箐门口组的，我想问一下耿马公租房或者廉租房现在是否还能申请，应该要怎样去申请。还有一个问题就是如果申请到了是不是租期满几年以后这个房子可以以低于市场价的价格购买房子产权，然后交掉多少年的租金可以在总价直接减去来购买。是这样吗？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	耿马县委书记
"
孟定镇普京国际实在大扰民,已办理,治安 投诉,然***,2019-04-1910:22,孟定镇普京国际位于孟定镇镇中心，四周都是居民住宅及商业街，作为一个音乐会所不应该在市中心地带，太扰民了，每天都要到半夜二点才能休息，象我们上班族自天累一天，晚上2点后才能休息，早上六点多又要送小孩上学，基本上只能休息到两三个小时，人都要抑郁了，周围好多人打110反映过至今未果，望领导能体会到人民的疾苦，要么整改保证经营不扰民，最好是取帝,中共耿马傣族佤族自治县委员会办公室,孟定镇普京国际位于孟定镇镇中心，四周都是居民住宅及商业街，作为一个音乐会所不应该在市中心地带，太扰民了，每天都要到半夜二点才能休息，象我们上班族自天累一天，晚上2点后才能休息，早上六点多又要送小孩上学，基本上只能休息到两三个小时，人都要抑郁了，周围好多人打110反映过至今未果，望领导能体会到人民的疾苦，要么整改保证经营不扰民，最好是取帝,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	耿马县委书记
"
最后一条土路,已办理,城建 咨询,蓝***,2019-03-2608:04,尊敬的耿马县委书记您好，我想反映的问题如下：时至2019年的今天，位于耿马县委大青树左边一条土路（东经99°23′31，北纬23°32′43，海拔1122米）20年余载没人管，该路段长约两公里，道路由县委大青树至老干局宿舍区，是一条无名道路，早年前是铺下的弹石路，经过多年的冲刷已不复存在，一直是周边居民自发铺路、剪草、修路，甚至众筹购买砂石铺路，但是每年雨季冲刷还是变成泥泞烂路和水坑，附近居民还是一直走在原生态土路。多年来，勘测队伍来勘测几十次，可为什么这么多年修不上？现在位于党校旁的土地在开发，拉载着几十吨石头的大车每天进进出出，道路被压坏，让原本的土路越来越糟，大车一过地基颤抖，满天都是灰尘。开发是好事情，可为什么不修路，要让群众辛辛苦苦自发修起来的路毁于一旦，希望相关职能部门能将此道路硬化，还附近居民一个干净安全的出行环境。,中共耿马傣族佤族自治县委员会耿马傣族佤族自治县人民政府信访局,尊敬的耿马县委书记您好，我想反映的问题如下：时至2019年的今天，位于耿马县委大青树左边一条土路（东经99°23′31，北纬23°32′43，海拔1122米）20年余载没人管，该路段长约两公里，道路由县委大青树至老干局宿舍区，是一条无名道路，早年前是铺下的弹石路，经过多年的冲刷已不复存在，一直是周边居民自发铺路、剪草、修路，甚至众筹购买砂石铺路，但是每年雨季冲刷还是变成泥泞烂路和水坑，附近居民还是一直走在原生态土路。多年来，勘测队伍来勘测几十次，可为什么这么多年修不上？现在位于党校旁的土地在开发，拉载着几十吨石头的大车每天进进出出，道路被压坏，让原本的土路越来越糟，大车一过地基颤抖，满天都是灰尘。开发是好事情，可为什么不修路，要让群众辛辛苦苦自发修起来的路毁于一旦，希望相关职能部门能将此道路硬化，还附近居民一个干净安全的出行环境。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	耿马县委书记
"
