感谢领导的关心,待回复,交通 感谢,L***,2019-11-1810:27,     感谢领导对南炮大沟的舒通关心，百姓的用水问题得于解决，在此深表感谢！！但就不知村村通的问题何时能解决?,,,
家乡路况,已办理,交通 求助,L***,2019-08-2415:49,尊敬书记:您好!不知，在百忙之中，您能否看到这封信，我是勐永镇新和村委会的村民，在这里想向您反映的事情是勐永镇新和村委会南炮组至芒来的村村通硬板路，不知什么情况，现停工状态，还有就是修路时的泥沙石，把路下面老百姓田地和青苗损坏甚多，另外，村民灌溉用水大沟已堵塞，农民没法用水，造成大部分村民吃菜都必须上街去买，致此全民有望:相关领导给于帮助与解决。早日实现通车通水的愿望!致谢,耿马傣族佤族自治县信访局,网民朋友：您好！您通过人民网《地方领导留言板》的留言收悉，现就您反映问题回复如下：经核实，您反映的勐永镇新和村委会南炮组至芒来村的村村通道路停工情况属实，由于工程资金拨付不到位，导致了勐永镇全镇各个村组所在实施的村村通工程项目处于停工状态。下步工作中，勐永镇将积极向上级部门申请拨付资金，争取早日复工。 其次，您反映的部分青苗被埋，由于在原路基进行扩修，导致部分群众青苗被埋，针对您反映青苗被毁问题，经村组干部到现场核实后，您本人青苗没有被埋的，南泡组青苗被埋的农户不多，镇政府工作人员及村组干部通过讲解村村通工程是国家所实施的一项惠民政策，青苗受损群众表示支持和同意施工方继续施工。关于您反映村民灌溉用水的大沟被堵问题，经核实，目前沟渠通往群众的田地已经种植玉米和甘蔗，不再使用水源灌溉，且施工队答应，路基修好后会把所堵的沟渠疏通恢复原貌，群众也同意施工方意见。感谢您对我县道路建设的关心和支持，如对此答复意见不服，可在收到此答复意见之日起 30日内向上一级行政机关提出复查或走司法途径处理。  ,回复时间：2019-10-09 11:58
公租房子,已办理,城建 咨询,W***,2019-08-0310:04,尊敬得县委书记！我户口属清水河清叔寨，属于空挂户，没地没房子，一直在孟定打工租房子住，刚刚不知道允相花园是公租房，现在才知道去申请，结果是停止申请了，就是想问问书记多久才能申请，谢谢了,耿马傣族佤族自治县信访局,网民朋友：您好！您通过人民网《地方领导留言板》的留言收悉，现就您反映问题回复如下：一、公共租赁住房申请书受理情况自2016年1月开始受理孟定片区公共租赁住房申请以来，孟定镇工作人员严格遵守公共租赁住房相关规定，本着认真负责、兢兢业业的工作态度进行申请登记收件，并对相关部门审核通过的公共租赁住房申请书进行严格审核，截止2018年9月30日共受理公租房申请4250份。二、暂时停止公共租赁住房常态化受理工作2018年以来，由于我县公共租赁住房除县城滨河家园和孟定允相花园外均已全部分配入住，且已申请未入住家庭大大超过已建房源数量。同时，未分配房源尚不具备入住条件。为进一步加快推进我县公共租赁住房分配管理和运营工作，根据《耿马傣族佤族自治县人民政府关于公共租赁住房相关事宜的批复》（耿政复〔2018〕176号）的文件精神，自2018年10月1日起暂时停止耿马县城滨河家园和孟定镇允相花园统建公共租赁住房申请、审核常态化受理工作，待有房源时再集中受理，确保申请人能及时入住。县住建局于2018年9月26日在耿马电视台、耿马县政府公众信息网发布《通告》，并将此《通告》在耿马县城滨河家园、孟定允相花园及相关部门进行粘帖。三、公共租赁住房申请常态化受理工作的开启目前，孟定镇符合申请条件且已交公共租赁住房申请书还在轮侯的家庭为1379户，在孟定镇允相花园广场公共租赁住房有房源交付使用后将及时进行分配入住，待轮侯家庭全部分配入住后且有空置房源的前提下，县住建局局将督促孟定镇根据空置房源的数量开启公共租赁住房申请常态化受理工作，及时办理申请、审核及分配入住工作。如对此有任何疑问，您可拔打电话6128059进行咨询。感谢您对我们工作的关心和支持，如对此答复意见不服，可在收到此答复意见之日起 30日内向上一级行政机关提出复查或走司法途径处理。  ,回复时间：2019-10-09 11:59
书记您好，,待回复,政务 感谢,W***,2019-07-2908:57,县委书记您好，我于2019年7月27日向您投递了一份求助信，内容为(耿马县供电所车辆压到本人的狗不给予赔偿)于2017年7月28日本人得到满意的处理结果，特写此信感谢领导,,,
求领导评评理,已办理,政务 求助,W***,2019-07-2721:23,领导你好，我是耿马县勐简乡一村民，于2019年7月21日耿马供电所一驾驶员开车到勐简乡压到我的狗一只(德国牧羊犬)爱犬于出生9日就一直人工喂养到两个月，驾驶员导致爱犬盆骨断裂，驾驶员声称自己开的是公车还多次已领导推辞，到现在也没任何赔偿，多次联系也不给予回复，属于无奈恳请领导评评理,耿马傣族佤族自治县信访局,网民朋友：您通过人民网《地方领导留言板》的留言收悉，现就您反映问题回复如下：您于7月27日提交留言反映“耿马县供电所车辆压到本人的狗不给予赔偿”问题后，又于7月28日提交留言称，所反映的问题已得到满意的处理结果并致信感谢领导。鉴于上述原因，对您反映问题作结案处理。非常感谢您对我们工作的信任和支持！,回复时间：2019-10-09 15:38
想咨询目前还有没有自建房4万补助6万贷款的政策,已办理,城建 咨询,唯***,2019-07-1015:58,尊敬的耿马县委书记           您好！我是菜籽地箐门口组村民，因为一直在外打工，没在家中，不清楚家里的相关政策。所以想咨询一下目前如果要自建房子还有没有政府补贴4万贷款6万的补助，因家里房子目前还是空心砖盖的瓦房，家里房间不够住，老鼠太多等一系列问题考虑重建，家里没什么经济能力，所以询问一下还有没有相应的政策补助，望领导回复，谢谢,耿马傣族佤族自治县信访局,网民朋友：您好！您通过人民网《地方领导留言板》的留言收悉，现就您反映问题回复如下：目前，根据《耿马傣族佤族自治县人民政府办公室关于印发<耿马自治县2018年4类重点对象农村危房改造工作实施方案>的通知》（耿政办发〔2018〕28号）文件，拆除重建对象：为2017年提前实施和2018年新开工且符合建筑面积标准的建档立卡贫困户、农村低保户、农村分散供养特困人员、贫困残疾人家庭D级危房通过加固改造达不到抗震要求的，实行拆除重建。拆除重建补助标准为：每户补助2.7万元，有信贷需求和相应偿还能力的贫困户帮助协调每户3万元以内的贷款资金，政府贴息补助3年，贴息期间农户自行承担2%的年利率。根据云南省人民政府办公厅《关于推进非4类重点对象农村危房改造的指导意见》（云政办发〔2018〕48号）文件，非“4类重点对象”农村危房改造，原则上以农户自筹资金、自行改造为主，对少数自身改造能力不足的农户，政府给予适当扶持。扶持的责任主体是县级政府，县级政府可为自身改造能力不足的危房户提供危房改造贷款贴息支持，或按照规定统筹有关财政资金等给予适当不足，具体扶持方式和标准，由有关县、市、区人民政府统筹确定（但目前耿马自治县还未制定相应政策），补助标准不得超过“4类重点对象”的补助标准。但凡有下列情形农户不得列为扶持改造对象：有其他安全住房、门面房及其他经营性用房的；常年外出务工或经商，农村住房虽为危房，但自身有能力改造而又不自己改造的；有家庭成员或户主的父母、配偶、子女为国家公职人员的；购买了价格3万元以上机动车的；在工商部门注册登记公司、企业并实际开展经营活动的。下步工作中，我县将进一步加大对相关政策宣传力度，提高群众对相关政策的知晓度。感谢您对我县城乡建设的关心和支持，如对此答复意见不服，可在收到此答复意见之日起 30日内向上一级行政机关提出复查或走司法途径处理。  ,回复时间：2019-10-09 12:02
您好，耿马县公租房或者廉租房现在还能申请吗,已办理,城建 咨询,唯***,2019-05-0316:42,耿马县县委书记您好，我是菜籽地村箐门口组的，我想问一下耿马公租房或者廉租房现在是否还能申请，应该要怎样去申请。还有一个问题就是如果申请到了是不是租期满几年以后这个房子可以以低于市场价的价格购买房子产权，然后交掉多少年的租金可以在总价直接减去来购买。是这样吗？,中共耿马傣族佤族自治县委员会办公室,网民朋友：您好！    您通过人民网《地方领导留言板》的留言收悉，现就您反映问题回复如下：    一、关于耿马公租房或者廉租房现在是否还能申请问题。由于我县公共租赁住房除县城滨河家园和孟定允相花园外均已全部分配入住，且已申请未入住家庭大大超过已建房源数量。同时，未分配房源尚不具备入住条件。为进一步加快推进我县公共租赁住房分配管理和运营工作，自2018年10月1日起暂时停止耿马县城滨河家园和孟定镇允相花园统建公共租赁住房申请、审核常态化受理工作，待有房源时再集中受理，确保申请人能及时入住。    二、关于能否购买公租房等相关问题。根据住房保障相关文件的规定，公租房或者廉租房销售价格实行政府指导价管理，不以盈利为目的，综合考虑住户承受能力、城镇基准地价、开发建设成本等因素确定价格，符合住房保障政策，租住公租房或者廉租房满一年以上、具备一定支付能力且按时足额交纳租金的家庭，可自愿申请购买所租住的公租房或者廉租房，已交的房屋租金不能在购房总价中直接减去。    如对我县公租房或廉租房还有相关疑问，可直接拔打电话6128059进行咨询。    感谢您对我县住房保障工作的关心和支持，如对此答复意见不服，可在收到此答复意见之日起 30日内向上一级行政机关提出复查或走司法途径处理。  ,回复时间：2019-07-01 16:23
孟定镇普京国际实在大扰民,已办理,治安 投诉,然***,2019-04-1910:22,孟定镇普京国际位于孟定镇镇中心，四周都是居民住宅及商业街，作为一个音乐会所不应该在市中心地带，太扰民了，每天都要到半夜二点才能休息，象我们上班族自天累一天，晚上2点后才能休息，早上六点多又要送小孩上学，基本上只能休息到两三个小时，人都要抑郁了，周围好多人打110反映过至今未果，望领导能体会到人民的疾苦，要么整改保证经营不扰民，最好是取帝,中共耿马傣族佤族自治县委员会办公室,网民朋友：     您好！     您于2019年4月23日通过人民网反映的“孟定镇普京国际娱乐会所实在太扰民”的来信收悉，经过县文化旅游局、县市场监督管理局、市生态环境局耿马分局、孟定镇派出所等部门调查核实，现对您答复如下：    经核实：孟定镇普京国际娱乐会所（龙升娱乐会所）噪声超标，不符合《社会生活环境噪声排放标准》（GB22337-2018）相关规定。    2019年5月8日，县文化旅游局、县市场监督管理局、市生态环境局耿马分局、孟定镇文化和旅游广播电视体育服务中心就信访件召开对普京国际娱乐会所（龙升娱乐会所）负责人及股东的约谈会，会上要求孟定普京国际娱乐会所（龙升娱乐会所）严格按照各部门给出的整改要求整改，在整改期内（5月8日— 6月4日）如不进行整改再出现投诉举报，将对其关停或吊销相关证照。    感谢您对我县文化事业工作的关心、关注和支持！,回复时间：2019-07-01 16:27
最后一条土路,已办理,城建 咨询,蓝***,2019-03-2608:04,尊敬的耿马县委书记您好，我想反映的问题如下：时至2019年的今天，位于耿马县委大青树左边一条土路（东经99°23′31，北纬23°32′43，海拔1122米）20年余载没人管，该路段长约两公里，道路由县委大青树至老干局宿舍区，是一条无名道路，早年前是铺下的弹石路，经过多年的冲刷已不复存在，一直是周边居民自发铺路、剪草、修路，甚至众筹购买砂石铺路，但是每年雨季冲刷还是变成泥泞烂路和水坑，附近居民还是一直走在原生态土路。多年来，勘测队伍来勘测几十次，可为什么这么多年修不上？现在位于党校旁的土地在开发，拉载着几十吨石头的大车每天进进出出，道路被压坏，让原本的土路越来越糟，大车一过地基颤抖，满天都是灰尘。开发是好事情，可为什么不修路，要让群众辛辛苦苦自发修起来的路毁于一旦，希望相关职能部门能将此道路硬化，还附近居民一个干净安全的出行环境。,中共耿马傣族佤族自治县委员会耿马傣族佤族自治县人民政府信访局,网民朋友：您好！    您通过人民网《地方领导留言板》的留言收悉，现就您反映问题回复如下：    针对您反映问题，县交通运输局与相关部门到实地进行查看，该道路建设没有在县交通运输局计划项目库上，应由县住建局落实该项目。目前，县棚投公司已做好此道路设计，待县人民政府立项后实施。    感谢您对我县市政道路建设的关心和支持，如对此答复意见不服，可在收到此答复意见之日起 30日内向上一级行政机关提出复查或走司法途径处理。  ,回复时间：2019-07-01 16:20
建档立卡户盖房补助,已办理,城建 求助,田***,2019-03-0915:57,尊敬县委书记领导你好，我是耿马县贺派乡落阳村委会坝博组的村民，我家2017年盖房至今，村委会告知我家是建档立卡户，盖房补助至今一分没有得到，村委会经常来我家登记拍照等等，现如今村里邻居都拿到盖房补助了，就我家没有，如果不给补助为什么随时来登记。我们多次跑村委会，乡政府，县脱贫攻坚处都没有得到答复处理。望领导明查。,耿马县委办公室,网民朋友：您好！    您通过人民网《地方领导留言板》的留言收悉，现就您反映问题回复如下：    经核实，您为李XX之子，至今未分户，李XX户于2014年被识别为建档立卡贫困户，2017年李XX户脱贫退出，根据2015年扶贫开发相关政策，李XX户享受补助4万元、贷款6万元的建房补助政策，产业扶贫资金5000元。您们一家于2016年建好房子，且建房补助（补助4万元、贷款6万元）已到位，房子位于贺派乡道班附近。同时，按照相关文件要求，您们一家均享受新农合补助政策（2017年政府代交每人180元，2018年政府代交每人220元）、家庭医生签约等相关政策。    综上所述，您家已按政策享受相关扶贫政策。    感谢您对我县脱贫攻坚工作的关心和支持，如对此答复意见不服，可在收到此答复意见之日起 30日内向上一级行政机关提出复查或走司法途径处理。,回复时间：2019-05-07 16:07
