标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
为何新农村建设的篮球场一直没有建好,已办理,文娱 咨询,罗***,2019-11-2215:49,书记您好，咨询一下为何凤尾镇大坝村委会大平掌新农村建设的篮球场篮球架为什么一直没有架好？,凤尾镇党委、政府,书记您好，咨询一下为何凤尾镇大坝村委会大平掌新农村建设的篮球场篮球架为什么一直没有架好？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	镇康县委书记
"
了解一下低保问题,已办理,三农 咨询,师***,2019-02-1321:10,尊敬的领导:我想问一下乌木村低保是每家每户每一年都有，还是1～3年轮到一次？ 反正我家是我记得以来就是一两年或两三年才有一次，希望领导给我一个满意的答复！！, 忙丙乡人民政府 ,尊敬的领导:我想问一下乌木村低保是每家每户每一年都有，还是1～3年轮到一次？ 反正我家是我记得以来就是一两年或两三年才有一次，希望领导给我一个满意的答复！！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	镇康县委书记
"
感谢乌木工作组慰问,已办理,政务 感谢,笔***,2019-02-1017:52,感谢忙丙乡乌木村主任以及工作组来我家慰问，虽然问题还在等待解决中，但深入民心，值的我们尊敬, 忙丙乡人民政府 ,感谢忙丙乡乌木村主任以及工作组来我家慰问，虽然问题还在等待解决中，但深入民心，值的我们尊敬,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	镇康县委书记
"
建党立卡户都互给了谁家,已办理,政务 投诉,笔***,2019-02-0915:50,尊敬的李书记，首先为镇康县建设，辛苦在一线的您表示崇高的致敬！我是个外省远嫁镇康忙丙乡乌木的一个妇女，公婆因为生儿育女多个，到小儿子（我老公）成家立业时，已是年老多病，家里房子分到我们也只有一个小房间，因为我前段婚姻有一个女儿，现又就读武汉中科院攻读硕士学位，所以我们夫妻两再怎么辛苦，也只能是承担的起一家人的生活学费与住院费，我们也想盖一间房子，为什么一直申请不到建党立卡户，我纳闷着谁家不是上有老下有小，谁家又缺胳膊少了腿，当我夫妻两在外地四十度高温下劳作时，建党立卡户们有的在赌桌上挥霍，有的喝酒在床上享受，为什么呢？是国家的补助养懒了他们,忙丙乡人民政府,尊敬的李书记，首先为镇康县建设，辛苦在一线的您表示崇高的致敬！我是个外省远嫁镇康忙丙乡乌木的一个妇女，公婆因为生儿育女多个，到小儿子（我老公）成家立业时，已是年老多病，家里房子分到我们也只有一个小房间，因为我前段婚姻有一个女儿，现又就读武汉中科院攻读硕士学位，所以我们夫妻两再怎么辛苦，也只能是承担的起一家人的生活学费与住院费，我们也想盖一间房子，为什么一直申请不到建党立卡户，我纳闷着谁家不是上有老下有小，谁家又缺胳膊少了腿，当我夫妻两在外地四十度高温下劳作时，建党立卡户们有的在赌桌上挥霍，有的喝酒在床上享受，为什么呢？是国家的补助养懒了他们,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	镇康县委书记
"
感觉我们村的扶贫项目有些不公,已办理,三农 咨询,l***,2019-01-2512:31,县委书记你好 我家是忙丙乡一个小村的 我们这里说是给水泥 沙子搞园场地板 人家有三吨水泥 我家就有两吨 其他村子还给沙  我们这里却没有  哎  如果有个大点的领导来我们村看看 转转就好了  那也看得出这些的情况 ,忙丙乡人民政府,县委书记你好 我家是忙丙乡一个小村的 我们这里说是给水泥 沙子搞园场地板 人家有三吨水泥 我家就有两吨 其他村子还给沙  我们这里却没有  哎  如果有个大点的领导来我们村看看 转转就好了  那也看得出这些的情况 ,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	镇康县委书记
"
住房补贴不一致,已办理,城建 求助,师***,2019-01-1608:04,为什么我们农村住房补贴不一样，有的补四万，，有的补3万，别的贷款可以贷6万，而且利息低，我们只能贷5万，还是高利息。还有贷款明明是用来盖房子，为什么叫我们说用来搞养殖等等，，，国家这样不是补助我们，而是让我们天天操心怎么还利息，怎么还账？？,忙丙乡人民政府,为什么我们农村住房补贴不一样，有的补四万，，有的补3万，别的贷款可以贷6万，而且利息低，我们只能贷5万，还是高利息。还有贷款明明是用来盖房子，为什么叫我们说用来搞养殖等等，，，国家这样不是补助我们，而是让我们天天操心怎么还利息，怎么还账？？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	镇康县委书记
"
村医也需要生活,已办理,医疗 求助,小***,2018-10-2508:24,尊敬的书记:          我是镇康县一名不起眼的小村医，今天想借这个平台说几句心里话。         近年来，国家越来越重视公共卫生，处于村医的位置，涉及最多的工作就是公共卫生，今天小考核，明天大考核是常有的事。在领导们的精心带领下，我县的公共卫生事业也取得了很大的进展。        然而，在公共卫生工作中，处于最基层的村医却有苦难言，平时工作任务重，不得老百姓的理解，这些就不用说了，最重要的是村医也是人，也需要生活，也需要养家糊口。         以前做公共卫生，为了更好的开展工作，每个季度都会有预拨资金，可是自2018年以来，预拨资金没有了，好吧，没有就没有，毕竟工作还没有做呢嘛。那就继续工作吧。然而，到现在已经是2018年的第四个季度了，可是村医却从第二季度开始一分钱都没有拿到过。两个季度半年的时间，一分钱都没有拨付过，这叫人如何生活？         我们天天都在做脱贫攻坚，可是我们连自己最起码的生活都没有办法保证了，又如何去喊脱贫？          说了这么多，言语有过激之处还请谅解。           最后，请求帮忙解决村医的工资问题，跪谢！,镇康县卫生和计划生育局,尊敬的书记:          我是镇康县一名不起眼的小村医，今天想借这个平台说几句心里话。         近年来，国家越来越重视公共卫生，处于村医的位置，涉及最多的工作就是公共卫生，今天小考核，明天大考核是常有的事。在领导们的精心带领下，我县的公共卫生事业也取得了很大的进展。        然而，在公共卫生工作中，处于最基层的村医却有苦难言，平时工作任务重，不得老百姓的理解，这些就不用说了，最重要的是村医也是人，也需要生活，也需要养家糊口。         以前做公共卫生，为了更好的开展工作，每个季度都会有预拨资金，可是自2018年以来，预拨资金没有了，好吧，没有就没有，毕竟工作还没有做呢嘛。那就继续工作吧。然而，到现在已经是2018年的第四个季度了，可是村医却从第二季度开始一分钱都没有拿到过。两个季度半年的时间，一分钱都没有拨付过，这叫人如何生活？         我们天天都在做脱贫攻坚，可是我们连自己最起码的生活都没有办法保证了，又如何去喊脱贫？          说了这么多，言语有过激之处还请谅解。           最后，请求帮忙解决村医的工资问题，跪谢！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	镇康县委书记
"
农村修路问题,已办理,三农 建言,坚***,2018-07-2810:48,书记，您好，我想请问下勐堆乡落水坝老寨子（当地称为普莽水井）还给不给修路啊，里面还有好多家人呢，一到雨季，出行都成问题，就别提过什么好日子啦！村里有人也给彭木山村委会的说过，他们给的回复是“路修好了，车就上不去”，天纳当村名傻吗？我反映的目的主要想让领导引起下重视，最好实地去考察一下，有说不对的请谅解！望能给老百姓修一条路。,镇康县交通运输局,书记，您好，我想请问下勐堆乡落水坝老寨子（当地称为普莽水井）还给不给修路啊，里面还有好多家人呢，一到雨季，出行都成问题，就别提过什么好日子啦！村里有人也给彭木山村委会的说过，他们给的回复是“路修好了，车就上不去”，天纳当村名傻吗？我反映的目的主要想让领导引起下重视，最好实地去考察一下，有说不对的请谅解！望能给老百姓修一条路。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	镇康县委书记
"
出租车司机,已办理,其他 求助,匿***,2018-01-3010:38,人家有专门针对网约车的管理办法，就可以说宣战非法网约车，我们呢？没有，所以不能说网约车违法，我我在感觉到了政府的不做为和慢作为……我们支持互联网+，同样我们更支持法制中国，依法治国、依法行政……。在没有规章制度的客运市场里坚持了两年，我在撑不下去了，你能来解救我们这些穷苦的出租车司机吗？,镇康县道路运输管理局,人家有专门针对网约车的管理办法，就可以说宣战非法网约车，我们呢？没有，所以不能说网约车违法，我我在感觉到了政府的不做为和慢作为……我们支持互联网+，同样我们更支持法制中国，依法治国、依法行政……。在没有规章制度的客运市场里坚持了两年，我在撑不下去了，你能来解救我们这些穷苦的出租车司机吗？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	镇康县委书记
"
