为何新农村建设的篮球场一直没有建好,已办理,文娱 咨询,罗***,2019-11-2215:49,书记您好，咨询一下为何凤尾镇大坝村委会大平掌新农村建设的篮球场篮球架为什么一直没有架好？,凤尾镇党委、政府,网民同志：您好！      您通过人民网《地方领导留言板》给镇康县委书记的留言已收悉，县委、县政府高度重视，已安排凤尾镇党委、政府进行了处理，现将有关情况回复如下：      关于你咨询的凤尾镇大坝村委会大平掌新农村建设的篮球场篮球架为什么一直没有架好的问题，经核查，为改善大平掌文娱活动设施，凤尾镇党委、政府多方筹措资金，建设了混泥土活动场地，但因无专项资金，暂未能安装篮球架。现在，凤尾镇党委、政府正在积极筹措资金，力争尽快解决该问题。      感谢您对凤尾镇文娱活动设施建设工作的支持与理解，祝您身体健康、生活愉快！,回复时间：2019-11-26 17:04
了解一下低保问题,已办理,三农 咨询,师***,2019-02-1321:10,尊敬的领导:我想问一下乌木村低保是每家每户每一年都有，还是1～3年轮到一次？ 反正我家是我记得以来就是一两年或两三年才有一次，希望领导给我一个满意的答复！！, 忙丙乡人民政府 ,"网民同志：您好！     您通过人民网《地方领导留言板》给镇康县委书记的留言收悉，县委、县政府高度重视，已安排忙丙乡党委政府进行了调查处理，现将有关情况回复如下：     您反映低保政策方面的情况。忙丙乡实施低保政策严格按照国家政策标准实施，贯彻应保尽保、公平公正原则，坚持实事求是，严格把握标准，通过全面核查，力求符合条件的一户不漏，不符合条件的全部退出保障范围，以切实规范我乡农村低保工作，更好的保障农村困难群众的基本权益。农村低保对象核查标准：无劳动能力、完全丧失劳动能力或生活自理能力的家庭（A类）；部分丧失劳动能力或生活自理能力的家庭和个人（B类）；因其他原因造成家庭困难的（C类）。具体政策咨询可致电忙丙乡社会事务办办公室, 联系人:刘文学18388838189。        感谢您对忙丙乡工作的支持与理解，祝您身体健康、生活愉快！",回复时间：2019-02-21 17:37
感谢乌木工作组慰问,已办理,政务 感谢,笔***,2019-02-1017:52,感谢忙丙乡乌木村主任以及工作组来我家慰问，虽然问题还在等待解决中，但深入民心，值的我们尊敬, 忙丙乡人民政府 ,网民同志：您好！     您通过人民网《地方领导留言板》给镇康县委书记的留言收悉，感谢您对忙丙乡工作的支持与理解，祝您身体健康、生活愉快！   ,回复时间：2019-02-21 17:38
建党立卡户都互给了谁家,已办理,政务 投诉,笔***,2019-02-0915:50,尊敬的李书记，首先为镇康县建设，辛苦在一线的您表示崇高的致敬！我是个外省远嫁镇康忙丙乡乌木的一个妇女，公婆因为生儿育女多个，到小儿子（我老公）成家立业时，已是年老多病，家里房子分到我们也只有一个小房间，因为我前段婚姻有一个女儿，现又就读武汉中科院攻读硕士学位，所以我们夫妻两再怎么辛苦，也只能是承担的起一家人的生活学费与住院费，我们也想盖一间房子，为什么一直申请不到建党立卡户，我纳闷着谁家不是上有老下有小，谁家又缺胳膊少了腿，当我夫妻两在外地四十度高温下劳作时，建党立卡户们有的在赌桌上挥霍，有的喝酒在床上享受，为什么呢？是国家的补助养懒了他们,忙丙乡人民政府,"网民同志：您好！     您通过人民网《地方领导留言板》给镇康县委书记的留言收悉，县委、县政府高度重视，已安排忙丙乡党委政府进行了调查处理，现将有关情况回复如下：    一、您反映建档立卡户纳入政策方面的情况。忙丙乡开展脱贫攻坚工作以来，一直按照国家政策标准进行建档立卡户的纳入与退出管理，严格执行国家标准识别方法：以农户收入为基本依据，综合考虑住房、教育、健康等情况，通过农户申请、民主评议、公示公告和逐级审核的方式和流程进行整户识别。具体政策咨询可致电忙丙乡脱贫攻坚指挥部办公室, 联系人:杨锋：15769955969，俸智军：15887980225。    二、您反映关于建档立卡户赌博、喝酒问题的情况。忙丙乡积极开展“打击农村赌博”等一系列专项行动，针对赌博违法犯罪行为一直严厉打击，并实行举报制度，若发现违法赌博犯罪行为可以拨打忙丙派出所举报电话进行举报，举报电话：6810169；建档立卡户饮酒的情况我乡高度重视，一直以来工作队也强烈要求建档立卡户不能饮酒，饮酒问题也得到了有效改善。下一步我们将继续监督饮酒问题和禁止赌博情况的发生。    感谢您对忙丙乡工作的支持与理解，祝您身体健康、生活愉快！          ",回复时间：2019-02-21 17:39
感觉我们村的扶贫项目有些不公,已办理,三农 咨询,l***,2019-01-2512:31,县委书记你好 我家是忙丙乡一个小村的 我们这里说是给水泥 沙子搞园场地板 人家有三吨水泥 我家就有两吨 其他村子还给沙  我们这里却没有  哎  如果有个大点的领导来我们村看看 转转就好了  那也看得出这些的情况 ,忙丙乡人民政府,网民同志：您好！      您通过人民网《地方领导留言板》给镇康县委书记的留言收悉，县委、县政府高度重视，已安排忙丙乡党委政府进行了调查处理，现将有关情况回复如下：     您反映补助的水泥、沙子不公平方面的情况。经核实，忙丙乡辖区内没有统一的政府补助水泥、沙子政策，农户得到的水泥、沙子补助是本村工作队员私人出资购买的物资，并按照农户所需量的大小给予赞助。工作中导致群众产生误解并带来不便请给予谅解。     感谢您对忙丙乡工作的支持与理解，祝您身体健康、生活愉快！,回复时间：2019-02-21 17:40
住房补贴不一致,已办理,城建 求助,师***,2019-01-1608:04,为什么我们农村住房补贴不一样，有的补四万，，有的补3万，别的贷款可以贷6万，而且利息低，我们只能贷5万，还是高利息。还有贷款明明是用来盖房子，为什么叫我们说用来搞养殖等等，，，国家这样不是补助我们，而是让我们天天操心怎么还利息，怎么还账？？,忙丙乡人民政府,"网民同志：您好！     您通过人民网《地方领导留言板》给镇康县委书记的留言收悉，县委、县政府高度重视，忙丙乡党委政府及时进行了调查处理，现将有关情况回复如下：     一、您反映农村危房改造补助政策方面的情况。①不同的年份危房改造的补助标准不一样；②补助标准是按危房的现状结构和农户情况确定，我县共9类补助标准，其中：四类对象5种，非四类对象4种。联系人：唐传华15012000883。     二、您反映危房改造贷款贴息方面的情况。农户需要自行填写《镇康县农村危房改造和抗震安居工程专项贷款申请审批表》，并上报村委会、乡（镇）扶贫部门、乡（镇）财政所审核盖章，交由农村信用社最后审批合格后，帮助协调相应的贴息政策。如农户未填写该审批表直接到银行办理的贷款，银行将纳入常规利率结算。     三、您反映危房改造的利弊方面的情况。忙丙乡严格落实国家惠民政策，农村危房改造有效地改善了农村贫困农户居住条件。通过实施农村危房改造工作,农村居民住上了安全、实用的房子,实现农民群众祖祖辈辈的安居梦想。不仅可以有效拓展老百姓的就业渠道、带动群众致富,对巩固边疆稳定方面也具有重大意义。     感谢您对忙丙乡工作的支持与理解，祝您身体健康、生活愉快！ ",回复时间：2019-01-31 17:09
村医也需要生活,已办理,医疗 求助,小***,2018-10-2508:24,尊敬的书记:          我是镇康县一名不起眼的小村医，今天想借这个平台说几句心里话。         近年来，国家越来越重视公共卫生，处于村医的位置，涉及最多的工作就是公共卫生，今天小考核，明天大考核是常有的事。在领导们的精心带领下，我县的公共卫生事业也取得了很大的进展。        然而，在公共卫生工作中，处于最基层的村医却有苦难言，平时工作任务重，不得老百姓的理解，这些就不用说了，最重要的是村医也是人，也需要生活，也需要养家糊口。         以前做公共卫生，为了更好的开展工作，每个季度都会有预拨资金，可是自2018年以来，预拨资金没有了，好吧，没有就没有，毕竟工作还没有做呢嘛。那就继续工作吧。然而，到现在已经是2018年的第四个季度了，可是村医却从第二季度开始一分钱都没有拿到过。两个季度半年的时间，一分钱都没有拨付过，这叫人如何生活？         我们天天都在做脱贫攻坚，可是我们连自己最起码的生活都没有办法保证了，又如何去喊脱贫？          说了这么多，言语有过激之处还请谅解。           最后，请求帮忙解决村医的工资问题，跪谢！,镇康县卫生和计划生育局,网名同志：      您好！您通过人民网《地方领导留言板》给县委书记的留言收悉，镇康县卫生和计划生育局高度重视，认真研阅了您所反映的问题，现回复如下：      一、2018年各项资金拨付情况     1.2018年7月9日，根据第一季度基本公共卫生服务项目考核情况，已向各乡镇卫生院拨付2018年第一季度结算资金。     2.2018年7月18日，已向各乡镇卫生院拨付2018年1至5月乡村医生省级财政定额补助，每人每月200元。     3.2018年8月3日，已向乡镇卫生院拨付2018年1至6月乡村医生县级财政定额补助，每人每月300元。     4.2018年8月16日，向乡镇卫生院拨付2018年7至8月乡村医生县级财政定额补助，每人每月300元。     5.2018年10月26日，根据第二季度基本公共卫生服务项目考核情况，向各乡镇卫生院拨付2018年第二季度结算资金。     二、问题解释     根据《云南省基本公共卫生服务项目补助资金管理与核算办法》（云财社〔2018〕26号）要求，基本公共卫生服务项目补助资金按照“先预拨、后考核、再结算”的办法管理。去年以来，由于脱贫攻坚、义务教育迎国检、政策性工资调整等支出增加，县级财政遇到前所未有困难，致使2018年基本公共卫生服务项目补助资金无法按时拨付。      岁末年初，我们理解广大乡村医生的困难，县卫生和计划生育局、县财政局将加强配合，积极争取，千方百计筹集资金，力争乡村医生补助足额兑现。望您给予理解和支持，祝您工作顺利!,回复时间：2018-11-07 17:01
农村修路问题,已办理,三农 建言,坚***,2018-07-2810:48,书记，您好，我想请问下勐堆乡落水坝老寨子（当地称为普莽水井）还给不给修路啊，里面还有好多家人呢，一到雨季，出行都成问题，就别提过什么好日子啦！村里有人也给彭木山村委会的说过，他们给的回复是“路修好了，车就上不去”，天纳当村名傻吗？我反映的目的主要想让领导引起下重视，最好实地去考察一下，有说不对的请谅解！望能给老百姓修一条路。,镇康县交通运输局,网名同志：         您好！您通过人民网《地方领导留言板》给镇康县委书记的留言收悉，镇康县交通运输局高度重视，现将有关情况回复如下：         县交通运输局安排分管领导和专技人员到勐堆乡落水坝老寨子（当地称为普莽水井）查看了道路实际状况，当前通往落水坝自然村的主干路已贯通水泥混凝土路面，且路面比较宽敞，大多数群众的出行难问题已基本解决。您所述的道路总长约2公里，沿路居住的农户较散，公路早些年铺筑过弹石路面，因管护工作滞后，加之雨水冲刷严重，致使路面坑塘大，崎岖不平。        该项目已列入县级建立的村组公路建设项目库，库内里程为1.767公里，由于近几年村组道路建设主要以建档立卡贫困村为主，该项目今年暂没有建设计划，鉴于该道路的建设不但可以解决群众出行难问题，也有利于产业发展和农产品运输，建设有必要性，经与勐堆乡人民政府对接，根据县、乡两级的统筹部署，县交通运输局将积极向上争取项目，上级下达项目建设计划后，县交通运输局将尽快组织实施该项目。        感谢您对镇康县交通运输工作的支持与理解。祝您身体健康、生活愉快！,回复时间：2018-08-14 15:44
出租车司机,已办理,其他 求助,匿***,2018-01-3010:38,人家有专门针对网约车的管理办法，就可以说宣战非法网约车，我们呢？没有，所以不能说网约车违法，我我在感觉到了政府的不做为和慢作为……我们支持互联网+，同样我们更支持法制中国，依法治国、依法行政……。在没有规章制度的客运市场里坚持了两年，我在撑不下去了，你能来解救我们这些穷苦的出租车司机吗？,镇康县道路运输管理局,网名同志：         您好！您通过人民网《地方领导留言板》给镇康县委书记的留言收悉，镇康县道路运输管理局高度重视，现将有关情况回复如下：         一、网约车是网络预约出租汽车的简称。在构建多样化服务体系方面，将出租车分为巡游出租汽车和网络预约出租汽车。网约车提供的是非巡游的预约出租汽车服务。目前临沧市网约车管理实施细则已经临沧市交通运输局拟定，正报请临沧市人民政府审定中，有望年内出台。待具体《细则》出台后，我们将进一步规范镇康县网约车的经营行为。        二、镇康县巡游出租汽车的经营范围为镇康县人民政府划定的镇康县城市区域范围，未经允许，不得擅自包车外出。        三、目前网约车、顺风车及拼车行为在全省、乃至全国普遍存在。2017年，镇康运管局联合多部门已两次约谈了非法从事网约车平台经营的“口袋南伞”，责令要求暂时关闭该平台的打车功能，目前该平台网络打（约）车板块已下线。       四、客运、出租、网约车市场监管的依据有《中华人民共和国道路运输条例》《巡游出租汽车经营服务管理规定》《网络预约出租汽车经营服务管理暂行办法》等法律法规及其它上级规范性文件，不存在客运经营“无规可依”的情况。今后我们将采取更积极有效的手段和措施，全力打击非法营运及非法约车、拼车、合乘等违法经营行为，确保经营者合法权益得到有效保障。       感谢您对镇康县道路运输管理工作的支持与理解。祝您身体健康、生活愉快！,回复时间：2018-02-15 09:07
建房补贴询问,已办理,其他 咨询,是***,2017-06-0613:14,尊敬的领导，您好！        我是流水乡董家寨村民，非常冒昧的打扰您。我想询问一下现在建房补贴是什么情况。和我家一起盖的听说已经给了，不知道我家是否在名单以内。我家是去年跟随政策建的房。        期待您的回复！谢谢,勐捧镇人民政府,网民同志：您好！    您通过人民网地方留言板给李书记的留言我们已收悉，现针对您所反映的建房补助问题回复如下：    勐捧镇人民政府高度重视您所反映的问题，于2017年6月12日成立工作组，深入勐捧镇流水村董家寨你户家中，与您户进行座谈，并答复：您户不属于建档立卡户，您户已被纳入2016年农村旧房改造项目，补助资金为4万元，由于补助资金未到位，勐捧镇人民政府将在近期兑付1万元，剩余的3万元待县级拨款后将及时兑付。您本人对此答复表示满意。    感谢您对农业农村工作的关心与支持，祝您身体健康，生活愉快！,回复时间：2017-06-13 15:50
