标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
泸沽湖藏药价格高出市场价，销售没提前告知澄清,待回复,旅游 感谢,5***,2019-11-3010:48,感谢丽江政府领导的高度重视，昨天中午收到商家，售后服务信息，自己没有弄清楚，可以无条件退换货物，现在已经和商家取得联系，再没有寄货回去的情况下，已经收到全额退款，此事已经圆满处理结束，今后不会再对商家，旅行社，导游，进行任何投诉，感谢丽江政府的处理事情的效率，衷心祝愿泸沽湖旅游业越来越好。,,,
在泸沽湖买的银器超出市场价很多,待回复,旅游 求助,5***,2019-11-2918:01,书记您好……2019年11月28日，我们在泸沽湖摩挲走婚村寨买了银腰带，银碗，银梳子总计12622元，回来发现超出市场价很多，并发现不一定是手工制作，希望领导帮忙核实，帮我们退货,,,
泸沽湖藏药高出市场价格，销售人员不提前说价格,待回复,旅游 求助,5***,2019-11-2916:49,书记您好，2019年11月28日，我们参加了泸沽湖两日游，在中午时，到了一家土特产店，在所谓的藏医看过后，开了一张药方，在销售人员讲解的过程中，没通知我们药价的情况下将药物全部破壁，最后总价核算14000元，并告知我们破壁后的不能卖给别人，我们被强买强卖了，回来后，查到药价高出市场的很多倍……我们希望书记可以帮我们维权，退回这些被强买强卖的药，希望领导核实后情况帮助我们！来丽江旅游是希望观看地方的风土人情，希望领导可以帮助我们,,,
香丽高速土官村隧道举报,待回复,交通 求助,a***,2019-11-2617:09,崔书记您好，我上次举报的土官村隧道有严重的质量问题，后来他们项目部就天天打电话给我，叫我写份声明，我没答应，后来他们就当我面自己写了份还签了我的名字按了手印，在这些天他们天天打电话给我说给我钱叫我别闹了他们都搞好了，我打电话给我的工友，他们说老板拿钱给他们了叫他们说我是乱说的，他们打电话给解决这件事情我都有录音的，我所说的都是真的我也负责，我也可以带你们去看，为了以后老百姓的安全希望您严厉查处这些不良商人,,,
关于永胜县期纳客运站售票员推诿扯皮的投诉,待回复,交通 投诉,杨***,2019-11-2617:08,本人于11月21日在永胜县期纳客运站买了张12点过去大理的两人车票，从11点过在车站内一直等到12点半左右都不见车来，一问值班的售票员说早上售票的那人没通知师傅，师傅也没看自己的客运人数表，直接开走了。好，我说没问题，调到下一班就是了。可是，他说叫我自己解决，票也不是她卖的，还给了我师傅的号码 1357834xxxx，我也打了，师傅却说叫我找车站人员，那位21日下午值班的女士说不关他的事，反正票不是她卖的。,,,
丽江建筑工地长期施工扰民。,待回复,环保 投诉,匿***,2019-11-2514:10,尊敬的丽江市委书记：今晚又是一个不眠之夜，原因很简单建筑工地夜间施工扰民！市中心的古城区丽月湖西区夜间及早间违规施工扰民的举报，感觉已经不知道多少次了。该工地从开工至今投诉不断，究其缘由：夜间一直违规施工不断，塔吊灯光扰民终年不断，夜间敲敲打打声，夜间挖机声更是没少过，对此投诉多次，确始终无果。拨打110出警了，民警回复的确没有执法权，只能协调。12306晚上10次难得打通一次，好不容易通了，却说得等明天，自己只是电话值班的，只负责登记，不负责处理！待到过后，答复都是没有收集到现场违法证据，无法处理！,,,
玉龙雪山司机夸大其词忽悠旅客高价多量购买氧气,待回复,旅游 投诉,福***,2019-11-1810:53,11月13日父母参加玉龙雪山纯玩团。司机反复强调赠送的小瓶氧气瓶不够用，故意夸大氧气瓶作用，制造恐慌气氛。一再强调我父母共4瓶大氧气瓶。忽悠旅客在领防寒服的地方高价多量购买氧气瓶。最后，我父母用两瓶小氧气瓶+200元，换购成4瓶大氧气瓶。游玩之后，两任共用一瓶多点氧气。旅游业是丽江的亮丽名片和金字招牌。黑心司机的不良行为，严重破坏了游客对丽江的美好印象。恳请有关部门能够严肃处理。谢谢,,,
香格里拉购买藏药一事得到解决,已办理,旅游 感谢,洪***,2019-11-1315:09,崔书记您好，感谢您百忙之中抽出时间处理我的留言，感谢丽江旅游局的同志雷厉风行的为我解决问题，也感谢香格里拉旅游局的同志们为此事奔走忙碌。此前购买的藏药已悉数退货退款，由于导游在中间积极协调，事情得到更快的进展，药材店方面在第一时间就办理了退款，前后时间不到一个小时。再次为崔书记和旅游局的同志们点赞，有这样的一群好同志，丽江的旅游发展一定会游客如流，蒸蒸日上。,丽江市书记市长信箱,崔书记您好，感谢您百忙之中抽出时间处理我的留言，感谢丽江旅游局的同志雷厉风行的为我解决问题，也感谢香格里拉旅游局的同志们为此事奔走忙碌。此前购买的藏药已悉数退货退款，由于导游在中间积极协调，事情得到更快的进展，药材店方面在第一时间就办理了退款，前后时间不到一个小时。再次为崔书记和旅游局的同志们点赞，有这样的一群好同志，丽江的旅游发展一定会游客如流，蒸蒸日上。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市委书记崔茂虎
"
买黄龙玉价格虚高要求退货,已办理,旅游 感谢,y***,2019-11-1217:29,商家于11月12号联系我了，同意退款，我也是不知道直接找售后就可以退款，店家处理迅速，态度也很好，已经收到退款，谢谢丽江市委崔书记，谢谢丽江市旅游局，丽江会越来越好的,丽江市书记市长信箱,商家于11月12号联系我了，同意退款，我也是不知道直接找售后就可以退款，店家处理迅速，态度也很好，已经收到退款，谢谢丽江市委崔书记，谢谢丽江市旅游局，丽江会越来越好的,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市委书记崔茂虎
"
束河古镇够买的黄龙玉价格虚高希望退货,待回复,旅游 咨询,y***,2019-11-1210:47,我于11月10在丽江束河古镇游玩，导游在车上一直说丽江的扶贫工作跟旅游挂钩，要我们为丽江做贡献，所以叫我们一定一定要去买黄龙玉，带我们到束河古镇的天下贡银店我买了一个黄龙玉镯子，花了5200，今天给朋友看过后说这镯子价格高太多，我希望崔书记可以帮我处理一下，也希望丽江旅游业越来越好越来越规范化，谢谢,,,
