标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
希望领导得到重视康美业主维权,待回复,城建 投诉,W***,2019-11-1413:46,我是康美的业主，从今年一月，后买的房子，到现在交不了房，康美之前承诺我们说是7月交房，好我等着，后来问又说十一肯定交房，后来又说过了年，但现在交不了房，钱也不退给我们，一问就没钱，没钱能行吗，那我们的钱呢，我们的钱不是钱吗，我们到现在住不进去，说法不给我们，你说房子给我们我们什么都不说，房子给不了钱退我们行吧，利息不要了，现在钱也不退我们，那我想问下见个面解释下行吧，忙，忙忙，就你康美的人忙,,,
路边占道车位随意收费,待回复,交通 投诉,楊***,2019-10-3108:25,10月29日下午13:40左右我将车停在吉祥路下段路边停车位，去旁边凡非凡参加了个培训(14点-17点)，17点培训结束后去开车像平常一样取下雨刮上的收费单扫码支付，跳出来的金额却是15块，(因为每次来培训不是8块就是9块)，一看停车单驶入时间是12:22多了一个小时二十分钟左右多收了我6块钱，6块什么也干不了，钱我付了，就是没这道理，这么随意吗，所有丽江路边占道车位收费都这么随意吗？请问领导？,,,
丽江金茂凯悦酒店退钱事宜已经解决,已办理,旅游 感谢,游***,2019-10-2914:42,在丽江凯悦酒店发生了一些小矛盾，在工商局各位领导和酒店方积极配合的情况下，事情得以解决。工商局公正严明，酒店方也积极配合，事情得以解决，所向丽江执政表示感谢，向酒店也表示感谢。,丽江市书记市长信箱,在丽江凯悦酒店发生了一些小矛盾，在工商局各位领导和酒店方积极配合的情况下，事情得以解决。工商局公正严明，酒店方也积极配合，事情得以解决，所向丽江执政表示感谢，向酒店也表示感谢。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市市长郑艺
"
乡镇超市到处都是抓烟赌博机，咋就没人管！,待回复,金融 建言,K***,2019-10-2719:35,农村乡镇超市里到处都是抓烟赌博机，经常看到一群学生去玩，学生把夹来的香烟换成钱或者自己抽着玩，可见危害性有多大？我想问城市摆放这种机器违法吗？希望领导关注一下！希望有关部门扫除这种危害社会的行为！备注：各乡镇超市都有这种游戏机，并且特别容易让人上瘾，因为夹来的香烟价格不等可以换成现金继续操作。,,,
丽江金茂凯悦酒店付了钱不让客人入住，贪客人钱,待回复,旅游 投诉,小***,2019-10-1717:14,我在丽江金茂凯悦酒店为朋友预定了一间1300多人民币的客房，朋友很晚到店酒店不让其办入住也不退钱给我们，我们找到当地质监局各个部门均投诉无门，置之不理，酒店横行霸道，预定的客房没有入住成功也不退款给消费者，还请各位领导评评理，管管此事。我们有各种证据和举报材料，谢谢。,,,
丽江政府没有放弃我们,已办理,旅游 感谢,W***,2019-10-1713:42,首先在这里我要对自己的盲目投资承认错误，也劝一下想来丽江投资的同仁，不管你投资什么项目必须去相关部门咨询一下。再次感谢丽江市政府和古城管理局的各位领导，解决了我的问题，特别是古城管理局的领导对我的耐心解说，也算给我这个盲目投资者上了一课真的受益匪浅，再次感谢各位领导我对办理的结果表示非常满意，非常感谢。再次提醒各位像我这样盲目投资的人，千万记住有事找政府准没错。,丽江古城保护管理局,首先在这里我要对自己的盲目投资承认错误，也劝一下想来丽江投资的同仁，不管你投资什么项目必须去相关部门咨询一下。再次感谢丽江市政府和古城管理局的各位领导，解决了我的问题，特别是古城管理局的领导对我的耐心解说，也算给我这个盲目投资者上了一课真的受益匪浅，再次感谢各位领导我对办理的结果表示非常满意，非常感谢。再次提醒各位像我这样盲目投资的人，千万记住有事找政府准没错。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市市长郑艺
"
投资餐饮办证难,已办理,旅游 求助,W***,2019-10-1614:25,辛辛苦苦筹点钱携家带口来丽江投资开个小吃店，2019年7月28日本人以75000元每年的房租在丽江古城区文明巷251号租了店铺并签了5年合同，8月9号去古管委登记办理营业执照，当时也受理了，并告知可正常营业，（于是我马上借钱来买设备，搞装修到目前为止前前后后以150000投进去了，）到8月19号去古管委拿证时工作人员告诉我营业执照是办下来了，可是准入证办不了，营业执照也不给我，要我当场强制注销。希望有关领导帮帮我们这些外地人。,丽江古城保护管理局,辛辛苦苦筹点钱携家带口来丽江投资开个小吃店，2019年7月28日本人以75000元每年的房租在丽江古城区文明巷251号租了店铺并签了5年合同，8月9号去古管委登记办理营业执照，当时也受理了，并告知可正常营业，（于是我马上借钱来买设备，搞装修到目前为止前前后后以150000投进去了，）到8月19号去古管委拿证时工作人员告诉我营业执照是办下来了，可是准入证办不了，营业执照也不给我，要我当场强制注销。希望有关领导帮帮我们这些外地人。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市市长郑艺
"
瑞沁坊直播间商品以次充好欺骗,已办理,旅游 投诉,l***,2019-09-2916:38,尊敬的领导您好：我于8.29日在瑞沁坊直播间买了两块翡翠原石共2600元，主播描述一块是帝王绿色很正，一块是戒面级的蓝冰（有视频），依据主播建议同意开窗，收到货后品质于直播介绍根本不符，品质极差并涉嫌造假，要求商家退款。商家用抓偷渡等噱头，以次充好，忽悠欺骗消费者上当。请领导和相关部门给予处理，给消费者一个良好诚信的购物环境，谢谢！商品一块是外观明显种嫩、大裂纹根本没有购买价值，一块开口造假，开窗时皮子的硬度商家 应心知肚明，明知没有价值还加以夸大描述推给消费者，在忽悠开窗扒皮，造成不能退货的假象。,丽江市市场监督管理局,尊敬的领导您好：我于8.29日在瑞沁坊直播间买了两块翡翠原石共2600元，主播描述一块是帝王绿色很正，一块是戒面级的蓝冰（有视频），依据主播建议同意开窗，收到货后品质于直播介绍根本不符，品质极差并涉嫌造假，要求商家退款。商家用抓偷渡等噱头，以次充好，忽悠欺骗消费者上当。请领导和相关部门给予处理，给消费者一个良好诚信的购物环境，谢谢！商品一块是外观明显种嫩、大裂纹根本没有购买价值，一块开口造假，开窗时皮子的硬度商家 应心知肚明，明知没有价值还加以夸大描述推给消费者，在忽悠开窗扒皮，造成不能退货的假象。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市市长郑艺
"
求助调取离婚证档案,已办理,政务 求助,y***,2019-09-0520:34,郑市长您好，明知您很忙，但我无奈还是要向您求助。         我女性，1954年1月19日出生于原丽江县巨甸公社拉市坝2队。现年65岁，于1977年2月18日在巨甸公社与保山市隆阳区金鸡乡黄毛村委会山洼**组王**领了结婚证。       婚后育有两个女儿，本来就是包办婚姻，夫妻感情就是免强凑合。在大女儿出嫁，小女儿18岁那年，丈夫王**被人突如其来惊吓后，患了精神恍惚症，患病后经常打骂我，致我受到伤害，还扬言要杀我。      我被吓于2001年5月离家逃命。流落江苏宿迁十几年，现我决定起诉离婚。但起诉离婚需要结婚证，我离家逃命时没有找到结婚证带出。        所以我在此板块给您留言求助，求您帮我联系巨甸镇政府，帮我调取我当年的结婚证档案。便于我起诉离婚急用。在此我诚恳的感谢您和巨甸镇政府领导对我的帮助！谢谢！谢谢！       说明:我不识字，是请人帮忙给您留言的       ,玉龙县巨甸镇,郑市长您好，明知您很忙，但我无奈还是要向您求助。         我女性，1954年1月19日出生于原丽江县巨甸公社拉市坝2队。现年65岁，于1977年2月18日在巨甸公社与保山市隆阳区金鸡乡黄毛村委会山洼**组王**领了结婚证。       婚后育有两个女儿，本来就是包办婚姻，夫妻感情就是免强凑合。在大女儿出嫁，小女儿18岁那年，丈夫王**被人突如其来惊吓后，患了精神恍惚症，患病后经常打骂我，致我受到伤害，还扬言要杀我。      我被吓于2001年5月离家逃命。流落江苏宿迁十几年，现我决定起诉离婚。但起诉离婚需要结婚证，我离家逃命时没有找到结婚证带出。        所以我在此板块给您留言求助，求您帮我联系巨甸镇政府，帮我调取我当年的结婚证档案。便于我起诉离婚急用。在此我诚恳的感谢您和巨甸镇政府领导对我的帮助！谢谢！谢谢！       说明:我不识字，是请人帮忙给您留言的       ,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市市长郑艺
"
感谢市里领导处理藏药退款的问题,已办理,旅游 感谢,语***,2019-09-0319:45,关于藏药骗局，坑害老百姓的问题。商家已主动联系我退款，感谢市里领导和旅游局领导的关心和帮助，谢谢您们！,丽江市书记市长信箱,关于藏药骗局，坑害老百姓的问题。商家已主动联系我退款，感谢市里领导和旅游局领导的关心和帮助，谢谢您们！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市市长郑艺
"
藏药骗局，坑害老百姓,已办理,旅游 投诉,语***,2019-09-0315:31,在7月4日，我们跟着团来到泸沽湖土特产经销店，一开始在导游讲了藏药的神奇和对藏民淳朴的信任，我买了4000元的藏药，药回来和网上，外面市场价钱差的不止是一点点，这么小的东西就有这么大的差价，可想而知我这4000元的药掺了多少水份，后头想想也是可怕，还有看到了很多藏药的骗局，喝上很多副作用，更是害怕喝坏身体，简直欺骗消费者。希望可以通过政府维权，维护我的合法权益。,丽江市书记市长信箱,在7月4日，我们跟着团来到泸沽湖土特产经销店，一开始在导游讲了藏药的神奇和对藏民淳朴的信任，我买了4000元的藏药，药回来和网上，外面市场价钱差的不止是一点点，这么小的东西就有这么大的差价，可想而知我这4000元的药掺了多少水份，后头想想也是可怕，还有看到了很多藏药的骗局，喝上很多副作用，更是害怕喝坏身体，简直欺骗消费者。希望可以通过政府维权，维护我的合法权益。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市市长郑艺
"
请问这类电动助力自行车需要上牌吗？,已办理,交通 咨询,R***,2019-09-0116:14,刚来到丽江工作，为了工作方便所以想买辆代步车，但是听说这边电动车要上牌，加上这边卖的都是电动摩托车太大了，不方便，所以在网上看到这种类型的车，想咨询下这种跟自行车无多大差异的车需不需要上牌,丽江市公安局交警支队,刚来到丽江工作，为了工作方便所以想买辆代步车，但是听说这边电动车要上牌，加上这边卖的都是电动摩托车太大了，不方便，所以在网上看到这种类型的车，想咨询下这种跟自行车无多大差异的车需不需要上牌,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市市长郑艺
"
