标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
关于没有稳定工作挣不到钱，吃饭问题和房租问题,待回复,城建 求助,吴***,2019-10-2421:01,尊敬的县委书记您好！自从2019年取消低保以后，日子过得越来越难。廉租房价格变成了公租房价格，平时挣的钱别说改善生活，就是房租都无力承受。国家提出的脱贫攻坚，要两不愁，三保障，可现在真的是愁吃、愁住。房租一年5040元，我父母已故，现在独自带14孩子，因为身体原因挣不了多少钱，希望领导体察民情，看能不能就就业问题，房租问题，有相关的解决办法，挣不到钱，就解决不了吃饭，房租问题，现在真的太难了。,,,
定华公司拖欠农民工，工资何时有结果,待回复,就业 投诉,2***,2019-09-3013:41,定华公司2015年就拖欠的工资为什么4年多了还没有一个切确的结果，还望领导给于关注解决一下！,,,
华坪县医院助理全科医生规培考试存在疑问❓,已办理,医疗 投诉,阿***,2019-08-0216:08,我是今年临床医学专业毕业生，前面华坪县人民医院公布了一份文件说今年招10个社会人参加助理全科医生考试，我去报考了，笔试面试都过了，成绩已公布打电话说进入体检，然后我就一直等着体检，今天突然的打电话跟我说只要四个人了，这是怎么回事，之前的文件又是怎么回事，我们为了这个考试推掉了其他地州县考试，现在是这样的结果，我想问到底是怎么回事？,华坪县委书记,我是今年临床医学专业毕业生，前面华坪县人民医院公布了一份文件说今年招10个社会人参加助理全科医生考试，我去报考了，笔试面试都过了，成绩已公布打电话说进入体检，然后我就一直等着体检，今天突然的打电话跟我说只要四个人了，这是怎么回事，之前的文件又是怎么回事，我们为了这个考试推掉了其他地州县考试，现在是这样的结果，我想问到底是怎么回事？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	华坪县委书记
"
定华公司拖欠农民工四年工资何时才能要来血汗钱,已办理,企业 投诉,2***,2019-06-0608:42,"领导你好，我2015年在定华公司煤矿上班到现在4年了公司拖欠我们的工资至今没有发给我，期间我也多次找过公司领导，和监管部门都以公司困难没钱和正在协调等原因没有拿到一分血汗钱，我想作为领导,定华公司拖欠工资一事你们一定会给我们这些农民工一个满意的答复，在这里谢谢领导了！",华坪县委书记,"领导你好，我2015年在定华公司煤矿上班到现在4年了公司拖欠我们的工资至今没有发给我，期间我也多次找过公司领导，和监管部门都以公司困难没钱和正在协调等原因没有拿到一分血汗钱，我想作为领导,定华公司拖欠工资一事你们一定会给我们这些农民工一个满意的答复，在这里谢谢领导了！","
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	华坪县委书记
"
包工头欺骗农民工7年工程款不发！,已办理,城建 求助,冯***,2019-01-2313:02,致敬的领导，七年是什么概念，可能是您的孩子从青涩拘谨到结婚成家，您的事业从初入茅庐到飞黄腾达。但是对于我们一家，是从幸福美满到妻离子散，从平稳安定到家徒四壁。这一切，都是涂正明一手造成的！2012年完工的一级路的防滑坡的国家工程，华平到荣将3段工程项目，是涂正明包给我父亲的，我父亲在丽江华平县当了十几年小包工头，他看准了我父亲是个老实人，就想把工程款据为己有，我父亲一次又一次上门讨要，却都被涂正明以各种理由拒绝了，我父亲没有办法，变卖家产，补上了部分农民工钱，却还是有40万左右的材料款和13万左右的农民工个工资没有能力付给他们。经过可靠消息，那笔工程款早已到了他的手上，为了讨个说法，我们用了一切办法，去法院起诉却请不起律师，生活只能靠低保。因为天天念叨这笔钱，父亲的精神已经有点不好了。我也经常一想到就睡不着！七年过去了，我们被这笔钱逼得走投无路的时候，想象不出涂正明正在拿着这笔钱怎样肆无忌惮的享乐。他就是吃准了我们的现状，钻了法律的漏洞，用尽心计坑害我们，像一只狡猾的泥鳅一样偷奸耍滑，只为了让我们承担这笔巨款，他却可以坐享其成。涂正明就像一个榨取工人的吸血鬼，他出门开的豪车，身上穿的每一寸丝线，吃的每一顿奢华菜肴，都是我父亲身上的血啊！是我父亲用自己的大半生命换来的啊！还请华平政委能深入调查此事，在这个新时代的法治社会，坚决不能让有罪之人逍遥法外，还我父亲和所有民工一个公道。,华坪县委书记,致敬的领导，七年是什么概念，可能是您的孩子从青涩拘谨到结婚成家，您的事业从初入茅庐到飞黄腾达。但是对于我们一家，是从幸福美满到妻离子散，从平稳安定到家徒四壁。这一切，都是涂正明一手造成的！2012年完工的一级路的防滑坡的国家工程，华平到荣将3段工程项目，是涂正明包给我父亲的，我父亲在丽江华平县当了十几年小包工头，他看准了我父亲是个老实人，就想把工程款据为己有，我父亲一次又一次上门讨要，却都被涂正明以各种理由拒绝了，我父亲没有办法，变卖家产，补上了部分农民工钱，却还是有40万左右的材料款和13万左右的农民工个工资没有能力付给他们。经过可靠消息，那笔工程款早已到了他的手上，为了讨个说法，我们用了一切办法，去法院起诉却请不起律师，生活只能靠低保。因为天天念叨这笔钱，父亲的精神已经有点不好了。我也经常一想到就睡不着！七年过去了，我们被这笔钱逼得走投无路的时候，想象不出涂正明正在拿着这笔钱怎样肆无忌惮的享乐。他就是吃准了我们的现状，钻了法律的漏洞，用尽心计坑害我们，像一只狡猾的泥鳅一样偷奸耍滑，只为了让我们承担这笔巨款，他却可以坐享其成。涂正明就像一个榨取工人的吸血鬼，他出门开的豪车，身上穿的每一寸丝线，吃的每一顿奢华菜肴，都是我父亲身上的血啊！是我父亲用自己的大半生命换来的啊！还请华平政委能深入调查此事，在这个新时代的法治社会，坚决不能让有罪之人逍遥法外，还我父亲和所有民工一个公道。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	华坪县委书记
"
石佛山人民的期盼,已办理,三农 求助,金***,2018-04-0717:33,尊敬的县领导，我是来自宁蒗县红桥乡石佛山的一个村民，近两年来，宁蒗的发展有目共睹，石佛山的人民也非常盼望着脱贫的到来，可是这里的村民就像是井底之蛙一样，看不到辽阔的天空，石佛山，海波3300米，地处高山，村民均以外出打工为生，由于村里没有学校，很多孩子都成为留守儿童，寄宿或者租房去读书，今天是4月7日，刚过完清明，迎接者春天的到来，却又等来一个冬天，大雪纷飞，我看到很多回来过节的小孩无法回学校读书，还在耕作的农民更是心急如焚，我知道在党和国家的带领下，会有一天，过上幸福的生活，这里的老百姓，等一个回复！！谢谢！,华坪县委书记,尊敬的县领导，我是来自宁蒗县红桥乡石佛山的一个村民，近两年来，宁蒗的发展有目共睹，石佛山的人民也非常盼望着脱贫的到来，可是这里的村民就像是井底之蛙一样，看不到辽阔的天空，石佛山，海波3300米，地处高山，村民均以外出打工为生，由于村里没有学校，很多孩子都成为留守儿童，寄宿或者租房去读书，今天是4月7日，刚过完清明，迎接者春天的到来，却又等来一个冬天，大雪纷飞，我看到很多回来过节的小孩无法回学校读书，还在耕作的农民更是心急如焚，我知道在党和国家的带领下，会有一天，过上幸福的生活，这里的老百姓，等一个回复！！谢谢！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	华坪县委书记
"
这样砍树，看不下去了,已办理,环保 投诉,a***,2018-03-2714:17,这里是中心镇左岔村的甘海子，这样砍树已经一周内发现3次了，还有进一步扩大趋势，一边还在宣传保护古树名木，这些树估计都超过百年以上了，也可能是千年，这么大的树再也不会有了，以后可能再也看不见了。哎，这样的树烧的着吗？,华坪县林业局,这里是中心镇左岔村的甘海子，这样砍树已经一周内发现3次了，还有进一步扩大趋势，一边还在宣传保护古树名木，这些树估计都超过百年以上了，也可能是千年，这么大的树再也不会有了，以后可能再也看不见了。哎，这样的树烧的着吗？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	华坪县委书记
"
咨询一下扶贫攻坚的政策,待回复,其他 咨询,卢***,2017-05-0713:06,尊敬的华坪县委书记:           我是石龙坝镇民主村的村民，我想咨询一下关于建档立卡贫困户，房屋异地搬迁的政策。我有一个亲戚是建档立卡贫困户，有异地搬迁的项目，他户口本上是五个人的户，可是驻村工作队的只给他算两个人的户口，每个户补助两万两个户就只有四万，可是对一个贫困户来说四万块钱异地搬迁怎么搬啊？所以我想问一下县委书记扶贫攻坚的政策真的是这样的吗？,,,
工资求助,待回复,就业 求助,匿***,2016-12-0112:25,陈省长你好，我去年3月份到丽江华坪县，定华能源公司上班，在四通付井煤矿上班，我的工资7月份到11月份工资到现在都没有发，我妈妈今年正月率伤了急须要钱，我打了电话给矿山领导要工资，可他们一拖在拖，我求求你们帮我讨要工资。,,,
