关于没有稳定工作挣不到钱，吃饭问题和房租问题,待回复,城建 求助,吴***,2019-10-2421:01,尊敬的县委书记您好！自从2019年取消低保以后，日子过得越来越难。廉租房价格变成了公租房价格，平时挣的钱别说改善生活，就是房租都无力承受。国家提出的脱贫攻坚，要两不愁，三保障，可现在真的是愁吃、愁住。房租一年5040元，我父母已故，现在独自带14孩子，因为身体原因挣不了多少钱，希望领导体察民情，看能不能就就业问题，房租问题，有相关的解决办法，挣不到钱，就解决不了吃饭，房租问题，现在真的太难了。,,,
定华公司拖欠农民工，工资何时有结果,待回复,就业 投诉,2***,2019-09-3013:41,定华公司2015年就拖欠的工资为什么4年多了还没有一个切确的结果，还望领导给于关注解决一下！,,,
华坪县医院助理全科医生规培考试存在疑问❓,已办理,医疗 投诉,阿***,2019-08-0216:08,我是今年临床医学专业毕业生，前面华坪县人民医院公布了一份文件说今年招10个社会人参加助理全科医生考试，我去报考了，笔试面试都过了，成绩已公布打电话说进入体检，然后我就一直等着体检，今天突然的打电话跟我说只要四个人了，这是怎么回事，之前的文件又是怎么回事，我们为了这个考试推掉了其他地州县考试，现在是这样的结果，我想问到底是怎么回事？,华坪县委书记,网民同志：    你好！你在地方留言版上的留言已收悉，县委政府高度重视，立即安排相关责任部门调查核实，现将调查情况回复如下：    华坪县人民医院为云南省助理全科医生培训基地，根据云卫办科教发【2019】2号文件《关于开展2019年云南省住院医师规范化培训和助理全科医生培训招生工作的通知》中要求，医院培训基地2019年社会考生计划内招生名额为10人。2019年7月25日，县医院培训基地对报名的18名社会考生进行了招生考试，考试后于7月29日至8月2日将考试成绩予以公示，公示期间未接到任何异议。    2019年8月1日9:20，县医院培训基地接到云南省卫健委科教处通知：国家要求严格执行培训资金计划，超额培训的人员不能享受财政补助，只能自费，如果仍愿意自费培训的学员，可以列为计划外招录。云南省卫健委科教处对各基地计划内招生名额进行了重新调整，以确保订单定向生参培，县医院培训基地社会招生计划内名额由10人缩减至4人。   因此，县医院培训基地只能按照云南省卫健委科教处的通知，择优招录前4名社会考生。2019年8月2日上午，县医院科教科就招生计划调整的情况电话告知了考试成绩排名第5至第十名的考生，同时告知按通知要求如果愿意自费培训，仍可到县医院培训基地接洽培训事宜。2019年8月3日下午，县医院科教科再次电话联系了六名考生，逐一详细说明了相关情况。   招录的相关要求以及名额由省卫健委科教处制定，县人民医院只能严格按照上级要求进行招录，为此给你带来的不便，敬请谅解！感谢你对我们工作的理解与支持。,回复时间：2019-08-05 16:31
定华公司拖欠农民工四年工资何时才能要来血汗钱,已办理,企业 投诉,2***,2019-06-0608:42,"领导你好，我2015年在定华公司煤矿上班到现在4年了公司拖欠我们的工资至今没有发给我，期间我也多次找过公司领导，和监管部门都以公司困难没钱和正在协调等原因没有拿到一分血汗钱，我想作为领导,定华公司拖欠工资一事你们一定会给我们这些农民工一个满意的答复，在这里谢谢领导了！",华坪县委书记,张昌云：     你好！你的留言已收悉。关于华坪县定华公司拖欠农民工工资的问题，县人社局于2018年1月9日向华坪县定华能源公司下达了《劳动保障监察责令改正决定书》（〔2018〕1号）责令企业在2018年2月10日前支付所拖欠的民工工资。由于2016年至今定华能源有限责任公司所有矿井一直处于关停状态，现无力偿还拖欠工人的工资，华坪县委政府高度重视，组织县人社局和县煤管局从2016年起多次约谈企业负责人，下达责令支付通知书四次，并于2019年3月将定华公司列入拖欠工资黑名单开展联合惩戒。下一步，县人社局将联合县煤管局继续约谈定华公司负责人，努力做好清欠工作。    同时，建议你按照有关法律规定，向人民法院提起诉讼，维护你的合法权益。感谢你对我们工作的理解与支持，祝你生活愉快！　　　　　　　　         ,回复时间：2019-07-19 09:39
包工头欺骗农民工7年工程款不发！,已办理,城建 求助,冯***,2019-01-2313:02,致敬的领导，七年是什么概念，可能是您的孩子从青涩拘谨到结婚成家，您的事业从初入茅庐到飞黄腾达。但是对于我们一家，是从幸福美满到妻离子散，从平稳安定到家徒四壁。这一切，都是涂正明一手造成的！2012年完工的一级路的防滑坡的国家工程，华平到荣将3段工程项目，是涂正明包给我父亲的，我父亲在丽江华平县当了十几年小包工头，他看准了我父亲是个老实人，就想把工程款据为己有，我父亲一次又一次上门讨要，却都被涂正明以各种理由拒绝了，我父亲没有办法，变卖家产，补上了部分农民工钱，却还是有40万左右的材料款和13万左右的农民工个工资没有能力付给他们。经过可靠消息，那笔工程款早已到了他的手上，为了讨个说法，我们用了一切办法，去法院起诉却请不起律师，生活只能靠低保。因为天天念叨这笔钱，父亲的精神已经有点不好了。我也经常一想到就睡不着！七年过去了，我们被这笔钱逼得走投无路的时候，想象不出涂正明正在拿着这笔钱怎样肆无忌惮的享乐。他就是吃准了我们的现状，钻了法律的漏洞，用尽心计坑害我们，像一只狡猾的泥鳅一样偷奸耍滑，只为了让我们承担这笔巨款，他却可以坐享其成。涂正明就像一个榨取工人的吸血鬼，他出门开的豪车，身上穿的每一寸丝线，吃的每一顿奢华菜肴，都是我父亲身上的血啊！是我父亲用自己的大半生命换来的啊！还请华平政委能深入调查此事，在这个新时代的法治社会，坚决不能让有罪之人逍遥法外，还我父亲和所有民工一个公道。,华坪县委书记,冯桥桥：    你好！留言已收悉。县委县政府高度重视，及时安排县交通运输局对你反映的问题进行调查核实。经调查，涂正明已支付你父亲冯天盛建设工程款90多万元，涂正明向前去调查的工作人员出具了双方认可签字的结算单、冯天盛结算尾款的领条。根据以上资料，涂正明已支付完毕你父亲冯天盛的工程款。    感谢你的留言，祝你生活愉快！,回复时间：2019-07-19 11:36
石佛山人民的期盼,已办理,三农 求助,金***,2018-04-0717:33,尊敬的县领导，我是来自宁蒗县红桥乡石佛山的一个村民，近两年来，宁蒗的发展有目共睹，石佛山的人民也非常盼望着脱贫的到来，可是这里的村民就像是井底之蛙一样，看不到辽阔的天空，石佛山，海波3300米，地处高山，村民均以外出打工为生，由于村里没有学校，很多孩子都成为留守儿童，寄宿或者租房去读书，今天是4月7日，刚过完清明，迎接者春天的到来，却又等来一个冬天，大雪纷飞，我看到很多回来过节的小孩无法回学校读书，还在耕作的农民更是心急如焚，我知道在党和国家的带领下，会有一天，过上幸福的生活，这里的老百姓，等一个回复！！谢谢！,华坪县委书记,你好，你的留言已收悉，你反映的问题应属于宁蒗县受理范围，请你向宁蒗县委县政府反映。,回复时间：2019-07-17 17:09
这样砍树，看不下去了,已办理,环保 投诉,a***,2018-03-2714:17,这里是中心镇左岔村的甘海子，这样砍树已经一周内发现3次了，还有进一步扩大趋势，一边还在宣传保护古树名木，这些树估计都超过百年以上了，也可能是千年，这么大的树再也不会有了，以后可能再也看不见了。哎，这样的树烧的着吗？,华坪县林业局,网民同志：    您好！你的来信收悉，根据县人民政府的要求，已转交华坪县林业局办理，现将有关情况回复如下：    你反映的中心镇左岔村甘海子砍树事宜， 一、经调查，你反映的砍树位置位于中心镇左岔村委会六组甘海子高烟囱处，砍树情况属实，山上有新鲜伐桩62个，全部为杂栎木。该地块采伐现场的山林是中心镇左岔村委会六组的自留山，丽江隆基清洁能源公司向中心镇左岔村委会六组村民租用，于2017年12月21日取得省林业厅使用林地审核同意书（云丽林资许准〔2017〕1190号），项目总涉及林地面积141.8225公顷，租期25年，用于修建光伏电站。因光伏电站建设需要，丽江隆基清洁能源公司向华坪县林业局按规定申请办理了林木采伐许可证四份（采伐证编号为：华坪县采字〔2018〕0305001号、华坪县采字〔2018〕0305002号、华坪县采字〔2018〕0305003号、华坪县采字〔2018〕0305004号），依法采伐蓄积量为22.7立方米。 二、该项目下一步将继续依法按规定完成林木采伐工作，县林业局将进一步加强对项目使用林地情况进行监督管理，并切实做好生态保护工作。  　如有不尽之处，请直接向县林业局反映咨询。联系电话:6128362. 感谢您对华坪林业工作的关心与支持！欢迎随时监督我们的工作，提出宝贵意见，顺祝身体健康，工作顺利! ,回复时间：2018-07-18 16:33
咨询一下扶贫攻坚的政策,待回复,其他 咨询,卢***,2017-05-0713:06,尊敬的华坪县委书记:           我是石龙坝镇民主村的村民，我想咨询一下关于建档立卡贫困户，房屋异地搬迁的政策。我有一个亲戚是建档立卡贫困户，有异地搬迁的项目，他户口本上是五个人的户，可是驻村工作队的只给他算两个人的户口，每个户补助两万两个户就只有四万，可是对一个贫困户来说四万块钱异地搬迁怎么搬啊？所以我想问一下县委书记扶贫攻坚的政策真的是这样的吗？,,,
工资求助,待回复,就业 求助,匿***,2016-12-0112:25,陈省长你好，我去年3月份到丽江华坪县，定华能源公司上班，在四通付井煤矿上班，我的工资7月份到11月份工资到现在都没有发，我妈妈今年正月率伤了急须要钱，我打了电话给矿山领导要工资，可他们一拖在拖，我求求你们帮我讨要工资。,,,
华坪县狮山公园路灯扰民事件,待回复,其他 求助,匿***,2016-04-1315:04,我们是住在狮山公园下的居民，家有老人孩子，我们白天要上班，这几年工作压力也很大，孩子白天要上学，可是这狮山公园的大灯晚上10:30熄灯，但1点多又亮了，就一直亮到天明，这几年来因为这明晃晃的路灯孩子睡不好，老人更睡不好，我们也严重受影响，因为睡眠不好，经常工作时无精打目采，这明晃晃的路灯已经严重影响了我们狮山公园下一带住户的生产生活，狮山公园10点以后就没有游人了，为什么10点半熄灯，一点多灯又亮了，请领导帮我们核实一下，什么原因，希望能调整一下亮灯时间！还我们一个宜居的睡眠环境！！！！,,,
