三义机场喊客拉客,待回复,旅游 投诉,W***,2019-12-0208:20,在丽江三义机场，三义宾馆路口和三义映象酒店路口，每天上午出现多名喊客拉客的人员，推销到丽江各个旅游景点玩，拉市海茶马古道，观音峡，雪山，千古情等、从中获取利益、严重扰乱旅游市场持续和公平，望领导重视,,,
黄龙玉问题已解决，非常感谢胜兴商行,待回复,旅游 感谢,家***,2019-11-2508:33,尊敬的领导您好：         11月23日凌晨12点对胜兴商行投诉情况说明，首先我本人没有第一时间联系胜兴商行售后就直接在地方领导留言向领导求助退货。因为听了别人的片面之词感觉受骗心急，朋友又给建议下载地方留言在留言板投诉退货快，心急没有和商家售后沟通直接发帖留言，商家在第一时间知道我的诉求在没有收到货品的前提下就给予我退货退款，我没有想要投诉的意愿，在此向商家表示歉意造成了不必要的误会。经过这次退货事件让我体会到了胜兴商行的诚信，我非常满意！对于云南的旅游我后续也会支持经常到丽江这个美丽的地方，告知朋友可以放心游玩！,,,
丽江古城区胜兴商行购买黄龙玉感觉被骗，求退货,待回复,旅游 求助,家***,2019-11-2319:15,尊敬的领导您好！我是一名广西壮族自治区游客，在2019年11月6日参加的6日5晚云南游来到云南，一路感受到云南的文化历史之优美，风景如画，这是我在家乡未能感受到的。一路换了2个导游，但是导游也很热情。美中不足的是安排的三次购物行程，其中黄龙玉购物，导游说黄龙玉是云南特色、价格低于翡翠，被称为国玉。旅游购物也是为丽江人民贡献GDP。本人也响应政府拉动当地经济，就购买了一件黄龙玉手镯，时间比仓促，买完就急匆匆的进入其他行程。隔了两天返回广西后，有懂行的朋友看了，告知价格虚高很多，有被骗的嫌疑。购买单价为12000的手镯，成色一般也就1000多元的价钱。购物付款的POS签购单商户名称：古城区胜兴商行， 也没有提供国家要求的正规的购物发票。  商家地址也都没有任何体现，我个人在国家企业信息网上按照购物单位名称，才查找到具体的地址：束河街道茶马驿栈D3-5号。 种种迹象感觉购物被骗，让我对云南之行有些失望。 本想着后续有时间再去旅游体验云南的美景，现在想想还心有余悸。 还希望领导在百忙之中，帮忙协商处理退货事宜，谢谢！,,,
11月10号留言请领导帮助，协助退款已解决,已办理,旅游 感谢,放***,2019-11-1111:37,感谢领导的关心，今天钱已经收到，合壹商号工作人员积极联系我，热情服务，帮助我完成了退款退货，他们店的服务相当到位，真正实现了云南旅游购物的三十天无理由退换，也非常感谢旅游局的同志们，给我打电话做回访，事情已经解决了，麻烦各位了，希望云南越来越好,古城区书记区长信箱,网民同志：您好！      感谢您对我们工作的信任理解与肯定。祝身体健康、生活愉快！,回复时间：2019-11-15 01:24
古城区购买银饰杯子 已解决,待回复,旅游 感谢,z***,2019-11-1110:39,经与店铺售后部门协商，事情已圆满解决，现在货款已退，商品正在寄回中，感谢商行高效的售后，感谢政府监管给力。,,,
请领导帮忙，协助退款,待回复,旅游 求助,放***,2019-11-1108:50,你好，书记，前几天我去丽江度蜜月，11月3号在导游的带领下来到了丽江古城合壹商号，在各种游说下买了两只黄龙玉貔貅，共计4660元，回家之后发现有瑕疵，今天给商号售后打电话，告知公司出了点事，他们休假四五天，让我过段时间再打，我感觉他们是不想退货退款，之前买的时候说云南省承诺30天无理由退换货，请书记帮忙，协助一下尽快退货退款,,,
古城区购买银饰杯子 发现质量问题 要求退货,待回复,旅游 投诉,z***,2019-11-0818:05,尊敬的市委书记：我于2019年10月21日，在丽江古城区农家银饰 购买银杯子2个 ，25号回家后用开水浸泡了一晚上，第二天打开后 杯子底部有很多小黑点，现在与商家协商退货，商家拒绝退货，要求换店内其他商品，现在对于商家店内的商品存在于不放心，麻烦请领导帮忙，谢谢。,,,
古城区无证摊贩臭气熏天,待回复,环保 投诉,忠***,2019-11-0618:29,古城区南门飞马转盘颐养太和北门的新建工地门口有一个摊贩，每天中午12点和下午6点在此刻路段搭帐篷售卖快餐，苍蝇乱飞，卫生条件堪忧，垃圾乱倒，臭气熏天。严重影响周边居民生活，望有关部门处理,,,
 在丽江金茂凯悦酒店退钱事宜已经解决,已办理,旅游 感谢,游***,2019-10-2719:04,10月初在金茂凯悦酒店订房产生的矛盾已经解决了，非常感谢领导的协助帮忙。,古城区书记区长信箱,网民同志：您好！  感谢您对我们工作的信任理解与肯定。祝身体健康、生活愉快！,回复时间：2019-11-15 01:23
迪庆土特产销售药粉,已办理,旅游 投诉,云***,2019-10-2614:55,"2019年10月20日父母跟团旅游至香格里拉古城，被导游带至迪庆土特产店参观，参观期间销售人员得知父母有高血压糖尿病，藏医药销售宣称购买三七、石斛打粉服用可以不用再吃西药，能够治疗病症，被未告知销售价格实际是按照克数销售。老年人文化不高轻信谎言提出购买200元，谁知销售人员称了200克打粉过后才告知是按照克数销售，210克共计2000元，价格远超同类产品10多倍，希望退货退款。土特产销售店“藏医”是否具有相应资质制造、销售“药粉”“治病”
购买产品无商标、无产地、无合格证、无认证信息、无发票，是否为“三无”产品？
再次感谢领导百忙之中查看留言，香格里拉人名热情好客，当地政府也大力推广旅游，此次旅行让老人留下难忘的美好记忆，但是老人自觉被骗心痛不已，希望领导能帮忙解决，还普通老百姓一个公道，一个公平。
",古城区书记区长信箱,网民同志：您好！    您通过人民网《地方领导留言板》给古城区委书记的留言收悉，香格里拉古城不属于丽江市古城区辖区范围，请您向迪庆州香格里拉县相关部门反映，以便得到解决。    祝您身体健康、生活愉快！,回复时间：2019-11-15 01:24
