宁蒗县供排水公司非法停水收取管网改造费,待回复,城建 投诉,阆***,2019-11-3012:58,1.宁蒗县供排水公司未通知住户知晓就对郑家河商贸街进行一户一表改造。2.改造前未公示水网改造相关预算费用。3.改造前未与住户签定一户一表安装工程合同。4.在以上三个环节均未知晓的情况下以收取管网改造费为由非法停水。5.住户认为公司收取每户1110.24元的改造费用不合理。,,,
易地扶贫不公平,待回复,三农 投诉,曲***,2019-11-2808:43,领导你好，为什么红桥乡之前易地搬迁不给老百姓通知，私自通知有关系的易地搬迁到宁蒗，而我们家庭有那么多病人就不能搬迁，就给修了那么小一点房子，而且我这里真正贫困的为什么不给贫困，为什么有车有房子的给贫困，别的乡政真正做到了贫困，而红桥乡就为什么做不到，希望你家家户户调查，红桥乡杨书记每次去他哪里办事情，态度差，打电话挂电话，村委会打电话把老百姓电话拉黑名单，如果不来调查，我会把我家这么多病人带到省里红桥乡政府办事一点不公平，原来我们家庭有那么多病人，就把两家人口住在一个房子里面，连家里老人80多岁低保都取消，我想别的乡政有困难真正扶贫到，我们这里为什么有那么多病人，没有得到过什么，希望宁蒗县委，县政府，仔细核实，调查调查，下面图片就是家里，这就是红桥乡给的贫困户，,,,
摩挲家访购买银器受骗,待回复,旅游 投诉,李***,2019-11-2617:08,领导你好，我们听说泸沽湖风景秀美湖水清澈不远千里来到这里，买了两人往返带门票266元车票，打电话与我们确认接送点的人非常厉害，后来另一个车接我走，进了泸沽湖司机师傅说他是本地人为我们介绍他们的传统文化，说他们是唯一正规的车队，这个路每年死很多人，不能相信别人（车是中巴车，车况很差，一路晕车）快到目的地时候，说带我们环湖游带晚餐下午以及第二天早上，交300给他，结果应被骗第二天早上我不去，退60元，接我的时候又是来的时候确认的那个非常凶，下午去了两个观景台，就去一个小村子吃饭，吃完一个小姐姐带我们去她家，说她们只有十来人会说汉语，去到祖母房，说他们信藏传佛教，房间里挂了唐卡活佛还有毛主席，说他们非常落后，然后是他们的走婚，定情物银饰，银饰的好处，说他们只要家里去做喇嘛的男孩子会做银饰，他们的银子是国家发的，也是各家各户凑起来让我们购买给他们带来一点收入，然后就打开一个黑布各种银器让我们购买，我看中的一个卖掉了，我多次说不买了，非要让等，结果没有送来，带我们去刚才吃饭的地方，结果一个非常大的展厅，我当时就知道受骗了，他们的人非常厉害不敢多说，只好买了走人，第二天就不敢再去看草海和坐船，希望退货退款,,,
想退我在泸沽湖女儿国购买的银饰 ,待回复,旅游 投诉,云***,2019-11-1908:58,宁蒗县委书记您好！我于2019年11月14日和家人一同来丽江旅游，17号下午跟随导游泸到了沽湖，第二天早上导游带我们去山南村，把我们交给了一个阿妹，说是由阿妹带我们了解当地摩梭文化，这个阿妹自称叫桑X，说是这里的第一个大学生，带我参观了她家的祖母屋，不让我们拍照，说是对祖母的不尊敬，过后讲了点儿当地文化，走婚啊什么的，后来就讲解她们那里的银碗和其他银饰的好处能治风湿，还有银腰带能治银饰的好处能治风湿，还能治妇科病。还说那些都是用草药煮过的是可以食用的，可以有消炎解毒的功效，还用银梳子给我们同游的一个人刮痧梳头，当时看着觉得很神奇，桑吉还给我们讲了她有个责任，带我们去看看银器，于是就带我们到旁边一个院儿的屋子里，那里有几个大柜台，又给我们讲这些银器如何如何好，我们买了就当是帮助这里的落后人民了，当时也不知道怎么想的就很相信，一共花了3680元买了两个银茶杯，她们也没有开具体的发票和鉴定证书，就只有一张单子写着价钱，也没盖章，结束后上网查了一下，真的是心都凉了，景区美景带来的快乐一下子跌入了万丈深渊，希望相关领导调查后在旅游行业中能够杜绝这种行为，我恳请领导能协助我先退款再退货,,,
请政府为我们做主讨债,待回复,城建 投诉,杨***,2019-11-0420:24,我在宁蒗异地搬迁三期做活的，老板欠我们工人工资42760元，多次要钱未果，现在我们很无助，希望政府为我们做主,,,
易地安置三期住房面积与人口不符,已办理,政务 求助,胡***,2019-10-2513:26,              尊敬的领导：         您好！我家是永宁坪乡抓马坪村委会小米田三组村民建档立卡贫困户。10月20日在宁蒗三期易地安置点抽签才告知是3人户，事先一致认为6人户。         2018年应政府要求，合并成一户7人。之前我们一家七口都享受了建档立卡的优惠政策，我们都很感谢政府。是否合并户口后工作人员在系统上没有及时更改，导致现只分得3人户60㎡安置房。使我家6口人没法居住。现搬新家不够住，不搬没地方住(老家今年因地质灾害，房屋地基塌陷)。      现希望领导能为我家协调解决住房问题，谢谢！,宁蒗县永宁坪乡人民政府 ,"网民同志：您好！您通过""人民网地方领导留言板""给杨承新书记的留言收悉。永宁坪乡党委、政府和村动态管理工作组高度重视，成立工作组对您所反映的问题做及时调查处理。经调查，您父亲于2018年2月份报小康家园三期，您与您父亲户口并户时间为2018年7月15日。由于易地办系统锁定在前，户口并户在后，致使在易地办系统上无法作相应更改，您户只能享受您父亲户原先所上报的3人面积。 感谢您对我乡工作的支持与理解，祝您身体健康、生活愉快！",回复时间：2019-11-25 15:00
泸沽湖摩梭人家访销售银器骗局,待回复,旅游 投诉,胡***,2019-10-2409:03,尊敬的领导你好，我是10月22号跟随旅游图去欣赏泸沽湖美丽的景色得，也是慕名而来，路上导游也给我们讲解了他们所信仰得藏传文化，听完也挺尊敬的，到了泸沽湖，景色真的美丽，到了第二天得时候，导游一大早带我们去摩梭人家里去做客，由一个美丽的阿妹带我们去看了她祖母的房间，开始给我们讲了一些禁忌，不能戴帽子，不能带墨镜，进门不能踏门槛，左脚进右脚出等等，我们也很尊重当地文化，给我们讲解了摩梭人走婚的文化。随后给我讲了她们这边条件艰苦，没有医院，好多病都是银得作用，也当场实验了，拿银梳子给有个游客刮痧，还告诉我们她们的是熟银，丽江得雪花银是生银，买银要买熟银，随后带我们去了一个当地阿哥的一个制作银饰品得地方，就这样我和朋友买了东西，但是后来到丽江后发现高出市场价格好多，感觉被骗了！泸沽湖是个美丽的地方，也是慕名而来，我们尊重当地文化，也可以去购买一些银饰品，但是以文化去包装，以虚高的价格去销售，我们感觉收到了欺骗，希望各位领导能进一步讲解，阻止这个恶劣得旅游环境，让更多的人能放心的来云南旅游！,,,
泸沽湖家访买银器被骗,待回复,旅游 求助,S***,2019-10-1618:47,尊敬的领导，您好！10月14日我们去家访了摩梭人，接待我们的阿妹带我们参观了祖母房，还说不让拍照，首先就跟我们介绍了当地的一些文化，后面就讲到了银饰，跟我们讲了银饰的好多好处，说银碗泡茶可以排毒，还可以祛湿，要结合一些方法，说她们摩梭族的姑娘十三岁就可以带腰带，还给我们看了银梳，现场给我们团友刮了莎，并且特别说明是他们摩挲人手工打造的。接着就带我们去买银器，于是买了一个手镯，一个梳子和一个勺子共138.7克，一共花了2330元。后来买完了才了解到这些都是套路，价格比市面上贵了不少，只是为了营销产品编的说辞，并且经过和团友买的对比，发现这些根本就不是他们摩梭人自己的手工，所有东西都是一个模具做出来的，所有细节都一样。我们的善良和对她们无条件的信任就这样被消费了。现在无论真假，无论贵贱，想起这个事就很不舒服，自己的好心和信任就被他们消费了，就想退货退款！        也希望这些事不要发生在其他旅游者身上，也希望泸沽湖越来越好，希望书记能看到我诚恳的求助，谢谢！,,,
体验摩梭文化被诱导购物,已办理,旅游 求助,青***,2019-10-1415:13,尊敬的领导:   您好，我和我老公在泸沽湖体验摩梭文化时全程被带到祖母房讲解银子的好处，当时因为自己的善良觉得是扶贫买了银手镯761元，银碗5880元，后面发现属于三无产品，价格比市场价高了一倍，完全影响了旅游心情，想退款。,宁蒗县文旅局,网名同志：    您好！您通过人民网《地方领导留言板》给宁蒗县委书记的留言收悉，宁蒗县文化和旅游局高度重视，你所反映的关于云南泸沽湖摩梭家访时被诱导购买银碗的信访问题，我们依于2019年10月13日正式受理，并按《信访条例》的规定进行了认真调查，现将你所反映的问题答复如下：    经调查，您所反映的在泸沽湖摩梭体验文化时，被带到祖母房中讲解银子的好处，被误导购买银手镯761元，银碗5880元，购买之后发现属于三无产品，价格比市场价高了一倍，我县文化旅游市场执法大队执法人员已联系店家，将购买银碗和手镯的金额全额退回。    顺祝身体健康、工作顺利。                                        宁蒗县文化和旅游局                                          2019年10月17日,回复时间：2019-10-28 16:13
泸沽湖民宿安防严重漏洞,已办理,旅游 投诉,z***,2019-10-1017:17,10/8入住泸沽湖抚云酒店10/9发生失窃报警后发现酒店未在重要位置安装监控酒店告知符合云南当地酒店要求，游客人身及财产安全无法保证电话相关部门无法得到合理解释。希望给予合理答复。并要求提高民宿安保基础规范要求,宁蒗县公安局,尊敬的网民同志：     您好！您在人民网“地方领导留言板”给杨承新书记的留言已收悉。宁蒗县公安局高度重视，迅速积极开展调查工作，现将有关情况回复如下：     您反映的情况收悉后，于第一时间向宁蒗县公安局主要领导及泸沽湖派出所所长进行了通报。泸沽湖派出所已按照要求开展案件调查工作，宁蒗县公安局进一步要求泸沽湖派出所加强日常在该区域的治安防控力度。2019年10月9日对不如实登记客人住宿信息的抚云客栈按照《中华人民共和国治安管理处罚法》第五十六条之规定进行了500元罚款。     在今后的治安管理工作中，宁蒗县公安局必然按照您所提的意见及建议加强社会治安防控工作力度。感谢您对云南旅游事业的热心支持。     祝您身体健康，生活愉快!                                                                        宁蒗县公安局                                                                       2019年10月15日,回复时间：2019-10-15 10:17
抚云客栈治安安全重大隐患,已办理,旅游 投诉,z***,2019-10-1016:17,我于10/8号入住该酒店，入住手续违规。无入住登记10/9号发生房间内失窃，物品金额较大。已报警派出所出警后酒店无法提供完整监控录像该酒店无完整安防系统，外人可以随意进入到酒店内部客房，并且酒店很多地方无监控设备，存在重大安全事故隐患，希望领导能重视这个问题，本人只是丢失钱物，并没有发生人身安全等重大事故，这样的酒店存在如此大的治安隐患，希望领导能够重视，不要让个别酒店抹黑了整个云南旅游,宁蒗县公安局,尊敬的网民同志：     您好！您在人民网“地方领导留言板”给杨承新书记的留言已收悉。宁蒗县公安局高度重视，迅速积极开展调查工作，现将有关情况回复如下：     您反映的情况收悉后，于第一时间向宁蒗县公安局主要领导及泸沽湖派出所所长进行了通报。泸沽湖派出所已按照要求开展案件调查工作，宁蒗县公安局进一步要求泸沽湖派出所加强日常在该区域的治安防控力度。2019年10月9日对不如实登记客人住宿信息的抚云客栈按照《中华人民共和国治安管理处罚法》第五十六条之规定进行了500元罚款。     在今后的治安管理工作中，宁蒗县公安局必然按照您所提的意见及建议加强社会治安防控工作力度。感谢您对云南旅游事业的热心支持。     祝您身体健康，生活愉快!                                                                        宁蒗县公安局                                                                       2019年10月15日,回复时间：2019-10-15 10:15
投诉泸沽湖尔湾水奢酒店,已办理,旅游 投诉,l***,2019-10-0411:09,本人于2019年9月25日预定了泸沽湖尔湾水奢酒店10月1日至10月2日三家房。花费了11910元人民币。因本人原因住了一晚，后面让朋友入住，酒店柜台拒绝我的朋友入住，因此我朋友在泸沽湖云商务酒店开了三家房，花费了2550元人民币。现要求泸沽湖尔湾水奢酒店退还本人没有入住的那三间房费以及我朋友在（泸沽湖云商务酒店）开的那三间的费用。共计人民币（8505元）,宁蒗县文旅局,网名同志：    您好！您通过人民网《地方领导留言板》给县委书记杨成新书记的留言收悉，宁蒗县文化和旅游局高度重视，你所反映的关于云南泸沽湖泸沽湖尔湾水奢酒店无法满足游客诉求的信访问题，我们依于2019年10月3日正式受理，并按《信访条例》的规定进行了认真调查，现将你所反映的问题答复如下：    我局执法人员到现场并了解情况，经调查，客栈方表示已明确告知订房人此订单不可取消和退订，10月1日有客人提供了此订房人的姓名和联系方式办理了入住，第二晚因行程原因不再入住，退房协商不成，客栈方表示愿意提供此房给订房人朋友入住，10月2日18时许有人预办理此订单入住手续，客栈方要求提供相关信息，同时联系订房人确认。客栈方表示因未收到确认信息未给次行人办理入住手续。李小东先生诉求退房费和公开道歉，反映客栈方存在态度问题，客栈方表示对态度问题愿意赔礼道歉，赔偿500元的损失费。   顺祝身体健康、工作顺利。                                        宁蒗县文化和旅游局                                           2019年10月9日,回复时间：2019-10-28 16:11
泸沽湖摩梭族家访卖银器骗局,已办理,旅游 投诉,W***,2019-09-2617:51,早上刚刚被自称本地人的阿妹带去买了银子，现在刚刚上旅游大巴车一百度，说泸沽湖银子是骗局，过来投诉早上导游把我们带到一个自称是摩梭人的阿妹那里，然后由那个阿妹带着我们去到她家，我们被带进了一间据说是她们供奉神灵的房间里面，并且在进入房间之前阿妹说不能拍照录像。进入房间以后，阿妹开始给我们说她是政府选出来的普通话比较好的阿妹，专门向游客介绍摩梭文化的，还说自己接待客人就是为了积公分。然后她就稍微讲了一下摩梭人的文化，为什么摩梭人可以长寿，银器的各种好处。后面一直在讲银器怎么样好怎么样好，说她们的银器都是纯手工做的，把我们和同行的人都讲得兴致勃勃的，然后就把我们带到另外一个房间，然后那个阿妹把我们带到其中一张桌子前面，桌子上面放满了各种银器。后来我们就买了几件银器，我买了一个杯子一个梳子，一共2638元，结果一上旅游大巴，百度了一下，看到了银子骗局的过程，过来投诉,宁蒗县文化和旅游局,网民同志：  您好！您通过人民网《地方领导留言板》给县委书记杨成新书记的留言收悉，宁蒗县文化和旅游局高度重视，你所反映的关于云南泸沽湖摩梭家访购买银器被骗的信访问题，我们依于2019年9月27日正式受理，并按《信访条例》的规定进行了认真调查，现将你所反映的问题答复如下：  我局执法人员到现场并了解情况，经调查，您所反映的在泸沽湖摩梭家访购买银器被骗，购物地点属于四川省盐源县泸沽湖镇辖区内，不属于云南省泸沽湖管辖内，我县文化旅游市场执法大队执法人员已协助联系店家将购买银器的金额全额退回。顺祝身体健康、工作顺利。                                                                宁蒗县文化和旅游局                                                                  2019年9月27日,回复时间：2019-09-27 17:27
关于今早泸沽湖银饰的事，商家已处理。,已办理,旅游 感谢,c***,2019-09-1618:36,您好，今早反应去泸沽湖购买银器的事，商家已经积极处理，态度很好，谢谢领导，辛苦了！下次我们还会继续到云南旅游，希望云南旅游业越来越好！,宁蒗县市场监督管理局,网名同志：您好！感谢您对我县工作的理解与支持。,回复时间：2019-09-20 15:09
泸沽湖家访摩梭族银饰退款,已办理,旅游 投诉,c***,2019-09-1114:06,尊敬的书记，您好！        很抱歉让您看到这封信，同时也希望您能看到我这封求助信！        泸沽湖一直是我觉得很美的地方，也是心心念念想来的地方，环境真的特别美，但在了解摩梭族贡银方面的消息后，心里一直不太舒服。         我和家人于2019年9月9日跟团去往泸沽湖，报的团是云南中青国旅旅游，9月10日我们去家访了摩梭族，接待我们的带我们参观了祖母房，还说不让拍照，首先就跟我们介绍了当地的一些文化，后面就讲到了银饰，跟我们讲了银饰的好多好处，说银碗泡茶可以排毒，还可以祛湿，要结合一些方法，说她们摩梭族的姑娘十三岁就可以带腰带，怀孕都带着，可以排毒，还可以让小孩生下来的时候没有黄疸。还给我们看了银梳，说是她的阿哥送她的，还现场给我们团友刮了莎，说刮出了的是黑的，就是身体不好。        然后还说摩梭族都是有信仰的，不会拿假的，也不会忽悠我们，都是积累福报，希望对我们有用，说挣的钱一部分捐给寺庙，一部分买唐卡，一部分打造银器，当时看她说的很诚恳，就买了一个手镯15.8一克和一个梳子19.8一克，一共花了2637元，后来买完了才了解到这些都是套路，价格比市面上贵了不少，只是为了营销产品编的说辞，这些根本就不是他们摩梭人自己的手工，我们的善良和对她们无条件的信任就这样被消费了。现在无论真假，无论贵贱，想起这个事就很不舒服，自己的好心和信任就被他们消费了，就想退货退款！        也希望这些事不要发生在其他旅游者身上，也希望泸沽湖越来越好，希望书记能看到我诚恳的求助，谢谢！,宁蒗县市场监管局,网民同志：您好！ 您通过人民网《地方领导留言板》给杨承新书记的留言收悉，宁蒗县县委县政府高度重视，及时责成宁蒗县市场监督管理局认真调查处理，现将有关情况回复如下：     经调查，您提供的购物小票显示商家地址为“四川省凉山州盐源县中洼村”，属于四川省地界，已经超出我县管辖范围，建议您向四川省有关领导反映，或致电四川省泸沽湖旅游投诉热线0834-6390103反映；后经核实，您已经通过邮寄的方式寄回了所购买的银器和药材，并收到了商家的全额退款。     感谢您的来信，祝您身体健康，生活愉快！                                                                                                                                                                                                              宁蒗彝族自治县市场监督管理局                                                                                                                                                                                                                               2019年9月17日,回复时间：2019-09-22 14:26
