感谢地方领导帮助民工讨回工资,待回复,城建 感谢,W***,2019-10-2908:28,感谢地方领导在云南省丽江市永胜县新增易地扶贫搬迁户县城梨园小区建设项目EPC总项目室内刮灰工资得到保障，感谢你们地方跟公司的承诺,,,
感谢,待回复,就业 感谢,1***,2019-10-1821:18,尊敬的书记你好:      我2018.10.16留言向您反应永胜县异地扶贫搬迁梨园小区项目《拖欠农民工工资》一事，经过永胜县劳动监察大队同志和建投五公司等领导的努力，今天《10.18日》已收到被欠工资。    在此非常感谢书记和监察大队同志及各位领导，你们辛苦了。,,,
农民工工钱已拖欠快一年,待回复,就业 求助,1***,2019-10-1715:40,尊敬的领导你好:  我和几个工友在2019年1月份到永胜县云南建投五公司异地扶贫搬迁梨园小区工地从事长螺旋打桩，1月28日工地完工以后老板付了部分工钱，剩余的工钱和生活费与机器搬迁拆装费到现在都末结清，打老板电话多数不接，接了电话也是各种理由哄骗什么什么时候拿钱，要么就是公司没给他钱，所以他没钱给我。7月1日也曾到过劳动监察大队举报，当时劳动局也打过电话给老板，老板也答应7月中旬或月底给我工钱。直到2019年8月3日打过5000和10月1日打过2000以后。老板又说过完国庆节拿钱，但这几天打电话和发信息给老板都不接，我本人因现在在外地工作，不知道怎么办，望领导想想办法。,,,
字xx老板拖欠刮灰工人工资,待回复,城建 建言,W***,2019-10-0421:53,字XX在永胜县新增易地扶贫搬迁户县城梨园小区建设项目EPC总承项目室内刮灰班组找公司借口，推辞公司没薄款，几·次跟老板打电话谈钱都说没有，劝条老板是2019年9月9号，到现在打电话不接，微信不回，希望监察部门求助，能得到有关部门领导的关爱讨回农民工工资,,,
关于要求退回云南省优秀贫困学子奖学金一事,待回复,教育 投诉,h***,2019-08-0908:47,您好，我是一名永胜县学子，今年大学应届毕业，于2015年始申请云南省优秀贫困学子奖学金并获得允许颁发，现今突发告函说因父亲在单位就职而不符合资格，强制要求退回大学四年所颁发的共计2万元奖学金，同时在我的周边也有类似的事发生，对于此事，我认为有些许不妥:第一，若是不符合申请条件，那这应该是审查方的失职，对于家庭条件较好的的来说，退回两万不算大事，可是对于条件不太乐观的家庭，实属强人所难，暂不提本人家庭，周边有学子家庭家中正遭遇顽疾，且不提有理无理，同样要求退还未免有些缺失道义;第二，关于是否贫困的审核标准，如果是单以双亲是否无业，有无离异，或者其他原因出现单亲家庭来衡量是否贫困未免有些失准，虽然很难获取别人的真实经济情况，但是如果能再加一些其他权重，进行实际考察等等，我想会更加符合实际，毕竟天灾人祸未尽可知，我懂得审核的难度之大，对此不作疑问。四年的奖学金毫无疑问地帮助我的家庭缓解了压力，我也对此十分感激，倍加努力地求学，不求领导声讨追责，望能得到领导关注到问题即可，学子感激不尽。,,,
书记你好：我是片角镇热河红土坡村的，我们村,待回复,城建 求助,W***,2019-07-0616:42,几年前修了一口饮水井和水池并安装了部分主管道，没有接入到居民家中，一直未能投入使用，有好多家里面都有饮水困难，而且大多是留守老人，请问有关领导们能不能帮忙解决一哈我们村的饮水问题，谢谢！,,,
求助政府帮助,待回复,交通 求助,W***,2018-11-0911:08,帮我修一下路，雨天像泥潭，冬天像沙尘暴。,,,
村里型号太差，家里打不通电话,待回复,三农 求助,W***,2018-11-0910:59,我家位于永胜县大安乡干塘子村，目前为止，家里没有信号，没有4G网络，每次打电话都要跑到有信号的地方，很麻烦，有时候几天联系不上家人，每次回到家手机就是无服务状态，村里偶尔有点信号，估计是从隔壁乡传过来的，信号特别弱，村子附近有个矿场，边上有个信号塔，但是高度不够，坐在家里依旧收不到信号，去年开始多次像移动公司反映，一直等到今年，问题还是没有解决，希望各位领导能帮助我们解决这一难题，信息时代，没有信号很难联系家人，另外，我们村和隔壁村（下坪）的公路一直都没有修好，其他村是家家通水泥路，我们的路一直跟十年前没什么变化，遇到下雨天，路况不好，车子根本没办法到家，只能停在半路，一般的轿车根本没办法过，在此，恳请各位领导能帮我们村解决这个问题，不胜感激～,,,
咨询农村土地确权政策,待回复,三农 咨询,D***,2018-11-0807:55,我家在三川镇，由于我家的房子建于1988年，当时村集体说以后都不会划宅基地了，也没给我家划宅基地。房子建在自家的土地上，今年国家对农村土地进行确权，未对我家宅基地及院内土地进行确权登记（仅一处房屋）。想请问下操作是否合理，国家对我家类似的情况政策上是如何规定的。另外，如果不对宅基地及院落土地确权，对后续生活及土地的使用有什么影响?具体的问过村里相关人员，回复是“上面来弄的”根本解释不清。,,,
请求硬化的村道,待回复,交通 求助,谭***,2018-10-1710:12,永胜县涛源镇嘉禾村龙潭小组村路，粘土路面全长9公里。海拨1290――1800米，垂直落差510米，整路25个转向弯拐。（其中过45度弯5个，15度以下零个）自通路以来整车侧翻事故8起，过禾落庄村地界5公里，其中这5公里跟禾乐庄村山地有界线争执，每年仅33户人家投入维修费重达8000元，而禾落庄村不出维修费用，从17年直过公路，18年该村委会唯一申请化路而不硬化。       希望领导能够核实特殊情况而予以今年硬化,,,
