在泸沽湖买石斛佛手参被骗,待回复,旅游 咨询,飘***,2019-12-0216:56,本人在泸沽湖旅游被导游带到一个卖藏药的地方买药材，购买1300元的石斛和佛手参，还有300元的藏红花，当时卖药的告诉我石斛和佛手参一起可以把糖尿病治好，由于我爱人有这个病出于对导游的信任也就没有多想就买了。后来询问多家药材店这个对糖尿病根本就起不到治疗作用，待到网上查询，有许多朋友都有被骗经历，物品几乎相同，现在发现被骗非常难过，尤其不知道买的是什么东西，肯定不敢给家人吃了，恳请领导帮忙解决一下，万分感谢！,,,
工资拖欠将近一年，要求待业期间工资补偿。,待回复,就业 求助,星***,2019-12-0216:56,尊敬的书记，您好。之前已在大理市领导留言板反映过工资拖欠问题，但过了两个多月也没什么结果，工资拖欠已经将近一年了，无奈只能越级向书记求助，请求书记帮忙解决，谢谢书记！,,,
投诉联联周边游昆明站霸王条款，未消费不退款 ,待回复,企业 投诉,L***,2019-12-0216:39,"本人通过微信联联周边游昆明站，购买电子餐券一份,因个人工作原因,过了2天未能消费,联系客服申请退款,但被驳回。根据国家工商行政管理总局《关于加强网络团购经营活动管理的意见》文件,在“保护消费者合法权益”一栏中指出,“团购网站经营者以预收款方式销售团购商品或服务,不得设定过期未消费预付款不退或者限定款项只能退回网站账户等限制”。联联周边游昆明站设定过期未消费预付款不退的霸王条款不合法，应退全款给我。",,,
学费是普通二本专业的两倍,待回复,教育 咨询,二***,2019-12-0214:55,尊敬的领导，您好       我是云南艺术学院一名普通的大一学生，我们学校是一个普通公办二本艺术学院，有百分之九十九的专业是艺术类专业，所以他们的收费一般都大于普通公办院校，但是我们学校有一个非艺术类专业——文化产业管理，他是一个普通的文化专业，据我所知我们云南开设的学校只有云师大和云艺，我们专业虽是一个普通文化专业，但他的收费确实按照艺术类专业来收费，8500元每年，我觉得这有点欠妥毕竟我们享受的教育资源有所不同，所以我希望省政府能跟据合理的教育资源分配，制定我们专业的收费。谢谢,,,
感谢领导神速维权,待回复,旅游 感谢,邱***,2019-12-0214:39,11月27日在长江第一湾被诱导购药材11200，感谢领导在百忙之中看到我的留言，第二天就联系并退药款，感谢领导办事神速，让我在云南不仅感受到了美丽的风景，还感受到了对民众反映情况的重视和对问题及时处理的方式，在此感谢陈书记以及香格里拉旅游局的工作人员，谢谢您们，下次有机会我一定还会再来云南旅游,,,
2019年云南旅游噩梦,待回复,旅游 投诉,o***,2019-12-0214:32,领导您好。我11月21日参加昆明昆旅国际旅行社 云南之行。11月27日进入西双版纳开始，阿发导游（他要我们叫他阿发，至今不知道导游真名，旅行社也不透露）接待我们之后简直是噩梦。首先第一天告诉我们要自费370元套餐票参加夜游湄公河，不参加就在车下面等三个小时，再告诉我们不参加的，西双版纳晚上蚊子多（变相威胁），被咬就会得登革热疾病。第二天下午我不参加夜游湄公河，问阿发酒店位置，他说要游完湄公河才知道我联系了旅行社，旅行社告知了我酒店位置。阿发知道此事后，在车上骂我，各种脏话语言攻击，还威胁我小心点，有一千种办法对付我，全车团员可以作证！车牌号为 云GY8333.（ 阿发导游接待时间段为2019年11月27日早上七点—11月28日下午七点）。我感觉生命财产安全得不到保障，与旅行社沟通后，11月29日早上直接自费飞往昆明。短短两天时间，接待态度恶劣，服务缩水，根本达不到一名导游的标准， 旅游大巴车牌号为 云GY8333车辆内置摄像头录像，相关负责回应此次投诉的领导可以调阅。我们花正常的团费出来欣赏云南的美景，为什么受到如此接待！现在扫黑除恶，希望领导严肃处理，本人没有其他诉求，只为正义！,,,
云南省昭通市永善县务基镇捏池村星光三社滑坡,待回复,政务 求助,卢***,2019-12-0214:05,我是云南省昭通市永善县务基镇捏池村星光三社村民，要向陈豪书记反映我们社受三峡电站影响的滑坡，2013年发生的现在2019年了还没给我们解决，现在整整6年了我们没房住，没有地做，政府和三峡公司把我们追出来6年了没给我们一个说法，可以想一下我们这6年是怎么过的，现在全村居无定所，而且去问有关部门还说我们村脱贫了，请书记都促有关部门尽快给我们解决，我们这6年过够了这居无定所的苦日孑了,,,
希望组织、人社公平基层项目政策,待回复,就业 建言,陈***,2019-12-0214:05,尊敬的陈书记：您好，我想向您以及组织部、人社部门反映一下，关于云南省四项目人员期满政策待遇严重不公平的现象。2017年1月24日，中共中央办公厅、国务院办公厅印发了《关于进一步引导和鼓励高校毕业生到基层工作的意见》(中办发〔2016〕79号)文件，云南地区根据中央文件精神，对大学生村官、三支一扶等项目人员出台了一系列服务期满扎根当地政策，唯独“忽略”了大学生西部志愿者，造成了项目间政策严重失衡，与中央与云南文件中明确提出“促进项目间政策协调平衡”的精神不符。第一，大学生村官政策矛盾尤为突出。自2017年起，云南省开始单独设立了大学生村官的公务员定向岗、事业单位定向岗，并且大学生村官兜底事业编制。村官的公务员定向岗和事业单位定向岗占了大量的编制资源，本就是造成了政策天平的严重失衡，可还有更奇怪的事，好的政策反而造成了恶劣的影响。部分大学生村官反而挑肥拣瘦，在事业单位定向岗位考试中，故意不做、甚至故意做错，以求低分，（100分的题考1.8分？）坐等公务员的单独定向岗位。好的政策并没有起到良性效果，反而以低分为荣。第二，三支一扶、特岗教师服务期满政策“通吃”。三支一扶、特岗教师服务期满转事业编制的同时，仍然延续2010年出台的定向岗政策，既可转编同时还参与定向岗位，更是造成了西部志愿者差距持续扩大。与此相反，本就没有出台任何新的扎根当地政策的西部志愿者群体。与大学生村官、三支一扶同志甚至在同一间办公室工作，却亲身体会了部分大学生村官对于仅面向他们的事业单位定向位的不屑。政策的不公平性在同一间办公室展现的淋漓尽致。希望陈书记、组织部、人社部门领导能进一步调察、核实情况，由本部门主管项目的角度切换到基层项目全局的角度，充分考虑项目间政策协调平衡，出台公平、合理的基层项目期满政策。附图：大学生村官事业定向成绩表（各地同样情况）,,,
云南省宣威市振兴北路市政府画线收费,待回复,城建 咨询,y***,2019-12-0213:49,尊敬的陈书记你好！       我是云南省宣威市振兴北路12_13的业主，我们的住房是自建房，审批的时候街道连着街道路面卖给了我们，建房时路面，人行横道都是我们的建筑面积里退让出来的，现在宣威市政府画出停车位开始有偿收费，前半个小时免费，半个小时以后每小时收费3元，每天早上8:30_晚上8:30是收费时间，一天12个小时，每天的停车费是12小时×3元=36元，每天36元×30天=1080元，每个月1080元×12个月=12960元，每年12960元的停车费，陈书记我们停不起，有偿收费我们没有意见，但是街道都是公摊面积是我们建房的使用面积里让出去的，首先是我们出钱买过的，就算要收费也应该给我们一个停车位使用吧？车辆每年都在贬值，两年的停车费就够买一辆车了，陈书记昆明的停车收费也会根据街道给临街住户一个免费的停车位，宣威为何没有，停车费还这么贵？陈书记能请你帮我们解决嘛？,,,
请支付我血汗钱,待回复,城建 求助,成***,2019-12-0213:45,"领导你好，我叫陈发配，家住云南省宣威市乐丰乡建文村委会腊吉村，是建档立卡贫困户，我今年6,7,8,月份在镇雄连租房和建投八公司,做的外墙刮白灰工钱至今没有支付我，工资一共12615元 ,支付3500元，下欠9115元，多次给老板讨要没有结果，希望领导能帮助我讨回我的血汗钱，",,,
