标题,状态,领域,用户名,时间,内容
茶叶树被毁,待回复,三农 咨询,q***,2019-10-1820:07,我是铁山镇大岭村洋上自然村村民马紹英，老人没有退休金就靠点茶叶生存，茶叶山靠马路旁，现在在扩马路中把我茶叶给毁了一片，我找了承包修马路的人，说马路是单位修的，他不管，找了派出所，派出所说不归他们管，现在是投诉无门
大利嘉，七星电影城后烧烤店严重扰民,福建省南平市政和县委书记,环保 投诉,很***,2019-10-0508:41,政和县大利嘉超市，七星电影院后烧烤店不仅占道经营，晚上还严重噪音扰民，经常营养到凌晨3-4点，3326110，和110举报多次，均无改善，请问这事就管不了吗？
政和县松果电单车收押金，无牌上路，希望整治,福建省南平市政和县委书记,交通 投诉,王***,2019-08-2408:52,领导您好，我在政和县使用松果电单车，收取我299元押金，还要我冲30块会员费，我使用骑了五公里收取我8元钱，这样收费不明不白，和他们宣传的2元不相符，造成消费者被骗，希望领导能给予重视！
我们村也有一条天路,福建省南平市政和县委书记,交通 投诉,N***,2019-05-3019:58,书记您好！我是镇前镇茶溪村中山的村民。知道您很忙这么多年您为政和县做出的贡献我们都看在眼里。 我反映的事情呢就是（国家早就提倡道路村村通 ，但是九蓬村到中山的路还是泥巴路真的只能走拖拉机。小轿车根本就走不了。在这里我希望县领导能抽空去九蓬村到中山的路去走走。看看那条是不是条路。  
农村旧房重建,政和县东平镇人民政府   ,城建 咨询,L***,2019-03-2113:45,尊敬的领导，您好，东平镇，金峰村的旧房拆除，在原位置重建新房，需要向国家重新购买地基吗？如有需要，是按什么标准计算，每平方？  望早日回复，谢谢！
政和环卫差,政和县建设规划和旅游局,环保 建言,匿***,2016-09-0610:09,昨天到政和汽车站，手脏到公厕去洗手，水龙头坏的，到车站对面公厕去水龙头还是坏的！望解决方便民众！
政和县澄源乡新原康村,政和县澄源乡政府,三农 求助,匿***,2016-09-0417:59,申请了贫困户国家没有什么给贫困户，过了一两年就是脱贫户，是这样的吗？我是贫困户可是不知道怎么的，村干部就说你以经是脱贫户，
拖欠农民工工资,政和县人力资源和社会保障局,环保 求助,匿***,2016-08-2220:05,书记我是外来的一名农民工，跟一个老板做山坡绿化大半年了，工程做完了，老板说沒钱。也没个日期。我们一帮人吃花的钱他都不给，想求你们帮帮我们。
医保社保卡办了两年了还没办好！,政和县人力资源和社会保障局,医疗 投诉,匿***,2016-07-1115:08,我只想问做一张医保社保卡两年了还出不来？期间照片是照了又照！单子填了又填！问什么时候办好！新农村信用社叫问社会保障局！社会保障局叫问信用社！就一张卡谁在做都不知道吗？踢皮球的踢来踢去！连投诉都不知道找谁！
有关退役问题,政和县民政局,其他 求助,匿***,2016-07-0511:48,尊敬的领导您好！我是一个2015年9月份退伍的退役士兵，我户籍地是福建省政和，我是从大学入伍的，大学是在上海就读，所以入伍地为上海。可是退伍后我又享受不了上海大学生退役士兵的优惠政策，因为我不是上海户籍！可是我回了福建，福建这边又说我户籍虽然在福建可是我的入伍地不是福建，也享受不了福建大学生退役士兵的优惠政策。我想问您，我这样的情况应该怎么办！恳请您能给我回复！
公交在行驶中随意停车，公交司机对免费上车老人,政和县交通局,交通 建言,匿***,2016-06-0217:24,黄书记您好～我想反应的有两个问题。第一个是在城区里公交车只要招手就停，哪怕不是公交站点，这样不仅给后面车辆造成安全隐患，而且我堵塞交通。第二个问题就是对于免费上车的老人，有时候不停车，即使上车后态度也及差。
忠天电机有限公司克扣拖欠工资, 政和县人力资源和社会保障局,其他 投诉,匿***,2016-02-0508:11,进厂前谈好工资，来厂后三个月才发工资，只发一部分，其他要满一年才发，满一年后找他结算工资，说资金困难没钱，一直拖欠，后接着工作，一直到二月四号只支付一部分工资，其他找理由不予支付，共欠十几万元，现在已到腊月二十七了，没有办法，只好麻烦您！
稠龄公路为何还在推托,政和县交通局,交通 投诉,匿***,2016-02-0314:53,为何稠龄一段公路都要修半年之久，政府新闻却发表11月中旬能通车，再次发表新年能完工通车，三次发表春运可以通车。这三次发表的可有实地调查，现实只有摩托车能通过。这是为何，是因为有了高速公路，修不修，急不急都没所谓吗？
电塔征地范围不合规,南平市政和县稻香茶场,其他 求助,匿***,2015-12-1710:11,    尊敬的领导，廖书记你好，我要反应的问题是鹤林工业园110kv变电站电塔征收补偿问题，我在变电站正后面有两亩多点锥栗园，而就在这两亩多的地正中间却要建两座输电铁塔，我要求全征一次性补偿，隶属稻香茶厂的领导却说只能征塔基部分，多次协商未果，这个我不能接受，因为就两亩多你还要在中间建两座电塔，可以说所剩无几，希望政府领导能够重视和关注民生，实地核查情况！
移户口,待回复,其他 咨询,匿***,2015-07-2716:50,你好，我的户口所在地在登原，在东峰已经住了十几年了，现建有一房，想给房子立户然而立户要本地户口，要办外面户口又要房产证。这样一个循环我该怎么办？
书籍推广,政和县文化体育新闻出版局,文娱 咨询,匿***,2014-10-1908:20,尊敬的廖书记，我的父母官，你好。我是政和县的一个普通村民，。最近完成了一部小说，近期可以出版。想咨询一下，可以在县政府门口的广场上进行宣传活动吗？我希望得到政府的扶持和帮助，这本书所盈利的部分，我可以拿出百分之二十用于政和县，我亲爱的家乡，用于捐款助学，做一些力所能及的公益事业。当年我学习成绩一直名利前茅，可惜因为家庭的困难，不得不中途缀学。每每想起，非常难受。我不求大富大贵，但求赠人玫瑰，手有余香。我叫叶榅飞，二十七岁。我的手机号码是18350991779.
能给农村执政廉洁,政和县信访局,三农 咨询,匿***,2014-05-1908:21,尊敬的领导：您好！  我是南平市松溪县渭田镇巨口村村民代表。村里频频做出逾越村民组织法的事，可都敷衍了事——都过关了！ 所谓上有政策，下有对策。村民告村官告不了啊，上面政策：村里的事，村民要做主，要参与，要知道，要民主。可不然。村里盖20座烤烟房，是好事，是农民致富的渠道。开村民代表会，不同意盖在学校旁边。可反之，可如何做主。盖烤烟房填土方工程不招标，村主任自己参股，村官为所欲为难道都没人管吗？
