标题,状态,领域,用户名,时间,内容
明德名府小区物业在大门口非法安装自动伸缩门,待回复,城建 投诉,松***,2019-08-1910:43,明德名府小区物业非法占用人行道安装自动伸缩门，为了对不是小区的住户索要逼迫缴纳物业费。多次进行威胁恐吓多次跑去所在上班工作场所闹事，逼迫我们缴纳物业费。行为极其恶劣。所谓的小区物业委员会里还有多个所谓的优秀党员公务人员对比行为不仅没有制止还添油加醋。集合小区住户闹事。拿生命要挟执法工作人员。
关于象城龙庭房地产开发商多种违规行为的投诉,福建省南平市松溪县住建局,城建 投诉,洛***,2019-08-1520:41,我们是松溪县象城龙庭小区的业主，现针对松溪县象城龙庭房地产开发有限公司未按期交房、违规交房以及违规安装套表、向业主私收电费等违法行为投诉如下，望予以重视并拨冗解决！！！1、松溪县象城龙庭房地产开发有限公司于交房期间要求业主缴纳电表立户费用人民币800元整，业主们均已按时缴交。但电表立户费缴纳至今已近一年时间，开发商都没有按合同约定给每家每户立好电表，没有为业主进行正式供电。根据合同第四章第十条相关规定，基础设施设备如供电应在交付时纳入城市供电网络并正式供电。开发商并未按合同条款要求为业主正式供电，显然严重违反了合同约定，属违规交房行为。2、在业主已按时交纳电表立户费用，而开发商自身未按要求做好基础设施设备的配套工作的情况下，开发商竟然在未经得业主同意的情况下私自安装套表，并以扣押办理房产证所需的购房发票、按揭发票的第三联原件（没有这份材料，无法办理房产证）、断电威胁等方式，强行向业主催缴电费。国家法律明确规定，除供电局之外未获授权单位或个人无权收取电费，开发商私自收取电费的行为已严重侵犯了业主们的权益，更是在炎热的高温的夏季给业主的生命和财产安全带来重大隐患！请有关单位充分履行监管职责，予以调查并严肃处理。3、缴交电费本是居民个人与供电公司之间的事，居民缴交电费的对象是电力公司而不是开发商个人。开发商未经业主同意更未曾与业主协商，便私自以高于电力公司收费标准多次向业主收取电费，此种行为无视国家法律法规、侵犯业主作为消费者的合法权益，既霸道又恶劣！4、开发商在通知办理房产证相关事宜时，要求每户业主缴纳房屋测绘费700元，部分业主在不明情况并缴纳700元费用后，开发商只是开具了一张收据。对此，我们提出强烈质疑并要求退还测绘费！根据法律规定，房屋测绘所需要的费用由委托人支付，房屋测绘是开发商与测绘单位之间的委托行为，测绘费不应由业主承担。5、业主于2017年8月底和松溪县象城龙庭房地产开发有限公司签订商品房买卖合同。合同第四章第十一条明确规定：出卖人应当于2018年6月30日前向买售人交付该商品但业主们在2018年9月初才收到交房通知，逾期二至三个月。根据合同，开发商理应向业主赔偿违约金！住房问题关乎民生大事，作为买售人，我们希望开发商能严格遵守商品房购房合同，不要一再侵犯买售人的合法权益。希冀领导能够第一时间进行调查了解并处理解决，真正做到切实维护人民群众利益！
松溪年货一条街让商贩无法生存,松溪县执法局,城建 投诉,杨***,2019-02-1808:17,松溪县城在过年之前一直都是在七一桥头举办年货一条街  ，后来为了整治交通   年货一条街搬到特别偏僻的河东亲水平台    去年还有十几家商贩，今年就剩4家这叫年货一条街吗？   而且根本没客人    松溪人民也抱怨过年不知道去哪里采购年货 造成双输的局面   希望今年政府能重新选址年货一条街   加大宣传   让松溪人民能有浓浓的过年气氛    而且今年年货一条街一个摊位收取摊贩200卫生清洁费  有发票   十天就扫了一天   难道有关部门如此不作为 在南平有关政务平台投诉 有关部门竟然说是摊位自己必须自己打扫卫生  那请问卫生清洁费是什么意思     希望能退还卫生清洁费   （有发票但是没扫过地）   
求助政府部门帮我们解决农民工工资,松溪县劳动监察大队,政务 求助,q***,2019-01-2815:46,还有六天过年了，我们农民工工资还拿不到，求助政府部门解决农民工工资
为何南平市松溪县汽车站进出口无交通信号灯,松溪县交警大队,交通 求助,匿***,2018-09-2014:20,      2018年9月20日，在松溪县发生一起严重交通事故，妇女被货车前后轮碾压。      我不清楚事故的主要责任人是谁，我也没权利去判定。但是，我关心的是，为何在县汽车站，人流量密度那么大的地方，进出口竟然一个交通信号灯都没有，人行道斑马线形同虚设。      我是松溪县人，这种情况是从车站建好就一直是这种情况，无任何的相关责任人去解决，已经发生多起车祸，难道当官的就真容易吗，十几年的遗留问题，到现在就一直没解决，不作为，无作为， 懒作为        以上，请政府能够重视，交通信号灯必不可少，不要再拿人命给自己的仕途铺路。
请求人工降雨,郑墩镇人民政府,三农 求助,C***,2018-08-0209:17,现在农村许多地区都需要下雨但是一直都没下雨 有的时候下就下一点点 不多 一点都不够农作物对水的需求
年年停水 百姓苦不堪言  ,祖墩乡人民政府,城建 求助,心***,2018-02-1208:25,我这里是松溪县 祖墩乡 登山村 村民  这里年年都停水 一年中有半年处于停水 村民苦不堪言 政府花重金 修的水渠  却无水供给老百姓 求领导官员 帮我们解决用水问题 好过年 
公积金申请流程,松溪住房公积金,其他 咨询,小***,2018-01-2717:10,您好，三支一扶人员没有公积金，请问如果自己想要缴纳公积金，具体流程和方式是什么？
关于松溪县农村危房修建补助问题,渭田镇人民政府,三农 咨询,匿***,2016-10-2709:18,你好！想问松溪农村危房是否有修建补助，我是渭田镇木丘村村民。希望能得到回复谢谢！
关于衢宁铁路松溪段施工安全隐患,松溪县铁路建设办公室,交通 投诉,匿***,2016-08-0311:24,因铁路开始施工，工程车进入我县松溪至下岭村的主干道，运行土方工作。过程中抖落的泥土、砂石留于路面无人清理，车辆经过时带起的扬尘，遮挡了驾驶员的视线！行驶安全无法确保！人民出行安全无法确保！同时带给了地方人民的生活环境空气污染！          请相关部门落实解决！
有农村瓦房改造这一项目？,渭田镇人民政府,三农 求助,匿***,2016-05-3017:05,"前不久松溪渭田遭受特大冰雹灾害，农村瓦房被打成千疮百孔  财产损失惨重！最近网上流传“ 政府就家村房瓦改造有专门拔款\""，多方打听不得而知。由于家村消息不畅，可否借助官网求证？谢谢！"
我要维权,松溪县信访局,交通 投诉,匿***,2015-09-2014:46,浦城中巴车长期乱收费，欺行霸市，口出秽语，强行驱赶乘客下车，实为路霸，
修路质量问题,松溪县高速连接线指挥部,交通 投诉,匿***,2015-07-2209:05,尊敬的领导您好，塔下到高速路口那条路从新修建本事一项非常好的民生工程，但是从目前来看，修好的路面凹凸不平，更别提没修好的，想想，那也算松溪的门面。为何如此，是监管问题还是技术不过关？
关于河东乡修路问题,松溪县交通局,交通 咨询,匿***,2015-05-1209:15,河东到长巷的那条水泥路要翻修吗？这条路已破损较严重了，近几年车辆又多，到处都是坑坑洼洼，特别下雨天，行车难，存在安全隐患。
关于松溪实验小学周边的交通,松溪县城乡综合执法局,交通 建言,匿***,2015-05-0614:14,松溪县委书记：你好，松溪在你领导的县委和县政府的领导下，松溪的交通状况改善很多了，这是大家有目共睹的事实。不过现在实小周边的的交通出现的毛病反弹，一个冰箱横在人道上就占去了人行道的一半，这还让人怎么通行，还有就是实小对面通往枣岭街的那条通道的店铺摆东西，近来也不断的往路中间移，占去了半条路，严重影响交通，我想特请书记整改。
加强红绿灯处交通管理确保行人安全,松溪县城乡综合执法局,交通 投诉,匿***,2014-08-2810:13,松溪县委书记松溪县人民政府县长：   你们好！ 松溪在县委县政府的领导下，松溪大街面貌比先前有所改善。人行道算得上畅通。但现在有个地方的人行道还是不畅通，就是工商局对面的哪段路的人行道还是不能畅通，下面是车道又是红绿灯处，交通安全非常重要。可就是这个重要的路段，人行道却被占用了一大半，还怎么走人，希望县委县政府能整改一下，让过路人更加安全！
工程不公开招标,渭田镇人民政府,征集 群众路线,匿***,2014-07-1810:33,  南平市松溪县渭田镇巨口村建20座烤烟房，没公开招标，高额的工程款。可有人管啊！
路难行,待回复,治安 咨询,匿***,2014-06-3013:31,尊敬的县领导，我县东大门，象岭的道路改造遇到什么难题了？，短短几百米路修一年多现达到工程量有百分五十了吗？我们的领导知道要通过这段路有多坚难吗，它的改造速度能代表我县的工作效率吗，
关于选举委员会的开支由谁来付,渭田镇人民政府,其他 投诉,y***,2014-03-0614:32, 尊敬的领导：你好  我非常感谢政府给我的留言回复，对于官方的回复，所调查核实的，只是村书记的片面之词。原本各村的选举委员会主任都是由书记兼职的。可是被落选了，由我们另五人组成。一个多月以来，多少总有一些开支的，笔墨纸都要付钱的，再说我们为村选举工作都是义务的。 如调查核实所开支报销完毕。那我们的开支怎么没对现呢，再说我们的发票都还在啊，所谓的毕报销完毕，报谁的开支呢？如果说是高额的开支的话，开支多少都没报，也没人来核实啊!又怎么知道是一万多呢？再说全镇的每村选举委员会的开支可做参考啊！总不能由落选的选举委员会主任的村书记个人的说说，就了结选举委员会的开支。因为他妒忌我们，所以才产生一段佳话，我才会留言投诉。
