标题,状态,领域,用户名,时间,内容
旅游购物已办理退货,待回复,旅游 感谢,黄***,2019-11-2608:04,首先对武夷山市领导及市场、旅游执法机关表示感谢。我11月15日留言旅游购物要求退货，当地市场和旅游管理机关和我主动联系后，厂家和我联系退货事宜。现已办理完结。对厂家的积极态度表示满意。
油烟弥漫食品安全问题,待回复,环保 投诉,w***,2019-11-1809:47,武夷山下洲路544号家庭小作坊下午时间开始疯狂炸肉皮而后贩卖，期间方圆一公里居民苦不堪言门窗不敢开，衣物被服不敢晒。此等美丽城市岂能有这等污染环境小作坊生存于居民中间。望领导能严格执行还我们周边居民好的空气环境。谢谢
旅游购物被骗,待回复,旅游 投诉,黄***,2019-11-1616:54,2019年11月10日，我在武夷山旅游时，被导游带入武夷山元生泰健康产业园，推销员长时间讲解灵芝孢子粉的好处，并承诺购买后，会把购物款当场以红包的形式退给购买者，目的是做个宣传，做个广告。没想到，当我付款后，推销员给我发了一本外国货币和邮票图册，并没有退款。随后导游就催游客上车离开了。回到家后，我认为被骗了，很生气。要求退货。
在机场遭遇诈骗，请领导严肃处理！帮忙退款！,武夷山市市场监督管理局,交通 投诉,静***,2019-08-2308:59,武夷山机场为什么任由这种骗子大张旗鼓地骗人售卡？2019年8月20日，我乘坐武夷山-济南（16：50分的）航班，办理完手续后，一个穿着机场工作人员欺骗我们办会员卡，交998，送2000元代金券，费用使用无限制（可以优惠订机票、火车票等），并许诺通过他们订票可以优惠10%~30％；由于是在机场里面，而且推销人员穿着机场制服，我选择了相信并交钱办了会员卡。后面发现是诈骗，能否有关协调退款退卡？
民主问题,武夷山市生态环境局,环保 求助,笑***,2019-08-0514:07,汀浒排污管道处理是好事，不过好事并不好，现在我何每天都生活在污水的污染中，因为每天都有一部抽水机把污水往路上洒或往汀浒小学门口的沟中抽污水，老百姓是敢怒不敢言，请问书记这样的工程是为了民生吗？
楼下油烟都不敢晒衣服了,福建省南平市武夷山市城市管理局,环保 投诉,荣***,2019-06-1713:30,我是住三姑度假区旺角翠竹园的住户，自从楼下开了乖味螺丝餐馆以来，衣服都不敢晒了，窗户也不敢开，全是油烟味。餐馆的油烟没有处理都排在路上，打电话给5134110说会协调一下，但是没有用，还是一样。图片就是油烟出口。希望领导关心一下老百姓的生活吧！
合理的投诉为何迟迟没落实?,福建省南平市武夷山市城管局,城建 投诉,泉***,2019-06-0518:04,尊敬的市委书记，5月11日投诉的精锐华府违建事宜，如今已经过去快一个月了，却没有任何的拆除行为，望书记能在百忙之中抽出时间抓一抓这件事为盼!谢谢!
福兴珠宝行,福建省南平市武夷山市信访局,旅游 感谢,w***,2019-06-0510:24,尊敬的市委书记，我是浙江嵊州市人5月28号给你留言帮我解决在福兴珠宝行购买翡翠这个问题，商家已积极联系我退款，圆满的解决退款我对这件事处理的非常满意。
褔兴珠宝行骗局,福建省南平市武夷山市文化体育和旅游局、武夷山市市场监督管理局,旅游 投诉,w***,2019-05-2813:25,恳求武夷山市委书记能帮我解决这个问题，我是浙江嵊州市人去你们武夷山被骗的不只光我一个，像这种情况以后有谁敢去你们武夷山，我只想求你们帮我去严查福兴珠宝行的玉是真是假，真的我接受假的希望你们帮我联系退货退款，我只知道带我们团的导游是个男叫小张
退役士兵专升本,武夷山市教育局,教育 咨询,赵***,2019-05-2019:38,书记您好！我是17年退役士兵目前就读于江西某专科院校，一名大二学生，高考差了五分，为了弥补这个遗憾打算通过专升本的提升学历，可是令我烦恼的是国家政策规定退役士兵可以享受所在省的专升本单列划线的政策，同时我也咨询了江西省的政策，这里说我们不是江西户籍的退役士兵不能享受，况且这边升本的几率只有百分之五到百分之十，我代表的是一部分福建退役士兵咨询，像我们这种情况可以回去升本吗，？
临街违建,福建省南平市武夷山市城管局,城建 投诉,游***,2019-05-1418:43,书记好！位于北门街101号临街2层现违建搭盖3层，以延续1个月，至今搭建行为仍未制止，致使此严重影响市容扰民行为仍在继续，盼书记能给予有效解决制止！感谢为盼！
