标题,状态,领域,用户名,时间,内容
仙阳镇缺水及水质污染,待回复,城建 投诉,W***,2019-11-2516:47,1.请问仙阳镇的供水问题什么时候才能解决，长期供水不足，早上或者晚上有一点水，有时候白天一天都没水，用水问题长期困扰乡镇人民，饮用水的水量有时候都是问题，生活用水就更是麻烦。2.仙阳镇的水不仅供应不上，水质也很混浊。希望县委领导能就此问题给予回应和解决，谢谢。
县城建设应当执法必严，也应当保护投诉人身心安,待回复,城建 投诉,慕***,2019-11-0814:28,"1，违章搭建大张旗鼓，猖狂至极，不仅房子盖的比原本的高，还侵占公共区域，将国家领土私自占有。2，居民积极举报，却导致自身的安全受到搭建住户的威胁，其叫兄弟姐妹们聚众围堵在孤苦伶仃的老人家门口，对其进行恐吓和谩骂。有关部门应该及时有效地保护检举人的信息以及人身安全，特别是以老人、小孩为首地弱势群体，不该让老人地身心受到伤害。3，有关执法部门应该有法可依，执法必严。对于违建行为，不能盖应及时拆除。地点位于仙楼下(原红浦路13号)。
图一为住房原位置，却高了许多。
图二为国家土地，属于公共区域，却被一下子占为己有，甚至还要在另一片公共土地上盖厕所。
图三为抢建进度照片，可以看见一天时间便以肉眼可见速度迅速搭建。
有关执法部门曾多次进行口头叫停，却始终不见成效，违章搭建进度反而加快，更加肆意妄为。本人认为，即是违章违法就应该勒令停止，三申五令后不服从者应当立即对违章建筑进行拆除。
对于这种建设方游走在黑恶势力的不法分子，还应当进行口头警告和登记信息在案，给予周围留守老人以保护和关爱。尽可能地保护公民的安全以及提供相关保障。"
省级示范小城镇居然连个公厕都没有？,仙阳镇人民政府,城建 咨询,匿***,2019-10-0819:46,请问一下领导，浦城县仙阳镇是省级示范小城镇，为什么连个公厕都没有，现在哪个村里没有公厕，唯独这个示范镇没有，每次碰到赶集的时候或者很多外地经过的朋友游客问我们公厕在哪？我们怎么回答？类似这样的民生工程应该是政府迫在眉睫的去解决问题，老百姓期望看到仙阳越来越好，浦城越来越好，
严重占路经营,仙阳镇人民政府,城建 投诉,z***,2019-08-2516:35,这里是高速出入口，一个镇上唯独他把人行道全部占用自己经营，严重影响交通安全，昨天就在他店门口发生了车祸，，大大小小的事故发生了好多，希望领导给予核实，不要再占用人行道经营，不能为了自己的经营，不顾别人的安全
占用路面经营,仙阳镇人民政府,城建 投诉,z***,2019-08-1014:09,仙阳镇卖豪爵摩托车占用道路经营，把车都摆放在门外，本身就是高速出入口，来往车辆非常多，很危险，请领导核实，
磷肥厂居民在锦江花园消防通道养狗严重扰民,浦城县城市管理局,治安 求助,黎***,2019-08-0714:02,领导你好，我是锦江花园业主。磷肥厂居民在小区东面，一号楼边上消防通道出口处，违规搭建养狗。半夜狗叫声严重扰民，经常半夜三点，狗叫不停。希望领导帮忙协调处理。
占路经营,仙阳镇人民政府,城建 投诉,z***,2019-08-0713:59,仙阳镇卖豪爵摩托车长期以来占路经营，把车停在门面房在一大片，经营交通，影响视线，对交通很不方便，还有彩蓬
浦城县农村复垦补贴方案公示,盘亭乡人民政府,城建 咨询,浦***,2019-07-2615:28,《浦城县旧村复垦房屋和地面拆除补偿方案的通知》请转发一下。
农村公厕建设,浦城县水北街镇人民政府,环保 投诉,罗***,2019-06-3010:42,  我家是在浦城县水北街镇陈源村高门，由于农村公厕建设，选址在我家门口对面直线距离不远的位置，正对我家门口。我不同意此选址，很影响我们家的生活。
浦城职业技术学校内汽修厂扰民,浦城县生态环境局、浦城县教育局、浦城县城市管理局,环保 投诉,p***,2019-06-1516:30,尊敬的领导：      你好！我是莲塘镇浦城职业技术学校附近居住的村民， 我反映的问题是，从四贤大道搬迁到浦城职业技术学校内的汽修厂，严重影响周边居民的住房环境。外部用简单的铁棚架设，更改原本学校的墙体，没有隔音的设施，并且还会飘出喷漆的味道，汽车修理厂隔壁就是居民区，人口密度大，周围很多高考生，中考生。该汽修厂每天从早晨8点到晚上11点，有时到凌晨都是修车时的噪音，嗡嗡叫的声音实在让人受不了，各种机械电机声。如果是为了学生就业实习增加就业率的话，是否能按照规定的营业时间。中午和周末时间不营业。这样的企业是如何能和学校合作？学校内是否能设置对外盈利企业？更改学校用地。是否应该由相关部门督促他进行噪音隔离等措施呢？还周围居民一个安静的生活环境。我有录今天白天该汽修厂的修理声音。如有需要我可以发邮件。望尽早处理。谢谢。
